8/5r2/2k5/4p3/1PK5/5P1P/8/3R4 b - -,f7f4
2r5/2k2ppp/1R1p1n2/PP2p3/8/5PB1/6PP/6K1 b - -,f6d5
3rr1k1/1q1n2pp/p3pp2/Pb1p4/1N1P4/B1P3Q1/1P3PPP/R3R1K1 w - -,e1e3
r2q1rk1/pp4pp/3P2b1/2p5/Pb2P3/6p1/1PB4P/R1BQ1RK1 w - -,d1d5
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/1PP5/P1N1P1P1/3PNPBP/R1BQK2R b KQ b3,c5a7
r1bq1rk1/ppp1npb1/3p1npp/1P2p3/P1P5/2N2NP1/3PPPBP/1RBQ1RK1 b - a3,c8e6
rn1q1rk1/1b2bp1p/p3p1p1/1p1p4/3PNB2/3BP2P/PPQ2PP1/R3K2R w KQ -,e4c5
2rr2k1/1bq1bppp/p3p3/1pp5/4PP2/P3BP2/1PPRNQ1P/3R2K1 w - -,e2c1
8/8/pr2p1pk/R3P2p/P4P1P/6P1/6K1/8 b - f3,h6g7
3k4/3bpr2/7p/2RP1pp1/pP6/3B1P1P/6P1/1K6 b - -,g5g4
4r3/5pk1/pp3bpp/2p2q2/P2p1P2/2PP1Q2/1P1B2PP/4RK2 b - -,e8e1
3k2r1/2q2ppp/Q3pn2/P7/3P4/2P3P1/5P1P/1R4K1 w - -,b1b7
4r1k1/p1q2rp1/1pn3p1/6P1/P1pPBn1Q/B1P5/7P/4RRK1 b - -,c6e7
8/5p2/6kp/5p2/2R2K2/6PP/8/r7 w - -,c4c6
r1bqk2r/pp3ppp/2p1pn2/2n5/2P5/P1Q5/1P2PPPP/R1B1KBNR w KQkq -,f2f3
3r1rk1/1pq2bbp/2pp2p1/p1n5/2PN4/1P4P1/PBQ2PBP/1R3RK1 b - -,f8e8
r2q1rk1/5ppp/2bbp3/p3n3/N1P5/8/P2BQPPP/1BR2RK1 w - -,c4c5
2r2rk1/pbq2ppp/1p2pb2/4N3/P1BP4/2PQP3/6PP/2R1R1K1 w - -,c4a6
r4r1k/pb6/1p2pb1p/1N1n4/8/P1N5/1P3PPP/3R1RK1 w - -,c3e4
r1b2rk1/ppq1ppbp/1npp1np1/8/3PP3/1BN1BN2/PPPQ1PPP/2KR3R w - -,e4e5
