8/5R1p/R5pk/8/1b6/1P1n2PP/3r1PK1/8 b - -,b4c5
r1b1kb1r/p2p3p/6p1/3pqp2/7P/1P1B4/P1P2P2/1RBQK2R w Kkq -,e1f1
4k3/4P2R/p7/8/K7/4r2p/8/8 w - -,a4a5
2r3k1/2p3bQ/1p1rp2p/7P/1p1PB1p1/1P4P1/P2q1P2/2R1R1K1 b - -,g8f8
1rbq1rk1/6bp/3ppnp1/1np5/NpQ1P3/1P3NP1/PB3PBP/2R2RK1 b - e3,b5a3
2n1kb2/3b1pr1/3p1p2/p2BpP2/Pq2P2Q/1N6/2PR2PP/1K1R4 b - -,c8b6
8/p7/1kpp4/3p2p1/1P1P2b1/P1K3N1/8/8 b - -,b6b5
2r3k1/p6p/1pqpprp1/3b4/P1pP4/2P1RP1P/1P1R2P1/3Q1BK1 w - -,d1c2
r3k2r/1b1nqp1p/2p1pp2/p6Q/PppPP3/6P1/1P2NPBP/R4RK1 w kq a6,f2f4
4k3/R4p1p/3p2p1/n1pP4/2P2P2/3B3P/P2b1K2/8 w - -,f2f3
6k1/2rn1p2/p1q1b1p1/P2p3p/Q7/3BP1NP/5PP1/1R4K1 w - -,a4f4
r1b2k2/1p4pp/2p1p3/p2p1p2/PQPP4/1P3PP1/4P1BP/R5K1 b - -,a5b4
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP4/5NP1/PP1NPPBP/R1BQR1K1 b - c3,f8e8
1rn2r2/5qbk/1p2bppp/pNp5/Q1NPp3/P1P1P1P1/5P1P/3RRBK1 b - -,f6f5
r1bqk1nr/p2pppbp/2p3p1/8/4P3/2P5/PP3PPP/RNBQKB1R w KQkq -,f1c4
5R2/4k3/1pb1p1p1/p3P3/3PP1r1/1p1B4/1P3K2/8 w - -,f8b8
2r1r1k1/4bpp1/p5bp/3B4/3N4/P2nP1PP/1B3P2/2R2RK1 w - -,c1c8
rnbqkb1r/ppp3pp/5n2/3p1p2/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1g5
r5k1/1p1qrppb/2pb1n1p/p1Bp4/3P1NPP/PQ2PP2/1P4B1/4RRK1 b - -,d7c7
r3rb2/5ppk/p1q1bn1p/1p2pN2/P1n1p2N/2P3RP/1PB1QPP1/R1B3K1 w - -,b2b3
r4rk1/pp3ppp/2n1p3/2qpPb1P/2n2P2/2N5/PPP1N1P1/2KRQB1R w - -,e2g3
3r2k1/5p2/B5pp/3Pb3/1P2N3/5P1b/5P1P/1R4K1 b - -,d8d5
6k1/5pbp/p3Nn2/B1pP2p1/2pp4/6PP/Pr4B1/4R1K1 b - -,f7e6
r1bq1rk1/1p2ppbp/2N3p1/p2p4/3P4/6P1/PP2PPBP/R1BQ1RK1 b - -,b7c6
8/5pkp/6p1/8/R1Nr1P2/4n2K/2P4P/8 w - -,c4b6
r1bqk2r/2p1bppp/p2p4/npnP4/8/1B1N4/PPP2PPP/RNBQR1K1 b kq -,e8g8
2r4k/2P3q1/p1Q4p/4R2P/5P2/8/6p1/6K1 b - -,g7f8
3r1nk1/3bR1p1/p3p3/1p1pN1P1/3P4/2PB4/PP3K2/8 b - -,d7e8
6k1/5p1p/3r4/p7/4RP2/P7/6PP/5K2 b - -,d6d3
2r1N1k1/1p2q1pb/1B3p1p/p3np2/Pb2p1P1/1N6/1P2Q2P/2RR2K1 b - -,c8e8
r5k1/5p2/4q2p/2Q3p1/P2Bp3/6Pb/2Rb1PNP/6K1 b - -,e6b3
r2qkb1r/ppp2ppp/2np1n2/4P3/4P1b1/2PB1N2/PP3PPP/RNBQK2R b KQkq -,c6e5
2r2bk1/2q3p1/pp2np1p/4pN1P/P1P3P1/1P1r1P2/6K1/2BRQ3 w - -,d1d3
8/6k1/1P3pp1/N3p3/b6p/2p5/5P2/5BK1 b - -,c3c2
1q4k1/pr3pp1/3Q3p/3p4/3P4/P3P2P/5PPK/2R5 w - -,d6b8
8/3bqn1k/2p1p2r/3pPp2/pP1P1P1P/P5Q1/5K2/2BB3R w - -,h4h5
r2r2k1/5qpp/p1n1np2/2bNp3/1pQ1P3/2P3PP/1P3PB1/R1B1R1K1 b - -,b4c3
2rr2k1/p3ppbp/1qp1n1p1/1p2P3/3P4/1P3QPP/PBN2PK1/2RR4 b - -,a7a5
1nr2k2/p1r1bpp1/1pp1p1p1/8/PP1P4/4P1P1/2R2PBP/2R1B1K1 b - -,e7d6
r1b2rk1/pp3pb1/1qn1pBp1/2pP3p/2P2Q1P/2N2P2/PPP1N1P1/2KR3R b - -,b6a6
N6k/p4pp1/1p6/8/1B1q4/P4BP1/4RnK1/8 w - -,e2f2
2kr4/Qp4pR/b1p3p1/6P1/5P2/3p4/Pq2B3/4K3 w - -,e2d1
B7/p1r2p2/6p1/1Kp1k2p/1nP2p2/7P/3R1PP1/8 w - -,a8f3
r2qkb1r/pp3ppp/2p1bn2/3p1p2/3P4/4P1P1/PPPNNPBP/R2Q1RK1 w kq -,a1c1
r1bq1rk1/1p2bppp/p3pn2/6B1/PnBP4/2N2N2/1P3PPP/R2QR1K1 b - -,c8d7
1rb2rk1/1p1nqpb1/p2p1npp/2pP4/P4B2/2N1PN1P/1P2BPP1/R2QR1K1 w - -,f4h2
r1bqk2r/pp2ppb1/3p3p/2pPn1p1/2PnP3/2N3BP/PP1N1PP1/R2QKB1R b KQkq -,e8g8
8/1p6/8/2Pk4/1B4K1/P7/8/5r2 b - -,d5e4
1k1r2r1/ppq2pp1/2p1p2p/3nP2P/2P3Q1/8/PP1B1PP1/1K1RR3 b - c3,d5e7
8/8/7p/5k2/7p/6r1/4Kp2/5B2 w - -,e2f2
r2q1rk1/1p1n1ppb/2p4p/3p4/P7/1N1P2PB/1bQ1PP1P/R4RK1 w - -,c2b2
2r3k1/3n1ppn/2r5/p2p3P/NppP1B2/P3PP2/1P3K2/2R4R w - -,c1c2
2R5/5ppk/1P1p3p/8/3b3P/1R2p3/P3K3/6r1 b - -,g1g2
2bk3r/4pp1p/p2p2n1/2pP2p1/Pr1bP3/R1N3P1/4BP1P/3NK2R w K -,c3a2
8/8/2p5/rkP5/3P4/2P3R1/6P1/5K2 b - -,b5c4
8/pp4k1/3R2P1/8/4r3/2P5/2P5/2K5 w - -,d6d7
rn1qkb1r/pp2pppp/2p5/5b2/P1pP4/2P2NP1/4PPBP/R1BQK2R b KQkq -,f5e4
r3r1k1/1p3npp/2p2pq1/p2p1b2/P4P2/1P2P1P1/1B1Q1KP1/R2B3R b - -,f7d6
r2qk2r/1pp1bppp/2n5/p2bp3/Q7/P2PBNP1/1P2PPBP/R4RK1 b kq -,e8g8
r1bq1rk1/1pp2nbp/p1npp1p1/4PpP1/P2P1P2/2NBBN1P/1PP5/R2QK2R w KQ -,h3h4
r1b1r1k1/pp1n2bp/6p1/5P2/2P5/B4P2/P3N1PP/1R1K1B1R b - -,d7b6
4r1k1/1qp1rp2/1pb2npp/p3p3/P1P3PN/1P1R2Q1/4PPBP/3R2K1 b - -,c6g2
4r1k1/p1n2ppp/1q6/3p4/3P4/1P1B1PP1/P2Q1B1P/6K1 b - -,c7e6
8/8/4b1K1/r3k1P1/8/8/5R2/8 b - -,e6g4
3r2k1/pp3pP1/2p1p2q/3rN3/3P4/P7/1PP1Q3/1K1R4 b - -,d5d4
1krr4/1b3p2/pp1pp1pb/2q4p/4PP1P/2P1Q1P1/PPN2R2/1KNR4 w - -,e3c5
r3kb1r/pbp2p1p/1pn5/4P3/4PB2/2P2N2/P5PP/R2K1B1R b kq -,h8g8
3r2k1/5p2/1p1rq1p1/p7/8/Q6P/6P1/4RR1K b - -,e6d7
3k4/6p1/2p1np2/pp5p/4PP2/N3PK1P/1PP5/8 w - -,h3h4
r1bqr1k1/pp1n1ppp/2pb1n2/8/2PP4/2N2N2/P1Q1BPPP/R1BR2K1 b - -,d7f8
8/2k2p2/bp5p/p1p1PBb1/P1P5/1PBK3P/8/8 w - -,c3e1
r4rk1/1p2qp1p/p2p1Rp1/3Pn3/P3B3/6Q1/1PP3PP/5RK1 b - -,a8d8
5r1k/2p1r1p1/1p1p3p/3P1q2/1P1Pp3/R5P1/Q3RP1P/6K1 b - -,f5f6
r1b1kb1r/ppp2pp1/2n1pq1p/8/Q1pP4/2N2N2/PP2PPPP/R3KB1R b KQkq -,f8b4
r2qkb1r/1b1p1ppp/p3pn2/1pp1P3/8/1PNP4/1PP1NPPP/R1BQ1RK1 b kq -,f6d5
3R2R1/5p2/p3rk1p/2p2p2/4nP2/1P3K1P/P7/8 b - -,e4d6
r1q2b1k/1ppb1r1p/3p1np1/p1nPp3/2P1PpPP/PPN2P2/3NBB2/R2Q1K1R w - -,b3b4
r4rk1/3q1ppp/5b2/pppp4/8/2PP1QP1/PP1B1P1P/R3R1K1 b - -,b5b4
8/5k2/2p2r2/6p1/1P2p1P1/P2p1pKP/5P2/3R4 w - -,a3a4
r2b4/2nq1nk1/3p2p1/1p1Pp2p/1P2Pp2/r2B1P1P/1N1BK1P1/1RRQ4 b - -,c7e8
r1b1k2r/ppqp1ppp/2n1pn2/8/1b1NPP2/2N1B3/PPP3PP/R2QKB1R w KQkq -,d4b5
1k3r2/pp4rp/2p4q/8/2QN1P1b/2P2B2/PP1B2PP/R6K w - -,h1g1
5rk1/pQ3p1p/3P2p1/2q5/8/1B2P3/P2NKPPP/2r5 b - -,c5d6
4k3/1b3p2/p2pp3/1P6/1Q2P3/3PqB2/7r/K4R2 w - -,b5a6
rn3rk1/p3ppbp/5np1/qpP2b2/5B2/1BN1PN2/PP2QPPP/R3K2R b KQ -,f6e4
r6R/2R5/p1p5/1b1p4/2kP4/4B3/P4P2/2K5 b - -,a8h8
r3k2r/ppp2ppp/2nbpn2/3q4/3P4/4BN2/PPP1QPPP/RN3RK1 w kq -,c2c4
r1bqk2r/pp1p1pp1/2n1pn1p/2P5/2P4B/2P2N2/P3PPPP/R2QKB1R b KQkq -,e8g8
8/8/p7/2k1p3/1p2Pp1P/1P1r4/P3R3/7K w - -,h4h5
r1bqr1k1/pppp1pp1/2n1pn1p/8/2PP3B/P1Q1P3/1P3PPP/R3KBNR b KQ -,e6e5
4k3/4np1p/1pQ5/P2R4/4pq2/1NK5/1PP4P/R7 b - -,e7c6
r1b2rk1/1p3pbp/3Q2p1/pP1N4/2P1nP2/2N5/P3BqPP/2KR3R w - -,c3e4
rbb2rk1/1pq2ppp/p1p5/8/3N1n1n/2P2QNP/PPBB1PP1/R3R1K1 w - -,f3f4
8/3kN3/1pp2B1p/p7/2P1n3/PP2P1P1/7P/5K2 b - -,e4f6
r3k2r/4qpp1/p1p5/1p2p3/P3P1b1/1PN1Q1P1/2P4P/R4RK1 b kq -,e8g8
k7/8/PP1K1N2/8/7p/8/8/8 w - -,b6b7
8/p3bk1p/R4p2/1r2P3/3p4/3N2P1/P3P2P/5K2 b - -,f6e5
4k1r1/1b2bp1p/5p2/8/5P2/4n1P1/PP5P/R3R1K1 w - -,e1e3
2r2rk1/1pqnbppp/p2pbn2/P3p3/4P3/1NN1BP2/1PPQB1PP/R4RK1 b - -,f8d8
2r3k1/5rbp/p4pp1/Bp1P1b2/2pN4/P6P/1P2RPP1/3R2K1 b - -,f5d3
6k1/p4p1p/3q4/3p2p1/2p1rnP1/2PN2QP/PP5K/5R2 w - -,d3f4
8/3r1k2/p1p2p2/P1B3pp/8/1b3P1P/1R3KP1/8 b - -,b3c4
8/8/4R3/p1p5/3rb3/1P2kpK1/P7/1B6 b - -,f3f2
4r1k1/6pp/p3r3/1p1pb1B1/3p4/3P2P1/PPP4P/4RRK1 b - -,h7h6
r3k2r/pp1nbppp/1qp1p3/3p2Bn/3P4/1QP1PP2/PP1NBP1P/R3K1R1 b Qkq -,e7d6
8/8/1p6/p1p2k2/P1P2p1p/1P1K1P1P/8/8 b - -,f5e5
8/p4p1k/8/P5pp/1P6/5r2/1rR5/2R1B1K1 b - -,b2c2
8/2n5/2Nk1p2/pp1P2pp/3KP3/8/P5PP/8 b - -,a5a4
8/2R5/6k1/1r4p1/p2n4/8/3B1P2/5K2 w - -,c7a7
8/7p/p4B2/5P2/2k5/2pp4/b1K5/8 w - -,c2c1
3r2k1/5p2/4r1p1/1p1p1R1p/7P/2P1B1P1/1P3P2/6K1 w - -,f5f4
rnbqkbnr/ppp1pppp/3p4/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq e3,g8f6:c7c5:g7g6
8/p7/8/1p3K2/1Pp3P1/2k5/P7/8 b - -,c3b4
b1r2rk1/3n1qbp/p1p1n3/NpP1p3/1P6/P1N2pPP/2Q2P2/2BRRBK1 w - -,a5b3
k7/8/3p2K1/6pP/5N2/8/7n/8 w - -,h5h6
r3k2r/p2nnpp1/bp2p2p/2p5/2PP3B/P3PP2/3N2PP/2R1KB1R w Kkq -,f1d3
r1bqk2r/4bppp/p1npp3/1p1nP3/2BP4/P4N2/1P2QPPP/RNB2RK1 w kq b6,c4b3
rn3rk1/p1q1ppb1/3p2p1/1p1pP2p/3P1P1Q/3B3R/PPP3PP/R1B3K1 w - -,g2g4
r2qk2r/2p1bppp/p7/1p1b4/8/6P1/PPQ1PP1P/R1BR2K1 w kq -,e2e4
8/1bB5/5n2/5k2/6p1/6K1/8/8 w - -,c7b8
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PN1PN2/PBQ2PPP/R3KB1R w KQ -,f1d3:f1e2
2r1r3/2P3qk/p5p1/1pR4p/3pp1bP/P7/1P1Q1PP1/1B2R1K1 b - -,d4d3
r2qr1k1/1p1nbp1p/pnp1p1p1/4N3/2PP1BQ1/2NR4/PP3PPP/3R2K1 b - -,f7f5
br2r1k1/2Qn1pbp/p2q2p1/P2pp3/1p1P4/1P1BP3/NB3PPP/R1R3K1 b - -,e8e6
6r1/1kq2p2/p4R2/1p1p3p/3P2r1/1P4P1/1PPQ3P/R5K1 w - -,d2f2
r1b1r1k1/1ppnqpp1/pb5p/3Pp3/1P6/2Q1PNP1/PB3PBP/2R2RK1 b - -,a6a5
rnb2rk1/pp3pp1/5q1p/3p4/1b1N4/2N1P3/PP3PPP/2RQKB1R w K -,a2a3
4b1r1/1r3n1k/2pBp1pq/1pPpPpR1/pP1P1P1p/P3P2R/3KB2P/6Q1 b - -,g8h8
r1b1r3/pp3pbk/1npBn1pp/4p3/2P1P3/1PNR1N1P/P3BPP1/3R2K1 b - -,e6d4
8/p3p3/4n3/1pP2k1p/1P1r3P/2P1R3/P4P2/1KB5 b - -,d4h4
r3k2r/1ppqbppp/p1np2b1/8/3N4/2P1B2P/PPPQ1PP1/2KR1B1R w kq -,f1e2
r5k1/1pp3p1/1p1pb2p/8/2Pqpr2/8/P1Q1BPPP/3R1RK1 b - -,d4e5
1kq3r1/pp6/8/P3p1pQ/2NpP3/3P1P1p/1P2KP2/8 b - -,g8h8
r4rk1/1pqb2pp/p2bpn2/3p4/3B1P2/5BP1/PPPQ3P/R2NR1K1 b - -,a8e8
b2rr1k1/p2nbpp1/qpp1p2p/4B3/2PP3P/1P2NQPB/P2R1P1K/3R4 w - -,e5c7
r1b2rk1/ppqnppbp/5np1/2p5/2P5/1Q3NP1/PB1PPPBP/RN3RK1 w - -,b1c3
8/4rk2/1p6/p2p1np1/Pb1P1p1p/1PNK1P1P/6P1/2B3R1 b - -,b4c3
2r2r2/4qpk1/p2p1Rp1/1p2p1Pp/1Pb1P2Q/1BP2R2/P4PP1/6K1 b - -,e7d7
1r3k2/1pR2p2/pP3rpp/2R5/4K3/P7/6PP/8 b - -,f6b6
r2r2k1/1q2bpp1/p1bppn1p/1p6/4P3/PBN3B1/1PP1QPPP/3RR1K1 w - -,f2f4
