8/4k3/1K6/1R2r3/P1R5/1P4r1/8/8 b - -,e5e3
2b2rk1/8/p4np1/1p1pq2p/1P6/P2BP1NP/4Q1P1/5RK1 w - -,e2f3
8/6p1/4R1n1/4p1k1/6P1/3p1PK1/8/8 b - -,d3d2
r4rk1/5p1p/1p2b1p1/p6Q/PqPp4/3B4/1P3PPP/2R1R1K1 w - -,h5b5
rr4k1/p4p2/4pq1p/6p1/8/B2R1QP1/Pb2PP1P/R5K1 w - -,a1d1
1R6/1P5k/7p/8/6PP/1r1Kp3/8/8 w - -,d3e2
r2q1rk1/1b1nbpp1/p2pp2p/8/1P2PP2/PQN1B3/4B1PP/2RR2K1 w - -,e2f3
4r2k/6p1/5r1p/6bP/6P1/5K2/2Q5/8 w - -,f3g2
8/3r1pk1/5Rp1/pp4Pp/1r2P2P/3P4/1P1RK3/8 b - -,a5a4
rn1qk2r/pp2bppp/2p2n2/3p2B1/3P2b1/2NB1N2/PPP2PPP/R2QK2R w KQkq -,h2h3
8/8/p6R/b2P1k2/1pK5/4p3/7P/8 w - -,h6e6
2k4r/1qp1np1r/p1n1p1p1/1pPpP2p/3B1PP1/PPPQ3P/1K2N3/3R3R w - -,e2g3
8/8/3k2Q1/p1pn4/5q2/P5NP/1P4PK/8 b - -,d6c7
6k1/4q2p/2Qp1bp1/2p5/4PN2/6P1/1r1n2BP/3R2K1 b - -,d2c4
3r1rk1/p2qn3/1pnp2pb/2pNp1N1/2P3pP/P2PPpP1/1PQ2P1K/R1B2R2 w - -,g5e4
r4rk1/2qn1ppp/p7/1p1PR1B1/P1pP2b1/2P5/1PQN1PPP/R5K1 w - -,e5e7
1k2rn1r/pp3pp1/3qbb1p/1p1p4/N2P1P2/3BPN2/P1Q3PP/1R3RK1 w - -,d3b5
r1bqkb1r/ppp2p2/2np1npp/4p3/P1B1P3/3P1N2/1PP2PPP/RNBQR1K1 b kq -,f8g7
7k/2Q4p/4bqp1/4p3/8/1r4P1/5P1P/4RBK1 b - -,b3f3
3r2k1/1b4p1/p1q1p2p/1p2b3/1B2P2P/1P6/1P2Q3/1B3R1K b - h3,e5d4
2rr2k1/1b1n1pb1/ppppq1pp/8/QPP1P3/P1N2N2/5PPP/2R1RBK1 b - -,d7e5
r5k1/1b1p3p/p3p3/1p5p/3qN1Kn/3B4/PP1Q1P1r/2R1R3 w - -,g4g3
5B2/p1p2p2/1pp1k1p1/4Pb1p/1P6/4KP2/PP4PP/8 w - -,e3d4
3rk3/ppp2p1p/5p2/5Nr1/4P3/2K5/PP6/R4B2 b - -,g5g4
6k1/8/4p1p1/5p2/ppNb2P1/5K1P/PP6/8 w - -,g4f5
r2r2k1/q2nbpp1/p1p1p1bp/p7/NP1PPQ2/5NP1/5PBP/1R1R2K1 w - -,b4a5
2kr1b1r/ppp2ppp/2n1pn2/3q3b/3P4/4BN1P/PPPNBPP1/R2Q1RK1 b - -,h7h6
r3k2r/1p4pp/p3bp2/N1n1p3/8/6P1/nP1N1PBP/R4RK1 b kq -,a2b4
r4r2/2pb2kp/pp1p2p1/2nP1p2/P1B1P3/2N2P1P/R5P1/4R1K1 b - -,f5e4
rn1qkb1r/pbpp2pp/1p2pn2/5p2/8/1P2PN2/PBPPBPPP/RN1QK2R w KQkq -,e1g1
1r6/3b1pk1/1r2p1p1/p1bp3p/P2N1P1P/2PR2P1/1P2R3/2KB4 w - -,e2f2
2rr2k1/pb3ppp/1pn1pb2/8/3PB3/4BN2/PP3PPP/2RR2K1 b - -,c6d4
6k1/8/7r/pp6/3P4/2P4b/PP4B1/4R1K1 w - -,g2d5
2r3k1/2rb2p1/pqn4p/1p3p2/4p3/1N2P3/PP2BPPP/1QRR2K1 b - -,d7e6
1rb1kb1r/3n1p2/p1n1p1pp/q2pP3/2pP4/2P1BNN1/P1BQ1PPP/1R3RK1 b k -,b8b1
r3r1k1/2q1ppbp/pp2b1p1/3pP1N1/1BnP2PQ/2P4P/P4P2/R3RBK1 b - -,h7h6
2b1k2r/2qnpp2/2p1n1pp/1p1pN3/1P1P2PQ/r2BPP1P/2P5/1R1NK2R w Kk -,f3f4
8/5k1p/3b2p1/5p2/5N1P/5KP1/8/8 w - -,f4h3
2r3k1/4pp1p/3p2p1/3P4/n1p1P3/P1b2NPP/P1R2P1K/2B5 w - -,h2g2
r2q1rk1/pp1bppbp/2np1np1/2p5/4PP1Q/2NP1N2/PPP1B1PP/R1B2RK1 b - -,c6d4
r1bqkbnr/1p1ppppp/p1n5/2p5/2PPP3/5N2/PP3PPP/RNBQKB1R b KQkq d3,c5d4
r1bqk2r/1p2ppbp/p1p2np1/2p5/4P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq -,c1e3
2r1kbr1/5ppp/4p3/pq1b2P1/1p1B3P/5P1R/PPPQ4/1KNR4 w - -,h4h5
r2qkb1r/1b1n1ppp/p3pn2/2p5/Pp6/5NP1/1PQPPPBP/R1BN1RK1 b kq -,f8e7
5r2/8/1P5k/1K6/7p/8/6R1/8 b - -,h6h5
8/6P1/3k1K2/6R1/8/8/8/5r2 w - -,f6g6
rnbq1rk1/1pp2pbp/p2p1np1/3Pp3/4P3/2N1BN2/PPP1BPPP/R2QR1K1 w - e6,d5e6
2r1q1n1/3r1pbk/2p1p1p1/1pP1P2p/pP1PP2B/5R2/P1B1Q2P/1K1R4 w - -,a2a3
4r1k1/5p2/p5p1/P2P3p/2P1q1bP/2Q3P1/5P1K/2R5 w - -,d5d6
8/5k2/p2n1Pbp/1p1p4/1P1K3P/2B4B/8/8 b - -,d6e4
8/4kp2/7R/2PK1p1p/r6P/4P1P1/8/8 b - -,a4e4
r1b2rk1/pp2qppp/2pb1n2/4p3/1PP1B3/P3P3/1B1N1PPP/R2Q1RK1 b - -,f8d8
r1b1k2r/pp2nppp/2n1p3/3q4/P1pP4/2P2N2/2P1BPPP/R1BQ1RK1 b kq a3,e8g8
8/2p2p2/4p3/3rP1k1/4R1P1/5K2/8/8 w - -,e4e1
r2qkr2/5pQp/p7/2ppP3/1np1P3/1P2P2P/P5P1/R3KB1R w KQq -,g7h6:e4d5
r2r1k2/pp3Pp1/2nb3p/3N4/3pR3/PB4P1/1P3PP1/2R3K1 b - -,a8c8
r3k2r/1bqnbppp/p2ppn2/1p6/3NP1P1/P1N1BP2/1PPQB2P/2KR3R b kq g3,d7e5
5k2/2R2p2/6p1/4P3/5P2/6KP/4r3/8 b - -,e2e1
rnbqkb1r/p2p1ppp/4pn2/2pP4/1pP5/6P1/PP2PP1P/RNBQKBNR b KQkq -,e6d5
8/1n1nb1k1/1p1p2pp/1N1Pp3/2P1PpP1/2N2P1P/2K2B2/8 w - -,c3a4
4n3/1r6/5p2/p1kNp1p1/Pp2P3/4K3/1P1R1P1P/8 b - -,c5c4
r1bqk2r/1ppp1p2/2n4p/1p1PP1p1/8/6B1/PPP3PP/R2QKB1R b KQkq -,c6e7
r7/1b3nkp/p1pqprp1/2NpN3/3P2P1/P7/1PR2PP1/2Q1R1K1 b - -,b7c8
rn2k2r/p1q2ppp/2pbpnb1/8/B2P2P1/5P2/PPP1N2P/RNBQ1RK1 w kq -,h2h4
4rk2/1pQ1n3/3pP1pp/p2q4/4N3/PP6/6KP/4R3 b - -,d5e6
8/8/4p1k1/5pP1/5r2/2b5/P7/2K4R w - -,h1h6
1r3rk1/3q1ppp/2npb3/p1bNp3/1pP1P2P/1P4P1/P1NQ1PBK/R4R2 b - -,c6d4
r1bqk2r/p2n1ppp/4p3/1p1nP3/2pP4/2P2N2/2QBBPPP/R3K2R b KQkq -,c8b7
8/pR3pkp/1p1rp1p1/7q/3P3P/P3nN2/1P3PP1/2R3K1 w - -,f2e3
8/5pkp/p1rp1p2/1p1Nr3/1P6/P2BN2P/2P2K2/8 w - -,f2f3
4r1k1/p4p1q/1p1pp1p1/2r3R1/P1P1Q2P/1P4R1/4PPK1/8 w - -,e4g4
r1b2b1r/pp1kpppp/1Bn5/2pp3n/3P4/1PP1P3/1P1N1PPP/R3KBNR b KQ -,c5d4
r2qkb1r/1b1n1ppp/p1p1pn2/8/Pp1PP3/3B1N2/1PQ2PPP/RNB2RK1 w kq -,c1g5
2B5/8/8/6p1/7k/6p1/8/4n1K1 b - -,g5g4
2r1r1k1/pb3pp1/1p2p2p/2b1N3/2P1pP1q/1P2P3/PB2Q1PP/R2R2K1 w - -,g2g3
2r1k2r/3nbpp1/p1qp3p/4p3/1Q3PP1/1N1RB2P/PPP5/1KR5 b k -,d6d5
8/p2rn1k1/1p1q2p1/4RpP1/P2p1Pb1/3P3p/2P2Q1K/R6B w - -,a1e1
6k1/4q1p1/8/pp1PPr2/8/4Q2P/4R2K/8 w - b6,e3d4
r1bqkb1r/3npp1p/p1p3p1/3nP3/1p1B4/5P2/PPPQ2PP/1NKR1BNR b kq -,e7e6
2k3r1/pp3p2/4p3/1n1pPp1P/2qN1P2/2P4P/PP3Q2/1K1R4 b - -,b5d4
8/1p4rk/p2p1Q1p/2pP1P2/2P5/1PK1P3/7r/2R5 w - -,f6d6
1r4b1/p2qr1kp/Q4pp1/2p5/3nPP2/2N3P1/P2R2BP/3R2K1 w - -,h2h3
r3r1k1/2q2ppp/p1p5/8/Q1P1n3/3bBN2/PPR3PP/4R1K1 b - -,d3c2
r2q1rk1/pp1nppb1/2p1bnpp/3P4/P1N1P3/2N2P2/1P4PP/R1BQKB1R b KQ -,c6d5
2r3k1/5p1p/4pnp1/p7/P3P3/5P2/4B1PP/1R4K1 w - -,b1b5
3r4/p4kp1/2R1n2p/Pp2Pp2/1B1r3P/P2p2P1/5P2/4RK2 b - -,d4c4
1R6/8/1b2r3/8/7p/5K1k/8/8 b - -,e6e3
2r1r1k1/p3qp1p/1p2p1p1/3pb3/2p5/5NP1/PPQ3BP/2RR2K1 b - -,e5g7
1r6/1rpbqpkn/3p2p1/2nPp2p/p3PP1P/2N1N1P1/PPBQ4/1K2R2R w - -,c3d1
8/4nk2/p6p/5pp1/2b2P2/P1B1K1P1/6BP/8 w - -,e3d4
r7/7p/2p1kpp1/Pp2p3/4P3/P2BN3/2PK3P/8 w - -,c2c4
1r1q1rk1/5p2/6p1/1pp2n1p/8/3P2P1/1R1QPPBP/2R3K1 b - -,d8e7
5rk1/R4p2/3R2pp/p7/8/5KP1/r3P2P/8 w - -,d6a6
1r2r1k1/5pbp/6p1/pp1Rp3/1q2P3/2N1QP2/PPP1R1PP/1K6 w - -,e3d3
8/8/b2p1kp1/P2Bp2p/2P1P2P/6P1/5K2/8 b - -,g6g5
3rr3/p4qbk/Pp2pnpp/1Q6/4N3/4RN1P/1PP2PP1/4R1K1 w - -,f3e5
8/8/5N2/6p1/2k3P1/3pr2P/5RK1/8 w - -,f6h5
r5k1/p6p/1pnNp1pb/3pn3/6P1/2B4P/PPP3B1/4RK2 b - -,h6f4
8/1p1n1ppp/p3b3/2kN4/2PR4/6P1/P3PP1P/6K1 w - -,d4d2
2r1r1k1/5qp1/2Q1pn1p/pp2pP2/P3P1P1/2P1B2P/2P2K2/R2R4 w - -,f5e6
r2r2k1/p3qpp1/1p1p2np/3R3n/2P1p3/P3PP2/1P3BPP/3QKB1R b K -,h5f6
8/8/1pp1bkpp/p3p3/1bP1P1P1/1PBB1K1P/P7/8 w - -,c3b4
3R4/Pb3pk1/3p1np1/3Pp1p1/4P3/2r1NPNP/6PK/8 w - -,a7a8q
3r2k1/7p/1P6/5p2/5P2/4pqPP/1RR4K/8 b - -,d8d1
6k1/5rp1/p6p/2Bp4/1P6/2P5/2b2PPP/4R1K1 b - b3,c2b3
rr4k1/1p3pp1/pQp1b2p/P3q3/1R6/4PB1P/1P3PP1/3R2K1 b - -,e6f5
r3kb1r/1pp2bpp/pn3q2/5p2/1P2p3/P1N1P2N/2QPBPPP/R2R2K1 b kq -,f8d6
rn1qk2r/1b2b2p/p1p1p1p1/1p3p2/2pPN3/P3P1BQ/1P3PPP/R3KB1R w KQkq -,g3e5
r2qkb1r/ppp2ppp/4bn2/8/2Pn4/2N2N2/PP1PBPPP/R1BQK2R b KQkq -,f8c5
rn3rk1/ppp2ppp/4pq2/8/3P1b2/3B1P2/PPP2B1P/R2Q1K1R w - -,f2g3
8/1p6/p1b3k1/3pR1p1/3P3p/4K3/PP6/8 b - -,g6f6
1R6/rn3nk1/3p4/p1pP2Pp/N1P1P3/1N2K3/P7/8 b - -,f7e5
8/p6p/1np1k1p1/4pp2/1PP5/1K2B3/5P1P/8 b - -,f5f4
8/7k/8/5RK1/5P2/8/8/r7 b - -,h7g7
3rr1k1/1bq2p1p/pp1bpnp1/4N3/P7/2PB2B1/1P2QPPP/R2R2K1 w - -,e5f3
r1br2k1/1pp2p1p/p4qp1/3P4/3N4/1Q5P/PP3PP1/3RR1K1 w - -,e1e3
r1br2k1/pp1n1pbp/2pp1np1/q3p3/2PP4/1PN1PN2/PBQ1BPPP/2RR2K1 b - -,e5d4
5rk1/p4p2/b1pb1p1p/8/Nrp5/1P1B4/P4PPP/2R1R1K1 w - -,d3c4
8/4b3/8/4pkp1/1p1p4/1P1P1K1P/2P2P1N/8 w - -,h2f1
r4n2/p4kp1/1np5/2N1Pp2/1P5P/PN6/5P2/R4K2 w - -,b3d4
r4r2/1p2ppkp/6p1/2R1nb2/1q6/p3Q1P1/P3PPBP/5RK1 w - -,e3e5
3r4/7k/5b1P/p7/2R1p3/1PN1Bb2/PPK4q/2Q5 w - -,c2b1
1qrb1r2/1p1b1n1k/pB1p1p1p/P2PpPp1/1Q2P3/3BN1PP/1P5K/2R1R3 b - -,d8b6
8/4n3/4pk2/3p1n1p/3P3P/2R1PP2/r7/5BK1 w - -,f1h3
r6k/5p1q/4p3/p1RpPpr1/Pp1P3p/1P3Q1P/5PP1/2R4K b - -,g5g8
r1r3k1/1q1n1ppp/4pb2/1p1p4/p7/P1PQ1NP1/1P1NPP1P/2R2RK1 w - -,d3b1
r2q1rk1/pb3ppp/1p2p3/n7/3PP3/3B1N2/P2Q1PPP/3R1RK1 w - -,f1e1
2nq2k1/7p/3p1Pp1/2pP4/p3rP2/2Q5/7P/B4RK1 b - -,g8f7
8/5p2/1N2p2k/n1Pp2br/3P4/3K1N2/5P2/6R1 b - -,a5c6
8/3K1k2/8/4P3/3P1n2/8/8/8 b - -,f4d5
2kr1b1r/ppp2ppp/5n2/3np2q/2Q5/1PN5/PB2NPPP/R4RK1 w - -,c3d5
7k/pp3Rp1/4r2p/1Pb5/8/P5P1/5PKP/8 w - -,f7b7
r1bbk1nr/pppq4/2np4/3Npp2/1PP3pp/3P2P1/P2NPPBP/1RBQ1RK1 w kq -,f1e1
r1bqkbnr/pp1n1ppp/2pp4/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,a2a4:f1c4
r2rnbk1/pb1nqp1p/1pp3p1/4p3/2P1P1N1/P1NRB1PP/1PQ1BP2/3R2K1 b - -,h7h5
rnq1kbnr/pp3ppp/2p1p3/2Pp1b2/3P1B1N/1QN5/PP2PPPP/R3KB1R b KQkq -,g8f6:g8e7
5r1r/1knb3q/1p2ppn1/p2p3p/2pP1N2/P1P2PPB/2PQ1R1P/2B1R1K1 b - -,g6f4
r2q2k1/1b2rppp/pp2p3/3nN3/1nBP4/2N5/PP3PPP/2RQR1K1 w - -,a2a3
8/6bk/b6p/5p2/P4P2/1p4PP/3QqB2/3N2K1 w - -,d2e1
8/3b1pk1/1bBr2pR/1P6/8/3p2P1/3B1P1P/6K1 w - -,c6d7
8/4b2R/kPb1r1p1/8/7P/5P2/8/1R4K1 w - -,h4h5
r2q1rk1/1p2bppp/p1n1p3/3n3b/3P4/2N2NBP/PP1QBPP1/R4RK1 b - -,e7f6
r1bqkb1r/ppp2ppp/2n2n2/8/2PP4/P1N2N2/4B1PP/R1BQK2R b KQkq -,c6e7
r2r2k1/p3q3/bp1n3p/n1pP1pp1/2P1P3/P1P5/Q1NBB1PP/R3R1K1 b - -,d6e4
8/5k1p/P3R3/6p1/6P1/r6P/6K1/8 w - -,e6b6
r4rk1/pp2pp1p/3p1q2/3Pb1p1/8/2P3P1/PPB2PP1/R2QR1K1 w - -,d1d3
3q3r/1k3p1r/2n1pP2/1p1p2Pp/bPpP3P/2P2BB1/4Q2K/R4R2 w - -,g5g6
8/5ppk/p6p/3QP3/1P6/7P/1rn3PK/8 w - -,d5d3
4k3/p1br1pp1/2p1pq2/QpP5/3P2P1/P3B3/KP6/5R2 w k -,a5e1
