8/1r5p/2p3k1/4Pp2/1PP2K2/2B3PP/8/8 w - -,e5e6
6k1/pp1q1p2/6pQ/4Pb2/1Ppn4/P5P1/5PBP/4R1K1 b - -,c4c3
2Q5/5pkp/r5p1/8/3p4/3K4/6PP/8 b - -,a6e6
4R3/3Q2pp/1r3bk1/p1r2p2/Pq2pPP1/8/6BP/5R1K b - -,b6b7
8/R4p2/3k2pp/3Bp3/4P2b/5P1P/PPr2PK1/8 w - -,a7f7
8/1p6/1kp1K3/p7/P1P5/QP6/5q2/8 w - -,e6d7
r4rk1/pbqnbppp/1pp2n2/4P3/P1B1P3/2N2N2/1PP1Q1PP/R1B2R1K b - -,d7e5
r2q1b2/B2n1p1k/p1Qp3p/Pp1PpNp1/NP2P1P1/5PP1/6K1/2R5 b - -,b5a4
8/8/6p1/5pK1/2kp3P/6P1/8/8 b - -,d4d3
2kr1q2/pppbr2p/1n1p1np1/3P1p2/PQ3P2/2N2N2/1PP1BPP1/2KRR3 b - a3,d8e8
r1b1k2r/pp2pp1p/n5p1/2P5/7P/8/PP1NPPP1/2R1KB1R b Kkq -,c8e6
r2nk3/4p2p/pR5R/2qpN1r1/2p5/2P5/PP2QPP1/5K2 w q -,f2f4
rn2k2r/ppq1bppp/2p1p1b1/3n4/2B5/3P1NNP/PPPB1PP1/R2QR1K1 w kq -,c4d5
3n4/1pn1k3/2p1p1bp/2P1Pp2/1P1R1P2/3N1B1P/2r5/5NK1 w - -,f1e3
r1b2rk1/1p4pp/4pp2/pPqp4/P1nN4/2P1QN1P/4K1P1/R4B1R w - -,e3d3
1r6/6k1/6P1/1K6/p5R1/P7/1P6/8 w - -,b5a4
8/p2r2k1/3N1np1/2p1r2p/1n6/5B1P/1P4P1/1KRR4 w - -,g2g4
3q1rk1/1b3rbp/np1p2p1/pN1Ppp1n/P1P5/1PB2PP1/2BNRQ1P/4R1K1 w - -,c2b1
rnb2rk1/ppq2pbp/2pp1np1/4p3/1PPP4/2N1PN2/PB2BPPP/R2Q1RK1 b - -,e5e4
5rk1/1b3ppp/pq1p4/1p1Pp1b1/1Pr1P3/BN1Q1P2/P5PP/R4R1K w - -,g2g3
7r/7r/3p4/ppn1pkp1/8/2P1NP1P/1P1R2K1/7R b - -,f5e6
3r4/2QP1pk1/p5p1/1p3p2/5P1q/3RP3/P3B3/2b1K3 w - -,e1d1
5rk1/1RQ2np1/4N3/3Ppp1p/4q2P/6P1/5PK1/8 w - -,g2h2
2r2rk1/1b3ppp/pp2n3/3p1q2/3BnN2/1P2PB2/PQ3PPP/3R1RK1 w - -,f4e6
rnb1kb1r/pp2pppp/1qpp1n2/8/3PPP2/2N5/PPPB2PP/R2QKBNR w KQkq -,d2c1
6k1/2R4p/8/p2r1p2/4p3/1P2P1P1/P4PK1/8 w - -,a2a4
q1r1r1k1/1bb2ppp/p3pn2/2R5/3NP3/4BP2/P2Q2PP/1R3B1K b - -,f6d7
r1br2k1/1p3pp1/p1n1pb1p/2qp4/8/P1N1P1P1/1PP1NPBP/1R1Q1RK1 w - -,h2h3
3r3r/5kp1/8/1pp1pPP1/2p1P3/1n3B2/1P3RK1/4R3 b - -,h8h4
5r2/2pkn3/p1p3p1/b6p/3BP3/1R1P3P/P1P1K1P1/5N2 b - -,d7e8
r1bq1rk1/p3pp1p/2p3p1/8/8/2Q1bP2/PPP3PP/2KR1B1R w - -,c3e3
3qrnk1/pb2bppp/1p6/3p4/3PPB2/6P1/P2N1PBP/2Q1R1K1 w - -,e4e5
2r3k1/1p3ppp/p3p3/3rP3/P3R3/1P1n3P/1B3PP1/R5K1 w - -,b2d4
r2qk2r/1pbn2pp/p1p1pn2/2Pp1p2/PP1P4/2NQPN2/3B1PPP/R4RK1 b kq a3,f6e4
2n1rr2/2p2qbk/1pnp1pp1/3Np2p/2PPP3/1P2B1Pb/2Q1NP1P/3RR1KB w - -,c2d2
r1bq1rk1/ppn3pp/2pbp3/3p1P2/2PP4/PNNBP2P/1PQ2P2/R3K2R b KQ -,e6f5
3Rr1k1/p1pR2p1/2p1r2p/5q2/2P5/2B1pPP1/PP2Qn1P/6K1 b - -,e8d8
r2q3r/ppkb1ppp/1n2p3/3pP3/3P4/bN1P1N1P/4QPP1/R3R1K1 w - -,a1a3
6k1/p5p1/1p1Bp3/4P3/2P1r1Pp/3R3P/q2Q1K2/8 b - -,a2c4
8/8/8/7R/6r1/k1B5/2K5/8 w - -,c3d2
3b1k2/pr3p2/R3n1p1/2p1P2p/7P/P3P1B1/r2N1PP1/3RK3 b - -,d8e7
6k1/5pp1/p2Bp2p/1p5n/4P2P/1P1n1P2/P4P2/3B2K1 b - -,h5f4
4B3/p3kp1p/4b1pP/6P1/3K1P2/P7/8/8 w - -,e8c6
8/5k2/8/R4KPp/p4P2/7r/8/8 w - -,a5a7
r1rb2k1/1RBN1pp1/4p2p/8/n7/6P1/4PPKP/2R5 w - -,c7f4
4r1k1/pp1R2P1/2n1pBp1/4P3/8/5PK1/P5P1/8 b - -,e8b8
r1bq1rk1/p4ppp/2p2n2/3p4/1b6/2NB1Q1P/PPP2PP1/R1B2RK1 b - -,b4d6:a8b8:b4e7:f8e8:c8e6:c8d7:h7h6
r4rk1/pp2qppp/P3pn2/2p1Pb2/1bB5/1QN1P3/1P3PPP/R1B2RK1 b - -,f6g4
1r3b1k/1p1qrpp1/p1p4p/2P2b2/1P1p1P2/PQ1P2P1/3NRKBP/4R3 b - -,b8e8
r2q1r1k/1bp1n1p1/p4n1p/1p2p3/3N4/P1NQ3P/BP1B1PP1/R3R1K1 b - -,e5d4
8/1p6/2k1p3/p3P1b1/P1KP2p1/1P3pP1/8/6B1 b - -,g5d2
2N3k1/1p1r1p1p/6p1/1n1PB3/2n2P2/6P1/5K1P/3R4 w - -,e5f6
8/pkpR3p/1p4n1/8/2P5/P3N3/r4PKP/8 b - -,a2a3
1r2rq2/p2n2pk/1p1P3p/2pbpp2/2P5/R3B1P1/PPQ2P1P/3R2K1 w - -,d1d5
r7/3k3p/p1p1pp2/1r4p1/R2P4/1PR1BP2/P4KPP/1b6 b - -,b5b7
8/8/8/p4k1K/PpB1p3/1P1nP3/6P1/8 b - -,d3f2
4rb1k/1b1n3p/p4r2/p1pP1pR1/N1P2P2/3BB2P/3K4/2R5 b - -,f8h6
4k3/3q1p2/4p1b1/2pn2P1/1p1p1BPr/pP1P1QNr/P1P1R1R1/6K1 b - -,d7c6
8/5p2/p1n1k2p/1p3p2/1P3P1N/P2K2P1/7P/8 b - -,a6a5
2nr1rk1/p1q1p3/1p2P2p/2pBb3/2P1PpPp/P2Q1N2/2R2PK1/7R w - -,h1h4
r4rk1/pbpn1ppp/1b1p1q2/1Pp5/2P1P3/2N4P/P2BBPP1/R2Q1RK1 b - -,a7a6
r3qr1k/1ppn1pp1/1b1p1n1p/pP1PpP2/2P1P2B/P4N1P/2B1QP1K/R3R3 b - -,f6h7
8/1pp2pk1/2rpq1p1/4p3/p3P2r/5PRP/1PPQ2RK/8 b - -,c6a6
1q5k/8/p3Q1P1/2pN1P1K/3b4/8/7P/8 w - -,h2h4
r2qr1k1/3b1pp1/1ppb1n1p/p1n1p3/P1PpP3/1P1P2PP/4QPBK/1RBR1NN1 b - -,d8c7
8/pp2N3/5p1p/6b1/6P1/k7/P6P/1K6 w - -,e7c8
6k1/6pp/p2P4/4Bq2/Pr6/4RP2/5P1P/4R1K1 w - -,e5g3
8/6p1/4k1np/1p1p1pP1/1P1P3P/2B2P2/5K2/8 b - -,h6h5
5nk1/1p3pp1/2p5/8/4N3/P3PP1Q/1q3P1P/5K2 b - -,b2a3
8/5pk1/p2R2p1/8/2P2nP1/4p1N1/r7/3K4 b - -,e3e2
8/p7/1p3NkN/6p1/P7/1P1P1KP1/8/2r5 b - -,g6f6
r4rk1/p2nqppp/1p2p3/1P1p4/3Pn3/4QNP1/1P2PPBP/R1R3K1 b - -,e7b4
6Q1/P6p/8/6Pk/8/5qP1/7K/8 w - -,g8h7
4nrk1/1p1bq1p1/p3pp1p/3p3P/1b1P1BP1/NP1BPP2/P3NK2/2Q3R1 b - -,b4a3
8/Q4ppk/4b2p/8/1R5P/8/PP3PPK/2rr4 b - -,d1h1
4r1k1/p1n2p1p/1r1p2pq/1ppP4/4PP2/2P3N1/P2QRPKP/5R2 b - -,f7f6
2n5/pb4kp/6p1/3p1p2/3N1P2/6P1/P3P1BP/6K1 w - -,g1f2
8/pp6/2pbn3/3p1kpp/2PP4/1P2BN1P/P4K2/8 b - -,e6f4
r3r1k1/pn1q1pp1/1p3n1p/2pP1P2/5BP1/1P5P/P4PBK/2RQ1R2 w - -,d1d3
3r3k/2R4p/6p1/4p1PP/1b2B3/5P1K/8/8 b - -,b4d2
r1bqkb1r/pp1n1pp1/2n1p2p/2ppP3/3P4/P1PBB3/1P3PPP/RN1QK1NR b KQkq -,a7a6
8/3N4/4p2p/p5p1/4pkP1/5p1P/2KR1P2/7r w - -,d7f8
r1bq1rk1/p2n2pp/1Pp1p3/3p1p2/3PnP2/2N1PN2/PP3PBP/R2Q1RK1 b - -,a7b6
r1bq1rk1/pp2bppp/2p1pn2/8/2BP4/2P2N2/PP3PPP/R1BQ1RK1 w - -,d1e2:c1g5
3r1rk1/1b4pp/p7/1ppqpp2/8/P1PP1PP1/1P2QNP1/3RR1K1 b - -,f8e8
r1b1qrk1/1pp1b1pp/p2p1n2/4pp2/2PP4/1QN1PP2/PP1BB1PP/2R2RK1 b - -,g8h8
8/5kp1/p3pn2/1pq3BP/4Pp1P/P4Q2/5PK1/8 w - -,f3f4
r4rk1/pp1qppbp/n5p1/3P1n2/8/2N1BN2/PP3PPP/R2Q1RK1 w - -,e3f4
r4k2/1Bp1bppp/4pn2/1N2Pb2/8/1p4P1/P3PP1P/R1B3K1 b - -,a8a2
2r2rk1/pp1n1pbp/4p1p1/q2p2B1/P2P4/1P2Q1PP/2P2PB1/3RR1K1 w - -,e1e2
1qr1r2k/1p4pp/pn1Np3/3nP1b1/8/P7/1PB1Q1PP/3R1R1K w - -,d6f7
1r1r1bk1/1bRn1p1p/pp2p1p1/3p4/NB1Pn3/3BPN2/PP3PPP/5RK1 w - -,b4f8
r4rk1/2p3pp/1p1p4/pQ1Pnp2/P4q2/2N1R2P/1P3PP1/R5K1 b - -,f8f6
r2qkb1r/1p1n1ppp/p1p2n2/3pP3/2P3b1/1P1BPN2/PB3PPP/RN1QK2R b KQkq -,f8b4
3r2k1/np4p1/4pq2/3pN1p1/pP1P1P2/P1R1P3/5bB1/2R4K w - -,e5g4
8/7p/2B5/3Pk1p1/4n1P1/4K2P/8/8 w - -,c6d7
