8/8/6k1/2B2b2/p1pK1R2/P7/8/2r5 w - -,c5b4
r2q1rk1/pp3pp1/2n2n1p/4pb2/2Pp4/PP4P1/3NPPBP/R1BQ1RK1 b - -,d8d7
8/1R4p1/2N1pp1k/1p4p1/1Pb1P3/5P1P/1r4P1/6K1 w - -,b7e7
5r1r/pp6/2p1k2p/3pP1p1/4n3/3BPP2/PP4PP/2R2RK1 b - -,e4d2
2kr2n1/pp3p2/2pqp1pr/4R3/PbPP1P1p/1P3Q2/2B3PP/B4RK1 w - -,g1h1
8/8/5k2/5p2/2pP1P2/P1K2P2/1P3r1p/4R3 w - -,d4d5
r2qk2r/5pbp/p2p2n1/3P1p2/4p3/2N5/PPP1BPPP/R2Q1RK1 w kq -,d1d2
r2q1rk1/pp3pbp/2np2p1/2p5/1P2p3/P2P2P1/bR2PPBP/2BQNRK1 b - -,g7b2
rrb3k1/2nnpp1p/3p2p1/2pP4/4Q3/1PB2NPP/q3PPB1/1R1R2K1 b - -,g8f8
5rk1/2R4p/6p1/pp2K1N1/1p6/1B6/P6P/5b2 b - -,f1c4
r4rk1/5pp1/p1pqpnbp/3pN3/3P4/2P4P/PP1N1PP1/R2QR1K1 b - -,g6h7
1r3rk1/pbqp1p1p/5pp1/2p5/P5n1/1PP1PN1P/4BPP1/R2Q1RK1 b - -,b7f3
2r3k1/pr2ppbp/q2p1np1/1N6/2P5/1PB3P1/P3PP1P/R2Q1RK1 b - -,d6d5
3r2k1/2pr1p2/1b3p1p/1p2p3/1PB1P3/2P5/5PPP/R3RNK1 b - -,b5c4
k2r3r/pp2Q3/8/Pb1p4/8/1q3NP1/5RP1/2R3K1 w - -,f3d4
4k3/3nbppp/bn1p4/p2Pp3/q1p1P3/B1P2B1P/P3QPP1/1N2N1K1 b - -,a4b5
8/2p2b2/8/2pNk3/ppP4P/P7/1P1K4/8 w - -,a3b4
r1b1k2r/1p2ppbp/p1p3p1/5q2/3P1B2/5N1P/PPPQ1PP1/R4RK1 w kq -,f1e1
r4rk1/pp3ppp/2b1pn2/3q4/1P1R4/5N2/P1BQ1PPP/5RK1 b - -,d5b5
r3kbnr/p1pq1ppp/np2p3/3pP3/3P1N2/2N5/PPP1QPPP/R1B1K2R b KQkq -,a6b4
r3rk2/p2pq1p1/1p3p1p/4nP1Q/2p2B2/2P1P3/P5PP/3R1RK1 w - -,d1d5
5rk1/5pb1/p2p2pp/2q5/2PpP1PR/3P1N1Q/Pr5P/5R1K b - -,c5a3
R7/5r1p/P2pN1k1/2pP4/1bP2K2/7P/8/8 w - -,f4e4
1rbk1r2/6pp/pp1n2n1/3Npp2/N7/1B4P1/PPP2P1P/2KR3R b - -,b6b5
8/1R6/5k1p/6pP/2r3P1/5PK1/8/8 b - -,c4c6
r1b2rk1/1pB2ppp/5n2/pBbpQ3/P1PNp1q1/8/1P3PPP/3R1RK1 b - c3,c8d7
8/8/pp1nkb2/2p3p1/P7/1P1K1R1P/8/8 b - -,b6b5
2Q2b2/p5k1/4qrpp/2p5/3pBP2/3P2P1/PP4KP/5R2 w - -,c8c7
r7/p5k1/6p1/4Q2p/2Pp4/8/1Pqr1PPP/R5K1 b - -,g7h7
3rr1k1/pp3pb1/2p2np1/8/1qP1PN2/1Q1pBPP1/PP4K1/R6R b - -,b4b3
2kr3r/ppp1bppp/4p1b1/3qP3/3PB2P/1QR2P2/PP3BP1/1K5R w - -,b3c2
r3k2r/pbp5/1p1pPq1p/5pp1/2P5/2PBPPn1/P1Q3PP/R3K2R w KQkq -,h2g3
8/4k3/4Ppp1/2nP3p/3p3P/5BP1/4K3/8 b - -,f6f5
6k1/3b1pb1/1pN2qpp/pP6/P1n1BNP1/1Q2nPBP/3r4/6RK w - -,f4d5
6k1/1p3p2/5qpQ/p2r4/P7/1PP3Pb/5P2/R5K1 w - -,h6h3
r1b1kbnr/1p2pppp/pqnp4/8/2P1P3/1N6/PP3PPP/RNBQKB1R w KQkq -,b1c3
2r5/1p1R1pk1/p5p1/5pQP/P1P2P2/7P/8/2q3K1 w - -,g1f2
3qb1k1/p4pp1/2p4p/8/1P6/2QB3P/P4PP1/6K1 b - -,d8d6
5bk1/2Nn1ppp/4p3/1bn5/8/B1N1PP2/4K1PP/8 w - -,c7b5
6k1/1R6/p3rp2/P5p1/6P1/2B3K1/1Pb5/8 w - -,b7b6
r2q1rk1/pp3ppp/4b3/1B1p4/3Pn3/1Q2B3/PP3PPP/R4RK1 w - -,a1c1
q2r2k1/1b3ppp/1p3n2/2bP4/r4P2/pR1PP3/P1N1Q1BP/2B2RK1 b - -,f6d5
r3r1k1/1np2pp1/p3q2p/1p2p3/4P3/1PP1QN2/P4PPP/2R2RK1 b - -,c7c5
r2q1r2/pp3pk1/2np2pp/2pPp2n/8/P2P1N1P/1PPQBPP1/R4RK1 b - -,c6e7
1r1n1rk1/p2n3q/5p2/2p1pNp1/1p2P1QP/2PP2P1/PP3RB1/5RK1 b - -,g8h8
3r2k1/pbB1bppp/8/1p6/3qBQ2/1P4P1/P4P1P/R5K1 w - -,a1e1
3R1bk1/4pp1p/1r2b1p1/4B3/4B3/6P1/P4P2/6K1 w - -,d8a8
r2qr1k1/ppn2pb1/2p2nb1/3p2p1/2PPp1P1/PPN1P3/1BQ1BP2/2K2NRR w - -,f1g3
q5k1/p2r2b1/1p1Nbp2/4p1pp/1PB5/P2Q3P/5PP1/4R1K1 w - -,d3g6
8/8/8/2k3rp/7R/1pK1P3/1P6/8 b - -,g5e5
r1b2rk1/4p1b1/2p4p/p2N1p2/2P5/1P1QPP1q/PB2KR1P/3R4 b - -,g7b2
8/4k3/4n3/1q3p1p/1P2p2P/2Q1B1P1/5K2/8 w - -,e3c5
6k1/1bb1Rpp1/p6p/2p4P/Pp6/1P4P1/2Pr1p2/2K2R2 b - -,b7g2
2r1r1k1/ppp3pp/3p4/1b1P4/1BR1PP2/PP1pbBP1/7P/3R3K w - -,c4c3
1r1q1rk1/2p2ppp/p2p1n2/n1b1p3/Pp2P3/2PP1Q1P/1PBN1PP1/R1B2RK1 w - -,f1d1
8/3R2K1/8/1k6/1p6/3p4/8/8 b - -,b5c4
rn1qkbnr/pp3ppp/4p3/3b4/2NP4/5N2/PP2BPPP/R1BQK2R b KQkq -,b8c6
1r6/2r5/R4pk1/P1p1p2p/1pB1Pnp1/1N4K1/1P6/3R4 w - -,d1d6
3r1r2/pp2b1k1/1qp4R/3b3P/2BPNn2/8/PPQ5/1K1R4 w - -,e4f6
r4rk1/1p3ppp/p1qp1b2/2nQp3/4P3/1BP3P1/PP1N1P1P/R2R2K1 b - -,f6e7
r2q1rk1/pp1n1ppp/1b2p1n1/4P3/3P4/3BBN2/PP4PP/R2Q1RK1 b - -,d7e5
rn3rk1/pp3ppp/2pb4/3p1q2/3P4/2N1P3/PP1QNPPP/R4RK1 w - -,a1b1
r2qkbnr/pp3p1p/2b1p1p1/2ppP3/3P1N2/2P5/PP3PPP/RNBQK2R w KQkq -,d4c5
7R/1p1R1p2/4pk2/1P1b2p1/6P1/2K4P/8/5r2 b - -,f6e5
r2qkb1r/p4ppp/1nB1bn2/8/2pQ4/2N3P1/PP2PP1P/R1B2RK1 b kq -,b6d7
6k1/p2b3p/5np1/r2p1p2/3N1P2/4P3/PR3PBP/6K1 b - -,g8f8
2rqr1k1/pp2bppp/2bp1n2/2p1p3/4P3/P1PP1N1P/1PB1QPP1/R1B1R1K1 w - -,c1d2
8/1b2kppp/p1N1pn2/1p6/3P4/P5P1/1P1N1P1P/1B4K1 b - -,b7c6
8/1R2Q3/2kp1pP1/4pP2/2q5/8/KPP5/8 w - -,a2a3
r2q1rk1/p1p2ppp/2Q5/b2pP3/3Pn3/4BP2/PP1N1P1P/R3K2R b KQ -,a5d2
rnb1k2r/pp2np2/3p3p/q1pPp1pP/2P1P3/2PB4/P4PPN/R1BQK2R w KQkq -,c1d2
8/8/8/6p1/P4k1p/1R3P1K/5r2/8 w - -,b3a3
1rB1q1k1/2R2pb1/3p1p1p/p2P4/1p1p3P/1P3QP1/P3PP1K/8 w - -,c8f5
3rr1k1/p3p2p/bp4p1/2q5/1nNR4/1P2P3/P2QBPPP/R5K1 b - -,b4c6
2rq1rk1/p4ppp/1pb1p3/3n4/2n5/P4NP1/1P1BPPBP/R2Q1RK1 w - -,b2b3
8/8/5k2/P1b3pp/8/6K1/4Bp2/8 w - -,a5a6
8/5bp1/R3pk1p/8/8/2N3PP/p4K2/7r w - -,a6a2
r3r2k/1q1n2pp/p3np2/P3pN2/1p2P3/4B2P/2Q2PP1/1R2R1K1 w - -,f5d6
