8/8/p5p1/6P1/1B2n3/P4k2/2K1p3/8 w - -,c2b3
1B6/3k4/1R1p4/2p3P1/1p1r4/4KP2/2b5/8 w - -,f3f4
8/2p5/5p2/3P2p1/1b2B1P1/p1k2P2/K7/8 b - -,c3c4
1rbq1rk1/4np1p/3p2p1/1p1P4/2pQ4/2P1NBP1/1P3P1P/R3K2R w KQ -,d4f6
r2q1rk1/pbpnnpb1/1p1p2pp/4p3/3PP2P/2PB1NN1/PP3PP1/R1BQR1K1 w - -,h4h5
r3kb1r/p1qn1p1p/2p1p1p1/1bppP3/N4PQ1/1P1P1N2/PBP3PP/R3K2R w KQkq -,a4c3
8/2q3k1/p3Q1p1/1pN2p2/1P5p/P1n4P/2B2bP1/7K w - -,c5d3
3k3r/1b3ppp/p3p3/2p1P1P1/1p3P2/1P6/1PP3BP/2K3R1 b - -,b7g2
3r2k1/pp2R1p1/2b3Bp/1n6/3p4/5P2/PP3KPP/4R3 w - -,g6e8
rnbq1rk1/pp3ppp/3bpn2/2pp4/3P4/1P2PN2/PBPN1PPP/R2QKB1R w KQ -,f1d3
5rk1/1b2qpp1/pp5p/2n1pB1Q/3pP2P/3N2P1/1P3P2/3R2K1 w - -,d3e5
r2b1rk1/p1p2ppp/2R5/4PbN1/8/8/PP4PP/R1B3K1 b - -,h7h6
8/p4p2/3k1pr1/2pP4/2P3R1/P4KP1/8/8 b - -,g6h6
r2k1b2/ppq2p1Q/B1p2Pp1/3p1nP1/3P4/2N5/PPP2B2/2K1R3 w - -,h7g8
5r1k/rbq1bppp/1nn1p3/2p1P2Q/1pPpNP2/1P1P2PB/7P/1RB1NRK1 b - -,c6d8
r1bqkbnr/pp3p1p/2np2p1/2p1p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R w KQkq -,f1e2
3r4/8/5p1n/1p2k1pP/p1p1P1P1/2P1K3/1P2B3/R7 b - -,d8d6
8/2kR4/4K1p1/7p/7P/5Pr1/8/8 b - -,c7c6
r2q1rk1/pp1bppbp/6p1/2n3B1/1n2P3/2N2NP1/PP2QPBP/R4RK1 b - -,h7h6
1n5r/r4kpp/2pb4/pp1n2P1/3P4/PP1NPqR1/1BQK1P1P/R7 b - -,d6g3
6k1/p4r1p/1pbPQ1pq/2p4N/2P1pPP1/4K2P/P5R1/8 b - -,h6f8
r1b1kb1r/1pqn1p2/p2pp2p/4n1p1/4P1PP/2N1BN2/PPP1QPB1/2KR3R b kq -,e5f3
rn1qkbnr/pb1ppp1p/1p4p1/2p5/2P1P3/3P1N2/PP3PPP/RNBQKB1R w KQkq -,b1c3
rnb2rk1/ppq2ppp/4p3/2p5/2BPn3/2P1PN2/PB2QPPP/R4RK1 b - -,b7b6
r2r2k1/pp2bppp/4bn2/2P1p3/N1P5/2N1KP2/PP4PP/2R2B1R b - -,f6d7
8/pp1nk3/2p3p1/2b4p/2P1BP2/6P1/PB2K2P/8 b - -,e7f7
3r4/6k1/1p5p/7P/8/6P1/P1B3PK/8 b - -,g7f6
Qn2kb1r/p4p2/4pp2/4n2q/2Pp1B1p/3B3P/PP3PP1/R4RK1 b k -,f8d6
2kr1b1r/ppp1pppp/8/3P4/2n1K3/1PN3P1/P4P1P/R1B2R2 b - -,c4d6
8/5pp1/4pk2/7p/1pN1P3/1K3Pb1/6P1/8 w - -,b3b4
r2q1rk1/pb2bppp/1p1p1n2/2pPn3/3NP3/P1NB4/1P3PPP/R1BQ1RK1 w - c6,d4f5
4r1k1/1p1qrppp/2p5/p2n4/P2P1p2/1BP1P3/3Q1PPP/1R3RK1 w - -,e3f4
5R2/2k5/K7/P7/8/8/8/6b1 w - -,f8f7:f8h8
6k1/3R4/p7/8/2pP2P1/4K3/1P4r1/8 w - -,d7c7
8/3b1p2/6p1/1pkp3p/r2R1K1P/2P2P2/3R2P1/8 b - -,d7e6
3r1r2/p6k/6pp/2pb4/5P2/PP1p3B/7P/4R1RK w - -,h3g2
1r3nk1/p4pp1/4p2p/1Pp4q/P1N5/3Q2P1/4PP2/3R2K1 w - -,d1d2
5b2/1q3p1k/p4npp/2p1p3/2P1P3/1r2B1NP/1PQR1PP1/6K1 w - -,g1h2
6r1/pp1k1p1p/3bpB2/3p1bP1/4P3/1P1P4/P1r2PBP/R3K2R b KQ e3,d5e4
r2q1rk1/ppp2ppp/2npbb2/8/4P3/2N2N2/PPPQ1PPP/2KR1B1R w - -,c3d5
r1b2rk1/pp2qppp/2p1nn2/3p4/PP1P4/2NBP3/4NPPP/1R1Q1RK1 b - a3,e6g5
2r3k1/3n1pp1/p3p2p/2BnP3/PP2NP2/6P1/7P/R4K2 b - f3,d5b4
r2qr1k1/5p2/2n3p1/pp1p3n/2pPP2p/P1P2P2/2Q2NPP/2B1RRK1 b - -,d8d6
6k1/p2q1p2/1p1bp1p1/nP1p4/P2P4/3BP1P1/2QNKP2/8 b - -,g8g7
r1bqk2r/pp2ppbp/2p2np1/2Np4/2nP3N/2P3P1/PP2PPBP/R1BQK2R w KQkq -,e1g1
r1b2rk1/p2qpp1p/1pn2bp1/1Qp5/8/3PB1P1/P2NPPBP/1R3RK1 b - -,c8b7
8/8/2p1k3/2p1n2p/2P1P3/4K3/4N1P1/8 w - -,e2f4
8/1R3pk1/4pp1p/1p6/2n1PP2/P2N2PP/1r6/4K3 b - -,b2b1
7k/3qr1b1/1p4Qp/1PpBp1p1/2P5/2BPP1P1/7P/6K1 b - -,d7e8
r3qr2/1pp1n1bk/2n2p2/p3p1p1/2bPP3/1PB2NP1/P4PB1/R1QR2K1 w - -,b3c4
2rq1rk1/pp1b1pp1/2p2P1p/3pP3/1b2P3/2NQ2BP/PP4P1/3R1R1K b - -,g7g6
r3k3/1p1bbp1r/p2pp3/q3n1p1/4P3/2NBBP1P/PPP1Q3/1K1R3R b q -,e8c8
6k1/p5p1/1p5p/8/4p3/1Pn5/P1B3P1/6K1 b - -,g8f7
1R6/2p2r2/p1P1kpn1/2P1p2p/4P3/2K2N1P/P7/8 b - -,g6e7
8/8/pp2b3/2b1k3/P3p3/1PK4p/8/4N2B b - -,c5f2
