8/1p2k3/5ppp/p7/P4PPP/4K3/1P6/8 w - -,e3d3
1rbr2k1/p3bppp/1qn1p3/1p4PB/4pP1N/3P3P/PP2N3/R1BQ1R1K b - -,d8d3
r4r2/1p3pbk/pq1p2pp/4p3/2P3n1/1P2P1Pb/P2QNP1P/B1R1R1KB b - -,f7f5
r2q1rk1/ppp2pp1/2npbn1p/4p3/1PP5/P2P1NP1/1B2PPBP/R2QK2R b KQ -,a8b8
r1q1rbk1/pB1n1pp1/1p1pp2p/8/3P4/2P2NP1/PP1NQPP1/3RR1K1 b - -,c8b7
2k5/p2qp1bp/1pb3p1/3r1p2/8/2P1B3/PP2QPPP/R4NK1 w - -,a2a4
rn1qkb1r/ppp1pppp/1n6/4N3/2PPb1P1/5P1P/PP6/RNBQKB1R b KQkq -,e4b1
8/4k1p1/4p3/3p2PP/4rr2/2P3Q1/2K5/8 w - -,h5h6
1r1r3k/pp1q1nbp/2p3p1/5p2/2pP1P2/BP2P3/P2Q2BP/2R1R1K1 w - -,b3c4
r2q1rk1/3nppbp/3p2p1/nR6/Q2PP3/2P1BP2/5P1P/1R3BK1 b - -,a5c6
r1r3k1/5pp1/2b1pn2/2N3P1/1pB1P3/4BP2/PPP5/2KR3R b - -,f6e8
1r1q1rk1/1p1bppbp/p1np1np1/2p5/2P1P3/2NPBPP1/PP1QN1BP/R4RK1 w - -,d3d4
5rk1/5p1p/3p1bp1/1pnQ1P2/1p1BP1R1/7P/1PP3PK/3r4 w - -,f5g6
r2r2k1/1p3bpp/2n2p2/2q1pP2/p1PpP3/P2Q2P1/1PRN2BP/4R1K1 b - -,c6a5
6k1/5p2/4n2p/1pqp4/3b1P2/3PB2b/P2Q2NP/6KB b - -,e6f4
2r2rk1/p4p1p/1p4p1/2N1p3/1P3q2/8/PPK3P1/1Q4RR b - -,f4c4
6k1/3nnp1p/1p1Np1pb/2p1P1N1/2P2P2/P1B5/1P4PP/2K5 w - -,d6f7
3q1b1k/1br4r/pp3nR1/3nNQ2/P2P3P/1P1R4/1B3PP1/6K1 w - -,d3g3
3rkb1r/1bq2ppp/p3p3/1p2p3/4N3/1Q2B3/PPP1BPPP/2R2RK1 b k -,b7e4
r7/3Rqpbk/4p1pp/p1p5/2P3PP/1P4B1/P6K/8 w - -,d7e7
2r1rn2/3q2kp/p1b2p2/2pp4/P4B2/2P4P/2B3P1/1R1QR1K1 w - -,d1h5
3rnn2/1pq1b1kp/2p1b1p1/r1P1p3/1QN1P3/2N1B3/P3BRPP/R5K1 b - -,a5a7
2rq1rk1/p4ppp/1pn1pb2/2p5/3PP3/2P1BNP1/P4PKP/R2Q1R2 w - -,d4c5
8/8/6kP/3K4/6N1/8/8/8 w - -,d5e5
1B4k1/1n4p1/pp5p/5p2/1P6/P5P1/5P1P/6K1 w - f6,b8c7
3r4/1R1Pk3/2P1ppp1/3p4/7p/P6P/5PP1/6K1 b - -,d8a8
2rq1rk1/pp2ppbp/3p2p1/2nN4/2n1P3/4QN1P/PPP1RPP1/1RB3K1 w - -,e3g5
r4rk1/3qn1p1/p2bpp1p/1p6/1P1Pp2N/P3P1PP/1B3P2/2RQ1RK1 w - -,g1h2
