8/1p6/2p2kp1/PBP2b1p/5K1P/8/5P2/8 w - -,b5f1
r1b2rk1/pp2bppp/1q2pn2/3p4/3n4/1P2P1P1/PBPN1PBP/R2Q1RK1 w - -,b2d4
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/4PN2/PPB2PPP/RNBQ1RK1 b kq -,c6c5
r1bq1rk1/ppn2pbp/3ppnp1/2pP4/2P1P3/2NB4/PP1N1PPP/R1BQ1RK1 w - -,a2a4
3N4/4pk1p/5p2/5p2/8/n4KPP/2r2P2/3R4 b - -,f7e8
1r1q2k1/4ppbp/pp1pb1p1/3N3n/2PB4/1P1Q2P1/P3PP1P/2R2RK1 b - -,g7h6
r3Q2k/1pqb2pp/p1npp3/8/4P3/1NNBB1b1/PPP3PP/4RR1K b - -,a8e8
r7/7p/2b1pNkP/1nBpP1P1/2pP4/2P5/2PK4/7R b - -,b5c7
1Qb5/5ppk/3q4/P1p1BP2/4p2p/4P2P/4N1K1/8 b - -,d6d1
rnb1kb1r/pp1p1ppp/1q2pn2/8/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f8b4
1r4k1/5ppp/4p3/pb6/4Nn2/5P2/Pq3QPP/1B2R1K1 b - -,f4e2
5rk1/bpr2pp1/2nq1n1p/1Q1pp3/P7/3PP1P1/1B1N1PBP/2R2RK1 b - -,f8c8
r1b1kb1r/ppN1pppp/3p4/6B1/3nP1n1/8/PPP2PPP/R3KB1R b KQkq -,e8d8
r1bqk2r/pp1n1ppp/2pb1n2/3pp3/4P3/1P1P1NP1/P1PN1PBP/R1BQK2R b KQkq -,e8g8
3rk2r/pppbbpp1/2p5/4Pn1p/8/1PN2NPP/PBP2P2/R2R2K1 w - -,g1g2
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/3B4/PP2NPPP/RNBQ1RK1 b - c3,b8c6
8/B7/p1p1n3/P2k2Pp/3P4/2K5/8/8 b - -,e6g5
8/3p4/p7/1p3k2/2p4K/2P5/PPP5/4B3 b - -,f5f4
1r3rk1/pp2ppbp/3p2p1/4n2q/2P1P1bP/1PN1Q1P1/P2B1PB1/R4RK1 w - -,f2f3
r2qkb1r/pppnpp1p/4b1p1/8/2pP3B/2P1PN2/P4PPP/R2QKB1R w KQkq -,f1e2:f3g5:d4d5
2r1k2r/ppq1bp1n/2p1p2p/P3P1P1/2NP4/4B1Q1/1P4PP/R4RK1 b k -,h6g5
8/1q6/7k/P5Rp/5RpP/6P1/1P3P1K/8 w - -,g5f5
r2q1rk1/pp2ppb1/2p3pB/3n1b1p/4N2P/3P1BP1/PP1QPP2/2R2RK1 b - -,f5e4
r2q1rk1/pbp1ppbp/1p4p1/n7/3PP3/5NP1/P1Q2PBP/1RBR2K1 b - -,d8d7
r3nrk1/pb2qpbp/1np3p1/1p1p4/3NP1P1/PP4NP/1BP2PB1/R2QR1K1 b - -,d5e4
r2qr1k1/pp1nbppp/2pp1n2/4p3/2PPP3/2N1BB2/PP1Q1PPP/R4RK1 w - -,d4d5
8/p5p1/p2rk2p/3p3P/1R3PP1/P1K5/8/8 b - -,d6c6
5Q2/8/2p4p/3k4/6pq/1P1B4/P1P3KP/8 w - -,d3c4
r2q1rk1/pp2bppp/2n1pn2/2pp4/2B1P3/2PP3P/PP2QPP1/RNB2RK1 w - -,c4b5
r4k2/6p1/4p1B1/4p3/8/p5PP/R4P2/3K4 b - -,f8e7
rn1qk1r1/pp3ppb/2p1pb1p/3nN2N/2BP2PP/2P5/PP2QP2/R1B1K2R w KQq -,e2f3
rn1q1rk1/pp4bp/1np1bpp1/8/3P4/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b8d7
rn1r2k1/pp3pbp/2p2np1/4p1B1/4P3/2N2B1P/PPP2PP1/R4RK1 w - -,f1d1
r2qr1k1/pp3pp1/2n2n1p/8/3p3B/P2B1Q2/1PP2PPP/R4RK1 b - -,c6e5
r2q1rk1/pp2ppbp/1n1p2p1/3P4/3B4/1nP2N1P/PP2QPP1/R2R2K1 w - -,a2b3
4rrk1/ppq3b1/2p3p1/P1Np1pBp/3Pn1BP/8/1PP2PP1/R2Q1RK1 b - -,f5g4
r3k2r/pppnq2p/5p2/2p1p1p1/4P3/1P1PB1QP/P1P2PP1/R4RK1 w kq g6,c2c3
r2q2n1/p7/1p1P2k1/2pPBb1p/2P5/2P5/P4Q1P/6RK b - -,f5g4
r2r2k1/pq3pp1/3P4/1p3NPp/8/3QR1P1/PP3P2/6K1 b - -,g7g6
r5k1/3nppbp/3p2p1/2nP4/r1p1P3/R3NPP1/1P1B2KP/1R1N4 w - -,e3c4
8/8/8/2R1pp2/1P2k3/4P3/8/3r2K1 w - -,g1f2
r2qr1k1/pppb1pp1/3b3p/n2Pp3/8/2PB1N1P/P1P2PP1/1RBQR1K1 w - -,c3c4
4k2r/1p1b1ppp/p1n1p3/1q1pP3/1P6/P1BB4/4RPPP/3Q2K1 b k -,b5b6
6k1/6p1/3nQ3/3Pp3/1pn1r3/6K1/8/8 b - -,g8f8
3r2k1/5pp1/4p3/1p2P2p/p1n2B1P/P4P2/K1P3P1/4R3 w - h6,e1e4
2krr3/ppn2qpp/n1b2p2/2p5/2P2N2/1PBB4/P4QPP/2KR3R b - -,g7g6
4b3/6p1/5p1p/1pk1p3/4PP2/3K2PP/4B3/8 b - -,e8f7
r2q1rk1/1b2bppp/p1n2n2/1p2pP2/4P3/1NPB4/P2NQBPP/R2R2K1 w - -,h2h3
r1q3k1/4bpp1/1nb4p/2p1P3/pp3B1P/1P3NP1/P3QPBK/3R4 b - -,b6d5
r2q1r2/1bp1n1bk/p2p2pp/1p6/1P1p4/P2P2N1/B1P2PPP/1RBQR1K1 b - b3,e7d5
3r1nk1/1Q3pp1/p3p2p/q1p1P3/2P4P/P1B2N2/2Bb1PP1/3R2K1 b - -,a5c3
r1b1k2r/1pp1q1pp/p1np4/2bnp3/4Pp2/PB1P1N2/1PP2PPP/R1BQ1RK1 w kq -,e4d5
7R/7p/pk2bppP/5rP1/6K1/P4P2/8/8 w - -,h8h7
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P4/4PNP1/PPP2PBP/RNBQ1RK1 w - -,b2b3
2rr4/4pk1p/1p1p2p1/p1n2p2/P1P5/1PR1NKP1/4PP1P/R7 w - a6,a1d1
r3bb1k/p4n2/4p1Q1/1p1pPp1N/2pP4/P1N5/1PP4P/7K w - -,h5f6
rn3r1k/pp2q3/2pbp1Qp/7N/2BP4/6P1/PPP2P2/R5K1 w - -,a1e1
5nk1/1r2bpp1/2r1p3/1p2P3/3B4/P3P2P/5PP1/RR4K1 b - -,f8d7
2rkbQ2/7p/1RnBp1q1/3p4/8/8/5PPP/5RK1 b - -,g6f7
1r3rk1/pN4bp/2p2pp1/4qP1n/P7/3PB3/1P3Q2/R4RK1 w - -,d3d4
2rqkb1r/1p1nn1p1/p3pp2/3pP2p/3P1B1P/2NQ1N2/PP3PP1/R4RK1 b k -,e8f7
1nbq1rk1/5ppp/3p4/2P1p3/2P1n3/2Q2NP1/4PP1P/B3KB1R w K -,c3a3
8/pp6/4k3/4p3/3p4/1P4PP/P2rR3/5K2 b - -,d2d1
rn1qkb1r/ppp1pppp/3p1n2/8/4P1b1/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,e7e5
r3k1nr/4p1bp/pqbpN1p1/1p3p2/3p4/3B1N2/PPP2PPP/R1BQR1K1 b kq -,g7f6
8/4bk2/R7/4p1p1/p2rNp2/5P1P/6PK/8 b - -,a4a3
2br1rk1/p1p2p1p/1pn3p1/3q4/5PPQ/2PB3P/P1P1N3/1R3RK1 b - -,c8b7
2r2nk1/R2nb3/1p2p1pp/1p1pP3/3P4/P1B2NN1/1P2KPP1/8 w - -,e2d3
5rk1/p3q3/1p5P/2p2bN1/5P2/1P2pR1P/P6K/3Q4 b - -,f8d8
8/6k1/4R1p1/6P1/2r5/5PK1/8/8 b - -,g7f7
8/6p1/5n1k/4p3/4B2P/3P2QK/3q4/8 b - -,f6e4
rn1qkbnr/1bp2ppp/p3p3/8/PpBP4/4PN2/1P3PPP/RNBQK2R b KQkq -,b8d7
6k1/pb5p/1p2p1pQ/4Nq2/P1P2P1P/1P2Pp2/5K2/8 w - -,h6g5
6k1/1P3bp1/1q1N3p/p1p1p3/8/P7/3Q2P1/6K1 b - -,c5c4
r2q1rk1/1pp3bp/2npbnp1/1N3p2/1PP1p3/4P3/2QPBPPP/1RB1NRK1 b - -,d8d7
2b1rnk1/5p2/p5p1/1p1pr1Pp/1PpP1P1P/5PN1/1PB2K2/4R3 w - -,d4e5
2rrb1k1/pp3pp1/2nRpb1p/8/4P3/P1N2N2/BP3PPP/R5K1 w - -,a1d1
R7/1B3p2/6pk/4bnNp/2b2P2/2P5/1P3K1P/8 w - -,g5f7
2r5/4k2p/8/4p1P1/3pP2P/3K4/2p5/R7 w - -,a1c1
r4rk1/ppqn4/3pppbp/2p5/2P2P1B/P1Q1P3/1P2B1PP/R4RK1 w - -,a1d1
4r1k1/p1p1q3/8/2r5/5QP1/8/PP6/1K5R w - -,a2a3
r1b2rk1/5ppp/p1np4/3Np1q1/1p2P3/6P1/PPP2PBP/R2QK2R w KQ -,a2a3
4r1k1/2n2nq1/p2p1b2/NbpP1pp1/1P2rP1P/4P2P/N1Q2BBK/3RR3 b - -,g5g4
2rqk2r/1p1nbpp1/p2pbn1p/3Np3/4P1P1/1N2BQ1P/PPP2P2/2KR1B1R b k -,e6d5
1Q4k1/3q1pp1/8/pp6/1np2B2/3b1B2/5PP1/6K1 b - -,g8h7
r3rbk1/1bq2ppp/3p4/1pnPpN2/2p1P3/1nP1BN1P/1PB2PP1/R2QR1K1 w - -,a1b1
r2qk2r/pp2ppb1/1npp3p/4P1pn/3P4/2NbQ1B1/PPP2PPP/2KR2NR w kq -,d1d3
8/4b1p1/1B2k2p/1p1p4/3K4/5P2/5P2/8 w - -,b6a5
3r4/8/P7/2p1pkp1/R7/5P2/P5PK/8 w - -,a6a7
2r2r2/1p3pkn/p2p2p1/6P1/4P1pP/1BP5/P1P5/2K2R1R w - -,h1g1
r1bq1rk1/3n1ppp/1p2pn2/p1bp4/2P2B2/P2N2P1/1P2PPBP/RN1Q1RK1 b - c3,a8a7
r3r1k1/2nn2pp/2q1p3/pp1p3Q/2pPP3/P1N3P1/1P3PBP/2R1R1K1 b - -,d7f6
1q6/5k1p/8/5p2/1P1Q1p2/6PP/7K/8 w - -,d4f4
3r2k1/1q2bpp1/5n1p/4N3/4p2P/1P4P1/1B2QP2/4R1K1 w - -,e2c4
4r1k1/2pq1pp1/4nn1p/3Pp3/2P1P3/6Pb/2Q1BP1P/3RN1K1 w - -,d5e6
2kr1b1r/pppq2p1/2n2p2/6Pp/3P4/2PQ1N1P/P4P2/R1B2K1R w - -,c1f4
1kr5/1p2qp2/p2p2p1/2rP2P1/1Q2Pp2/1P3P2/1KP5/3R2R1 w - -,c2c4
4rr2/1p1b1pbk/3p1np1/p1nPp1Bp/1q2P2P/1P3PN1/P2QB1P1/2RN1R1K b - -,b4b6
6k1/7p/r4pp1/4b3/8/4B2P/PR3PP1/6K1 w - -,b2d2
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2P5/1P1PPN2/PB2BPPP/RN1Q1RK1 b - -,c7c5
1r3rk1/p1pq2pn/1p1p2np/5b2/2PBNP2/2PP4/P2Q1RBP/4R1K1 b - -,c7c5
3rr1k1/4qpp1/1N1p1bbp/p7/7P/P1Nn2PB/1P1Q1P1K/3R1R2 b - -,e7b7
rnbq1rk1/pp5p/2p1p3/3pP1p1/2P2p2/2P1PP2/P3BBPP/R2QK2R b KQ -,d8c7
2r2rk1/2p1nq1p/1p1pNn2/pP3pp1/P1PPp3/4P1P1/1BQ2PBP/2R2RK1 b - -,f7e6
2k1r3/pp3p2/5q2/2Qpn3/P4Pb1/B1P5/6B1/1R2K3 b - -,e5c6
5r2/2R2pkp/6p1/8/3n3P/P7/B4PP1/4R1K1 b - h3,d4f5
1r1q1r2/2pb1pkp/p2p1np1/2p5/4P3/1PN3N1/P1PQ1PPP/4RRK1 w - -,e4e5
8/pp3p2/1n3kp1/8/4N2P/1P3P2/P4KP1/8 b - -,f6e5
4rbk1/5p2/6p1/p2R4/P4q2/2P3NP/2Q2P2/6K1 b - -,f4f3
5r1k/p3n2p/p1pnp2q/4Nppb/1P1P4/1Q2P1P1/5PBP/2R1R1K1 w - -,e5c6
6k1/pQ3p2/3R3p/4r1q1/5p2/7P/PPr2PP1/5RK1 w - -,d6h6
r2q1rk1/4nppp/p2pb3/1p1Np1b1/4P3/N1P3P1/PP3PBP/R2Q1RK1 w - -,d5e7
r1bqr1k1/5pp1/p1pp1nnp/1pb1p3/P3P3/1BPPNN1P/1P3PP1/R1BQR1K1 b - -,a8b8
6k1/6p1/p2R2p1/1p4r1/6P1/4PP2/P6P/1K6 b - g3,a6a5
4r1k1/5p2/p4Qpp/4r3/2R5/4P1PP/Pq4P1/3R2K1 w - -,c4e4
8/4kp2/3p3p/3Pp2P/2K1P3/5N2/5b2/8 w - -,f3h2
r1b1k2r/ppq2pb1/2n1p2p/3p2p1/3P4/2PB1NP1/PP1NQPP1/R3K2R w KQkq -,d2b3
1k1r4/2q1bpp1/2b5/p2ppPPQ/1p6/1P1BB3/1PP5/1K1R4 b - -,d5d4
2r3k1/5p2/4p1p1/3pq3/1P2n3/P2Q1R1P/3rN1P1/5RK1 w - -,d3a6
rnbqk2r/p1p2ppp/4pn2/1p4B1/PbpP4/2N1PN2/1P3PPP/R2QKB1R b KQkq a3,c7c6
2r1r3/pb1q1pkp/1p4p1/2ppR3/2P5/3P2PP/PP1Q1PB1/4R1K1 b - -,e8e5
r1bqnrk1/1p1n2bp/3p4/3Ppp2/1p6/P1NBBP2/4N1PP/R2Q1RK1 w - -,a3b4
4R3/6k1/3q2pp/2pp1Q2/2n5/8/5PPP/6K1 w - -,f5c8
1rb1kn1r/1p2qp2/p2p3n/2pPp2p/P1P1P1pP/2NBQ1P1/1P3P1N/2K2R1R w k -,f2f3
r2qr1k1/bp3ppp/p1n5/3p3b/NP2n3/P3PN1P/1B2BPP1/R2Q1RK1 w - -,a1c1
2rk3r/1Q6/3pqNpb/8/4P1bP/3P2P1/PP2n1BK/R4R2 b - -,h6g5
2rq1rk1/pp1n1ppb/2p1pn1p/3p4/1PPP4/P1N1PN2/4BPPP/R1Q1R1K1 b - -,d8e7
5rk1/Q4ppp/2pb4/8/3B1P2/5K2/Pqr1N2P/R7 b - -,b2b5
rnbq1rk1/ppp2p1p/5bp1/4p1Bn/2B1P3/1N3N2/PPP1QPPP/3RK2R b K -,d8e7
6k1/pb3ppp/1p2p3/1PnrB3/P1r2P2/4KN1P/8/R3N3 w - -,a4a5
8/K6P/3p4/2p1bk2/2Pp4/3P3P/2PB2r1/5R2 b - -,f5g6
5q1k/5p1p/4p3/1P1p1p2/3P4/4Q1P1/r4RKP/8 b - -,a2f2
8/6k1/6pp/3B4/1r5P/6P1/4P1K1/8 b - -,g7f6
8/6p1/4pkBp/2Q2p1P/2P5/6P1/4qPK1/8 b - -,e2e4
r2q1r1k/1b4pp/3p3b/p2Np3/R3B2P/2P3P1/1P3P2/3Q1RK1 b - -,b7c6
3R1bk1/4Qppp/1p2p3/8/8/4P1P1/5P1P/2q3K1 w - -,g1g2
r1bqkbnr/ppp1pppp/2n5/8/2Pp4/3P1N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3:e2e3
r5k1/3bq1bp/2n1p1p1/3p4/1r1P4/2NBPN2/3Q2PP/R4RK1 b - -,a8b8
1n1q1bk1/1p3p1p/p3p1p1/1B1pP1B1/3P4/6PP/PP3P2/2Q3K1 b - -,f8e7
2r2rk1/1p2b3/pB2b1pp/2p2p2/2P2PP1/1P2PBK1/1P1R3P/3R4 w - f6,f3d5
r1bqk2r/1p2ppbp/p1np1np1/8/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
3r1b1k/2qr1p2/p3p1pp/1p2P3/4NR2/P4Q2/1PP3PP/1K3R2 b - -,c7e5
r2qkbnr/1b1p1ppp/p1n1p3/1pp5/4P3/2P2NP1/PP1PQPBP/RNB2RK1 b kq -,d8b6
5r1k/3r2b1/p2Pp3/Ppp2nBp/4N3/7K/1P5P/3R2R1 w - -,e4c5
8/3K4/8/8/8/8/pk6/7Q w - -,h1h8
r1bq1rk1/pp1n1pbp/2p3pn/4p3/4PP2/2P1BNP1/PP4BP/RN1QK2R w KQ e6,h2h3
1B1q4/5kb1/Rn5p/2pP2p1/4P3/6P1/1P2QPKP/8 b - -,d8b8
1k1r3b/pp3Q2/4p3/3n4/3P4/qP6/P3NP1P/1K1R1B2 w - -,f1g2
1r2r3/6k1/p2p1p1p/Pp1P2p1/2p1PP2/1n4P1/1P2R1BP/4R2K b - -,b3c5
r2q1rk1/pp1nppbp/3p1np1/3P4/2P3b1/2N2N2/PP1BBPPP/2RQR1K1 b - -,a8c8
2rr2k1/1p1qbpp1/p2pb2p/P2Np3/4P2n/2N1n3/1PPQBPPP/R1R3K1 w - -,d5b6
8/6kp/2QP1p2/1P2p1p1/4P3/1r4P1/4qRKP/8 b - -,e2b5
1R6/Bp3pp1/4p1kp/Pr1n4/8/6PK/5P2/8 b - -,h6h5
rn1qk1nr/pp2ppbp/3p2p1/2P5/2P1P3/2N2P2/PP3P1P/R1BQKB1R b KQkq -,g7c3
7R/2k5/6r1/8/r5p1/1R2P1PP/1K6/8 w - -,h3h4
7Q/4k1r1/p3q3/1pp1Pp2/2Pp3P/1P1PnRB1/P3K3/8 b - -,e6g6
r1bqk2r/pp1nbppp/2p2n2/4p1B1/8/5NP1/PPP1PPBP/RN1Q1RK1 w kq -,b1d2
rn1qkb1r/ppp2ppp/4pn2/5b2/2PP4/2N4P/PP3PP1/R1BQKBNR w KQkq -,g1f3
rn1qk2r/p4ppp/1p2p3/2ppP3/3P4/P1PQ1N2/2P2PPP/R4RK1 b kq -,c5c4
8/B3b3/p3k3/1p2pp1p/7P/2P2P2/1Pb3P1/5NK1 w - -,a7f2
1r5k/pP3ppp/8/6Pb/3qB3/4R2P/PP1N2n1/5R1K w - -,e3c3
4r2n/1r3b1k/2pBp1pq/1pPpPpRp/pP1P1P2/P3P3/3KBQRP/8 b - -,e8g8
8/2r5/5K2/3Bp3/7k/5P2/8/8 b - -,h4g3
r3kb1r/pp1qpp1p/2P3p1/8/8/8/PP3PPP/2KR1B1R w kq -,c6d7
r3k2r/1b1nppbp/pq3np1/2p2P2/1p2P1P1/6N1/PPPN2BP/R1BQ1R1K b kq -,d7e5
1krr4/1p1qbpp1/p1n1p1p1/3pP3/R1BP2P1/2N1B2P/PP3P2/R2Q2K1 b - -,d5c4
8/6pk/6b1/R3N1P1/pr6/5K2/8/8 w - -,f3e2
