7r/pp1k3P/3Pp3/8/7R/3K4/PP6/8 w - -,d3d4
8/1R3pk1/8/2P5/3P4/p3PK2/1r4PP/8 w - -,b7a7
rnb1k2r/pppp1ppp/8/2bPP3/7q/7N/PP1PQ1PP/RNB2K1R b kq -,e8g8
rnq1k2r/pb2bpp1/2p1pn1p/Bp6/3PP3/1P1B1N2/4QPPP/RN3RK1 b kq -,e8g8
6k1/1r4pp/1pp5/3pPb2/3P4/1NP2PP1/5K2/R7 b - -,h7h5
2rr4/pb3k2/Np3bp1/1B1p1nBp/5P1P/8/PPP3P1/2KR3R w - -,g5f6
r1b2rk1/p4p2/q6p/2P4N/5Q1B/2p5/P4PPP/2R3K1 w - -,h4f6
4r1k1/2p3p1/1p1p3p/p2P1P1n/P1P5/2P2PR1/3N2RP/4r1K1 w - -,d2f1
8/1r4k1/7p/5P1P/3R1K2/8/8/8 w - -,d4d6
1rbq1rk1/ppp1ppbp/1n3np1/2N5/3P2P1/5N1P/PP2PPB1/R1BQ1RK1 w - -,c1f4
6k1/rp1nppbp/3p2p1/2pP4/r1P1P3/P4NP1/R2B1PKP/2R5 b - -,d7b6
3rr1k1/pp3pb1/2p5/7R/2P1P1p1/1P1pBPP1/1P4K1/R7 w - -,a1d1
3r3k/pbr1q2p/1ppbp1p1/3n1p2/3P1P2/PQNNP3/1P1R1PBP/2R3K1 b - -,h7h6
1r3rk1/p6p/2PNp1pb/2n5/5P2/BP6/P5PP/2KR1R2 b - -,f8f4
2b1rrk1/2nq2bp/pR1p2p1/2pP1p2/P3P3/2N2PB1/3QN1PP/5RK1 b - -,g7e5
2kr4/pp1rbppp/2n5/4p3/2B5/1P2BP2/1PP3PP/2KRR3 b - -,d7d1
8/5pk1/5R2/4PP2/7p/5P2/6K1/4r3 w - -,f3f4
1nr1qk1r/1p1bbp2/3p4/p1PPp1pp/1P2B3/4N1BP/4QPP1/2RR2K1 b - -,a5b4
3bk2r/1Q1n1p1b/p7/3pP3/1P1P1BPp/5B2/q4P2/2R3K1 b k -,h8g8
3r1rk1/p3ppbp/2p3p1/q7/3P1Qb1/2N2N2/PP3PPP/R4RK1 b - -,g4f3
1r3rk1/5p1p/p1bp2p1/2p5/1PppPP2/P2P2P1/6BP/1RR4K w - -,d3c4
