8/1p2r1pp/3k4/1P6/2P3P1/2KR3P/8/8 b - -,d6c7
6kr/pr3pp1/3B4/1P2pP1p/4P3/1R1n4/P4qP1/R5K1 w - -,g1h2
1rbq1rk1/4b1np/p1p1p1pB/3pPp2/8/3B1Q2/PPP1NPPP/R4RK1 w - -,b2b3
8/1pk4B/1p6/6p1/P1K2pP1/2P2P1P/1P3b2/8 b - a3,f2e1
rn1q1k1r/p3ppb1/2p4p/1p1nPp2/3P3B/8/PPPQ2PP/R3KBNR w KQ -,f1d3
3b4/6k1/2p1p3/p1p1n1p1/2P5/3qB1N1/5PK1/3Q4 w - -,d1a1
r3r1k1/1bqn1pb1/p2p1npp/1ppP4/P3PP2/2N1B1P1/1P3NBP/R2Q1RK1 w - -,f1e1
8/5k2/4R1p1/3P3p/7P/P3p1P1/2r5/6K1 b - -,c2c3
rnbqkbnr/pp1p1p1p/4p1p1/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq -,f7f6
8/6p1/5p2/5k1p/1p5P/1PpK2P1/2P5/8 w - -,d3c4
1r6/4pk2/3p2Rp/1r5P/2b2PB1/8/2KR4/8 b - -,b5c5
rnbqkbnr/1ppppp2/6p1/p6p/P2P3P/6P1/1PP1PP2/RNBQKBNR b KQkq -,f8g7
3R4/1p1b2k1/pPN5/P1P5/3ppP1r/8/4P1K1/8 b - -,d7c6
4r1k1/3n1pbp/p5p1/1q2P3/p1p5/P1B2Q1P/1P3PP1/4R1KR b - -,d7e5
5r2/p2nqk2/1p1bpn2/3p1p2/N2P1Ppp/1P2P1P1/PB3NKP/2Q2R2 b - -,f8h8
r3r1k1/1p3pbp/1q4p1/1NpPnb2/2P5/1P2B1PP/4NPBK/1Q3R2 w - -,b1d1
7r/rp1k4/2nppp2/2pN2p1/1PP3n1/3P2P1/4PPB1/1R2R1K1 w - -,b4b5
8/p2pkp2/8/2p1P2R/2PnP3/1P3B2/PK4P1/5r2 w - -,h5h3
r3r2k/ppqnb3/2p1pn1B/7P/2PP4/3Q1N2/PP3PP1/R5K1 w - -,h6g7
r1r2bk1/1p5p/3R1Bp1/pn2p3/8/8/PP3NPP/5RK1 w - -,d6d7
4r1k1/p3p1b1/3p1nP1/q4bR1/2r1P2P/2N1B3/PPPQ4/2KR4 w - -,g5f5
2r2rk1/p2n2pp/1p2p3/q2b1pB1/3P3Q/3B3P/P4PP1/3RR1K1 w - -,e1e3
1n2q1k1/4Rpb1/1p4pp/pPp2b2/P1Pp4/3P1NP1/5PBP/2BQ2K1 b - -,e8e7
4r3/1p1Q1k2/p1p2b2/8/2PP4/2R5/1q6/6BK b - -,e8e7
8/8/4R1k1/5r1p/7P/4K1P1/5P2/8 b - -,g6g7
1rr5/p2bk1bp/1p2n1p1/P3pp2/2B5/1NP1BP1P/1P4P1/3RR1K1 w - -,c4a6
1rb2k1r/3n1ppp/3Np3/p1p5/2P1BP2/1P6/P4RPP/3R3K w - -,d6c8
r2q1rk1/1p3p1p/1np2np1/p7/Pb1P2p1/1BN1PQ1P/1P3P2/R1B2RK1 w - -,h3g4
1r4rk/2R5/p4p1n/2pPpP2/4B2P/2p2P2/P5RK/8 w - -,g2g8
rn2kb1r/pp3ppp/1qp1pn2/3p4/2PP2b1/1Q3NP1/PP2PPBP/RNB1K2R w KQkq -,c4c5:b1c3
8/8/1pn1p1kp/p2pPpp1/P2P2P1/1P1K1P1P/3B4/8 b - -,g6f7
r2rnk2/Nq1b1p1p/4p1p1/3pPnP1/1p3PN1/8/1PP2QBP/R1R4K b - -,b7c7
R7/2r3pp/pk6/1p6/3p4/P2P1P2/3KP2P/8 w - -,a8d8
r7/p2R1p2/1p1p2kp/3n2p1/P2P4/3K2P1/3B3P/8 b - -,d5f6
8/1B1R2pp/1p6/2kPb3/2p5/7P/1r3PP1/6K1 w - -,f2f4
r1bqkb1r/pp3ppp/2n1pn2/2p1P3/3P4/5N2/PP1PNPPP/R1BQKB1R b KQkq -,f6d7
3r3k/p5r1/1p2q3/3N3p/8/P2R1P2/KP1Q3P/8 w - -,a2b1
8/7p/2R5/p2BPpnk/5p2/7q/P4R1P/6K1 w - -,d5g2
2r1r1k1/1b1q1pn1/1p4p1/pP1p3p/1bpP1PP1/2N1P2P/1P4RN/1QBR2K1 b - -,h5g4
1q2r1k1/R4p2/2Pp2p1/3P3p/2N3nP/1P3RP1/Q4pK1/2b5 b - -,e8e1
r1bqk2r/pp1n1ppp/2pb1n2/3p4/3P4/2N1P3/PPQB1PPP/R3KBNR w KQkq -,f1d3
r4rk1/1p1bn1p1/p1n1p1P1/3pP2p/q4P2/3B1N2/PPN3QP/1K1R3R b - -,a4f4
8/5pk1/1p4p1/p2n4/P2r3p/R2N3P/1P3PP1/6K1 w - -,g1f1
8/4k3/1p2P3/1p6/1b3R1p/pB3p1P/P2r4/3K4 w - -,d1c1
r2q1rk1/pb2bppp/1pn1p3/8/3PP3/3BBP2/P3N1PP/R2Q1RK1 w - -,a1c1
6bk/2p5/p7/2R4P/2p3PK/3r4/P7/8 w - -,c5c7
2r3k1/Q1B1ppbp/1p2q1p1/8/2nP4/4PN1P/5PP1/1R4K1 b - -,e6f5
r2q1rk1/2p1bppp/p1n5/1p1pP3/4nBb1/1NP2N2/PPB2PPP/R2QR1K1 b - -,f7f5
2rq1rk1/1p2ppbp/p1npbnp1/8/2P1P3/2N5/PPN1BPPP/1RBQ1R1K w - -,c1d2
3r4/2Rk3p/1P1n2p1/5p2/N7/6P1/1K6/8 b - -,d7e6
r6k/2R3bp/6p1/1p2p3/1P2N3/q3QPP1/6KP/8 w - -,c7c8
r4rk1/1bq1bppp/ppnppn2/2p5/4P3/1PN2NP1/PBPPQPBP/3RR1K1 w - -,d2d4
r2qr1k1/pp1n1pbp/2p1pnp1/3p4/2P5/1P1PPBP1/PBQN1P1P/R4RK1 b - -,h7h5
4R3/2R4p/1K4p1/1PP3k1/5p2/4p3/q6P/8 w - -,c7e7
8/R7/4Bp1k/7p/4P3/p7/4K3/r7 w - -,a7a5
5k1r/8/P4bQ1/8/8/5NP1/5PK1/q4B2 b - -,f8e7
6k1/1p2b3/q1rpnp1p/pNnRp1p1/P1P1P3/1P2BP2/2Q3PP/3R2K1 w - -,d1d2
3rr3/p1p3pk/1p4np/1P1n3q/2NBpP2/PQ6/3PPP1P/2R1R2K b - -,d5f4
r6r/pp4p1/4pk1p/8/3p4/5P2/PP1R1KPP/7R w - -,d2d4
4q1k1/1r3ppp/3Qn3/p4B2/1bP2P2/5P2/5P1P/1R4K1 w - -,d6e5
7k/pp4pp/1b2qp2/4p3/1PQ5/P3P2P/1B1N2P1/5K2 b - -,e6f5
8/2k5/K5p1/P6p/5P2/1R4P1/2r5/8 w - -,b3b7
4r1k1/1p3pp1/2p3r1/7Q/3q3P/2N2BP1/R2B1PK1/8 b - -,g8f8
r1b2rk1/1pqnbppp/p3pn2/2p5/8/1QNP1NP1/PP1BPPBP/R4RK1 w - -,a1c1
r2qkb1r/pp1npppp/2p2n2/3p4/3P1B2/2PbPN2/PP3PPP/RN1QK2R w KQkq -,d1d3
2rq1rk1/5ppp/3p1b2/p4Q2/1pPpP3/1P6/P3BPPP/R2R2K1 w - -,e2d3
r4rk1/1bq1bppp/3pp3/6PP/ppnNP3/5P2/PPP3Q1/1KBR1B1R b - -,b4b3
3B2k1/5pp1/4pn1p/3p4/rP1P4/4PP2/P5PP/2R3K1 w - -,b4b5
2r1kb1r/1pq1ppp1/p1p3bp/3n4/P1QP4/1R3NP1/1P3PBP/2B1R1K1 w k -,f3e5
rqb1k2r/p2p1ppp/1pn1pn2/2b5/2P1P3/2N1B3/PP1QBPPP/RN2K2R b KQkq -,c8b7
8/p3R1pk/7p/2n4P/1B4P1/3rN1K1/r7/8 b - -,c5a6
r3r1k1/1nqbbppp/p2p1n2/2pPp3/P3P3/2P2N1P/2BN1PP1/R1BQR1K1 b - -,b7a5
7r/3bkB2/3p2Pp/p2Ppp2/1p5P/1P6/P1PR2r1/1K6 w - -,d2g2
r5k1/pp3r2/6b1/2R3B1/1P1qp2Q/P2p4/5PPP/5BK1 w - -,g5e3
r2qk1nr/pp2b1pp/2np4/2p1pb2/2P5/2NP1NP1/PP3PBP/R1BQ1RK1 b kq -,g8f6
r2q1rk1/1pp1bppp/p2p1n2/3N4/B1PpP1b1/3P1N2/PP3PPP/R2Q1RK1 b - -,c7c6
5b2/5P2/5KN1/7k/8/8/8/8 b - -,f8a3
1rr3k1/5ppp/R3p3/2n3P1/5P2/1PqNQ3/2P4P/2R3K1 w - -,a6d6
4R3/1pp2rkp/2n3p1/p7/6PP/2P5/1P2R1K1/8 b - -,g7h6
2rqkb1r/1b2np1p/p1npp1p1/2p5/P2PP3/2N1BN2/1PB1QPPP/R4RK1 b k -,c5d4
rn1qkbnr/pp2pppp/8/3b4/2NP4/5N2/PP3PPP/R1BQKB1R b KQkq -,e7e6
8/7p/3q1p1k/3N4/3RP2P/p7/3K2P1/8 b - -,a3a2
r1b1k2r/pp3ppp/1qnbpn2/2pp2B1/3P4/2PBPN2/PP1N1PPP/1R1QK2R b Kkq -,f6d7
1r2r1k1/2qnbppp/b1n1p3/ppppP3/5BNP/3P1NP1/PPP2PB1/R2QR1K1 w - -,f3g5
r3k2r/pb1q1p2/1bpp3p/1p1PP3/6p1/1BP5/PP2QPPP/R1B2R1K b kq -,e8c8
4r1k1/p2b1pp1/1p5p/8/3qP3/1Q1P2PP/5PB1/2R3K1 b - -,e8c8
2r1r1k1/5ppp/q2p1b2/3NpP2/pRP5/P3P3/6PP/3Q1RK1 b - -,a6c6
7k/5p2/3p1PB1/7p/p2Q2nP/P2P2q1/8/5K2 b - -,g4h2
1r2k2r/1bq1bppp/p2ppn2/1p6/3nPP2/2NBB1Q1/PPP3PP/4RRK1 w k -,e3d4
1r1q1r1k/pb3pp1/1p1p1n1p/1Pp1pPb1/P3P1N1/1B1P3P/1BP3P1/R2Q1RK1 w - -,d1e2
rnb1kb1r/pp3ppp/2pp1n2/q3p3/P2PP3/2NB4/1PP2PPP/R1BQK1NR w KQkq e6,g1e2
r7/6p1/Pnpk1p1p/N2Pp3/2K1P3/7P/6P1/R7 w - -,c4b4
7k/3b4/6p1/p2R2N1/5PPK/P2pr2P/8/8 b - -,d7c6
5k2/5p2/2b2b1p/1pPp2p1/1r2p3/4N1PP/3R1P2/5BK1 w - -,e3d5
r5k1/1p3pp1/1b1p1nq1/1N1Pp2p/1P2P3/5P2/3Q2PP/3RN2K b - -,a8d8
1r1r3k/2qbbppp/3p4/2nPpP2/1pp1P1QP/6N1/PPBB2P1/R3R1K1 b - -,d8c8
r1bqkb1r/1ppn2pp/2n1p3/pB1pP3/8/P4N2/1PPN1PPP/R1BQK2R b KQkq -,f8e7
rn1qr1k1/1bp2pbp/3p1np1/1p2p3/4P3/2PP1NN1/1PB2PPP/R1BQ1RK1 w - -,a1a8
1r1qr1k1/4nbb1/2p4p/p1Np1pp1/P1nP4/2B1PPPB/2Q1RN1P/4R2K b - -,f7h5
8/1pk5/2b3p1/1PP1prP1/4Nb2/1BP1n3/1K3N2/6R1 b - -,c6b5
r2q1rk1/pb1Nbppp/1p2pn2/2pp4/Q1PP4/2N3P1/PP2PPBP/R1B2RK1 b - -,d8d7
r7/6pp/2pk4/1p2p3/p1RpP3/P2P2KP/1P6/8 w - b6,c4c2
3qkb1r/rb1n1ppp/p3pn2/1pp5/3P1B2/5NP1/PP2PPBP/RNQ2RK1 b k -,c5d4
n7/1R5p/2Bp1kp1/p2P1p2/Pb2p2P/6P1/5P2/6K1 w - -,h4h5
4bB2/8/p2p4/3k1p1p/1P3P1P/4K1P1/8/8 w - -,e3d3
1r2r1k1/pp3ppp/2pp1n2/q4PQ1/6n1/1BN3R1/1PP2PPP/5RK1 b - -,h7h6
r1bqk2r/ppp2pp1/2nppn1p/8/2PP4/P1b2N2/1P1BPPPP/R2QKB1R w KQkq -,d2c3
r3r1kn/1pp2Pp1/1p5p/5B2/8/2P5/P1P3PP/4RRK1 b - -,h8f7
2Q2nk1/2p4p/1p1p2q1/3Pp3/P1P5/1P6/3N4/3K4 b - -,g6f7
3r3r/1b2k1pp/p3p3/3nN3/2B5/8/1PPR2PP/1K5R w - -,d2f2
rn1q1rk1/pp2ppbp/2pp1np1/8/3PP1b1/1BN2N1P/PPP2PP1/R1BQ1RK1 b - -,g4f3
