8/2r2p2/3k4/1p3R1p/8/5K1P/6P1/8 b - -,c7b7
1r1q1rk1/1p3ppp/p1b1p3/bn1P4/R7/3Q2PB/1B1NPP1P/4R1K1 b - -,a5d2
7k/6p1/8/Q2NK2p/4P1b1/8/5q2/8 w - -,a5d8
r2qk2r/pp2bppp/2n1pn2/2pp4/4P3/3P1BPP/PPPN1P2/R1BQK2R w KQkq -,f3g2
5r1k/7q/2RQ4/p2P4/4PPp1/1P1N2p1/7r/5K1R b - -,h2h1
r2qk2r/pb1pbppp/1p2pn2/3P2B1/4P3/2NQ1N2/PP3PPP/R3K2R b KQkq -,e6d5
4qbk1/p4p2/1pn2B1p/5Q2/1Pr1P3/2P4P/P4PP1/3RR1K1 b - -,e8e6
r1bqkb1r/1p1n1ppp/p2p1n2/2p1p3/4P3/1PNB1N2/PBPP1PPP/R2QK2R b KQkq -,b7b5
3rk2r/1bqnbp1p/4p1p1/2p1P3/NpP2P2/1P3BQ1/1B4PP/R4RK1 b k -,b7f3
2r2rk1/p1q1ppbp/1p4p1/1bp1n3/4N3/P1BPP1PP/1P2QPBK/1R1R4 b - -,c8d8
8/p1p5/3p2Kp/3P1P2/1k6/1P4P1/1b5P/3B4 b - -,b4c5
6k1/2R4p/1p2p1pP/1r4B1/p4p2/P1P5/1P4P1/7K w - -,c7g7
r1b3k1/1p1n1ppp/p7/3B4/6P1/2N1r2P/PPP5/2KR3R b - -,d7c5
4nrk1/1pbq2p1/p1n1r2p/2P1pp2/1PNpN3/P2P1QP1/1B3PKP/2R1R3 w - f6,e4d6
1k5Q/p1r5/1p6/nP1K4/2p5/2P5/2P5/8 b - -,c7c8
r4rk1/1pqbbppp/p2ppn2/4n3/P2pPN2/1PN3P1/1BP2PBP/R2QR1K1 w - -,d1d4
1qr1r1k1/1b1nbppp/pp1ppn2/8/2PNP3/2N2P2/PP1QB1PP/2RR2BK w - -,b2b4
rn1q1rk1/pb1pbppp/4pn2/2p5/2P5/5NP1/PPQ1PPBP/RNB2RK1 w - -,b1c3
8/3k3p/6p1/3Pp3/r1p4P/2B3P1/PK6/8 w - -,c3e5
8/8/8/8/7p/7k/8/6K1 b - -,h3g3
r2qkb1r/pp3ppp/2n2n2/2P1p3/2Pp4/B3PQ1P/P2PBPP1/RN2K2R b KQkq -,g7g6
2r5/p5k1/2p4R/Pp1pPrB1/6q1/6P1/1P5K/2Q1R3 w - -,g5f6
rn1qkb1r/ppp1pp1p/3p1np1/5b2/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,f8g7
2k1r3/Bp6/4n1p1/1P1Q1p2/2p5/2q4P/2P2PP1/5BK1 b - -,c3c2
3rrbk1/1pq4p/p4pp1/4p3/Q7/2P1B3/PP3PPP/3RR1K1 w - -,a4b3
5rk1/6pp/4p3/3qN3/p1pP4/1rP1Q2P/1P2RPPK/8 b - -,d5d6
3b2k1/ppn2p2/2p3p1/8/7p/P1P2BP1/1P3P1P/1K2B3 w - -,b1c2
r4rk1/2pn2p1/3p3p/p2Ppqb1/Np2N3/5PP1/PPP1Q3/1K1R1R2 b - -,d7f6
1r6/1p1kbN2/2p1p1p1/p2rP1Pp/2RN4/6P1/nP3P2/3R2K1 w - -,d1e1
2k4r/1p2b1pp/p1p1b3/P2rp3/4N3/6P1/1P2PPBP/R1R3K1 w - -,h2h4
3r3k/6p1/5q1p/1p6/1P2Q2P/6P1/4RPK1/8 b - h3,d8c8
2r2rk1/p5pp/Q1p5/2bbqN2/P3p3/2P5/2PB1PPP/1R3RK1 w - -,f5e3
r1bqnrk1/pp3pbp/4p1p1/2pPp3/1PP1P3/P1N5/4BPPP/R1BQ1RK1 b - b3,e6d5
r3r1k1/Pp3qbp/2p2pp1/8/8/2N1BBPb/P4P1P/3RQRK1 b - -,h3f1
r3k2r/4bp1p/pq2p3/np3p2/3P4/1PP2N2/2QN1PPP/R3R1K1 w kq -,d4d5
8/p2bkp2/6pp/2p1P3/4BP1P/P1P1K3/5P2/8 w - -,e4d3
4b3/2r3pk/1p1qpn1p/pP1pNp2/P2P1N1P/Q3PP2/6P1/R5K1 b - -,d6a3
8/3q4/4p1k1/1pQ5/5P2/1P6/1KP2P2/8 w - -,b2a3
r3k2r/p1qpbppp/np6/3QP3/8/2B2N2/PP3PPP/R4RK1 b kq -,e8g8
r2q1rk1/pbpnbppp/1p2pn2/3p4/8/1P1PPNP1/PBPN1PBP/R2Q1RK1 b - -,c7c5
6k1/1b2pqb1/pr5p/R2P1p2/1r2p3/4Q1B1/3N1PPP/3R2K1 b - -,b7d5
6k1/2R3Rp/4p1p1/p7/3p1P2/P3q2P/6PK/8 b - -,g8f8
