8/pk6/4q2K/1PQ5/8/7P/7P/8 w - -,h6g5
rnbqkb1r/pp1ppp1p/5np1/2p5/8/1P3NP1/P1PPPP1P/RNBQKB1R w KQkq c6,f1g2
1b3r1k/1p2rqpp/p7/4BP2/3p1PB1/1P4Q1/P1R4P/7K w - -,h1g1
2kr3r/pb2qpp1/1p1bpn1p/2pP4/2P5/3B1N1Q/PP1B1PPP/2KRR3 b - -,c8b8
2r3k1/5pp1/7p/p3p3/1p1nP3/1qPR2PP/1P3QK1/4B3 w - -,f2d2
1r3k2/1p1b1p2/2pn1p1r/p2p1P1P/P2P1NP1/1P1B1P2/3K4/2R4R w - -,h1e1
r2q1rk1/1pp1pp1p/1n4p1/pP2P3/5P2/2NnP3/P1Q1K1PP/R1B4R b - -,d3b4
r4rk1/pp1qbnpp/3p4/3Ppp1b/8/PQ2PPPN/1P1B2BP/R4RK1 b - -,g7g5
r1bqr1k1/ppp2p2/3b1n1p/3Pp1p1/8/2NB2BP/PPP2PP1/R2QR1K1 b - -,a7a6
8/8/4kp2/p3p2Q/q6r/8/3R2P1/6K1 w - -,h5f3
r2q1rk1/1b1p1ppp/1p1P1nn1/1pp1p3/4P3/2P1NPP1/PP2N1BP/R2Q1RK1 w - -,e3f5
2r2bk1/1br2p2/p3p1p1/PB5p/3NPP2/2N3P1/1PP1K2P/R7 b - -,f8c5
2b1q1k1/ppp2r1p/3pp1r1/5p2/2PP1P1Q/P1BB1PP1/1P6/2K4R w - -,g3g4
4r1k1/5pn1/p1N4p/1pp1P1p1/P6P/5Q2/2q2PP1/3R2K1 b - h3,c2a4
r4r2/2pP2kp/2n3p1/pq1p1p2/3P4/2PN4/2P1QBPP/5R1K w - -,f2h4
3r2k1/1p1q1pp1/p6p/2PB2n1/1P1P1P2/1Q4P1/6K1/2R5 b - f3,d7h3
2r5/8/8/2K1P3/3Q4/2p5/1k6/8 w - -,c5b6
8/2q3k1/1P2pp1p/2Pp2p1/3P2Pn/3Q1P1P/8/R4K2 b - -,c7g3
3q1r2/pp1bppk1/3p1np1/8/2rNP1pP/2N2P2/PPPQ4/2KR3R w - -,f3f4
rnb1qrk1/1p2b1pp/2p1pn2/p2p1p2/2PP4/1P1N2P1/P1Q1PPBP/RNB2RK1 b - -,b8d7
8/2pR1pk1/1p2p1p1/p1P1P3/8/1b3BP1/r4PKP/8 b - -,b6c5
rn1qk3/pp2bpP1/4pBp1/3p4/3P4/2N2Q2/PPP2P2/R3Kr2 w Qkq -,e1f1
3r2k1/pp3rq1/2p3p1/2P5/4P3/3p2P1/P2B3P/3QR1KB w - -,e4e5
3r4/4kp2/1p1pb1pp/p1r5/P1PR1PP1/1P3BKP/3R4/8 w - -,h3h4
r1bqkb1r/1ppp1ppp/p7/4P3/B2Qn3/8/PPP2PPP/RNB1K2R b KQkq -,e4c5
2rr2k1/4p1b1/5np1/1p1Pp3/p7/P1B2P2/1PPKN1P1/3R3R b - -,f6d5
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/4PP2/2NP1N2/PPP1B1PP/R1BQ1RK1 b kq -,d7d5
1k2rr2/2pp2p1/qp5p/3P4/1p1RNP2/P4QP1/1KB5/8 w - -,d4b4
3R4/5k2/3p2p1/2nPp3/4n3/4P2P/4K3/8 b - -,f7e7
r2q1r1k/ppp1b3/2npp3/3N3Q/8/8/PPP2PPP/R1B3K1 b - -,h8g8
2R1bk2/4p3/6p1/r2P1p2/8/3B3P/5PP1/6K1 w - -,d3c4
2kr3r/1bqn1p1p/pp2pb2/P1pp4/3P2RP/2N1PN2/1PPQBP2/R3K3 b Q -,b6b5
5rk1/1Q2bpq1/4p2p/P2p4/3P1P2/3bBB2/6PP/5RK1 b - -,d3f1
3b4/3k2p1/pr1p1r2/4p2p/4B2P/3R1PP1/PP6/1KR5 b - h3,a6a5
4r1k1/1p3p1p/p2p2p1/P1pP4/1P6/7P/3R1PP1/1Q2r1K1 w - -,b1e1
2rr2k1/p3ppb1/2nq2pp/2p1p3/N1P2P2/1PBP3P/PQ4P1/4RRK1 b - f3,c6d4
3r4/1nk3pp/p2bRn2/1p1p4/1PpB4/8/P1B2PPP/3R2K1 w - -,g2g3
3r1rk1/1p4pp/2pqpb2/4Nn2/pP1P4/P5P1/2Q2PBP/R2R2K1 w - -,g2e4
k2r1n1r/p1pbq3/2P3n1/3P1p2/5Pp1/3B2B1/PPQ4P/2KR2R1 w - -,c6d7
6k1/pp4pp/2b5/5p2/8/1P3PP1/P1rRK1BP/8 b - -,c2d2
r2q1rk1/pp3pBp/2n1bnp1/2ppp3/4P3/2PP1N1P/PP2BPP1/RNQ2RK1 b - -,g8g7
r5k1/1p3pp1/p2Q3p/1q3b2/2p3PP/5B2/PPP2P2/1K1Rr3 w - -,d1e1
3r4/1p1r1k2/p2q2p1/3P1p1p/3Qp2P/1P4P1/P2R1P1K/3R4 b - -,d8c8
8/7p/p1k3p1/5p2/PK3n1P/8/P2N4/8 w - -,b4a5
k5r1/p7/5p2/3P4/5P2/2K4p/P7/3R4 b - -,a8b7
6Q1/8/6p1/2p2q2/2P1p3/4P3/2KP2k1/8 b - -,g6g5
7k/p3p1b1/8/4P3/P1P3q1/1P3rBp/4Q1KP/4R3 w - -,g2g1
r4rk1/pp2qp1p/2ppbbp1/8/4P3/2PQ4/PPB2PPP/R1B2RK1 w - -,c1h6
r1bqk2r/p2nbppp/2pp1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQK2R w KQkq -,a4b5
rnbq1rk1/pp2b1pp/2pp1n2/5p2/2PPp3/2N3P1/PP1NPPBP/R1BQ1RK1 w - -,d4d5
2r1b3/pp2kpp1/2nRpn1p/8/8/P1N1PN2/BP2KPPP/8 w - -,d6d1
5r1r/1ppk2pp/3pn3/1P1N1n2/R4P2/3NR3/1P4PP/6K1 w - -,e3e4
r1r2bk1/1p3pp1/1qn1b2p/p2pPp1P/3P4/P1N1BNP1/1P3PK1/1R1Q1R2 b - -,c8d8
r1b2b1r/pp2kn1p/2p3pn/4pp2/4P3/2NNBPP1/PPP3B1/2KR3R b - -,f8g7
2r3k1/N4ppp/4p3/1rbn1b2/2R2B2/6P1/P3PPBP/5RK1 b - -,c5f2
r1bq1rk1/pp2bppp/3p1n2/n1p1p3/P3P3/3P1N2/BPPB1PPP/RN1QR1K1 b - -,a5c6
8/5k2/R3p3/4bpn1/6p1/B3P3/6KP/8 b - -,g5e4
8/4R3/5K2/8/8/5N2/pr6/k7 b - -,b2f2
2bq1rk1/r4ppp/pp1ppn2/8/P2NP3/2Nn4/1PP1QPPP/3R1RK1 w - -,c2d3
r3nrk1/5pbp/1q1p2p1/2pPp3/bpP1P1PP/1B2BPN1/P2Q4/1K1R3R w - -,h4h5
4r1k1/2p2pp1/1p3n2/4rq1p/1QPp4/3P1BPb/4PPKP/R3RN2 w - -,g2g1
r1rq1bk1/5p1p/p3pnp1/1p6/b1PP4/4PP2/Q1NB2PP/2R1RBK1 b - -,d8d7
5k2/5p1p/4pp2/8/1R2P3/4nP2/r5PP/3R3K w - -,d1g1
rnb2rk1/pp2qppp/4p3/3n4/3N4/6P1/PP1QPPBP/RN3RK1 w - -,b1c3
8/1p2p1k1/3p2p1/3P4/2Pb4/1P4K1/r5P1/1R1B4 w - -,d1f3
3r3k/R7/3p3p/2pP1B1n/8/2P3P1/7P/6K1 b - -,h5f6
8/6pk/8/1P2P3/2P4p/3P1R1P/1K6/1rr5 w - -,b2a3
8/5pk1/5p2/R7/p5PP/r5K1/6P1/8 w - -,g3h2
5r1k/5qp1/1p2p1b1/pBn1Q1Bp/8/5P2/PP4PP/3R2K1 w - h6,d1d6
6B1/8/3k4/p3N2p/P4P2/1P3K2/2b5/4b3 b - -,d6e7
4k2r/3q1ppp/3Bpb2/Q2n4/8/5N1P/PPR2P2/1K6 w - -,f3e5
4rrk1/pb1n2pp/1ppbpq2/3p1p2/2PPnN2/1P2PNP1/PBQ2PBP/R4RK1 w - -,f4d3
rn1qkbnr/pp3p1p/2p1p1p1/3p4/4P3/2NP1Q1P/PPP1BPP1/R1B1K2R b KQkq -,f8g7
r2qk1nr/ppp3pp/2n1bp2/8/1bPpPP2/5N2/PP4PP/RNBQKB1R w KQkq -,b1d2
r3k2r/1b1p1ppp/pqn1p1n1/1pb5/3NPP2/2PQB3/PPB3PP/RN3RK1 w kq -,g1h1
5rk1/6p1/p2q3p/1pnP1B2/2p5/5RPP/Pr3P2/3R1QK1 b - -,g7g6
r3k2r/p3n3/Ppp2p2/4q3/Q1PNb2p/4B2P/1P2BPPb/R4R1K b kq -,e5c7
6k1/4Bp1p/p3p1p1/P3P3/3KPP2/1r4P1/4b3/8 w - -,e7h4
r2r4/1p2ppk1/2q3pp/8/p4n2/2P2N1P/PPQ2PPK/R4R2 b - -,d8d3
6k1/p4pp1/1p5p/8/PP6/7P/r2rNPP1/4RK2 w - -,a4a5
r1bqk2r/pppp1pbp/2n5/6P1/8/2N2NB1/Pn2PPP1/R2QKB1R w KQkq -,d1b3
3rkb1r/1bq1npp1/p3p2p/1pp1P1B1/8/2NB4/PPP1QPPP/R3R1K1 w k -,g5h4
8/kb6/8/p7/3R4/4p3/KPP5/8 w - -,d4d7
2rr1bk1/pp3qpp/2n1bp2/2pnp3/8/PP1PPN2/1B1N1PPP/1QRB1RK1 w - -,d1c2
r1b2rk1/pp3pb1/6p1/4pn1p/2R1pB2/4N1P1/PP2PPBP/3R2K1 w - -,e3f5
4r1k1/1q3p1p/1r1p2p1/2R4P/8/2Q1P1P1/P4P2/3R2K1 w - -,h5h6
8/8/2b2kp1/5p2/p4P1p/P3KP1P/4B3/8 b - -,g6g5
4k2r/1qbr1pp1/2bp3p/pp2pP2/4P1PP/1P2QN2/1PP1R3/2KRB3 b k -,c7b6
4n3/p7/1p4p1/2pBk2p/4P2P/2PK2P1/PP6/8 w - -,d5f7
r1bqr1k1/pppn1ppp/3b1n2/3p4/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,c1g5
r1bqkbnr/pp2pppp/2np4/8/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
1r1qr1k1/5p2/p2p2p1/1bpPbP1p/1p2P1n1/6Q1/1PN3B1/R1BNR1K1 w - -,c1f4
r1bqkb1r/pp3ppp/2n1pn2/2pp4/5P2/5N2/PPPPPNPP/R1BQKB1R w KQkq -,e2e3
8/R3nk2/1p6/3r1p2/4pKp1/6P1/PP3PBr/6R1 b - -,f7f6
2rr2k1/p2n1pp1/1pp1pnp1/3p4/2PP1P2/qP1QP1P1/PB2R1BP/3R2K1 b - -,a3e7
rnbqk2r/ppp4p/5bp1/3p2N1/8/2P1B3/PP3PPP/R2QKB1R w KQkq -,h2h4
8/5n1k/1R1p4/1Pn5/2N2p2/7P/6R1/4q2K w - -,h1h2
r2q1rk1/pb1pbppp/1pn1pn2/2p5/3P4/PP1BPN2/1BPN1PPP/R2Q1RK1 b - -,c5d4:a8c8:d7d6:d8c7
r3n3/pp2kp2/3pb2p/2n3p1/2P1P1PP/5P2/PP1RBK2/7R b - -,e8f6
r2r1bk1/3q1p1p/2p1pnp1/1pB5/p2P1P2/P2Q2P1/1PP3BP/1N3RK1 w - -,c5f8
8/8/8/8/k1p5/7R/6r1/2K5 b - -,a4b4
r5k1/p3rpbp/1p4p1/2nR4/2N1p3/1P2P3/PB3PPP/R5K1 b - -,g7b2
1q2rbk1/1ppb3p/3p4/1PPPp1pn/4Pp2/r1N2P2/3N1BPP/1RQ1R1K1 w - -,d2c4
1r4k1/3qr1bp/1pb1p1n1/pN6/2P4Q/4B3/P4RPP/1B3R1K w - -,b1g6
3q2rk/3r3p/p1npbpp1/1pp1p3/4P2P/P1PPNQPn/1PB2P1N/3RR1K1 w - -,g1g2
r2q1rk1/pp3p2/2n2b2/2Ppp2B/3P1Q1p/1P5P/P3NPP1/R2R2K1 w - -,d4e5
8/8/8/p4k2/2P3p1/1P3p2/7P/5K2 w - -,f1f2
5k2/8/3N3p/p3pP2/8/2p4P/1Pb2K2/8 w - -,b2c3
r1bq2k1/3n2bp/1p1p2r1/pNnPp3/4PpP1/1P6/PN1QBBPP/1R3RK1 b - -,c5e4
5kr1/1p3p2/4p3/p3PnPb/4QP2/P1pP4/2q3R1/R1B1K3 b - -,c2d1
r1b1k2r/1pqnbppp/2pP1n2/p3p3/3PP3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e7d6
8/p4p2/1p2k1p1/3pP2p/1b1B3P/1P1K1PP1/P7/8 w - -,d3e2
8/2k5/6R1/3r4/2p2K2/8/7P/8 b - -,d5h5
r5k1/2qb1pp1/prp1pb1p/2Np4/3P4/4PN2/PPR1QPPP/5RK1 b - -,d7e8
r2q1rk1/pp2bppp/2ppb3/8/4n1P1/2P1BN1P/PPPQ1P2/1K1R1B1R w - -,d2e1
2kr1b1r/ppp1pppp/2nq1n2/8/3P4/N1P5/PP2BPPP/R1BQK2R w KQ -,a3c4
4r1k1/1p1q1pb1/p1p3p1/7p/1P1P3Q/2P4P/1P4P1/2B1R1K1 b - -,e8e6
r4r1k/pp5p/2p1b1p1/4np2/1P6/6P1/P3PPBP/RN3RK1 w - -,b1c3
r1bq1rk1/ppp3n1/3p1b2/2nP1Pp1/6B1/2N1NRB1/PPP5/R2Q2K1 b - -,c8d7
r2qk2r/pp3pp1/2p1p2n/4PbPB/3PP3/2N5/PP2Q1P1/R3K2R b KQkq -,d8g5
rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq -,g7g6:g8f6:e7e6:b8c6
r1b2qk1/5r1p/p1Np2p1/3P2b1/P1PB1pn1/2Q2B2/6PP/1R1R3K w - -,d1e1
r7/7p/p3pk2/P1rb1pp1/1p6/1P1B1P2/2P2KPP/R2R4 w - -,h2h4
r2q3k/ppp2rpp/2pb1n2/5bB1/2QPp3/2N5/PPP2PPP/R3K2R w KQ -,c4f7
2rqr1k1/pp1bppbp/2np1np1/8/2P1P3/2N1BN1P/PP1Q1PP1/1B1R1RK1 b - -,c6a5
