8/8/8/5p2/5Q2/3qp1P1/8/4k1K1 b - -,e1d1
4r1nk/2p1rqb1/p2p4/1p1P4/3R1Ppp/1P1Q1B1P/P4B2/2R3K1 w - -,h3g4
r2q1rk1/p4ppp/1p2pb2/2pb4/4B3/3P2P1/PPP1QP1P/R1B2RK1 w - -,e2f3
rnbr2k1/pp4pp/2p2B2/5p2/2P2p2/2N3P1/PP2P1BP/R3K2R b KQ -,g7f6
8/1p3r2/p2p3k/4p1pp/1P2P3/P2NKP2/2P5/6R1 b - -,f7c7
8/6p1/8/5kp1/8/6R1/4r2P/7K b - -,f5f4
r1br2k1/pp2qppp/2p1pn2/8/2PP4/4QNP1/PP3PBP/R4RK1 w - -,a2a3
2nr4/q1r2ppk/2p1p3/p1N5/P1PP2P1/4Q3/1R3P2/1R4K1 b - -,c8d6
2b3k1/p3q1p1/2p4p/2N1b3/2P3P1/PP6/4BP2/2BR3K w - -,c1e3
1r3rk1/p1q1pp1p/3bn1p1/2p5/Q1P5/3P4/PB2RPP1/4RB1K w - -,b2c3
r4rk1/1pB2pbp/p5p1/2pP4/Pnn1N3/4P2P/1PbNBPP1/R4RK1 b - -,c4d2
r2q1rk1/pp1nppbp/3p1np1/2pP4/P3P3/2N2N1P/1PP2PP1/R1BQK2R b KQ -,f6e8
6k1/5q2/3Pb2p/3B1p1P/P2Q1P2/6P1/7K/8 w - -,d5e6
r1b1k2r/ppp1npp1/3p1q1p/3Pp3/2P5/P1Q2NP1/1P2PP1P/R3KB1R b KQkq -,c8g4
r7/5k2/1nRn2pQ/p2p1p2/3P4/q3r1N1/8/4R1K1 w - -,c6c7
8/1p1b2rR/4pk2/n2p4/3P4/3BP3/5K2/3R4 b - -,g7h7
8/1p6/p1pN2k1/P1P5/8/6PK/5P1P/2r5 b - -,c1c5
r2q1rk1/pb2bppp/1p2pn2/2ppB3/3P4/2PBP2P/PP1N1PP1/2RQ1RK1 b - -,e7d6
5rk1/pQ3bpp/2p2n1q/3pR3/3P4/1PN2P2/P5B1/3R2K1 b - -,f7h5
8/4kp2/2b1p1p1/2p1P3/2B2P1P/1P6/3K4/8 b - -,e7d7
8/p4pk1/6p1/7p/7r/P1R1KP2/r2R2P1/8 b - -,a2d2
r2r2k1/2q1bppp/p1Pp1n2/1p4B1/8/7P/PPB2PP1/2RQR1K1 w - -,d1d3
8/6k1/2B5/2N2ppp/P1R4P/r7/3r2PK/8 b - -,g5g4
r1bqr1k1/2pn1ppp/1pp5/p1b1p3/P1N1P3/3P1N2/1PP2PPP/R1BQ1R1K w - -,c1e3
r2r2k1/pppb1pp1/1b2pq1p/8/1QnP4/P1N1P1P1/1P3PBP/R4RK1 w - -,b4c4
r2qk2r/1p1bppbp/p1np1np1/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R w kq -,c1b1:g2g4
3q1r2/1b1rnpkp/p3p1p1/1p6/4PP1Q/5NN1/P1P3PP/4RR1K w - -,f4f5
8/8/1p2pk1K/8/2r3p1/7P/P7/1R6 w - -,h3g4
rnbqk2r/1p2bppp/p2ppn2/8/2PNP3/3B4/PP3PPP/RNBQ1RK1 w kq -,b1c3
1r1r3k/2R2B2/1p3pp1/p2R1b1p/2P2P2/1P6/P6P/6K1 b - -,f5e4
r4bk1/1b4pp/p4Bp1/2pP4/1pP5/7P/PP1NB1P1/2R3K1 b - -,g7f6
3r2k1/3r1pq1/6p1/3b4/2PQ3R/3B4/P1P5/1K3R2 b - -,d5e6
8/2n2k2/2PBn1pp/3p1p2/4pPP1/1B2P2P/5K2/8 b - g3,c7e8
r2q1rk1/pb1n1ppp/1ppbp3/1B2N3/3Pp3/1P2P3/PBP2PPP/R2Q1RK1 w - -,b5c6
8/6k1/4pq1p/1p1p2p1/2p5/2Pp1N1P/rP3PP1/2Q1R1K1 w - -,f3d4
rnbqk1nr/ppppppbp/6p1/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq -,g8f6
r1b2rk1/2p2p2/pb5p/1p4p1/3Bn3/1BP5/PP3PPP/RN1R2K1 b - -,b6d4
8/6pp/p1n5/1k2p3/1P2P3/1K6/2N2P1P/8 b - -,a6a5
2k5/R1b3p1/1p5r/2p2b1p/2P2N2/5P2/P5Bp/4B2K w - -,f4d5
2br2k1/4b1p1/2p2nBp/q2pB3/1p1P3P/5P2/1PPQ4/rNKR2R1 b - -,c8e6
7k/1p1r4/p7/3p1p2/8/1BP1p2P/PP4P1/5RK1 w - -,f1f5
6k1/pp1rn2p/4rpp1/5p2/1P1P1P2/P2RB3/R4KPP/8 b - -,e7d5
r3k1r1/4qp1R/pB1pp3/1b4b1/1p2P1P1/3P4/PP2NQ2/1K1R4 w q -,e2d4
rq3rk1/p3bpp1/5n1p/1bB1p3/1P2N3/5N1P/P1Q2PP1/1R2K2R b K -,f8c8
8/1p4R1/p1k2P2/8/4K3/8/r7/8 w - -,e4e5
2n5/5kp1/7p/2pPp3/8/3BK1P1/5P1P/8 w - -,f2f4
8/5p2/5rp1/7p/2B2P1P/2k2KP1/8/8 w - -,c4a2
r1r3k1/pp3ppp/8/8/P7/1PB4P/2P2PK1/R2R4 b - -,c8c3
k7/2R5/p1p5/1p2N3/3P4/P1P5/KP3rr1/8 w - -,e5c6
1rqn1rk1/2p1bppp/p2p1n2/1p1Pp3/P3P1b1/2P2N1P/1PB1QPP1/RNBR2K1 b - -,g4h5
2r1r1k1/5pp1/1q1p1b2/pp1PpP1p/n3Q3/1NP5/PPR1B1PP/1K3R2 w - -,e2h5
r1b1k2r/1pq2ppp/p1p5/2b1P3/4P1n1/2NB4/PPP3PP/R1BQ1R1K w kq -,d1f3
2rb1rk1/1b4pp/1p2p1Q1/p2pP3/2pB1P2/1PP1P2R/P6P/R4BK1 b - -,h7g6
r4rk1/pbpqbppp/1p1p4/1B6/3N1PnP/2P1B3/PPPQ2P1/1K1R3R b - -,d7c8
rn2kb1r/ppp1qpp1/4b2p/3nN3/2B5/3P4/PPP2PPP/RNBQ1RK1 w kq -,f1e1
2rq1r2/3bppkp/p2p2p1/np1P4/8/1P3NP1/P3PPBP/R1QR2K1 w - -,c1b2
r2qk1nr/1bpnppbp/p2p2p1/1p6/3PP3/2N1BP2/PPPQN1PP/R3KB1R w KQkq -,g2g3
r4rk1/ppq1ppbp/2p1bnp1/2PpN3/1P1P4/2B1P1P1/P3QPBP/2R2RK1 w - -,f2f3
5r2/5k1p/p2p2p1/p7/3pP3/P7/5PPP/3R2K1 b - -,f8c8
r1bq1rk1/1ppn2bp/3p4/2nP1p2/p1PNpP2/2N1B3/PPQ1B1PP/R4RK1 b - -,d8e7
4r3/p1Q1q1kp/1p1pPnp1/4p3/1P6/6PB/P4P1P/2R3K1 b - -,g7f8
r1bq1rk1/pp2ppbp/3p2p1/2n5/2PNP3/2B2P2/PP2B1PP/R2Q1R1K w - -,a1c1
r2qkb1r/2pbn1pp/p2p1p2/3Pp3/1p1P4/4BN2/PPPQBPPP/R3K2R w KQkq -,d4e5
