8/5pk1/1R6/4P2p/5K2/6PP/8/4r3 w - -,b6b3
8/1p3k1p/pbpnq1p1/5p2/P2p1P2/3P1BP1/1PPB2KP/Q7 b - -,b6c5
rn1qk3/pp4P1/8/1Ppb1pp1/2P4r/3pP3/PQ1P2PP/R2K1B1R w q -,b2e5
1r3rk1/5pbp/b1B2Np1/2p1p3/P3P3/1p3NPP/1P3P2/R2R2K1 b - -,g7f6
1r4k1/r2np3/6q1/2pPp2p/P1N1Ppp1/1P1Q1P2/1R4PP/1R5K b - -,b8b4
8/8/8/1p1k3p/1b1P1p2/1P2pK1P/1B6/8 b - -,b4a5
8/5k2/2R5/3p1P2/5P2/4PN2/4K3/q7 b - -,a1a2
1r3rk1/p1p1bpp1/b3p2p/n4q2/P1NPN1P1/1p2P3/1P3PBP/R1Q2RK1 b - -,f5g4
r7/1p3kp1/p3pBp1/1q3r2/8/5Q1P/PP4P1/R4RK1 w - -,f3c3
3n4/5ppp/p2k4/1p2p3/NP2K3/P5P1/4PP1P/8 w - b6,a4c5
r1r3k1/1q3ppp/pn2p3/Qp1p4/3Pn3/PP1BP3/4NPPP/R4RK1 w - -,f1c1
8/1r3pk1/4pn1p/3p2p1/1npP4/R1B1PP2/1P1K2PP/3B4 b - -,b7b8
2k1rr2/1pp4p/p1p2p2/5Pp1/2Q1P3/P3B3/1PPNK1Pq/4bR2 w - -,e2e1
8/Pb6/3k3p/1P3K2/2n5/6P1/3pB3/8 b - -,d6c5
r1bq1rk1/pp3pbp/1n4p1/3Pn3/4P3/2N1B3/PP1Q1NPP/3RKB1R b K -,b6c4
r2q1rk1/pppbb1np/3p1npB/3P4/2P1N1P1/8/PP1QBN1P/R4RK1 w - -,d2c3
8/4b3/1k2N1p1/1P2Pp1p/2p2P1P/PK4P1/8/8 w - -,b3c4
8/8/5pk1/PR4pp/8/r4P1P/5P2/5K2 w - -,f1g2
r1br2k1/pp2ppb1/5npp/8/2PpPP1B/2N5/PP2B1PP/R3K2R w KQ -,c3d5
1brr1qk1/1p3pp1/p1ppbnnp/4pN2/3PP3/P1P1BN1P/1PB2PP1/2QRR1K1 b - -,g8h8
r1bq1rk1/bpp1nppp/p2p4/4n3/2P5/1PN1P1P1/P3NPBP/R1BQ1RK1 b - -,a8b8
1r3r2/8/p1p1kpQ1/4p3/Pp2P3/4nN1P/1PP3P1/6K1 w - -,f3g5
2Q1nbk1/5bpp/6q1/1B1pP3/8/8/PP4PP/5R1K b - -,d5d4
8/6kp/5bp1/2R5/4B3/2p5/1r6/5K2 w - -,e4d3
8/4kp2/2nq4/1R5P/p7/P1Q3P1/1P2r3/KB6 b - -,c6d4
7r/7P/4pp2/p3k2K/1p6/8/P1B2PP1/8 b - -,h8h7
r1b1kb1r/1p3ppp/1q2p2n/nP1pP3/Q2P2P1/P4N1P/1B3P2/RN2KB1R b KQkq -,c8d7
r2qk2r/4bppp/p4n2/1p1pN3/2pPP1b1/1QP1B3/PP1N1PPP/R3R1K1 w kq -,b3c2
5rk1/p7/7p/2Np2p1/1Pb5/P3p1P1/6PP/4R2K w - -,c5d7
6R1/p5bp/1p2p1k1/3r1pPP/2N5/8/5PK1/8 b - -,g6f7
3k4/p7/6r1/1p2R1p1/5p2/2P5/P1P2PP1/6K1 w - -,e5b5
4q3/p4kpp/1pb1p3/2p1P1b1/2B1P3/1P1Q4/PB4PP/6K1 w - -,d3h3
2r1r1k1/p1nb1p2/6pp/B1R1b3/3p4/3P2PP/P3PPB1/4R1K1 w - -,g2b7
8/5pkp/8/8/5RBP/6P1/2nr1P2/7K b - -,c2d4
r2qnrk1/2p1bpp1/1p5p/p2pP3/5P2/PP1bPN2/1BQ3PP/R4RK1 w - -,c2d3
4r1k1/1p1r1pp1/p2Pnb2/3BQ3/Pq2N3/6PP/5P2/3R1RK1 w - -,e5f5
8/5kp1/R6p/5p2/4r2P/3K2P1/5P2/8 b - -,e4e7
4bk2/5pp1/p5p1/3P2N1/2Pb4/1P5P/2B2PP1/5K2 w - -,f1e2
rn1qk1nr/1p3pp1/2p1p3/p3Pb1p/2BP3P/PQb5/1P3PP1/R1B1K1NR w KQkq -,b3c3
