2Q5/8/3Q4/8/1K4q1/4P2k/1P6/6q1 w - -,c8g4
4N3/p7/8/P1n1kPp1/8/5K1P/6P1/8 b - -,e5f5
3r1rk1/2q1npb1/1Nn1b2p/1p2p1pP/2p1P2N/2P1B1P1/1P2QPB1/R3R1K1 w - -,h4f5
6kr/3n4/pp1pN1p1/3Bn1Pp/P3Q3/5R2/1P1q3P/2r2R1K b - -,g8h7
2k4r/pp1qr2p/4pp2/1P6/P1pP3P/5N2/5P2/R2QK1R1 b Q -,d7d5
8/5R2/3k1P2/1p4p1/p5r1/8/1K6/8 w - -,f7g7
4r1k1/2Q2pp1/1p2q3/1Pp4p/8/P2P2B1/6P1/6K1 w - h6,a3a4
1rb2rk1/2qnbppp/p2p4/1p6/4pP2/PN4PP/2P1Q1B1/2BRR1K1 w - -,e2e4
r4rk1/2p3pp/p1pp1q2/6b1/4PNb1/6PP/PPPQN3/2K2R1R b - -,g4d7
r5k1/ppq3p1/2p3Np/3n4/3PQ3/1B2P3/PP1B1rPb/R6K b - -,h2d6
2rr3k/1Q5p/p3q3/4Pp2/2pP4/8/PP5P/4RR1K b - -,c8b8
8/pr3k2/p3p3/5p2/7R/2P1PPK1/P4P2/8 b - -,f7f6
2b5/4qpk1/p1r3p1/2N1n2p/1P2PQ2/2P5/4B1PP/R6K w - h6,e2a6
r1r3k1/pb1nqp1p/1p1p2p1/2pnp3/1PPPP3/5N2/P4PPP/1Q1RRBK1 w - -,e4d5
8/p4kp1/7p/8/2p5/R2b2P1/P3r3/4K1R1 w - -,e1d1
8/3R2pp/2p2k2/p4p2/P3P3/r2P1KP1/5P1P/8 w - -,d7d4
6k1/4p2p/B1rnN1p1/8/8/bP1R1P2/5BPP/2n2K2 w - -,d3d6
8/7p/1p2k3/8/PP2K3/2BN1P2/7r/8 b - -,h7h5
3r2k1/p2qn1b1/1p1N2b1/3Ppppp/4P3/BP4PP/P3B1QK/2R5 b - -,a7a6
8/5p2/4k1p1/4P2p/5P1P/5rPK/R7/8 w - -,a2a6
r1b1kb1r/1p1q1ppp/p2p1n2/4pN2/4P3/2N5/PPP2PPP/R1BQK2R w KQkq -,f5e3
1r4k1/p4pbp/4p1p1/q1ppP1P1/b4PN1/n1PPQ3/Pr2N1BP/2R2RK1 b - -,b2a2
6k1/1R4p1/4bp2/8/p1rB2P1/P1P2P2/3K4/8 w - -,b7e7
r3k2r/pp1bppbp/n4np1/3P4/8/1BN2N2/PP1P1PPP/R1B1K2R w KQkq -,d2d4
rn4k1/pp2bppp/2q1b3/8/8/4BN2/PPQ1BPPP/R5K1 w - -,c2d1
8/4P3/8/8/5PK1/6P1/6k1/8 w - -,e7e8q
4r3/2p5/3p1k2/3P3p/1pP3p1/1PbB1p2/5P1P/3R1K2 b - -,e8a8
r2q3r/5pk1/p2p1pp1/PppPn3/4PbPp/2P5/1PB1QPP1/R3RNK1 b - -,d8d7
r7/P3r1p1/R4kp1/5p2/5K1P/4B1P1/5P2/8 b - -,f6f7
r7/pb4b1/1p5p/5k2/2P1pP2/1P1p2B1/P5PP/2KRR3 w - -,g3f2
3r2k1/1p1R1p2/1Bp1nb1p/p3p3/P3P3/2N2P2/1PP3P1/6K1 w - -,b6d8
8/1r2rp2/1PK3k1/1R4pp/8/6P1/8/1R6 w - -,b5d5
4r3/1ppqr1k1/p2p1p1p/3Pb1p1/P1P5/1P1QR2P/3B1PP1/4RK2 b - -,b7b6
r3k2r/ppqnbppp/n1p1p3/3p2P1/4P2P/P1NP1Q2/RPPB1PB1/4K2R b Kkq -,d5e4
rn1q1rk1/p1p1bppp/1pb2n2/3p2B1/3P4/P1N1PN2/1PQ2PPP/R3KB1R b KQ -,c6b7
2kr3r/1pq1bppp/p3p1b1/2p1N2n/NnP2B2/1B6/PP2QPPP/R2R2K1 w - -,f4d2
2b5/8/1p6/1k2B3/2n5/5NKp/1P6/8 w - -,e5d4
r1bq1rk1/pp1nbppp/5n2/2pp4/3P4/1PNBPN2/P1Q2PPP/R1B1K2R b KQ -,b7b6
3rr1k1/2p2p1p/bq6/p2B1Pp1/4P3/1P4P1/P4QKP/2R1R3 b - -,a6b5
8/5pk1/4pb2/n1Pp2pr/N2P3P/3K1N2/5P2/6R1 b - h3,g7h6
r2q1rk1/pbp2ppp/1p1ppn2/2n5/2P5/PPQ1PN2/1B1PBPPP/R3K2R w KQ -,d2d4
6k1/1p3pp1/2p5/3p4/P2Bn3/4PQ2/5K2/2q5 w - -,f2g2
8/5k2/5p2/8/3BK3/R7/8/5r2 b - -,f1e1
2k1q3/1p6/P1b3r1/2QpBpp1/2pP4/2P5/1P3PPP/R5K1 b - -,b7a6
4r1k1/1pq2p1p/6P1/p2pP1Q1/3PbRB1/8/6PK/8 b - -,e4g6
8/3r1pk1/p2P2p1/1pp1r1P1/8/P3R2p/1P3P1P/3R1K2 b - -,e5e3
5r2/pp3ppp/3kpn2/8/3N1P2/2P3P1/PPK4P/7R w - -,d4b5
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB3P/PP3PP1/RNBQK1NR b KQkq -,g7g6:e7e6:d8c7:a7a6
7r/1prk1p1p/5Pp1/2pPp3/pB1b4/P7/1PR3PP/2R4K b - -,b7b6
8/1kp5/6RP/2p3p1/2K5/8/7r/8 b - -,h2h5
2k5/1p6/1P1R1K2/P5P1/8/8/8/5r2 w - -,f6g7
1rb1r1k1/p2pqppn/3p3p/Q2B4/1n1PP3/5N2/5PPP/R1B1R1K1 b - -,b4c2
