R7/1p2k3/2p1P1K1/8/7P/6P1/p4r2/8 b - h3,b7b5
5b2/2pk1p2/p2p1p2/3P1b2/p2R1Pr1/2N3P1/1PP5/2K1B3 w - -,d4a4
r2qkb1r/ppp1p1pp/2b2n2/3pN3/8/8/PPPP1PPP/RNBQ1RK1 w kq -,d2d4
r1b2rk1/p1q2pbp/2n3p1/1ppnp3/8/2PPNN1P/PP3PP1/R1BQRBK1 b - -,c8e6
rq2r1k1/pb1n1ppp/2pb1n2/1p2P3/4P3/2N2NP1/PPQ1BP1P/R1BR2K1 b - -,d7e5
1k1q3r/1p1r2p1/pb3ppn/5P2/3p1P2/3Q3P/PP4B1/1KRR2B1 w - -,f5g6
5rk1/r2q1n1p/3p1pp1/1npPp3/1P2P3/4R2P/3BBPP1/3QR1K1 b - -,c5b4
2k5/3qr3/2p4p/1p6/1P4p1/7P/2P2QP1/R6K w - -,a1a8
6r1/4p3/8/1B1k4/pP1P1K2/P5Pp/7P/8 w - -,b5a4
8/4q3/p2n1p1k/1ppP2pp/2P3bP/3BPQ2/P2N1KP1/8 w - -,f3g3
8/6R1/1k4B1/1p6/n1p5/P7/8/1K6 w - -,b1c2
2r2rk1/pb1n1pp1/1p2pn1p/3P1q2/2P5/P4NB1/4BPPP/R2QR1K1 b - -,e6d5
2r2rk1/p3qppp/1p2p3/2n5/8/3QPN2/PP3PPP/R4RK1 w - -,d3b5
2r1r1k1/6pp/4ppb1/pP1p4/P1pP1P1P/2R3P1/6BK/3R4 b - -,c8b8
2kr4/1p1q1p2/p1p3pp/8/2Q3P1/2PP3P/2P5/2K1R3 b - -,d8e8
3rr1k1/pp2ppb1/5np1/1PPp3p/P2P4/5q2/1B2RPPP/R2N2K1 w - -,g2f3
6k1/8/p7/6P1/R3pB2/4K1P1/7r/8 b - -,h2b2
1r1r2k1/8/p7/2pq3p/4pQ2/4P1P1/PR3P2/1K5R b - -,b8b2
r2qrbk1/2pb1pp1/2np1n1p/1p2p3/p2PP3/2P2NNP/PPB2PP1/R1BQR1K1 w - -,f3h2
1k1r4/pppq4/1n3p1r/2R1p1p1/1P1B4/P2P2P1/2Q1PR1P/5NK1 b - -,e5d4
r4rk1/2pq1p1p/1pnpnbp1/p3p3/P1P1P3/2P1BNN1/1PQ2PPP/1R1R2K1 w - -,f3e1
8/6k1/1p5p/4P3/3PBP2/6P1/b4K2/1q6 w - -,e4b1
6r1/1p4pk/2p1N2p/p4p2/3Q4/PbN1P1P1/1n4BP/3n2K1 w - -,c3d1
4q1k1/2pb1pbn/1p1p2pp/3Pp3/RQP1P3/6N1/1B1N1PPP/6K1 b - -,d7a4
r1bq1rk1/pp3pp1/1bp2nnp/3pp3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 w - -,e4d5
br6/p1r1q1bk/4p3/Q1Nn2p1/4p3/P2N4/1PR2PBP/2R3K1 w - -,c5e4
6k1/R7/1r2K1p1/3P2P1/5P2/7P/p7/8 w - -,d5d6
1B4k1/4R3/1p6/2p2pKp/8/5rP1/8/8 b - -,g8f8
1r6/6k1/5p2/1p4n1/1BpP3R/2P5/6PP/6K1 b - -,f6f5
1r6/2R5/1P1kr2p/3p4/3B3P/2P3P1/5PK1/8 b - -,e6g6
5rk1/4q1bp/6p1/1Nn1n3/2pN4/4B2P/1PQ3P1/3R3K b - -,c5d3
8/1R2Bpkp/p1r3p1/4p3/4P3/PP3P1P/2r3P1/6K1 w - -,h3h4
3r4/1p3p2/1k2p1p1/1p1nP1Pp/1PpN1P1P/P1P5/2K1b3/R7 w - -,d4e2
rnbq1rk1/1p2ppbp/p2p1np1/2pP4/2P1P3/2N3N1/PP3PPP/R1BQKB1R w KQ -,a2a4
r1b1nr2/1pp1k2p/3p2q1/p1nPppP1/2P5/2N2P2/PPBQN2P/2KR3R w - -,h2h4
8/4bbk1/pq3p2/1p1p2pp/1PnPp3/PNQ1P1PN/4BPP1/6K1 w - -,b3c5
1krqb2r/pp2bp2/4p1p1/PPp1Pn2/N1PpNP1p/1R1P1Q2/3B2PP/5RK1 b - -,d8d7
r1b1k2r/pp3ppp/2n1pn2/3p4/2qN1B2/2b3P1/PP2PPBP/2RQ1RK1 w kq -,d4c6
r1N2rk1/1p1q2p1/p1n4p/b2p1p2/3P1B1P/5NP1/PP2QP2/R3R1K1 b - -,a8c8
2r1r1k1/1p5p/p2pppqb/P3n3/3RPN2/2P2B2/QP2K3/2B2R2 b - -,g6g3
rnb2rk1/ppq2pbp/3p1np1/2pPp3/2P1P3/2N1BN1P/PP2BPP1/R2QK2R w KQ -,d1d2
r2r1bk1/pp1n1ppp/2p5/5b2/5q2/1PN1P1P1/PB3PBP/2R2RK1 w - -,g3f4
r1bqk1nr/pp3ppp/2np4/2p1p3/2PPP3/2P2N2/P4PPP/R1BQKB1R w KQkq -,d4d5
3rr1k1/pbpn1pp1/1p1bpq1p/8/2PP4/1P3NP1/PB3PBP/1R1QR1K1 b - c3,e6e5
r4r2/2qn1pkp/p1bp1np1/4p3/pP2P3/2NB1N2/2PQ1PPP/R3R1K1 w - -,c3a4
r1b1k2r/3n1ppp/1pn1p3/3pP3/pq1P1P2/3B1N2/PP1Q2PP/R1N1K2R w KQkq -,c1e2
8/p2Rb3/1pP1k3/6p1/2P2pP1/5K2/P4B2/r7 b - -,a1c1
1r3k2/6r1/p2nBp2/n2P2P1/1ppN3P/8/P5R1/5RK1 b - -,b4b3
r1bq1rk1/1ppp1ppp/2n1pn2/p7/2P5/PPQ1P3/3P1PPP/R1B1KBNR w KQ -,c1b2
5k2/8/1pp2npp/8/P4PP1/1B3K2/7P/8 w - -,h2h4
7k/3q2p1/p2P3p/2p2p2/2P2P2/3Q2P1/r6P/1R4K1 b - -,h8h7
r2q1rk1/p1pp1ppp/1p2p3/3Pn3/2P1N3/3Q2P1/PP2PP1P/R3K2R w KQ -,d3d4
rr4k1/1bq1ppbp/p2p1np1/p7/1P2P3/2N1BP1P/2PQB1P1/1R3RK1 w - -,b4a5
3r2k1/1q3p1p/4p1p1/8/PpQ2P2/1Pn1P2P/2R2P1R/6K1 w - -,h2g2
4r1k1/p5pp/2p3b1/2R1B1b1/3Pp3/8/qP2Q1PP/3N2K1 b - -,a2b1
8/4ppk1/2Bp2p1/3Pn1P1/2P5/r1q4P/4Q2K/5R2 w - -,e2g2
8/p2knr2/4p3/P1ppP2R/1r3qP1/1P1Q3P/2P1RPK1/8 w - -,h5h8
rn1qk2r/4npp1/2p1p2p/1p2Pb2/p2P4/P1P2N2/4BPPP/R1BQ1RK1 b kq -,b8d7
8/5pk1/6p1/2q3P1/4Q2p/4P2P/1p4K1/8 b - -,c5g5
2kr4/1pp3p1/8/7P/3P1rq1/P1PQ4/7K/R6R w - -,h1g1
r1bqr1k1/1p1nppbp/p1p2np1/3p4/2PP4/1PNBPN1P/PB3PP1/R2QK2R w KQ -,c4d5
r2r1b1k/3q1ppp/p1n3b1/1pp1pN2/3pP1P1/1BPPBQ1P/PP3P2/2RR2K1 w - -,c3d4
8/6k1/3N2p1/7p/1n3K1P/8/8/8 b - -,b4d3
8/1R2k1p1/4ppp1/1p1r4/1PpP1PKP/4P3/1P3P2/8 b - -,e7f8
rnbqk2r/pp2bppp/4pn2/3p4/2P5/P2P1NP1/1P1N1PBP/R1BQ1RK1 b kq -,e8g8
4r1k1/2q2pbp/b2p1np1/p1pPN3/1r4P1/2N4P/RP3PBK/2BQR3 b - -,b4d4
r2q1rk1/pp5p/2pp1np1/5b2/2PB1P2/2N2Q2/PP4PP/4RRK1 w - -,h2h3
1qr3k1/pb4pp/1pr1p3/2pp1p2/3P1P2/2P1P2P/PP3QP1/2RR1BK1 b - -,b7a8
3r2r1/1Pp4k/2P2n1p/3pp3/1R5P/4Pp1n/5P1P/4BR1K w - -,b4b2
8/4kp1p/2n3p1/2bp4/1P6/6P1/3BKP1P/8 w - -,b4c5
4r1k1/8/p1pb2q1/1p6/3P2NQ/2P2b2/PP1B3P/R5K1 w - -,h2h3
