8/8/5K1p/7P/1r6/2k3P1/1p6/1R6 b - -,b4g4
5rk1/pp2nrp1/4Q2p/3pPP2/1P6/6N1/P4RPP/3q3K w - -,f2f1
3b4/1p6/p2p1k2/P4p1p/1K3P2/3B2PP/1p6/8 b - -,b7b6
r3r1k1/2p2p1p/6p1/p2R4/3Q4/5P2/1PP1q1PP/1K4R1 w - a6,d4d2
r1qr2k1/1n3ppp/p1p1bb2/1p1pN3/5B2/PBP4P/1PP1QPP1/3RR1K1 w - -,e2f3
8/3R4/2n4R/1k6/p7/1p4P1/7P/3K2r1 w - -,d1d2
rnbqkbnr/pp3ppp/8/2pp4/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq -,b8c6
8/5p2/4k1p1/RP5p/1r5P/5KP1/8/8 w - -,f3g2
r2qkb1r/pp3ppp/2n1pn2/2pb4/P1NP4/4PN2/1P2BPPP/R1BQ1RK1 w kq -,f3e5
4r1kb/1brn1p1p/1q1p2pP/pp1Pp1B1/4Pn2/1BP2N2/1P1QNPP1/3RR1K1 b - -,d7c5
3r1rk1/pbq2p2/1p1p1bpp/2p1n3/2N1P3/2P2N2/PP2BPPP/1QR1R1K1 w - -,c1d1
8/8/1p2p3/4k3/2K2p2/1pP2P2/1r6/5B2 b - -,b2f2
r1bq1r1k/6pp/1p1b1p2/p1pP1n2/8/P4NP1/1P1N1PBP/2RQR1K1 b - -,c8b7
7k/1pr1b2r/p2pB3/P2Pp3/N3PpNn/2R5/1P1B2P1/6K1 b - -,c7c3
r5k1/4qpp1/1n1ppn1p/3b4/3P4/P2R1PPP/1r1BP1BN/2R1Q1K1 w - -,d2b4
4B3/1R3p2/1b2p1b1/kP4p1/n7/4P2P/5P2/6K1 b - -,a4c5
2r5/1bp2pk1/p7/1pBP1p2/8/5P1P/PP4P1/4R1K1 b - -,b7d5
8/7p/4k3/1P6/3K3p/6r1/3R2P1/8 w - -,d4c5
3R4/5p1k/4PPp1/7r/2p4K/2P5/1P6/8 w - -,h4g4
5rk1/p5p1/2p5/n1q2b1P/4p3/4P3/P1P1B1K1/2BQ1R2 w - -,d1d4
1rb1r1k1/1pqn1pbp/p2p2p1/2pP3n/P3P3/2NB1N1P/1P1Q1PPB/R3R1K1 b - -,c5c4
6k1/p1rRbpp1/4p1p1/1n2P3/6N1/5r2/5P1P/1B3R1K w - -,d7c7
8/3B1kp1/4p2p/2p2p2/3b1P2/1P3KP1/7P/8 b - -,f7f6
5r2/ppkr4/6Rp/2p5/4B2P/P3bP2/1PP5/1K4R1 w - -,g1g2
rn1qkbnr/p2ppppp/2p5/8/4b3/5N2/PPPPBPPP/RNBQ1RK1 b kq -,g8f6
8/3q1k1p/Q2b2p1/1p1Ppp2/2p1P1P1/2P2P2/5BP1/5K2 w - -,g4f5
3r4/p2bnkp1/1pp4p/1PP1R3/3P4/P4PP1/5KP1/2R5 w - -,c1e1
2kr1b1r/ppp3pp/2p2n2/1q6/3PN3/2P1pP2/PP2Q1PP/R1B1K2R b KQ -,b5f5
8/2B2b1p/8/1p6/4ppk1/2P5/5P1P/4K3 w - -,c7d6
8/p7/P4k2/2pPp2P/6K1/8/2P5/8 b - -,c5c4
8/3B4/7p/p5pP/8/4bP2/1k6/3K4 w - -,d7c6
1r2br1k/pq4pp/2p1p3/2PpP3/P3pPP1/2B1P3/4Q2P/R4RK1 b - -,e8d7
4k3/p5p1/3K2p1/1Pp2p2/2P4P/6P1/8/8 b - -,e8f7
8/8/8/4N2P/1P1p4/3kp1P1/3p4/3K4 b - -,d3e4
3k4/8/1R2p1p1/4P3/p6P/P1K3P1/5r2/8 w - -,b6d6
r2qkbnr/p1pb2pp/2pp4/5p2/8/1P2PQ2/PBP2PPP/RN2KB1R w KQkq -,f1d3
6rk/ppr5/3bppq1/1Q1p2pp/P2P1n1P/2PN1RB1/1P3PP1/4RK2 w - -,h4g5
8/1P1R3k/6p1/1K5p/5P1P/5P2/r2p4/8 b - -,h7h6
