8/6p1/4p2p/5p1P/2kb1P2/5KP1/3N4/8 b - -,c4d5
4r1rk/1bpp1ppB/p7/1pq1P2N/2n2P2/2P3Q1/PP4PP/3RR1K1 w - -,d1d4
8/5p1b/2N2k2/2KB1P2/1P2Pb2/7R/8/6r1 b - -,g1c1
8/PR6/8/6kp/7P/r4PK1/8/8 b - -,g5f5
2k5/pp2b3/5p2/NPP1pbpp/7P/1KP1P3/P5r1/R6R b - -,g5g4
2kr2nr/p1qb1pbp/1pp5/2p1p3/N3P1p1/1P1PB3/P1P1NPPP/R2QK2R w KQ -,d1d2
3R4/8/r7/5k2/8/3PK3/8/8 b - -,f5e5
r2q1rk1/pb1n1pbp/1pp1p1p1/3p4/1PPPn3/NQ3NP1/PB2PPBP/2RR2K1 b - -,d8e7
7b/1b2kr2/1q1p1p1Q/r2Pp1p1/4N3/1B3P2/1PP3PP/3RK2R w K -,b3c4
8/1pp2pk1/2B3pp/8/1P6/P6P/5RPK/2r5 b - -,c1c6
r1b2rk1/3n1ppp/p3p3/1pqpP3/3Q1P2/2NB4/PPP3PP/1K1R3R w - -,c3e2
r5k1/7p/2p2rp1/p2b2q1/Pp1R4/4P3/1P2BPPP/R4QK1 b - -,a8e8
r2r2k1/2p2pp1/p1p5/1p2Pbp1/2B5/2P2P2/PP4PP/R4RK1 w - -,c4b3
r2q3r/3kbpp1/p1p1p1b1/1pPp2Pp/PP1P3P/4PP2/8/R1BQKB1R b KQ -,d8c7
8/1p1r1k1p/2p1b1p1/3n1p2/PP6/2B3P1/4BP1P/4R1K1 w - -,c3d2
r4rk1/ppn2pp1/2p2n2/3p3P/1b1P4/2N2P2/PPPBN3/2KR3R b - -,c7e6
2r5/2r5/1p1p2p1/1k1p1pPp/p2PpK1P/P1P5/1P2RP2/3R4 w - -,d1d2
r1bq1rk1/1p1nppb1/p2p1npp/8/3NPP1B/2N3P1/PPP1Q2P/2KR1B1R b - -,d8c7
5rk1/1B3ppp/1R6/8/1n1B4/3r4/6PP/5RK1 w - -,b6b4
8/1Q5p/p3p1pk/1p4P1/2pP1r2/2q5/P6P/4R1K1 b - -,h6h5
3k1b1r/3b2pp/1p1r4/2p1Q3/P4P2/8/1PP3PP/4R1K1 w - -,a4a5
8/8/1p1q1p2/6p1/1k1r4/6RP/2Q3PK/8 b - -,b4b5
6r1/pp2r2p/3pkp2/P1p1bR2/2PpP3/3P2P1/2PBK2P/1R6 w - -,f5h5
5bk1/p2n1pp1/1pB4p/1b6/1P1B4/2Q1N1P1/P4P1P/1q4K1 w - -,g1g2
rnb1k2r/pp2ppbp/6p1/2p3B1/3P3P/2P1PN2/P4PP1/R3KB1R b KQkq -,c5d4
3q1rk1/3bppb1/3p2p1/pprP2Bp/2nN3P/PB3P2/1PP1Q1P1/1K1R3R b - -,f8e8
8/kbp2Q2/8/p3pB1P/1p2Pq1K/8/7P/8 w - -,h4h3
r5k1/ppq2rbp/3p2p1/2pPp3/2PnB3/P3B3/1P3PPP/1R1QR1K1 b - -,c7d8
8/r4pkp/1R6/7p/P7/7P/1P4PK/8 w - -,b2b3
2r2rk1/pb2bppp/1p1q1n2/2p5/1P1Pp2P/P3P1P1/1BQ2P2/2R1RBK1 w - c6,f1h3
r1b1nrk1/1p1ppp2/p5p1/q3b3/3p1B2/1B1P4/PPPN2PP/R2Q1RK1 b - -,e5g7
r2qk2r/1pB1p1bp/p1n2np1/3p4/3P2b1/2N3Q1/PPP1PP2/2KR1BNR b kq -,d8d7
5rk1/1p6/p2p4/P1pPb3/6Pp/8/1P2B1P1/1R4K1 w - -,b2b4
6k1/8/4N2R/8/6PP/3K4/5r2/6n1 b - -,g1f3
r1bq1rk1/1pp2pb1/p2p1npp/n2Pp3/2P5/2NQ1NP1/PP2PPBP/R1B2RK1 b - -,e5e4
8/2B4p/1p4p1/p2k1p2/3b2P1/1P1K1P2/7P/8 b - g3,f5g4
1r1q2rk/p4p1p/b3pb2/2pP1p1Q/2N4P/2NBP1P1/P1R2P2/3R2K1 w - -,d3f1
3rr1k1/1p2bp2/p1p1b2p/2q3pN/4P1N1/1P4QP/1P3PP1/3RR1K1 b - -,e6g4
1rb3kr/ppNnb1p1/3p1nqp/4p3/4PP2/2N2R2/PPPPQ1PP/R1B3K1 b - -,g6h5
6k1/1p1bbp2/2r3PP/1n1p4/p2p1B2/q3PPN1/P5Q1/1B3RK1 b - -,f7g6
r2q1rk1/pp2bppp/2b1p3/2p2P2/3n2P1/2NPB2P/PPPQ2B1/R4RK1 b - -,d8c7
3rk1r1/2p1n1pb/pppbPp1p/8/2P2PP1/1P3N1P/PB2N3/2RR2K1 b - -,g8f8
2k2b1r/2p2ppp/1p2pn2/8/2r5/2N1BP2/PPP2P1P/2KR3R w - -,d1d3
r2r2k1/pp3ppp/2q1pb2/2n4b/8/2P2N1P/PPBNQPP1/R2R2K1 w - -,d2e4
1n2rqk1/QR3p2/p1pp2p1/1p6/8/P5P1/1P3PBP/6K1 w - -,b2b4
1r2r1k1/bpq2ppp/pn3n2/4pP2/1P2B1P1/2P2Q2/P2N3P/R1B2R1K w - -,g4g5
8/8/8/5pk1/4n3/4K1pQ/5r2/8 b - -,f2h2
