4k3/1p3r1n/p6P/3Q4/P7/1P5K/8/8 w - -,d5e6
1r3qk1/1b2p2p/3n2p1/2p3PP/pp1bN3/3P4/PPP3B1/R1BQ3K w - -,h5g6
1r4k1/4bp1p/1p2pnp1/1N6/2P5/P3BP1P/1P3P2/3R2K1 b - -,b8b7
1r1qr1k1/1pnn1pbp/p2pp1p1/2pP2B1/P1P1P3/2N4P/1P1QBPP1/2R2RK1 b - -,g7f6
r6k/1bn3p1/6rp/2BPP3/p1P5/1N6/6PP/R4RK1 w - -,b3d4
2r2rk1/Bp4bp/4p1p1/4np2/7Q/2Nq3P/PP4P1/R2R2K1 b - -,d3c4
5rk1/1p3ppp/5q2/p4N2/P1r1Pn2/8/1PP4P/1K3Q1R w - -,f1c4
r1bq1rk1/ppp2pbp/n2p1np1/3Pp3/1PP1P3/P1N2N1P/3BBPP1/R2QK2R b KQ -,f6h5
6r1/7k/3BR3/1p1n3P/p2P1p2/P1P2P2/6PK/8 b - -,d5c3
r1bq1rk1/pp3ppp/1bn2n2/3p2B1/8/1N1B1N2/PPP2PPP/R2Q1RK1 w - -,h2h3
8/4pk2/5bp1/5p1p/r4P2/3R1KP1/4R2P/8 b - -,a4c4
rnbq1rk1/pp3pbp/3p1np1/3Pp3/4P3/2NBBP2/PP4PP/R2QK1NR b KQ -,b8d7
2bq1rk1/2p1bppp/1pQ2n2/2Pp4/1P1P1p2/2N1P3/3B1PPP/4KB1R w K -,e3f4
4nrk1/p3bppp/1pr1p3/8/4P3/P1NR1P2/1PK3PP/R1B5 w - -,c1e3
6B1/6KP/R7/8/8/p6r/1k6/8 b - -,h3h7
r2qk2r/pp2n2p/n2p2pB/2pPbp2/3P4/2P3P1/PP2N1BP/R2Q1RK1 b kq -,c5d4
1rnn1rk1/2pq1pp1/3pb2p/4p3/pP2P3/B1P1N1PP/P3QPB1/R3K2R w KQ -,f2f4
5b1r/p3kp1p/2bp1p2/1p2p3/q3PP2/2PQ2P1/P1P4P/1K2RB1R b - -,f8g7
8/5p2/R3p1k1/pP4p1/6P1/r3PK2/8/8 b - -,a5a4:a3a4
8/4kp2/3R2p1/4Pr1p/7P/4b1B1/6K1/8 w - -,d6a6
6k1/2pp3p/K5p1/2r5/4r3/1P6/P4PPP/R4R2 b - -,e4b4
