8/8/2QP2p1/5pP1/7k/3K1P2/8/6q1 b - -,g1d1
r4rk1/2qn1pbp/p5p1/P3pP2/4R3/1N2B3/1PP3PP/3Q1RK1 b - -,a8c8
r5k1/p1p2p2/1p4p1/3p2P1/6p1/2PB4/PPPb2P1/5R1K w - -,d3e2
8/6p1/2nB1k1p/5P1P/2K5/8/2P5/8 b - -,f6f5
2B4k/3n2p1/2b2p1p/p2pp1q1/Pp1P4/1Pn1PP1P/2NN1KP1/5Q2 b - -,d7b8:g5g6
1k1b3r/p4R2/4p3/2Pb1p2/8/6P1/KP3P2/4R3 w - -,a2a3
r3r1k1/1p1n2b1/p1p1b2p/4p3/4N1pP/4B1P1/PPP2PB1/R2R2K1 b - -,g7f8
2R5/6k1/p5p1/2p2p2/P1P4P/6K1/2P5/6r1 w - -,g3f3
3rk1nr/p3qppp/1p1p4/1P2p1N1/4P3/Q7/P4PPP/2R2RK1 w k -,a3g3
n2q4/6k1/p5p1/P1p4p/1p2Q3/7P/1P4P1/5RK1 w - -,e4e5
r2q1rk1/1bpp1ppp/np2pn2/8/1pPP4/P4NP1/1P1NPPBP/R2Q1RK1 b - -,c7c5
r2q1rk1/pb1n2pp/3pp3/2p2p2/1PP1n3/P3PN2/2Q1BPPP/R1B2RK1 w - -,c1b2
r4rk1/p1p1nppp/1p6/5q2/2QPn3/P3PN2/3B1PPP/2R2K1R w - -,c4e2
1r6/8/5kb1/p4p2/P1Bp1b2/1P2pP2/4K2R/8 b - -,f4h2
3r1r2/2p1nppk/1pq2n1p/p3p3/P3P2N/2P3RP/1P2QP1K/R1B5 w - -,f2f3
r1b1k1r1/p3n3/4pqp1/2p1N3/3p2QP/P7/1PPB1P2/2KRR3 w q -,g4e2
3n4/p1r2p2/R1p1k1p1/2P1P3/3K3P/5B1P/8/8 w - -,h4h5
r1br1bk1/p4p2/1p2p1pp/4P3/1nBP1PP1/4B3/P2KN2P/1RR5 b - g3,c8b7
rnbqkbnr/pp2pppp/2p5/8/4p3/2N5/PPPPQPPP/R1B1KBNR w KQkq -,c3e4
r1bqkbnr/pp2pppp/2n5/3p4/3p4/1P3N2/PBP1PPPP/RN1QKB1R w KQkq -,f3d4
rn1qkb1r/pb3ppp/1p2pn2/2pp4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq c6,c4d5
8/7p/1bb1k1p1/8/p4PpP/B3N3/4K3/8 w - -,e3g4
5k2/4p2p/3p1pp1/2pP4/2P1PPPP/5NK1/3Q4/3n1q2 b - -,h7h5
r1bqkb1r/p1pn1ppp/4pn2/3p4/P2P4/2P2NP1/4PPBP/RNBQK2R w KQkq -,e1g1
2r2rk1/p1q2ppp/3bp3/n2p4/1p1P1PP1/3RQ2P/PPPBN3/3K3R w - -,b2b3
r1b1rnk1/pp3ppp/2pq1n2/3p4/3P4/2NBPN1P/PPQ2PP1/2KR3R b - -,c8e6
2rr1bk1/1q1n1pp1/pp1ppn1p/8/P1P4P/1PNNBPP1/1Q2P1K1/2RR4 w - -,e3f2
r1bq1rk1/pp2bppp/2n1pn2/8/2BP4/2N2N2/PP3PPP/R1BQR1K1 w - -,a2a3
8/8/3k4/p1r5/Pp2R3/3KP3/8/8 w - -,e4d4
4r1k1/5ppp/p7/1pR5/4n3/1P2N1P1/P1PP3P/6K1 w - -,c5c6
r4rk1/ppn1qppp/2pp1n2/4pP2/4P3/2NP1BP1/PPPQ1R1P/R5K1 w - -,g3g4
8/1b1r4/pp4kp/3p1p2/3NnP2/5B2/PP2PP2/2R3K1 w - -,f3g2
6k1/5p2/p3p3/7R/5nP1/1P4Q1/2q5/7K b - -,f4h5
r2k1b1r/1b1p4/p2P3p/2qn3Q/4pP1N/7P/P1P3BK/R1B2R2 w - -,a1b1
r2r4/p1pnk3/1p1bp2p/5pp1/3PN3/4PNPP/PPR2P2/2R3K1 w - f6,e4d6
5r2/4k3/3n4/1pBQ2P1/1P2pb2/8/4K3/8 b - -,e7d7
2rn1rk1/p2bnpb1/1p1qp1pp/2p5/NPP5/P2PBNP1/2Q2PBP/1R3RK1 b - -,e6e5
1q2r3/R5bk/1Pb2npp/4p3/1Q2P3/4B1NP/5PBK/8 b - -,c6b7
rnbq1rk1/ppppppbp/5np1/8/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQ -,e2e4
1r6/3r3k/2p3pp/5p2/2PNp3/b3P1P1/5PBP/3R2K1 w - -,d1a1
rnbqr1k1/pp3pbp/3p2p1/2pP4/8/6P1/PP1NPPBP/R1BQR1K1 w - -,a2a4
rnbqk2r/ppp2ppp/4pn2/8/1b1PP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3
rn1q1rk1/p3b1pp/2ppbn2/4pp2/1PP5/2N3PN/P3PPBP/R1BQ1RK1 w - -,b4b5
8/5p2/4p1k1/R1N3bp/3r4/5P1K/8/8 w - -,c5e4
r2qkb1r/ppp2ppp/5n2/3P4/8/2P2n2/PP3PPP/RNBQK2R w KQkq -,d1f3
8/P1k1rp2/5Rp1/1p5p/7P/6P1/7K/8 b - -,e7e8
1r3r1k/3n2p1/p2Pp2p/5p2/2Nb4/8/PP5P/1KR1BR2 w - f6,e1a5
3R1nk1/p4p2/1p2pP1p/2p1P1pP/2P1q1b1/2B5/PP1Q2P1/2K5 b - -,g4f5
2r3k1/p4p1p/1n2p1p1/R7/3B2Q1/P7/KP3q1P/8 b - -,c8c4
8/7k/6R1/5R1K/2r4P/P7/8/7r w - -,f5f7
r3k2r/2qp1ppp/4p3/p1NbP3/3B1PQ1/3B4/n1P2RPP/6K1 b kq -,a2b4
r1b1kbnr/ppp2ppp/4P1n1/8/2p1PP2/2N5/PP4PP/R1BK1BNR b kq -,f7e6
8/1p6/bP1p1k2/p2B2p1/3K2P1/8/1P6/8 b - -,f6g7
3rr1k1/pp1nqpb1/2p4p/7b/1PNpPB2/PQ1B3P/6P1/R4RK1 b - -,e7e6
r4rk1/pbqnbppp/1pp1pn2/3p4/2PP1B2/1PN2NP1/P1Q1PPBP/R2R2K1 b - -,e7d6
r1bqr1k1/1p2b2p/2n1p1pB/p2pPp2/Pn1P4/R4NN1/1P3PPP/1B1QR1K1 w - f6,e5f6
2rr1bk1/1q3pp1/7p/1p1p1Q2/2nP3B/1BP4P/1P2R1P1/4R1K1 b - -,d8d7
1r2r1k1/2p2ppp/2p1qnb1/p1bppNB1/4P1P1/1PPP1N1P/P3QPK1/R4R2 b - -,g8h8
7k/1p2P2P/5K2/1bP2B2/3p4/8/8/8 w - -,f6e5
r1bqk2r/pp1nppb1/2p2np1/7p/7P/1P3QNN/PBPP1PP1/R3KB1R b KQkq -,d7b6
2r5/p1r1k3/8/2p2R1p/P1p1P3/2B2PP1/1P3K1P/8 b - -,h5h4
