2r5/2r2kp1/7p/4P3/8/nNBR4/2P4P/2K5 w - -,e5e6
4r1k1/1pp2pbp/r2p1qp1/p2P4/P7/1Q3P1P/1PP1NP2/R4K1R w - -,b3b5
4r3/2r1kp1p/1ppRb3/p1n1p1p1/2P1P3/2N2P2/PP3KPP/3R1B2 w - -,g2g3
3r4/p3kpQp/4p3/2p5/7P/P5R1/1P3PPK/3q4 b - -,d1d4
8/8/8/p1kb1N2/P7/1PK5/8/8 w - -,f5e3
2r2rk1/p4pp1/1pq1pb1p/n6R/3P3P/2PB4/P3QPP1/2B1R1K1 b - -,f8d8
1n3k2/p3bpp1/p3p2p/3pP3/3P1P2/2B3P1/1P3K1P/5B2 w - -,f2e3
r7/2pn3k/3p1rp1/pPpP3p/P3Pp1P/5P2/1P2B1R1/5R1K b - -,d7e5
6rr/pp1q1pk1/3p1n1b/1PpPnb2/P1P1pN1p/2R1P3/4BPPN/1RBQ3K w - -,f4h5
r1b1kb1r/1pp1qppp/5n2/3p4/1p2P3/2N1Q3/1PPB1PPP/2KR1BNR w kq -,c3b1
8/2r4p/5kp1/2p1R3/P1P5/6P1/P3PK1P/8 w - -,e5d5
r1bqk2r/4bppp/p2p1n2/1p2p3/1n2P3/2NBN3/PPP2PPP/R1BQK2R w KQkq -,d3e2
4r3/1p2npk1/6pp/p1P1P3/6P1/1B5P/Pr3P2/3RR1K1 w - -,d1d7
8/8/2n1k3/1pB4p/1P3p2/5P2/1bN1K2P/8 w - -,c2e1
5k2/7R/pr2ppn1/7p/5P2/3N2P1/1P2K2P/8 b - -,h5h4
r7/pp2kp2/3pP3/2n3p1/2P2PPq/1P1b1B2/P5K1/R3Q1NR b - -,h4e1
r1b1kb1r/1pq2ppp/p1nppn2/8/3NPP2/2NBBQ2/PPP3PP/R3K2R b KQkq -,f8e7:c8d7
rnbq1rk1/ppp1bppp/4pn2/6B1/3P4/2N5/PPP2PPP/R2QKBNR w KQ -,a2a3
2R1b2r/pp2QBpk/5n1p/4p3/4P3/7P/PP3PP1/3R2K1 b - -,e8f7
2r1r1bk/1p1q2pp/8/Q2P4/P3p3/1P1nB1P1/4R1BP/5RK1 w - -,e3d4
r1bq1b1k/1p5r/p2p4/2pP1p2/5P2/2NB2Q1/PPPN4/2K1R3 w - -,d2f3
8/1brk1p1p/p3p1p1/1p1pP3/3K1P2/PP1B2P1/2P1R2P/8 b - -,d7c6
r1b2rk1/1pq2ppp/p1n3n1/3p4/P1PP4/RN3N2/4BPPP/3QR1K1 b - -,d5c4
2rq1r2/3bnpkp/p2p2p1/np1P4/PR2P3/5N2/2BN1PPP/3Q1RK1 b - a3,a5b7
1r1r2k1/2pqpp1p/p5pb/3P1P2/1p1P2P1/4NQ2/PP5P/2KR3R w - -,c1b1
2r2rk1/pR3p2/5bp1/2pbp3/2Q5/2P3P1/3PPP2/q1B2RK1 w - -,c4d5
rnbqkb1r/pp3ppp/4pn2/2pP4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq -,d5e6
1r1r1b2/2qn1pnk/bppp2pp/2P2P2/1P2P3/1QN2NPP/3R1BB1/3R2K1 b - -,d7c5
8/4N3/p7/P3np2/1P3pkp/3K4/7P/8 w - -,d3d4
r2r1b1k/1pp1n1n1/p3p3/2PpP3/1P1P1NP1/P2bP3/2Q3P1/R1B3K1 w - -,c2d3
r1bq1rk1/p1n1ppbp/3p2p1/1pp5/2PBPP2/2NP2PP/PP2N1B1/R2Q1RK1 b - -,c5d4
5bk1/1b3pp1/p3p2p/3p4/1PP1P3/6N1/1B3PPP/6K1 w - -,e4d5
