8/1n2K3/2kP4/2B1N2p/3P3P/8/6r1/8 b - -,c6d5
2rq1rk1/pb1nbppp/1p2n3/2ppPN2/3P4/5NP1/PP3PBP/R1BQR1K1 b - -,f8e8
5Q2/p2q2p1/Pr2p1kp/1P1bP3/2pPp3/2P4P/1R3RP1/6K1 w - -,b2e2
5rk1/1p5p/4p1p1/8/4q1P1/5n2/5RQP/3R3K b - -,f3g5
4nrbk/1p2p2p/p5p1/6N1/2r3P1/1N3P2/PPP4R/1K2R3 b - -,c4c7
2r2nk1/1q2b1p1/pP1p1p2/2pP3p/2P1PP1P/8/3B1K2/1RNQ4 b - -,f6f5
3rr1k1/1b3ppp/p5q1/2p5/P2b4/1PNR3P/2Q2PP1/2R1N1K1 w - -,c3e2
6k1/1p4p1/4pB2/8/P3P1rp/3K2N1/6bP/4R3 b - -,g7f6
3r2k1/p3ppb1/1p6/2pPn1pp/P4q2/2P2N1P/1P3PP1/3QRBK1 w - -,f3e5
1r6/5b1R/2pp1kp1/p3p3/3PP3/2P5/P1P1B1K1/8 w - -,d4e5
3rr1k1/1pp2pb1/4b3/pP1Np1qp/2P1Pnp1/5P2/P1QN2PP/R3RB1K b - -,c7c6
r1bqkb1r/pp1p1n1p/4pp2/3N4/4pP2/8/PPP1Q1PP/2KR1BNR w kq -,e2e4
r1b2rk1/p1q1ppb1/1p4pp/n1p1P2n/2B4B/2P2N2/PP1NQPPP/R3R1K1 w - -,e5e6
3q1rk1/p1pn1pbp/2Q3p1/2p1p3/1r2P3/2N1B3/PP3PPP/2KR3R b - -,b4d4
5rk1/3b1pbp/2p3p1/8/2PpQ3/6P1/3B1PKP/q4B2 b - -,d7h3
2R2k1r/Q4p2/3p1q2/3Pb3/1p6/6PB/1r3PK1/7R b - -,f8g7
6k1/R4pp1/4n2p/3pP2P/5P2/p1r3P1/5BK1/8 w - -,a7a5
2r2qk1/1b3p1p/p4Pp1/1p2p3/4P1PQ/P1N2R2/1P5P/7K w - -,f3h3
2r3k1/1p4pp/p3np2/1b6/1P1pP2P/P2P1NK1/4BP2/R7 b - -,c8c3
5r1k/2pqnrp1/p2b3p/1pBPp3/1P2N3/P5PP/4Q1K1/3RR3 b - -,e7g8
8/2p5/5b2/8/3k1p2/5B1P/2P1K1R1/7r w - -,g2g6
4r1k1/p5bp/2pqp1p1/3p1r2/3P4/2QN3P/PP3PP1/2R2RK1 b - -,e8c8
r1b5/p1p1Qnk1/1p3n2/1P1P2p1/P3PpP1/2N2P1q/4B2r/4KRR1 w - -,e4e5
4k3/bp6/2rq1pQ1/4p3/PP6/8/3B1PPP/5RK1 b - -,e8d7
3R4/2r2p1p/1pP3pk/p1n5/3B1P2/6PP/1P5K/8 w - -,g3g4
