8/6p1/3k2p1/3p1p2/B2K1P2/5nP1/7P/8 w - -,d4e3
2r5/3bk2p/1R1b4/3p2p1/1P1Pp3/Nn2P1P1/4B1KP/4B3 b - -,b3c1
r4rk1/p5pp/1q2p1b1/8/3pP3/Q2B1P2/P5PP/2R1K2R b K -,a8c8
r3r1k1/pp1n1ppp/q3p3/7b/1Q1Pp3/P5PP/1P1N1PB1/R4RK1 w - -,d2e4
r3b1k1/5pbp/6p1/qp2B3/2pNn3/2P1P2P/1Q3PP1/3R1BK1 w - -,e5g7
2krbb1r/1p2p2p/p3Ppp1/n7/2B2P2/N1P1B3/P5PP/1R2K2R w K -,e3b6
6k1/5r1p/p7/1rp1pp2/3bn3/BP1R2P1/PN4KP/2R5 b - -,e4f6
2rr2k1/p4pp1/1q2p2p/1p2N3/3n1P1N/P2P2Pb/1BP2R1P/3Q2K1 b - -,c8c2
8/8/B2n1k1p/4p3/2b3p1/6P1/5K2/5N2 w - -,f1e3
R1n5/5k2/2BpR3/3Pbp1p/7P/1r3KP1/8/8 w - -,f3e2
rnb1kb1r/ppp2ppp/5n2/8/3Pq3/2N1B3/PP3PPP/R2QKBNR b KQkq -,f8b4
rn2r1k1/ppq2ppp/3p1n2/4p3/1pPPP1b1/3Q1NP1/PP1N1PBP/R4RK1 w - -,h2h3
2r1kn2/r4p1p/2pRp3/1bP3P1/pB2BP1P/P7/8/2KR4 w - -,h4h5
rn1q2k1/pbn1br1p/3ppp2/2p5/1PP5/P2BQNN1/5PPP/R1B2RK1 b - b3,b8d7
3r1r2/pp4kp/3p2pN/2n1p3/2P5/1P1b1P2/P3N1PP/3RR1K1 w - -,h6g4
r2r4/nq2kppp/R3bn2/1Pp1N3/4PB2/2P5/1P3PPP/3QRBK1 w - -,d1a4
8/3b1k1p/pp6/3p1PP1/P2Np2P/1P2P3/5K2/8 w - -,f2g3
R7/1pk1q3/B2p4/2pPp3/4p3/4Q3/PPP1N3/2K4r w - -,c1d2
3r2k1/p6p/4p1p1/1p5P/2b2q2/P4B2/1Q3PP1/3R2K1 b - -,d8d1
r3k2r/p1q2pp1/1nn1p1p1/1p1pP1B1/2pP3P/P1P3P1/1P1N1PK1/R2Q3R b kq -,c6e7
2rr2k1/2q2pp1/1p2pn1p/1Q2N3/R7/2P4P/1P3PP1/4R1K1 w - -,a4c4
rn3rk1/pp3pbp/4p1p1/2p1q3/3pP3/1P6/PBPPQ1PP/R2N1RK1 b - -,e5c7
r1b2rk1/pp2ppbp/1qn3p1/4P3/3NQP2/2P5/PP4PP/RNB2RK1 b - -,c8f5
8/8/5kp1/7p/PR5P/5KP1/8/r7 w - -,b4b6
r2qrnk1/1b3p1p/p2p2p1/P1pP3n/1p2P3/3B1N2/1P1N1PPP/R2QR1K1 b - -,d8f6
r3k2r/pp2ppb1/2bp1np1/q6p/2PBP3/2N2P2/PP1QB1PP/2KR3R w kq -,c1b1
2rr2k1/1q2pp1p/p2pn1p1/1p6/1PP1P3/N4P2/PQ4PP/2RR2K1 b - -,c8b8
rnbq1rk1/p1p1ppbp/1p3np1/8/3Pp3/2PB1N2/PP1N1PPP/R1BQK2R w KQ -,d2e4
6k1/p4n1p/1np5/6p1/4PP2/7N/PP6/2KB4 b - -,g5f4
1k1rr3/pppq2p1/2np1p1p/3B4/7Q/2P3P1/PPPR1P1P/1K5R b - -,e8e7
3k4/3n3p/1p2Rp1P/1P2pP2/4P3/1r3B2/4K3/8 b - -,b3b2
r4n1k/pp6/2p2q1p/3pQ3/3P1r1P/7B/PP3P2/2R1R2K b - -,f8g6
r1bq1rk1/pp3ppp/2n2n2/2bp4/8/2N1PN2/PP2BPPP/R1BQK2R w KQ -,a2a3:e1g1
5rk1/p2q4/2pp1r1p/2pbp1p1/8/1PNPQP2/P1P3PP/4RRK1 b - -,f6g6
3r1r2/4qpkp/p2p1np1/Pnp2P2/2N1PQ2/2P2B2/6PP/3R1RK1 w - -,d1d3
r1b3k1/5p1p/pp3p2/2b4N/8/1P3N1P/P4PP1/2Rr2K1 w - -,c1d1
r1b1r1k1/pp1n1pp1/2pbpn1p/q2p2B1/2P5/P1NP1NP1/1PQ1PPBP/R4RK1 w - -,g5d2
4r3/1pk1rpp1/p1p4p/3pP3/5PP1/R3R3/PPP2K1P/8 w - -,h2h4
r2q1rk1/ppp1ppbp/2np1np1/8/2BPP3/5Q1P/PPP2PP1/RNB2RK1 w - -,c2c3
5rk1/2p2r1p/3p4/QPp1p1p1/4P2q/5P2/P4RPP/5RK1 b - -,h4f4
1nrr2k1/1b2qppp/pp6/3p1B2/P1pP4/1PN1P3/3Q1PPP/2R1R1K1 b - -,c8c6
r1b2rk1/ppq2pbp/5np1/4p3/8/2P3P1/PPN2PBP/R1BQ1RK1 w - -,c1g5
5k2/3R4/r7/4PK2/8/8/8/8 b - -,f8e8
r1bqkn1r/pp2bpp1/2pp1n2/4p2p/2PPP3/2N3PP/PP2NPB1/R1BQK2R w KQkq h6,c1e3
1r3rk1/2p2pp1/p2b1q1p/P2bp3/Rp6/3PBN2/1PP2PPP/3Q1RK1 w - -,f3d2
8/4r1p1/1p1k1n2/p5R1/P1p2P2/2P3P1/3KN3/8 w - -,g5b5
4k2r/5pp1/p3p2p/1p2P3/3N4/1PnB3P/5PP1/6K1 b k -,e8d7
r2q1rk1/p5bp/2p1ppp1/3pP3/3P2P1/2N1Q2P/PP3P2/3RK2R w K -,e1g1
rn3rk1/pR2pp1p/6p1/4P3/3b4/5B2/q2B1PPP/3Q1RK1 b - -,b8a6
1r1qb1k1/Rp1r1pp1/1Pp1pn1p/4Q3/2NPP2P/5BP1/5PK1/3R4 w - -,e5c5
r1br2k1/ppR2p1p/2n1p1p1/6B1/1b1PP3/3BKN2/P4PPP/2R5 b - -,d8f8
3r1bk1/1Q3p2/p4qp1/1pp4p/8/1P2B1PP/P1R2P1K/8 b - -,h5h4
r2qkbnr/pp3ppp/2Bpp3/2p5/4PPb1/2N2N2/PPPP2PP/R1BQK2R b KQkq -,b7c6
3r4/p5k1/4p1pp/8/3P4/6P1/P4P1P/2R3K1 b - -,d8d4
r7/7p/1pk1p1p1/4K3/P4P2/8/6PP/2R5 b - -,c6d7
8/8/6pB/5p2/1k1p3P/3P2P1/r3K3/8 w - -,h6d2
4kb2/2p5/4p1p1/1p2P2p/p1p1KPP1/P1P4P/1P3B2/8 b - -,h5g4
r1bqk2r/pp2npbp/2n1p1p1/2pp4/4P3/2PP1NP1/PP2QPBP/RNBR2K1 b kq -,e8g8
rn1qk2r/pp2ppbp/3p2pn/8/2PP2b1/2N2N1P/PP2BPP1/R1BQK2R b KQkq -,g4f3
r2qr1k1/pp4b1/6p1/2pPn2p/4N1b1/8/PPB3PP/R1BQ1RK1 w - -,d1d2
2rr2k1/1p2pp1p/1q2b1p1/p7/Nn6/1P2P1PP/4QPB1/1R3RK1 b - -,b6a6
8/5p2/6p1/p1r3kp/3R4/8/P5PK/8 w - h6,d4e4
8/8/1p5p/pP1p1N1k/P1pP1P2/2n2K2/8/8 b - -,c3a4
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/4BP2/PPP3PP/RN1QKBNR b KQkq -,f8e7:e5d4
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N4P/PP2PPP1/R1BQKBNR w KQkq -,d1b3
7k/1p4p1/p2b1p1p/3p4/P2P2P1/1P2Q2P/2bN1PK1/3qB3 w - -,d2f1
5k2/3R4/1KP4r/1PrN4/8/8/8/8 b - -,c5c1
r2rk3/pp2npQB/4b1p1/4N3/3P4/P1q5/5PPP/R4RK1 w - -,g7h8
8/8/8/2n5/2k2K2/8/8/3R4 b - -,c5d3
r4rk1/2qn1ppp/p4n2/b3p1Bb/P1p1P3/2P2NPP/2QN1PB1/R4RK1 b - -,a8c8
8/8/7K/4q3/1k6/6p1/8/1Q6 b - -,b4a3
6k1/1R6/p7/6pp/8/5P2/PPr3P1/6K1 w - -,g1h2
rnbq1rk1/1p2bppp/p3p3/8/3P4/2PB1N2/P4PPP/R1BQ1RK1 b - -,b8d7
rnbqk1nr/p1pp1ppp/1p2p3/8/1bP5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,c8b7
r2r1bk1/1p1bpp2/1Bn2nqp/pN4p1/8/Q1N3PP/PP2PPB1/2RR2K1 b - -,d8c8
r4rk1/pq3ppp/1pN1pn2/1Nb5/2Pp1B2/1P4P1/PQ2PP1P/3R1RK1 b - -,b7c6
8/8/4k3/p1p2p2/2Pb1K2/1P1N4/P7/8 w - -,f4f3
3r1rk1/Bpq1bppp/2p1p1b1/3n4/P4P2/1B1P1QN1/1PP3PP/4RR1K b - -,b7b6
8/8/6p1/2Rk1pp1/8/5KPP/8/8 b - -,d5c5
r5k1/1p1qbr1p/p1n2pp1/3p4/P2P4/1B5R/1P2QPPP/2BR2K1 b - -,a8c8
8/1Rb2rqk/2P1p2p/5p2/3P1p2/5Q2/4N2P/7K b - -,g7g5
5k2/5pp1/6p1/N7/8/1P2K3/n5PP/8 b - -,f8e7
8/8/2q3p1/PR6/P2K1k2/8/8/8 b - -,g6g5
2r1N1k1/p4pbp/6p1/1pR5/2bP4/3qP1P1/1R3PBP/Q5K1 b - -,c8c5
r2r2k1/2p2pbp/p1n1qnp1/1p2p3/4P3/2QBB2P/PPP1NPP1/R4RK1 w - b6,b2b4
r2r2k1/pp3ppp/1qp1pn2/4N3/3P2P1/2P2Q1P/PP3P2/3RR1K1 b - g3,d8f8
3r3k/1b2b2p/p3pp1Q/2p2q2/4N3/1P1P3R/P5PP/4R1K1 w - -,h3h5
r4k2/4rpb1/4p2p/p1RbN1p1/P2P4/6BP/5PP1/4R1K1 b - -,f8g8
2r3k1/5rp1/3R1p2/3q1P1Q/5BPP/1p6/5P2/6K1 b - -,d5d6
1q1rrnk1/p4pp1/2pb3p/1p1b4/3PN3/PPQ2N1P/2B1RPP1/4R1K1 w - -,b3b4
4rk2/2p5/bp1ppN2/p4r2/2PP3p/2P4P/P5P1/R3RBK1 b - -,f5f6
8/2p3rp/7R/p2rk3/P7/1P1R3P/4K3/8 b - -,g7g2
2rq1rk1/1B1nppbp/pp1p2p1/8/1PP5/P3Q2P/5PPB/1R1R2K1 b - -,c8c4
5r1k/6bp/6p1/2P1N3/4Q2P/5pP1/p2q1P2/4R1K1 w - -,c5c6
r2q1rk1/p4pbp/3pbnp1/1pp5/2PnP3/2N1BP2/PP1QN1PP/2KR1B1R w - b6,e3d4
1r1qr1k1/p4pbp/n2p1np1/1NpP1b2/Q4B2/5NPP/PP2PPB1/R3R1K1 b - -,d8d7
rnbqkb1r/pp3ppp/4pn2/2p5/2p5/N4NP1/PP1PPPBP/R1BQK2R w KQkq c6,a3c4
2r2bk1/1p5p/2p3p1/2P1B3/1P2np2/1r4P1/5P1P/1N1R1RK1 w - -,d1d4
rnbq1rk1/1pp1bppp/3p1n2/p2Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQ1RK1 w - a6,b2b3
rn2kb1r/pp2pppp/1q3n2/3p4/2pP1B2/2NQPN2/PPP2PPP/R3K2R w KQkq -,d3d2
1r6/8/6k1/1p3pn1/1BpP1R1P/2P5/6P1/6K1 b - h3,g5e6
3r4/pp1P2kp/1b2B3/5p2/5q2/1PP5/1B2Q1P1/3K4 b - -,g7f6
5B1r/5Qpk/1p2p3/3pPn1p/3P4/5N2/Pq3PPP/R5K1 w - -,a1f1
4k3/7p/6p1/p2n4/1p2p3/4BN2/2P3K1/3N4 b - -,e4f3
r2q1rk1/2p1bppp/p1n1n3/1p2P3/3p4/4BN1P/PPP1NPP1/R2R1QK1 b - -,e7c5
r2r4/pp2q1kp/4bpp1/Q2pp3/2P5/1P4P1/P2NPP1P/3R1RK1 w - -,a5a4
2rr3k/p2qn2p/4p1p1/1p2P3/P1pB1P2/2P1Q1P1/1P5P/R4BK1 b - -,e7f5
2k1r2r/ppbqnppp/2p1b3/3p2P1/3P1P2/2NNBQ1P/PPP5/R4RK1 b - -,a7a5
3rk2r/p1p1qpp1/1bp4p/4P3/3p2b1/1N3N2/PP3PPP/2RQ1RK1 b k -,e8g8
2rr1nk1/pbq1b1p1/1p3n1p/1NppN3/3P4/1P1BP3/PB2Q1PP/3R1RK1 b - -,c7b8
r4rk1/pp3ppp/2n2q2/8/2pN1PB1/2P5/P1Q3PP/R4RK1 b - -,c6d4
r2q1rk1/p2n1pp1/2ppb2p/2n1p3/2P1PP2/2QPB1PP/P3N1B1/R4RK1 b - f3,e5f4
5rk1/ppq1pp1p/2nr2p1/2p2b2/2P5/2QP1NP1/PR2PPBP/5RK1 w - -,f3e5
r1bq1rk1/p4pb1/np1p1np1/2pPp1Pp/1PP1P3/P1N1BP2/4B2P/1R1QK1NR b K -,f6h7
r4rk1/pp3ppp/2bppn2/2q5/4PP2/2NB3Q/PPP3PP/4RR1K b - -,c5h5
r3n1k1/1pq2pb1/p5p1/2nPp2p/1P2P3/4BP2/4Q1PP/R1R3K1 w - -,b4c5
3n4/4k1p1/7p/5P2/4NKP1/8/7P/8 b - -,d8c6
2r2rk1/1p2bpp1/p1q1bn1p/P2Pp3/R7/2NQB2P/1PPN1PP1/3R2K1 b - -,e6d5
r5k1/5pp1/pR2p1bp/8/P3P2B/3K1P2/6PP/8 w - -,a4a5
5r2/1b3pkp/1n1p2p1/4p3/1PN1Pn2/1Bq1N2P/5PP1/1Q2R1K1 b - -,c3b4
r2nk2r/1pp1q1pp/p2pbn2/4p3/PPB1P3/2PQbN2/2N2PPP/R4RK1 w kq -,c2e3
7r/p2kppbp/3B2p1/1r1p1P2/1p1P4/6NP/PPP2P2/1K1R3R b - -,d7d6
r7/P6p/6p1/5p2/3Kp3/5k2/R4P1P/8 b - -,h7h5
6k1/5ppp/n4n2/p1p5/PpN2N2/1P1qP3/5PPP/6K1 w - -,f4d3
8/pp2kp1p/2p2p2/4pP2/4N1P1/2P4P/PP2B3/2K1n1b1 b - -,e1g2
2r5/3Rbrk1/1p4p1/p2R1p1p/P1P1pB1P/1P2P1P1/6K1/8 w - -,f4e5
4r1k1/p1n2p1p/1q2p1p1/1pN5/5P2/2Q1n1N1/PP4PP/R6K b - -,c7d5
r2qkb1r/1bp2pp1/p3p3/3pP2p/3NN3/6Q1/PPP2PPP/R1B2RK1 b kq -,d5e4
rnb1k2r/1pqp1ppp/p3pn2/8/1b2P3/1NNB4/PPPBQPPP/R3K2R b KQkq -,b8c6
6k1/n2N1p2/1b3P1p/7P/8/2K2P2/6P1/8 b - -,b6c7
