3R1bk1/5p2/6pp/4Nb2/8/8/5PKP/8 w - -,e5d7
r1br1qk1/pp1n1p1p/3P2p1/2p1p1N1/2P5/8/PPQ1BPPP/R2R2K1 w - -,b2b4
2r1k1r1/2qnBp1p/p2pb1p1/4p3/2p1P1P1/PNN2Q1P/1PPR1P2/1K5R b - -,e8e7
1r3rk1/3nqppp/p1bpp3/1p4P1/4P2P/P3BP2/1PPQ4/1K1R1B1R w - -,d2d6
8/8/3pkpp1/4p3/p1p1P3/2PnKPB1/P2R3P/1r6 b - -,a4a3
r2q1rk1/pp2pp1p/3pb1p1/7n/2PQPP2/2N5/PP2B1PP/R4RK1 b - -,h5g7
4k2r/5pp1/p2bpn1p/1p1pN3/3P1B2/8/PP3rPP/R2K3R w k -,g2g3
1r1q1rk1/1p2n1p1/p1p1n1b1/2PpP3/3P2R1/1Q4N1/P4PB1/2BR2K1 b - -,g6f5
8/6rk/4Q2p/p2p1p2/5q2/P6P/5PP1/3R2K1 b - -,f4f3
8/3b1pk1/p5p1/3R4/1r2P3/1P4P1/P4R1P/3r1BK1 b - -,b4d4
bQ1qk2r/4bppp/3pp3/4n3/3N4/1P6/1BP2PPP/1N3RK1 w k -,b8b5:b8d8
8/8/1r6/2Q5/4pp2/2K1k3/8/1r6 b - -,e3e2
6k1/4qn1p/p3Q1p1/1p1p4/2pP4/2P3P1/PP5P/4R1K1 b - -,e7g5
6k1/3B2p1/5p1p/4N2b/2N1P3/4KP2/8/7r w - -,e5d3
7r/p3k3/4P2p/1p4pP/8/2p2P1N/Pb2RPK1/8 w - -,f3f4
r7/2pk4/R4bp1/5p1p/2PN4/4PPP1/1r3KP1/R7 w - -,d4e2
5k2/1p6/2p1PP2/7K/3r4/7B/PP6/8 b - -,d4d2
8/7p/5kp1/P1p2n2/8/1P3R1P/3r4/5K2 w - -,f3c3
rn1qkb1r/pb3ppp/3p4/1PpP4/8/8/PP3PPP/R1BQKBNR w KQkq -,g1e2
2r1k2r/3pbpp1/p1q1p2n/1p2P2p/1P2NP2/P3BQ2/2P3PP/R4R1K w k -,e3c5
1r6/p3npk1/2r1p1pp/1p1pP3/2pP2PP/P1P2BK1/1P1R1P2/4R3 w - b6,e1a1
1r4k1/5ppp/5b2/1p6/1KpN4/3bP1P1/P4PBP/3R4 w - -,d1d3
r1bqk2r/1p1p1ppp/p4n2/4n3/1b1NP3/2NBB3/PPP3PP/R2QK2R w KQkq -,e1g1
8/8/1kb3p1/4R3/p3p3/6KP/5PP1/8 w - -,e5e6
8/4k2p/p5p1/3PP1B1/1p2K1PP/b7/n1r5/R7 b - -,e7e8
2rr2k1/pp2qppp/2B5/2p5/6b1/P3PN2/1P2QPPP/R2R2K1 b - -,c8c6
4r3/5pk1/6p1/R2p2R1/1PpP1n1K/2P2P1P/6r1/8 b - -,e8h8
r4rk1/pq1nb1p1/3p3p/1Pp1pp2/2Pn4/1NN1B1P1/PR2PP1P/1R1Q2K1 b - -,d7f6
4R3/4P3/5k1p/3p3P/2p1b3/2P5/2P4r/2KB4 b - -,f6f7
