5k2/8/8/1pR5/6n1/Pp1b2P1/1P3P2/2K5 b - -,g4f2
r4r2/2R2R2/2N1pp2/3p3k/8/7P/5PK1/8 b - -,f8f7
8/5ppk/2R1p2p/1p2r3/3nN2P/P4PP1/1P6/6K1 w - -,c6c5
5rk1/2p1qppp/8/p2BN3/2QP4/b5P1/5P1P/1rB2RK1 w - -,d5f7
5rk1/p2b2pp/1p1Pp3/5p2/3P4/3n1N2/PBr2PPP/1R3RK1 w - -,f3e1
4r1k1/1n1q2np/pp1p2p1/2pPbpB1/2P5/1P3N1P/P2QBPP1/4R1K1 w - -,e2d1
r5k1/2rbbppp/1q2p3/3pP3/p2N4/1P4P1/PBRQ1PKP/2R5 b - -,c7c2
rq1r2k1/p1Nnpp1p/3n1bp1/1p1P4/5BB1/8/P1R2PPP/3Q1RK1 b - -,d7e5
2r2qk1/3b2pp/pp2pn2/3p1p2/8/P2PPN2/1P1QNPPP/2R3K1 w - -,f3e5
b4rk1/2Rq4/1p1p1np1/1N1Pp1n1/1PP1P3/3B3p/3NQ1K1/8 w - -,g2h1
1r4k1/6b1/pq2p3/2p3Rp/2Q2P2/2N4P/6P1/6K1 w - -,f4f5
8/1p6/5kp1/1r3p2/7P/RP2RKP1/1r6/8 b - -,b5d5
8/P4p2/P4k2/2p4p/4BKp1/2p5/6bP/8 b - -,g2e4
1r1q1k2/5rp1/2bp1n2/p1p1pPBQ/2P1P1N1/3P4/1P4RP/6RK w - -,g4f6
1r2r1k1/2q3p1/b1n2n1N/ppppp3/5B1P/3P2P1/PPP2PB1/R2QR1K1 b - -,g8h7
r2qk2r/1bp1bppp/pp2pn2/3pB3/3P4/3BP2P/PPPN1PP1/R2QK2R w KQkq -,d1f3
8/p6p/4k3/2p1P2P/2K5/P7/8/8 b - -,e6e5
r2qnbk1/1b1n1ppp/p2p4/2pP4/2B1N3/1P4N1/PBQ2PPP/R5K1 b - -,g7g6
r1bqk2r/pp1n1ppp/5n2/3p2B1/1b1Pp3/2N3PN/PP2PPBP/R2QK2R w KQkq -,e1g1
1r4k1/p3pp2/6p1/5b1p/N2rn3/1P1BR3/1KP3PP/2R5 w - -,b2a3
5r1k/1b5p/p2p4/1p1Pp3/1P4nq/7P/P1QB2P1/R3R2K b - -,b7d5
8/q6k/6pp/5p2/4nP2/6P1/5B1P/6K1 w - -,f2a7
r1r3k1/1b1nnppp/1p2p3/pq2N3/3PP3/3N1PP1/1P1Q2BP/R1R3K1 w - -,g2f1
