8/5k2/3P4/2p1P1P1/1pK4p/8/1P6/8 w - -,g5g6
1r2q1k1/1p3pbp/p2pr1p1/2p4n/PnP1PP2/2NB3P/1P1B2PK/1Q2RR2 b - -,g7c3
5k2/r4pp1/2n1p1p1/1P1p4/R2P1P1P/4P3/4K3/3B4 b - -,a7a4
6k1/2p2pp1/4p2p/1p1bN3/1Pp2P1n/2P4P/2Q2K2/qN6 b - -,h4f5
3r1rk1/qp3pbp/p1n1bnp1/3p4/N7/1PQ1P1PP/PB2NPB1/2RR2K1 b - -,d8c8
r2q1rk1/pp1bbppp/2nppn2/8/3NPP2/1BN1B3/PPP3PP/R2Q1RK1 b - -,c6d4
3q1rk1/1b3ppp/p2ppn2/1p1P4/1Pr1P3/2N2N1P/P4PP1/R2Q1RK1 w - -,d1d2
8/p4r1k/3p2p1/1pp1p2p/4P3/P1PP3b/1Pq2P1N/1R3QK1 w - -,f1e1
r1bq1rk1/p2nbppp/2p1p3/1p1p4/2PP4/1P4P1/PB1QPPBP/RN3RK1 w - b6,c4b5
4r1k1/5p1p/p2P4/5R2/8/1P4p1/P4KBP/3r4 w - -,h2g3
8/6p1/4N2p/5k2/6r1/5K1P/5P2/8 b - -,g4g1
r3r1k1/p2b1ppp/5n2/3pq3/8/3B1Q1P/PP2NPP1/3RR1K1 w - -,d1d2
r5k1/4bNpp/1p1qn3/2p3PP/3Pp3/2P1P1Q1/1P4K1/2B2R2 b - -,d6g3
6R1/5p2/7k/p7/b1r5/4KPR1/1p5P/8 b - -,h6h7
7k/4b1p1/2r4p/p2pP2q/Pn1Pr3/1B3N2/3Q1P1N/6RK w - -,g1g3
3n4/pppBk2p/4p1p1/2Pp1n2/3P1RP1/3K4/PP5P/8 w - -,g4f5
r2q4/1pnb1kbn/3p2rp/1PpPpNp1/p1P1P1P1/P1N1BP2/2K1B2R/R2Q4 w - -,c2b2
3r1rk1/pp3pbp/3qb1p1/2np2N1/3p1N2/1B1P1Q1P/PPP2PP1/R3R1K1 w - -,g2g3
1rbq1rk1/4npbp/2npp1p1/ppp5/4PP2/P2PBNP1/1PPQ2BP/R2N1RK1 b - -,d8b6
3r1rk1/1b3p1p/pp2p1pb/2p1P3/P1n2P2/2P3N1/1PB3PP/2BR1RK1 b - -,f8e8
8/pp2n1p1/4kp2/7p/4KP2/P5P1/1P1N3P/8 b - -,g7g6
8/pk1q1QB1/1pn4P/2bp4/3Pr3/8/P4RP1/5NK1 b - -,e4e7
5r2/5rqk/p5p1/P1pPQn2/5RN1/4P2P/6R1/6K1 b - -,f5h4
1k1q4/1p3p1b/1np1r2p/p1b1p3/P3P2N/1PP3P1/2Q2PK1/B2B1R2 w - -,d1g4
r1bqk1nr/1pp2ppp/p1np4/2b1p3/4P3/2NP2P1/PPP1NPBP/R1BQK2R b KQkq -,f7f5
2r1kb1r/p2q1ppp/1p2pn2/2p3B1/3P4/5NP1/PPP1QP1P/R4RK1 b k -,c5c4
2kr1b1r/1ppbnp1p/p1p3p1/8/3NP3/4B2P/PPPN1PP1/2KR3R b - -,f8g7
8/8/8/2p2k2/1pP1pp2/1P3P2/3K2P1/8 w - -,f3e4
6k1/b4p2/p5pp/r2b4/3PB3/5P2/3R2PP/1R5K b - -,g8g7
4r1k1/q3p1bp/4P1p1/R2Q4/1p3p2/1P1R2PP/P4PK1/8 b - -,a7b8
1k6/q3b3/5Np1/PQ2P3/2p3PP/5B1K/3r4/8 b - -,b8c7
1r1kr2n/ppp5/5R1p/2Q1p3/2B5/P2PP2q/1PPK4/5R2 w - -,c5a7
rn1qkb1r/pbpp2pp/1p3n2/4p3/2P1p3/2NP2P1/PP2NPBP/R1BQK2R b KQkq -,f8c5
r1b2rk1/1pqnppbp/p2p1np1/6B1/3NPP2/2N2Q2/PPP3PP/1K1R1B1R w - -,h2h4
r4rk1/1b1nq1pp/1pp1p3/p2pPp2/2P1n3/1P1BP1N1/PB2QPPP/2R2RK1 w - -,a2a4
r1bqk2r/1p2npbp/p2pp1p1/8/3NPP2/2N5/PPP3PP/R1BQ1R1K w kq -,c1e3
2b5/3q1pk1/p2pp1p1/1p4Pp/3QPP1P/3P1N2/PP6/1K6 b - -,g7g8
3n4/pkp3q1/1p1R4/3p1pN1/1P1P3P/2P5/P2B1PP1/5RK1 b - -,c7d6
r4rk1/2qn2bp/pp1p2p1/2pPpP2/PP6/4BP2/2PQN1PP/1RR3K1 b - -,g6f5
8/6pk/1R3p1p/p7/P6P/1Pr1n1K1/5PP1/8 w - -,f2e3
r3r1k1/ppp1qpp1/3n2p1/3Pp3/2P5/1P4P1/PB2Q2P/R4R1K w - -,a1e1
6k1/6qp/p3n1pQ/2p2p2/PpNp1P2/1P1P2P1/2P4P/6K1 w - -,h6g7
3R4/8/8/8/7P/2k3p1/4p1K1/2r5 w - -,d8c8
6k1/1p2pp1p/6p1/p3q3/P7/4rB2/Q1b2PPP/5RK1 b - -,e3c3
8/4k1K1/8/R3P1P1/3P1p1r/8/8/8 b - -,f4f3
QQ6/3nkpp1/3p3p/4p3/B3P3/4qP2/6PP/5K2 b - -,e3d3
rnbqr1k1/1p1p1ppp/p2b1n2/2pP2B1/P7/2N1PN2/1P3PPP/R2QKB1R b KQ a3,d6c7
rnbq1rk1/p1p5/1p1ppn1p/5pp1/2PP4/2QBPNBP/PP3PP1/2KR3R b - -,b8d7
8/7p/4b2P/1pB5/1P3pk1/6p1/8/5K2 w - -,f1g1
r1b1kb1r/ppB2p2/2p5/3n2p1/3p3p/8/PPPNBPPP/R4RK1 w kq -,c7e5
2n2rk1/p4b1p/p1Nn3q/5pp1/1P1Q4/4P1P1/5PBP/2R1R1K1 w - -,c6e5
8/2b2p2/4p3/6pk/2r5/4PP1K/1R3P2/8 w - -,h3g2
rnbqkb1r/pp2pp1p/3p1np1/8/4P3/N2B1N2/1BPP1PPP/R2QK2R b KQkq -,f8g7
8/P4p1p/1R1p2p1/1p1k4/8/7P/5PPK/r7 w - -,b6b5
r2q1rk1/2p1nppp/bpn1p3/p7/PbpP4/2B2NP1/1PQ1PPBP/RN1R2K1 b - -,d8e8
1rbq1rk1/pp2ppbp/n2p1np1/2pP4/4P3/2NB3P/PPP1NPP1/R1BQ1RK1 w - -,e2g3
