8/6k1/R7/5p1p/4r2P/6K1/8/8 b - -,e4g4
r2qk2r/p3np1p/b1npp1pQ/1pp5/2P1P3/1P1P2P1/P3NPBP/R2NK2R b KQkq -,c6e5
7r/1pp2kp1/p2p4/3PpP2/PPPq1nP1/R4P2/2KQ4/1R3r2 w - -,d2d4
8/8/4bk2/8/7K/1r6/1p3Q2/8 b - -,f6e5
r3Brk1/1q3ppp/3pb3/6P1/1p1QPB2/1P6/2P4P/1K1R3R b - -,f8e8
3r3k/3P1p2/r4qp1/8/6Q1/p3P3/5PPP/1R3RK1 b - -,h8g8
8/5pkp/1p6/3Bn3/8/4PpK1/PP5P/8 b - -,f7f5
6r1/5k2/1p1rpb2/p1p2p2/P1P2P1p/3P1R1P/2N1K3/6R1 w - -,g1g8
8/8/5b2/4Np1p/1k3P1P/4K1P1/8/8 w - -,e3d4
r2q1rk1/p1pnbppp/b3pn2/6B1/Pp1P4/5NP1/1PQ1PPBP/RN3RK1 b - -,c7c5
r4rk1/p5pp/4p3/3p4/2B1Pn2/7P/P4PPK/2R2R2 w - -,e4d5
r1bqkb1r/pp4pp/2n1pn2/3p4/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq -,e1g1:d2f3
3rq1k1/p5p1/5b1p/3p1Q2/8/1P6/2RB3P/3K1R2 w - -,f5d3
r2q1r1k/6pp/4bp2/1p1n4/p2P4/Q4NP1/PP3P1P/3RR1K1 w - -,e1e6
r3r1k1/1p3pb1/2p2q2/3p2p1/1P1Nb2p/2P1P1BP/R2Q1PP1/3R2K1 w - -,g3h2
2r3k1/1q3pn1/1p1B2p1/pPr1n3/2R5/3Q3P/P2N2P1/3R2K1 w - -,d6e5
1r2k3/1bbnnpp1/5r2/Npp1p2p/4P2P/2P2PP1/1PKN1BB1/R2R4 b - -,b7c8
6k1/2R3pp/1p2R1b1/8/1r3K2/8/6PP/8 w - -,f4e3
2b2rk1/q5b1/2Bp2n1/1P1Pp2p/4Pp2/2QN1Pp1/P5PP/R3R2K w - -,h2h3
