8/8/8/8/3k2p1/p5K1/B7/8 b - -,d4c3
1Q1R4/4r1k1/6p1/1p6/4qpP1/8/5P1K/8 b - -,f4f3
5q1k/7p/1p4p1/1PbBQ3/5P1P/6P1/5P2/6K1 b - -,f8g7
4q1k1/5p2/3p3p/3P2p1/1P1Q1p2/5P1P/6PK/8 w - -,d4f6
r4rk1/1bqpb1pp/p4p1n/5P2/2pBN3/1P5P/P2PQ1B1/R4RK1 w - -,b3c4
3r2k1/1p3pb1/6p1/3P1n2/4NR2/1P4P1/r5BP/5R1K w - -,f4f2
r1bqk2r/1p2bpp1/2p4p/3np3/8/2NPB2P/PPN2PP1/R2Q1RK1 w kq -,c3d5
r1bqr1k1/1pp1nppp/3p4/p1bNp3/2PP4/4P1P1/PP3PBP/R1BQ1RK1 b - -,c5a7
r1bqk2r/p1ppbppp/2pn4/8/8/8/PPPP1PPP/RNBQRBK1 b kq -,e8g8
r4r2/3b1pkp/1qpp2p1/p1n1p3/2P1P3/1P1B1P2/P1N1Q1PP/3R1K1R w - -,e2f2
r1q2rk1/p1nnbp1p/4p1p1/1p1pP3/3P4/5NP1/PP3P1P/RBBQ1RK1 b - -,a7a5
8/3K1p2/p2P4/6Rp/6kP/6P1/P2r4/8 b - -,g4f3
r4rk1/1p2pp2/n1p3pp/p3P3/4N3/1b4P1/RB2PPBP/R5K1 b - -,b3a2
3q1rk1/ppnr1pbp/2p1pnp1/8/NP1PP3/P3B1PP/3R1PB1/2R1Q1K1 b - -,d8a8
r3n1k1/1pp1r1b1/2n1p1P1/3pP3/3P1P1N/1Pp2R1P/PR5K/8 w - -,f3c3
6bQ/4bp2/4r1kp/pp2P1p1/8/P5Pq/1B3P2/4R1K1 w - -,h8g8
1k5r/ppqn1p2/2p1b3/3p3B/PP1P2p1/2Q1P1P1/3NKPP1/7R b - -,h8h7
8/8/1R2k1p1/7p/7P/8/1p3PK1/1r6 b - -,e6d5
r3r1k1/ppR1n1p1/3p3p/3P1q2/5P2/6R1/PP1QN1PP/7K b - -,a8c8
4r1k1/pp3ppp/3Rn3/q7/2r1p3/1QN1P2P/PP3PP1/1K5R b - -,c4b4
8/7k/P1R3p1/5p1p/5P1P/r5P1/5K2/8 w - -,c6c7
r1q2nk1/pbp2rpp/1pQ1pp2/8/3P1B2/3B1P2/PPP3PP/2KRR3 w - -,c6a4
r2qk2r/pp1bppbp/2np1np1/1Bp5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 b kq -,a7a6
1r4n1/2q3bk/pp2r1pp/2pPNp2/P4P2/2BPR3/1P2Q2P/4R1K1 b - -,e6d6
1r3r2/3P1p1k/p4qp1/2p1pPRp/P1p5/2P4P/3Q2P1/4R2K b - -,b8d8
1r2n1k1/pp3ppp/2q5/P2b1Q2/2pP4/2P5/3B1PPP/R3R1K1 w - -,f2f3
3r1k2/pp5p/1bp2pp1/4p3/8/1PPnB1P1/1P3PKP/R2R4 w - e6,e3b6
5k2/1p1n3p/p4p2/2p5/2P5/1PN1R2K/P2r4/3B4 w - -,d1f3
r2qk2r/pp1b1ppp/4p3/n1b1P1N1/8/2P1p3/PP3PPP/R1BQKB1R w KQkq -,f2f4
4nk2/8/p1Np2K1/1p1Pp3/1Pp1P3/P1P5/8/8 b - -,f8g8
8/6kp/3r4/1p2n1P1/p3R1PP/P3K3/1P6/8 w - -,e4e5
r2qk2r/pp2ppbp/1nnp2p1/8/2PP2b1/2NBBN2/PP3PPP/R2QK2R w KQkq -,h2h3
5r1k/2p3p1/1p4bp/p7/2Pq4/1P4P1/P3QPBP/4R1K1 w - -,e2e3
6k1/p4p2/7p/6p1/8/2R3P1/PP3P1K/4rB2 b - -,e1f1
4r1k1/4q2p/2Q3p1/p3p3/1P1b4/8/6PP/R4R1K w - -,a1a5
2k3r1/3pbp2/p3p3/1p2P3/2P1K3/3BB2r/PP5P/2R2R2 b - -,g8g4
7R/1P6/4p3/8/6pk/4K3/8/1q3q2 b - -,h4g3
2k5/p3q3/Ppp3p1/5p2/1PP1r3/8/3Q1PP1/3R2K1 b - -,g6g5
6k1/p3p2p/3p2pb/3Pr3/8/1PN2P1P/P4P2/3R2K1 b - -,e5f5
r1bq1r2/1p5k/p2pp1np/4Pn2/2P2P2/2NBQ3/PPN5/2K3RR w - -,e3h3
2br1rk1/p1q2pp1/1p1b1n1p/2p1NQ2/2B5/1P2P3/PB3PPP/3R1RK1 w - -,f5f4
1rbq1rk1/4p2p/2npp1p1/1p6/1P1Q4/2N3PP/P4P2/R1B2RK1 w - -,d4e4
r3kb1r/p3pppp/q1np1n2/1pp4b/4P3/2PP1N1P/PPB2PP1/R1BQKN1R b KQkq -,c6e5
8/1p3r1k/p1p4b/2Bp4/1P1P2R1/2P5/4K3/8 w - -,g4g2
r4k2/p2N1pbp/8/1P6/R3pn2/8/7P/4K2R b K -,f8g8
rnbq1rk1/p1p2ppp/1p1bpn2/3p4/3P4/1P1BPN2/P1P2PPP/RNBQR1K1 b - -,c8a6
4r2k/p3q2p/1ppr2p1/2p1np2/2N1PR2/1P1P3P/P1P2QP1/5RK1 b - -,e5c4
b3n1k1/2p1bppp/4q3/p1nNB1P1/pr2P2P/5N2/5PB1/3R1QK1 b - -,b4e4
5rk1/4q3/p4pp1/1p2p1b1/2r1P2p/P1P4P/1P2QRP1/4NR1K b - -,g5f4
8/p3r2p/5k2/R7/1P3pp1/3K4/6PP/8 w - -,a5a2
r1b2rk1/p2p1qpp/2p1nb2/2P2p2/1P2p2P/PNN1P1P1/5P2/2RQKB1R b K -,g7g6
r1b2rk1/pp1ppp1p/1qn3p1/8/2BbP3/2N1B3/PPPQ2PP/R3K2R w KQ -,e3d4
r1bqnrk1/1p2pp1p/2pn2pb/p1N1N3/P1PP4/1Q5P/1P2BPPB/3RR1K1 b - -,f7f6
rnbqkb1r/p3pppp/2p2n2/1p2P3/2pP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6d5
8/3b3k/p2p2p1/1ppPp2n/2P2r2/1P6/P1R2P2/2K3R1 b - -,h7g7
6r1/3q4/5k1p/Pp1p1p1Q/1PrP4/4P3/5PB1/4R1K1 b - -,g8g6
r2qk2r/b1pb1pp1/p1npn2p/3Np3/pP2P1P1/3PB1NP/2P2PB1/R2QK2R w KQkq -,a1a4
3rr1k1/pp3pb1/2p2np1/8/2P1PN2/1q1pBPP1/PP4K1/R6R w - -,a2b3
1nrq1rk1/1p3pbp/p3pnp1/3p4/3N1P2/1PNPP3/P1RBQ1PP/2R3K1 b - -,b8c6
r4rk1/1b2bppp/pqnppn2/2p5/2P5/3PPNP1/PBQN1PBP/R4RK1 b - -,f6d7
1rbq1rk1/p4pb1/2npp1p1/2p4p/1pP1P1NP/3PBNP1/PP2QPB1/R3R1K1 b - -,h5g4
5r1k/7p/3p2n1/n1pPp3/4P3/2PK1PB1/1r1N1R2/7R w - -,h1c1
4r3/2k5/3n2p1/p2P1p2/2p2P1p/4p2P/PPB3P1/1K2R3 w - -,b1c1
8/2pk4/5pp1/1pBP1n2/1P3P1p/3K1P1P/8/8 b - -,d7d8
1r1q1rk1/p6p/2p1b1p1/2Bn1pN1/7P/1PQ1pP2/P1P3P1/2KR1B1R b - -,d5c3
4k2r/1b1qb3/p3p3/4n1pp/1p3r1P/3pN1Q1/PP1B1PP1/R3NRK1 b k h3,e5g6
r2q1rk1/pppn1pp1/3p1n1p/4p3/2Q1P2B/2P2N2/PPP2PPP/3R1RK1 b - -,d8c8
r3r2k/1p5p/p1np1qp1/2p5/2B2P2/4P3/PPPQ4/2K1R2R w - -,e1g1
2rrn1k1/pb3ppp/1p2n3/3pB3/1PP5/P4P2/3N1KPP/2R1RB2 w - -,a3a4
r1b1r1k1/1p3pb1/pq1p1npp/3P4/1PP3PN/2N2P2/P1Q1B1K1/R2R4 b - -,b6e3
r2r2k1/2qpbppp/ppN1pn2/8/P1P1P3/1PNQ2P1/5PKP/R1B2R2 b - -,d7c6
6r1/1pk1n2r/p2p3p/3Pp1b1/5pP1/2P2N2/PPK2P1P/3RRB2 w - -,f1d3
4rk2/ppQ3pp/3P4/4qp2/8/6P1/PP3P1P/R5K1 w - -,a1c1
3b4/8/4p1kP/1P1p1p2/5Bp1/3K4/5P1P/8 b - -,d8b6
5r2/5p1k/6pb/4p3/4P1q1/P6b/3Q4/R2R1N1K w - -,d2f2
1rbq1rk1/3pnpbp/2n3p1/1pp1p3/8/2NP2P1/PPN1PPBP/1RBQ1RK1 w - -,b2b4
2r3k1/1bqpbrpn/4p1Q1/8/pp1NP3/3BBP2/PPP1N3/1K1R4 b - -,h7f6
8/4k3/1p6/5p2/P1P1bp2/8/3R1K2/8 b - -,e4c6
8/4k3/p2p4/3P4/1Q6/1P6/PKP5/2r4r b - -,c1d1
8/2nk4/1p2pp1p/6p1/1PpP4/2N1P3/5PPP/5K2 b - -,d7c6
rnbq1rk1/p3ppbp/2pp1np1/1p6/3PPP2/2NB1N1P/PPP3P1/R2QK1BR w KQ -,g1e3
8/6p1/4k2b/rpR5/1N6/6P1/PP3PK1/8 w - -,a2a3
8/p6p/2p5/3p2kP/3P2P1/1Pb1BP2/4K3/8 b - -,g5h4
4rr2/1pp1q1k1/p2p3p/5R1Q/4P3/PB1P2P1/1PP4K/8 b - -,f8f5
b2rr1k1/p3qp2/3bnnp1/2pp3p/8/1P2PNP1/PB1RNPBP/2RQ2K1 b - -,f6e4
r5k1/p2p2q1/1p4p1/4r1p1/Q1B5/n1P5/P5PP/R4RK1 b - -,a3c4
r1b2rk1/1p2npp1/2p2Q1p/3pp3/p3P2N/P1PP4/B1P2PPP/R4RK1 b - -,g7f6
r1q2r2/p3n1bk/bpnp2pp/2p1P3/Q3p2N/2PPB1P1/PP2N1BP/3R1RK1 b - -,f8f1
r2q1rk1/pbpp2pp/np1npb2/3P1p2/2P5/PPN2NP1/3BPPBP/2RQ1RK1 b - -,d8e7
1q1r2k1/1b1r1ppp/p3p3/1p2P3/1P1BpPP1/P7/2Q1B2P/2R2R1K b - -,d7d4
8/pbRrk2p/p3p1p1/B4p2/1PKP1P1P/P3P3/8/8 w - -,a3a4
