8/4n1k1/4R3/6pB/Pp3p2/8/3r4/6K1 w - -,e6e7
2r2k2/1brqbpp1/p1n1p2n/P3P3/QpRp1PP1/3P4/1P1BN1BN/2R3K1 b - -,f8e8
r4qk1/1R3ppp/1Q2b3/pB2p1P1/P3P2P/8/1P6/1K6 b - -,g7g6
r1b2rk1/ppqn1pbp/2pp1np1/4P3/2B2B2/2P1PN2/PP1N1PPP/R2QR1K1 b - -,d6e5
r2qk2r/pp1n1ppp/3bpn2/3p4/8/3P1BPP/PP2PP2/RNBQ1RK1 w kq -,b1c3
r5nk/2qB2n1/p2b2b1/P1pPp2p/1pP1Pp2/3N1P1P/3NKBQ1/6R1 b - -,g8e7
1B3b2/3k4/p3p1p1/6P1/P2PKP2/8/8/8 w - -,d4d5
R7/P5k1/6P1/4p1K1/4p3/4P3/r4P2/8 w - -,g5g4
rn1rn1k1/pp3pp1/1qp1p1p1/6P1/PbBPP3/2N1BP2/1P2Q2P/R4RK1 b - -,b8d7
8/8/7k/4p3/3bP1R1/r5N1/8/5K2 w - -,g4g8
1br2rk1/pp3ppp/2nqpn2/8/1P1Pp3/P1NQ1N2/1B3PPP/2R2RK1 w - -,c3e4
r4rk1/p4ppp/1pPN1bq1/2np4/P7/6P1/Q2BPP1P/2RR2K1 w - -,c6c7
5k2/2R3p1/5p1p/5Pn1/6P1/6K1/8/8 b - -,f8g8
3r4/pkqb2p1/1p1b1pNp/2pP1p2/2P1R2P/5Q2/PP1B2P1/1K1R4 b - -,f5e4
r1qr2k1/p2nppbp/1p1p2p1/8/2pPPB2/2P2N1P/PP1Q1PP1/R3R1K1 b - -,e7e5
r7/2pbkppp/1p6/8/pP1N4/2P2P2/PK3P1P/3R4 b - -,a4a3
1rbr2k1/5pbp/p5p1/1npPp2n/2N4q/2N4P/1P3PPB/R2QRBK1 w - -,c4e5
4k3/3R4/2P1K1p1/6pp/6P1/4r2P/8/8 w - -,e6d6
8/8/R7/P3p3/1r2k3/6P1/4KP2/8 w - -,a6f6
1r1q1rk1/1p2npp1/3p3p/1PbPp2b/8/1Q2PPP1/4N1BP/1RB2R1K w - -,e2c3
r1bq1rk1/p3bppp/2p2n2/3p4/2PPP3/2N5/PP2B1PP/R1BQ1RK1 b - -,f6e4
r1bq1rk1/4bppp/p4n2/2p1p3/N2pP3/1P1B3P/P1P1QPP1/R1B2RK1 b - -,c8b7
1r3k2/6R1/5PK1/8/8/8/8/8 w - -,g7h7
8/1p3k2/3pR2p/3P2p1/1P6/5r2/8/4B2K b - -,f3f5
r3r1k1/1p2q2n/2pb1pp1/p6p/2P1p2P/PPQ1P1P1/1B1R1PB1/R6K w - -,c3c2
4k3/r5b1/p1bppp1r/1pq4p/4P3/3B4/PPP1N1PP/1K1RQR2 w - -,e2f4
