4R3/P7/4p3/5p2/5k2/5P2/r7/6K1 b - -,a2a7
7k/7p/1pB2n2/1Pppq3/5r2/1P6/6RP/3Q3K w - -,g2e2
5bk1/1p5p/p1q1p3/5p2/3PpB2/1P2P2P/P3QPK1/8 w - -,e2h5
8/6k1/5p2/6pp/P6P/5RP1/4rP2/1K6 b - -,g5h4
8/4r1kp/6p1/8/1Pp2P2/6P1/1P3K1P/3R4 b - -,e7b7
3r2k1/5pb1/4p1pp/p1p5/R7/4BNPP/2r2P2/5K2 b - -,d8d1
6k1/3n1pp1/1q5p/p2p4/P1pQ4/2P4P/1P1Br1P1/1R4K1 w - -,b1d1
8/4R1kp/bq4p1/p7/1p1n1Pn1/8/PPP2QBP/6K1 b - -,g7f8
r4rk1/pp1q1pbp/2n5/7Q/3p4/B5P1/P4PBP/R2R2K1 b - -,f8e8
2R5/pp2pp1p/1n1p1kp1/P2P4/1P2P3/7P/4BPP1/6K1 b - -,b6c8
r4rk1/1p2ppbp/1q1p1np1/p4b2/2PN4/PP4P1/3NPPBP/1RBQ1RK1 b - -,b6d4
4b1k1/p3r2p/3p2pR/5r1P/4p3/1P2Q3/1KP3P1/8 w - -,h5g6
2nk4/2p2K2/1pPp4/1P1Pp3/4Pp2/N4P2/8/8 b - -,c8a7
4r1k1/pr4p1/2p2pqp/2PpBb2/3P4/P3R2P/3Q1PPK/R7 w - -,e5d6
r1bqr1k1/1pp1ppbp/p1np1np1/8/P2PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 b - -,e7e5
2r1k2r/2q1n1p1/p2bpnp1/1p1pNbRp/2pP1P1P/P1N1PB2/1PPQ1B2/5K1R b k -,b5b4
r2q1rk1/pp4bp/1npnp1p1/5p2/3PP3/2N1BN2/PP2QPPP/3R1RK1 w - f6,e4e5
r2r2k1/pbq2pbp/1p4p1/n1p2P2/3P1N2/2PBB2P/P5P1/2RQ1RK1 b - -,d8e8
1b2q3/6pk/8/1NR1pp1p/P1Q3rP/1P2P1P1/5P2/6K1 w - -,c5c8
8/8/3p1qp1/2p3k1/7r/P6Q/1PP5/1K2R3 w - -,e1g1
r2q1rk1/4np1p/p2p2p1/2pPn3/1pP1PR2/3BQ1NP/PP4P1/5RK1 b - -,g8h8
2r1qrbk/1p2p1bp/p1p3p1/P3Pp2/1PP5/5PP1/1B4BP/1QR2RK1 b - -,f5f4
r2qk2r/1p1nb1p1/p1p1pnp1/2Pp1p2/PP1P4/2NBP2P/5PPB/R2QK2R b KQkq a3,g6g5
1r3r2/p2qn1k1/6pp/1Pp5/2Q1P1pP/6P1/4K1B1/1R6 w - -,c4c5
r1b1nrk1/1p1n1pbp/1qpp2p1/p7/2P1P3/1NN3PP/PP3PB1/R1BQR1K1 w - a6,c1e3
r3r1k1/pp2qppp/2pp1n2/8/2PQPP2/2N4P/PP4P1/R4RK1 w - -,a1e1
r1r5/8/p5p1/5k2/P4B2/2P5/1KP4P/5R2 b - -,f5e4
1rk2b1r/q4p1p/p1Bp4/Q3p3/8/2P5/P4PPP/1R3RK1 w - -,c6e4
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/3P1N1P/PPP2PP1/RNBQK2R b KQkq -,e7e6
7r/8/4nk2/1R3b2/P2p3R/5PKP/P5P1/8 b - -,h8e8
5r2/1pp2p1k/p4q1p/2P1p1p1/1PQrP3/P6P/5PP1/2RR2K1 w - -,d1d4
rnnq1rk1/p3b1pp/1pp5/2P2p2/3PQ1b1/2NB4/PP2NPPP/R1B2RK1 w - f6,e4e6
3rbrk1/1p2qpbp/pN1p1np1/PnpP4/4PB2/5PN1/1P2B1PP/R2Q1RK1 w - -,f1e1
8/5p2/5kp1/1B2bb2/7p/5PPP/1R5K/2r2N2 w - -,b2f2
8/2R2nk1/r1p3p1/3p4/1B1P1Pp1/P6P/8/6K1 w - -,h3g4
3r1rk1/p1n1bpp1/1p5p/4P3/1P4P1/P1B5/4bPP1/1B1RR1K1 w - -,d1d8
3q4/p4rk1/1pp4p/2p5/2PrRp1P/1P3RP1/P3QPK1/8 w - -,e4e6
rn1qkbnr/pp3pp1/2p1p2p/4N3/3P3P/3Q2N1/PPP2PP1/R1B1K2R b KQkq -,b8d7:g8f6
8/1P4R1/5pK1/8/5k2/1r6/8/8 w - -,g7e7
5k2/1p3p2/3p4/2rP1Pp1/2P1RbP1/8/1P1N4/1K6 w - -,d2f3
3r3r/p5k1/1p1Qp1n1/2P3P1/q3B3/2P2P2/P6P/5RK1 w - -,d6e6
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2P1P3/1P1P1NP1/PBQ2PBP/RN3RK1 b - e3,d5e4:c6c5
