8/7k/R6P/P1r4K/6p1/7P/8/8 w - -,h5g4
rnb2rk1/p1qp2pp/4pb2/1p1n4/2N5/2PQ1NP1/PP3P1P/R1B1KB1R w KQ b6,c4d2
8/8/p1K5/1pPp3b/1P1P1k2/P2B4/8/8 b - -,f4e3
8/3B4/3n3p/2k1pp2/1pp5/2P1KPP1/1P5P/8 w - -,f3f4
5rk1/r2n1ppp/b3p3/p2pP3/NpP2P2/3B2P1/PP5P/1KRR4 b - -,a6b7
6k1/1b1n1p1p/4q1p1/1p2P3/2pPB3/2P3P1/4Q2P/r1B2RK1 b - -,b7d5
r1b2bk1/1pp2ppp/3pr3/p1P1n3/N4P2/1P2P1Pq/PB2B2P/2RQ1RK1 b - f3,e6h6
r1b2rk1/2p4p/1ppn1p2/p5P1/1P2PP2/2P1B2P/P2N1K2/6RR b - -,f6f5
r1bq1rk1/pp1n1p1p/4p1p1/2b1P3/3N4/1PN1B3/1PP1Q1PP/R4RK1 b - -,d7e5
6k1/5p2/1QbBp1p1/1p1pP3/1P3q2/2P3p1/5P2/3r1BK1 w - -,b6d8
2rr2k1/6pp/p1q2p2/Pp1bp1n1/1B4P1/1PP1Q3/2B2PP1/R3R1K1 w - -,f2f3
3Rk2r/p3b1pp/2p1bp1n/4p3/4P3/2N2NBP/PPP3P1/2KR4 b - -,e7d8
1r1q1r1k/4b1pp/2np4/p3pb2/1pP4P/1P2N1P1/P1N2PB1/R2Q1RK1 b - -,f5d7
1n6/3nbkpp/8/1R2p3/3NP3/3p1PB1/1r4PP/5K2 b - -,b2a2:e7b4
4r1k1/1b2qppp/1Qp2bB1/8/3P4/5r1P/P4PP1/3R1RK1 w - -,g2f3
rnbqkb1r/pp1ppp1p/2p2np1/8/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq d3,f8g7
1k1r3r/pp1nqp2/2p1pnp1/2Pp4/3P3P/1N1BP3/PP2Q1P1/1KR4R b - -,e6e5
r3nr1k/1p2bppp/p1b1p3/q3P3/3BN1Q1/3B4/PPP3PP/3R1R1K b - -,g7g6
r1b2rk1/1p2b1pp/1qpp1n2/p7/2P5/2B2N2/PPBQ1PPP/R4RK1 w - -,a1e1
6r1/2p2p1k/Bp5p/4p1n1/PP2Ppbq/2P5/Q4PPN/5RK1 w - -,g1h1
8/5pk1/4n1pp/1p2p3/2p1P1P1/2P1qPP1/1PQ3K1/3B4 w - -,c2f2
r4rk1/3qbppp/4p3/pp1bP3/1P1N1P2/Q1BP2P1/3PK2P/R1R5 w - -,a3b2
r5k1/1p3p1p/p2p2p1/2q5/3prPPQ/7P/KPP5/2R1R3 w - -,a2b1
2r2rk1/p2qb1pp/1pn1bp2/2pnp3/4N3/P2P1NP1/1P1BPPBP/2RQ1RK1 w - -,f1e1
2r5/pr2bkp1/4pp1p/2p5/8/2P1B3/PP2RPPP/3R1K2 w - -,e3c1
3r2k1/6p1/1p1q1p2/1P1p2p1/1R1n4/4N1P1/3Q1PKP/8 b - -,d4e6
3r2k1/5p2/p2qpbp1/1p1b3p/1P1P1B2/P1RB3P/5PP1/2Q3K1 b - -,e6e5
rn1qkb1r/p4ppp/1p2p3/3pP3/3Pn3/5NP1/PPQ2P1P/RNB2K1R w kq -,b1d2
2rq1rk1/pp3pbp/2npp1p1/8/4P1n1/2N2N2/PPPQ3P/R3KBBR w KQ -,h2h4
r2qkb1r/pp1npp1p/2p1b1p1/3nN3/3P4/1B6/PPPN1PPP/R1BQK2R w KQkq -,e5d3
r2r2k1/p4ppp/2p1pb2/1p6/2NP4/P1P3B1/1PR2PPP/3R2K1 b - -,b5c4
r1b1kbnr/pp1p1ppp/1qn1p3/8/8/1N4P1/PPP1PPBP/RNBQK2R b KQkq -,d7d5
8/kp3Q2/p7/2pp4/5KP1/2P2P2/PP1q4/8 w - -,f4f5
2k1r3/p1p3pp/2pp4/N7/4P1n1/4Q3/PPP3PK/5R2 w - -,h2g3
1k6/pp1r2p1/3r1p2/3p3P/3P1BP1/8/PPP5/2K1R3 w - -,e1e6
8/6k1/1pbp1pp1/p3p1n1/P1P1P1P1/1PN1P1K1/2B5/8 w - -,c2b1
6r1/N7/3kp3/3p4/8/1P2b1P1/2P2RK1/8 w - -,f2f7
6N1/3k4/p3p3/1p2Pp2/1P1K1n1P/P7/8/8 w - -,g8f6
2rq1rk1/p2pnpbp/bpn1p1p1/2p5/4PP2/N1PPBNP1/PP4BP/R2QR1K1 b - -,d7d5
8/7p/3p2p1/8/6P1/1p1kN2P/5P1K/8 w - -,e3d1
1k1r3r/np6/p1b1pPB1/4P1K1/1B6/P5R1/1P1R4/8 w - -,d2d8
2r3k1/1pq3pp/p1rp4/3Rp3/P1P1P3/1P2Q2P/6P1/3R2K1 b - -,c7b6
r1r3k1/pp3p1p/2nqbbp1/3p4/3P4/P2BB2P/1P1QNPP1/2R2RK1 b - -,d6d8
q1r3k1/2rnbppp/bp2p3/p2pP3/3P1B1P/P4NP1/1P4P1/RB1QR1K1 b - -,d7f8
2br2k1/p3p2p/6p1/1p1qn3/8/1P2P3/PQ1NBPPP/2R3K1 w - -,d2f3
4r3/5pk1/6p1/8/5R1p/7P/6PK/8 b - -,g6g5
3r1rk1/p2q2pp/3p1pb1/2pP2P1/P3P1Q1/1pP1R2P/1P1N4/1K1R4 b - -,f6f5
R7/p1r2pkn/6pp/pP5P/2P1p3/2K1P1N1/4Bn2/8 w - -,c3b3
1N4rk/p4p1p/3qpb2/2pP1p1Q/7P/2N1P1Pb/P1R2P2/3R2K1 w - -,g1h2
r1b1kb1r/pp1n1ppp/1qp1pn2/8/2BPN3/2P2P2/PP4PP/R1BQK1NR w KQkq -,d1e2
r4rk1/2qnbpp1/1pp1pn1p/p1Pp1b2/1P1P4/P1Q1PN2/1B1NBPPP/R1R3K1 b - -,f8c8
r2q2k1/2p1pr1p/p1n2np1/1p6/3P4/3BBP2/PPPQ3P/2KR2R1 w - -,d3e4
2rr3k/pp3pp1/4p2B/4P3/3P3P/8/qP3QP1/2K1RR2 w - -,c1d1
6k1/p4rpp/6n1/N7/5P2/1N4Pb/P6P/R3r1K1 w - -,a1e1
rnbqkb1r/pppp1ppp/4pn2/8/3P1P2/5N2/PPP1P1PP/RNBQKB1R b KQkq -,c7c5
r1q2rk1/1p2bpp1/p1p1pn1p/2P5/3PB1P1/1Q4BP/PP3P2/R4RK1 w - -,e4c2
r1bqkb1r/ppp2ppp/2np1n2/8/3pP3/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,f3d4
6k1/5p1p/4p1p1/1p2P3/p1bP1KP1/P2R1B1P/5P2/2r5 w - -,d3e3
3rR1k1/2qb1p1p/p2p1pp1/1p1P4/8/P1P3PP/1P1Q1PB1/R5K1 b - -,d8e8
6k1/pp5r/5r2/3pq3/P1p1nPp1/2P1Q1B1/R1P4P/5KR1 w - -,e3d4
r6k/1pp2R2/3p1N1p/P3p3/1P1pP3/3P1n2/6PP/2q2QK1 w - -,g2f3
r3r1k1/p1p2ppp/b1p1q3/3nP3/8/1Pp2Q2/PB2BPPP/R3R1K1 w - -,e2a6
