8/8/6Q1/3kp2P/2p1q3/P4RP1/3r1PK1/8 b - -,d2b2
2r3k1/4Brb1/2qP2pp/1p1npb2/2p1N3/6QP/1P4PK/1B1R1R2 w - -,g3a3
8/3B4/7p/p1r1k1p1/2P2nP1/pP5P/3R4/1K6 b - c3,f4h3
8/8/8/1p1p1kPp/2pP3P/B1P3b1/4K3/8 w - -,a3e7
1rr3k1/1bq1bpp1/p3p2p/4P3/np1N3P/4QBP1/PPPN4/1K1RR3 w - -,f3b7
r2q1rk1/4npbp/ppn1b1p1/3p4/N2Pp3/BP4P1/P1NQPPBP/R4RK1 b - -,f8e8
5r1r/4q1k1/2np4/p1p3pP/4P3/1P4P1/P4RQ1/3B1RK1 w - -,f2f8
5k2/4Q3/P6P/4p3/3b4/6PK/8/8 b - -,f8e7
r4r1k/2p3p1/1bp2q1p/3p4/PP6/1N2B3/3Q1PPP/R5K1 b - -,b6e3
r3k2r/1p3qbp/p7/2ppn1BN/6b1/2PB4/PP2QPP1/R3K2R w KQkq -,h5g7
r2q1rkb/pp5p/4npbP/2Pp1R2/BP1Pp3/P3B3/3QN1P1/5RK1 b - -,f8f7
1nr2rk1/p4ppp/1p2pn2/8/3P1B2/2PB1P2/P5PP/2RR2K1 b - -,f8d8
1rb1k2r/3p1pp1/p1p1p3/4Pn1p/1q2NP2/1PPB4/P4QPP/R3K2R b KQk -,b4b6
1r3rk1/p1q1npp1/2p1p1bp/4P3/4pQ2/1NP3P1/PP3RBP/R5K1 w - -,g2e4
8/5kp1/1n1p4/pBpP1K1P/P7/1P6/8/8 b - -,f7e7
3q2k1/p2r1pp1/1p2bb1p/3pB3/8/P2RP1P1/1P3PBP/3Q2K1 w - -,e5f6
4nrk1/5p1p/3p2p1/1Np1q3/4P3/1P3Q1P/r4PP1/2RR2K1 w - -,d1d5
3rrnk1/ppqb2pp/4pp2/8/2P5/1P2R1P1/PQ1N1PBP/4R1K1 b - -,d7c6
3r1r1k/pb2q1pp/4Bp2/2p1nP2/5B2/2P5/P3Q1PP/3R1R1K b - -,e7c7
3r2k1/3q1p1p/R5p1/5b2/1p1P4/1Q6/1P3PPP/5BK1 b - -,d7d4
r1bq1rk1/pp1n1ppp/5n2/3p2B1/1b1P4/2NB1N2/PP3PPP/R2QK2R w KQ -,e1g1
1r1q3k/p5b1/b2p1n1n/2pPp1pp/B1P1Pp2/P1N2P1P/3B1NP1/1R1Q2K1 w - -,c3b5
5r1k/qp2p1bp/2rpNnp1/8/4P3/1Q3P2/PPP3PP/1K1R3R w - -,e4e5
8/p4pkp/1r2p1p1/2p1K1P1/2P5/3P3R/8/8 w - -,h3h2
2r5/p3kpb1/1pn1b1pp/2p2p2/2P2N2/1P2PNP1/P2R1PBP/6K1 w - -,f3e1
2r1k2r/1q1n1pp1/p1b1p2p/2b5/1p2PBn1/2N2NP1/PP1Q1PBP/3R1RK1 w k -,c3d5
2r5/2q1p1kr/p2pPp1p/5P2/2p3PR/2P5/PP1Q4/2K4R b - -,c8h8
r1r3k1/1pq1bpp1/7p/2pPp3/1P6/3QP3/3N2PP/2R2RK1 w - -,b4b5
4r1k1/5ppp/p7/1p1P2q1/2p2b2/P4P2/1P3QPP/1B2R2K b - -,e8e1
rnbqr1k1/pp3pbp/3ppnp1/2pP4/2P1PP2/2NB1N2/PP4PP/R1BQK2R w KQ -,e1g1
2kr2r1/pbpn1p1p/1p2p3/8/3PP3/P1n3N1/2P1B1PP/R1B2RK1 w - -,e2d3
r2r2k1/2q2pbp/p2Np1p1/1pn1P3/8/2P1QP1P/PP6/1B2RRK1 w - -,f3f4
r1b2rk1/4b1pp/pq2p3/1p1pPp2/3P1Q1P/Pn1B1N2/1P2NPP1/3R1K1R w - -,h1h3
2kr1bnr/pppb1qpp/2n1pp2/1B1pP3/3P4/P1N1BN2/1PP1QPPP/R3K2R b KQ -,g8e7
3r2k1/8/7p/P3pp2/1P6/1Rb2pP1/5P2/5K2 w - -,f1g1
3r2k1/4bppp/1q2pn2/n2pN3/Pp1P1B2/3BPP1P/6P1/2RQ2K1 w - -,d3b5
5r2/1r3kb1/pP2b1pp/4p3/8/R1N1B2P/1PP3P1/4R1K1 w - -,a3a6
8/2prqppk/Q6p/8/7n/1B2P3/P4PPP/2R3K1 w - -,a6c6
8/1R3p1p/3Bb1p1/6P1/1pr2P1P/2k1K3/8/8 w - -,b7b6
8/6kp/p4p2/PbN5/1p5p/5P1K/1PP2P2/8 b - -,g7g6
8/1R2k3/5pK1/8/3P1rP1/8/8/8 b - -,e7e6
rn1qkbnr/pp3ppp/2p1p3/3p3b/2PP4/2N1PN1P/PP3PP1/R1BQKB1R b KQkq d3,b8d7
