8/8/5pk1/8/5R1P/5PK1/1r4P1/8 w - -,g3h3
3R4/p4rkp/p2p1p2/2p2Pp1/6P1/P1P4P/1r6/4R2K b - -,b2d2
2r5/2P2k2/5n2/1p1p1p1p/p2R1B1P/PbP2P1K/6P1/4R3 w - -,e1e5
rn1qr1k1/pp3ppp/2p1p3/4Nn2/P1pP4/B7/5QPP/R4BKR w - -,f1c4
rn1q1rk1/p1ppbppp/1p2p3/8/2PP4/6P1/PP2PPNP/R1BQ1RK1 b - -,d7d6:d7d5
1r4k1/q2bbppp/2np1n2/r3p3/1pPPP3/3B1N2/1B1N1PPP/1R1QR1K1 w - -,d2b3
r1b1k2r/p1q1bpp1/2pp3p/4p3/2nPP1n1/4B1P1/1PPQNPBP/R2NK2R w Kkq -,d2c3
8/5kp1/2p1pnp1/2N5/R2PP3/5K2/1r3P2/8 b - -,g6g5
2r4k/6rp/p7/8/Q6P/8/P1R2p2/6K1 w - -,g1f2
2rq1rk1/1b4b1/p2pp2p/4n3/Pp3B2/1N6/1PPQ2PP/R3RBK1 w - -,f4h6
r4r1k/1pqnb1pp/2n5/p1p2p1b/2Pp1PP1/PP1P3P/1BNQ2BN/R4RK1 b - -,f5g4
rnbqkb1r/pp2pppp/8/2pp4/3Pn2B/5N2/PPP1PPPP/RN1QKB1R w KQkq c6,e2e3:b1d2
8/4n2B/1p1k4/1P1p2n1/1K1P4/8/4N3/8 w - -,h7d3
2rr2k1/pq2bpp1/1p2pn1p/n7/3P4/P1N2PB1/BP2QP1P/2RR2K1 w - -,b2b4
1r6/3n1k1p/r4pp1/p2p4/1q1Nn3/QP3NP1/2R1PPKP/R7 w - -,a3c1
r2q1rk1/pppb1pbp/2np1np1/4p3/3PP3/2N1B1PP/PPP1NPB1/R2QK2R w KQ -,e1g1
2rqnrk1/3b1pbp/Bp3np1/2pPN1B1/P6Q/2N4P/1P3PP1/3R1RK1 b - -,c8a8
r1b2rk1/1pqnbpp1/2pp1n1p/p3p3/P1BPP3/2N1B2P/1PPN1PP1/R2QR1K1 b - -,f8e8
r2qk2r/p2bnppp/2pBp3/4P3/2PP2n1/3B1N2/2Q2PPP/RR4K1 w kq -,b1b7
8/2n2k1p/p1b2bp1/P2p4/5N2/5P2/6PP/2B2K2 b - -,d5d4
4b3/8/2p2k2/1p1p2p1/p2P2N1/P1P1K3/1P6/8 b - -,f6e6
r4rk1/pb1pbppp/1pn1pn2/8/2P2P2/1PN2N2/PB2PPBP/R4RK1 b - -,f8d8
r2r2k1/3p1ppp/p3p3/2p1P3/2P2P2/5R1P/PP4P1/3R2K1 b - -,a8b8
5r2/6k1/4q1p1/p1p1pn1p/PpP5/1P2n1PP/5QB1/5RNK w - -,f1e1
5nk1/5pp1/2q1p3/4P1PP/p1pP4/1pQ5/1P5K/2B5 w - -,c3b4
r3nr1k/pp2q1b1/2bp2pp/8/8/1QN1B1PP/PP3PB1/3R1RK1 b - -,e8f6
8/5qrk/4R1pb/7p/2P1QP1N/3P2P1/6K1/8 b - f3,f7b7
r2qkb1r/1b1p1ppp/ppn1pn2/1Np5/2P5/1P2PN2/PB1P1PPP/R2QKB1R w KQkq -,b2f6
6k1/5q1p/bNp5/3p2p1/3P4/1P2Q1P1/P5KP/4Rr2 b - -,f1e1
2rbk2r/p2qnppp/4p3/1p1pP1PP/1PnP4/PQ1B1N2/1B3P2/3RK1R1 b k -,e7f5
6k1/5p1p/4p1p1/1p6/1r2P3/5P2/4K1PP/R7 w - -,a1a2
1k6/1p2rppp/p1n1b3/8/1P6/P1N5/3r1PPP/R3RBK1 b - b3,e6f5
6r1/5k2/4p3/1p1p1p1r/p2P3p/P1P2R1P/1P2R1P1/5K2 b - -,g8g6
3B4/1p3k1p/p2p2p1/Pn1P4/1b6/1B5P/6P1/6K1 b - -,f7e8
8/p2R4/8/5k1P/3p4/r6P/4K3/8 b - -,f5e4
