8/6r1/P2P1k2/2pKR3/8/2P3p1/8/8 w - -,e5e1
3r2k1/5pp1/5qp1/8/2nP1N2/p3PQPR/P4P2/6K1 w - -,f3h1
r3k2r/pq2pp2/1p1p2p1/2p1nn1p/2P5/1P1PP1PP/PR3PN1/3QNRK1 b kq -,e8g8
3r4/p1qnbp1k/2p1b1pp/8/Pp2PpP1/5Q1P/1PP1NPN1/4RBK1 b - -,g6g5
r1b2rk1/pp1n2pp/1qn1p3/3pp3/1b1P1P2/3B1NP1/PP4KP/R1BQ2NR w - -,d4e5
4b3/6B1/3P4/2K5/5k2/5P2/p7/8 w - -,c5b6
2kr3r/1pp3p1/p1np1p2/4qb1p/2P5/1PP1BP1P/PK1QB1P1/3R3R w - -,f3f4
5rk1/p2n1ppp/4pn2/2B5/2r5/5NP1/P3P1BP/1R3R1K b - -,c4c5
2r2rk1/p4pp1/2p2n1p/1pR5/8/1N1B1P1N/Pb6/6K1 w - -,g1g2
r6k/2qrbppp/p1bp4/1p3P2/1P2N3/1N2B1Q1/1PPR2PP/3R2K1 b - -,c6e4
6k1/2q3bp/p2pp1p1/2p5/3nbP1N/2N3PP/PQ1B3K/8 w - -,b2a3
8/8/4p3/3b1r2/R1p2k2/2P5/2P2B1P/5K2 b - -,f4f3
q2r2k1/1b2bpp1/4pn1p/8/1p1nP3/pP4P1/P1NRQPBP/B5K1 w - -,d2d4
r7/1p1r2p1/p3kpP1/3p4/8/1P2P1P1/P1R2P2/2R2K2 b - -,e6f5
2kr1b1r/ppqbnppp/4p3/n2pP3/2pP1P2/P1P3PB/1P1N3P/R1BQNRK1 b - f3,f7f5
3q1rk1/2pbpp1p/Qr4p1/3P4/P2N4/1p2P3/5PPP/R4RK1 w - -,a6d3
r1b3k1/pp2pp2/2p2qpQ/3B2N1/8/3P2P1/PP2PP2/2R1K3 b - -,c6d5
8/3N4/8/p2B1k1p/P4P2/1Pb2K2/2b5/8 w - -,d7c5
2r2rk1/pp3p2/4pPpp/3q1n2/5Q2/1PB3P1/P2P2RP/4R2K b - -,g8h7
5rk1/2q2p1p/2p2Pp1/2bpPR2/3r4/3Q4/P2B2PP/3BR2K w - -,d3h3
q3r1k1/1p3pb1/1P1Q2pp/1Pp5/8/1r2P1PP/5PBK/2R2R2 b - -,b3b5
1rbq2k1/5r1p/p2p1np1/n1pP1p2/2P1pP2/2Q1P1P1/P2N1NBP/4RRK1 w - -,g3g4
4rrk1/pp2q1pp/2pP4/2P1bp2/1P2n3/P5P1/1B4BP/R2Q1RK1 b - -,e7e6
r1b2rk1/2qnp2p/p2p1pp1/2pP4/2P1P3/R2Q3P/P2N1PPB/5RK1 w - -,f2f4
2r3k1/2rbqp1p/n2p2pb/1pnPp3/pN2P1P1/P2N1P1P/1PB1Q1K1/3RBR2 w - -,e1c3
rr2k3/2q1bp2/pp2p1p1/nP1pP1Pp/P1pP1Q2/N1P5/3N1P1P/RR5K w - -,b5a6
r2qk2r/pp2ppbp/3pbnp1/4n1P1/3NP3/2N1BP2/PPP1B2P/R2QK2R b KQkq -,f6d7
2r1r1k1/1bqn1pbp/p1p2np1/2pp4/PP1P4/1QN2NP1/1B3PBP/2RR2K1 w - -,b4c5
8/8/p3r2p/5kp1/2P5/P7/1K6/3R4 w - -,b2c3
4r1k1/1p1r1p2/p5p1/2Pp1n2/1P1P1P1p/5P2/7P/2B1R1K1 w - -,e1e8
4r3/7k/p5p1/2n2p2/1pBp2b1/1P4B1/PNPN3P/6K1 b - -,a6a5
3rr1k1/1b2qp1p/pnp2b2/1p1p2p1/3P4/P2NP1P1/1P1RNPBP/2RQ2K1 b - -,b6c4
3r2k1/1pp4p/p1q1p1p1/2n1Pp2/1PP2P2/4R3/P1Q1N1PP/6K1 b - -,c5e4
r2qkb1r/pp1n1ppp/2p2nb1/3pp3/2P3P1/3P1N1P/PPQ1PPB1/RNB1K2R w KQkq -,g4g5
4r1k1/r4p1p/1p4p1/1P1R4/5N2/n2R1PP1/4P2P/6K1 w - -,d5d8
1r2k2r/2q2ppp/p1pbp3/5n2/2P3Q1/1P6/PB2BPPP/R4RK1 b k -,d6h2
8/2k4p/r3p1p1/3p4/P4K2/R7/6PP/8 b - -,c7d6
6k1/4q2p/3p1pp1/2pPB3/4P3/1P3Q2/r1P3PP/5RK1 b - -,f6e5
1rN3k1/p4pp1/4p2p/3pP3/b2P4/3B3P/PP3PP1/4R1K1 b - -,b8c8
4r1k1/p2brppp/3b4/2pP3q/PpP5/1P1QN1P1/1B1R1P1P/4R1K1 b - -,h5f3
8/p1R5/1p1rp2p/6k1/3p2P1/5K2/PP5P/8 w - -,c7g7
r1bq1rk1/3nbppp/2p1p3/p2p4/4P3/1PNB4/P1PBQPPP/R4RK1 w - -,e4d5
7R/8/8/P1p2p2/4pk2/1P3n1P/6K1/8 w - -,h8e8
3kb2r/p4pRp/2p5/q1n1pP2/1pP1P3/P7/2PBBQ1P/1K6 b - -,d8c8
r1bq1rk1/pp3ppp/4p1n1/1P1pPn2/3p3P/P2B1NB1/2P2PP1/R2Q1RK1 w - -,h4h5
r4r2/5p1k/p2p1npP/1ppPn3/4Pp1P/5P2/PPP1N1B1/2KR3R b - -,f6h5
2r2rk1/2pR1pp1/p1P3p1/6N1/1p3P2/nP6/P4PKP/4R3 w - -,e1e7
3rr1k1/1p3pb1/p1bNp1p1/n1P1P3/4NPBq/4R3/PP4K1/2RQ4 b - -,f7f5
8/2r4p/6p1/5p2/Bp2r1kP/3R4/PKP3P1/8 w - -,g2g3
r1bqkbnr/p2ppp1p/1p4p1/8/3QP3/2N5/PPP2PPP/R3KBNR b KQkq -,f7f6
1rr1b1k1/1q1n3p/p2p2p1/B2Pp1b1/1PP1PnP1/1B2QP2/NK1N4/1R3R2 b - -,h7h6
r3n1k1/Nprqp1bp/1B1pp1p1/8/PQ2P1P1/1P3P2/2P4P/2KR3R b - -,d7d8
rnb1qrk1/pp4pp/4p1p1/3pP3/2pP2Q1/P1P5/2PB1PPP/R3K1NR w KQ -,g1h3
2r1r1k1/1p1bb1pp/1qn1p3/p2p1p2/P2P1B2/2PBRN2/1P1Q1PPP/R5K1 w - f6,a1e1
1rr3k1/1p1bbp2/p3pnp1/2q1Q3/2PN2Pp/1P5P/P1N2PB1/3RR1K1 w - -,d4f3
1r6/1b6/8/8/1R6/1BkP3P/P1P3P1/6K1 w - -,a2a3
r3k2r/4bpp1/p1p1pn1p/1pP1N2P/3P1B2/8/qP3PP1/2KRQ2R w kq -,h1h3
r1bq1rk1/4npbp/p2p1np1/1p1Pp3/4P1P1/2N1BPN1/PP1Q3P/R3KB1R w KQ b6,h2h4
r4rk1/p1q1npbp/6p1/1pBbp3/1Pp5/2PP1N1P/P4PP1/R2QRBK1 b - -,c4d3
2r3k1/p3qp1p/b2b1p2/3p4/QP6/P4N2/5PPP/4R1K1 b - -,a6e2
8/7p/1k4p1/1n1K4/5B1P/8/6P1/8 w - -,g2g4
8/Pb6/5pp1/6p1/2K1k3/4B1P1/5P2/8 b - -,e4f3
r1bq1rk1/pp3pp1/3p1nnp/2pPp3/2P1P3/2N1B2P/PP2BPP1/R2Q1RK1 b - -,g6f4
r4rk1/2pqbppp/p1n5/1p1pP3/3P2b1/1Bn2N2/PP2QPPP/R1BR2K1 w - -,b2c3
1r3rk1/2pb2pp/2p2b2/p2p3q/3N1P2/1P1QB3/P1P3PP/4RRK1 b - -,c6c5
2n5/4k1p1/p6p/1p6/4N3/bP2B2P/4rPP1/3R2K1 w - -,e4d2
R1b2b2/2r1kp2/2p1p1p1/1pN3P1/3PBP2/4P3/1P3K2/8 b - -,e7d8
4r3/2k2p1p/2p2p2/p2p4/P2P4/4P1P1/5PKP/1R6 b - -,h7h5
r1bqnrk1/p2nbppp/1pp1p3/3p4/2PP1B2/P1NBPN2/1P3PPP/R2QK2R b KQ -,e8d6
6k1/1R3pp1/2p4p/r1r5/7R/P5P1/1P4PK/8 b - -,a5b5
r4r2/5p1k/1p2p1pb/p2pP2P/3P3n/2P3RN/P4P1K/1B3R2 b - -,h4f5
rr3k2/4ppnp/1q1p2p1/2pP1b2/8/2N2PPP/PP1Q1PB1/2RR2K1 b - -,b6b2
8/1R6/1p2k3/4p2p/4p1p1/3n2P1/1r3P1P/R5K1 b - -,d3f2
3r1rk1/pp2bppp/2b1pn2/q2nN1B1/3P4/2NQ4/PP3PPP/1BR1R1K1 b - -,g7g6
r3r1k1/1nqb1pbp/p2p1np1/PppPp3/1P2P3/2P2NN1/2B2PPP/R1BQR1K1 b - -,a8c8
r1b1kbnr/ppp4p/2p3N1/5p1Q/3qP3/8/PPPP1PPP/RNB1K2R b KQkq -,h7g6
7k/pp1b1n2/2n1p3/3p1p2/3P4/qP2QNP1/P3BPK1/4N3 w - -,e1d3
r5k1/pp6/3qpPp1/3p2p1/7P/2P5/PP2Q1P1/R5K1 b - h3,d6b6
2r3k1/1p3ppp/p3rb2/2p5/8/1P1PBR2/P1P3PP/1R4K1 w - -,b1f1
8/5k2/3bb2p/6pP/1p4P1/7K/8/2R5 w - -,c1c6
8/ppbr3p/2p1pk2/8/2NP3R/1P5P/P7/7K w - -,h1g2
r2qr1k1/5pbp/1p1np1p1/3p4/1N1P4/1P1QP3/1BR2PPP/2R3K1 b - -,d8d7
r1b1k2r/1pq1bp2/p2ppp1p/4nP2/3NP1P1/2N4Q/PPP4P/2KR1B1R b kq -,c8d7
r1r2b2/2kn1p2/2p1p1pp/1p6/3B1P2/P4NP1/1P1R1P1P/2R3K1 w - -,f3e5
8/p4rkp/4p3/Pp6/1PpP3R/2P3rP/6N1/7K w - -,g2f4
7r/p2nqk2/1p1bpn2/3p1p2/3P1Ppp/1PN1P1P1/PB3NKP/2Q2R2 b - -,a7a6
4R3/5pk1/3p1bp1/1P1P3p/1r2KP2/3BB2P/8/8 w - -,e4f3
2r1r3/pppRn1b1/4P1kp/6p1/8/2P2N2/PP3PPP/2K1R3 b - -,e7c6
1k6/1p6/p2Q4/4P3/5r2/8/PPP1q3/1KR5 b - -,b8a8
1r3rk1/5pb1/p2pb1p1/1p1Np3/PP1pP2q/3P1R1P/Q2P2P1/R1B3K1 b - b3,b5a4
1rb5/2r1nk2/1q2p2b/pp1pPp1p/2pP1PpP/P1P1N1P1/1P2QBB1/RR4K1 b - -,c8d7
2r3k1/pbq1bppp/4p3/1Pp1n3/2B1PP2/P6P/1B1Q2P1/4RRK1 b - -,e5c4
r1bq1rk1/pppn1pb1/5npp/3pp3/2P5/N2P1NP1/PP1BPPBP/R2Q1RK1 b - -,f8e8
r1q1r1k1/3bppb1/1np3pp/8/p1n1PB2/P1N3P1/1PQN1PBP/R2R2K1 b - -,d7e6
6k1/2q2p1p/3p2p1/ppr5/3Q1P2/3B4/2P3PP/R5K1 b - f3,c7e7
rnbqr1k1/3n1pbp/p2p2p1/3P4/1p2PP2/2NB1N2/1P4PP/R1B1QRK1 w - -,c3a4
r3r1k1/5pbp/3p2p1/1qpPp3/1n6/3PB1PP/1P1Q1PBK/R2R4 w - -,a1a3
8/r4pk1/6p1/3BK3/6p1/5R1P/8/8 w - -,h3g4
6rk/7p/p7/4p3/2Pbp3/KP3pPb/P6P/3B1R2 w - -,f1e1
r2q1rk1/pp1n1ppp/2p1pn2/b2p4/1PPP4/P1NBPQ1P/3B1PP1/R3K2R b KQ b3,a5c7
4nr1r/3k1p2/3p2p1/p1pPp2p/PpP1P3/1P3NP1/5P1P/2R1R1K1 b - -,f7f5
r1b3k1/pp1p1p1p/2n1p1p1/4q3/1b6/2N3Q1/PPP2PPP/2KR1B1R w - -,g3e5
r1b1r1k1/1pp2pb1/p1n2qp1/4p2p/4Pn2/1NP1B2P/PPQ2PPN/R2R1BK1 w - -,b3c5
rn1qk2r/pp3ppp/5n2/2pp1b2/3P4/P1P1PP2/6PP/R1BQKBNR w KQkq -,g1e2
2r5/4p2p/3k1pp1/p2p4/Pp1P4/1PPK1P1P/2R3P1/8 b - -,h7h6
3qr1k1/pp1b2pp/2pQp3/3pP3/1BPPp3/4P3/PP4PP/5RK1 b - -,h7h6
r3k2r/1b2bppp/p1n1pN2/1p6/8/4P3/PP1NBPPP/R1BR2K1 b kq -,g7f6
3r1rk1/ppp2pbp/2n1n1p1/4p3/2N1P3/2P5/PP2BPPP/R1B1R1K1 w - -,c1e3
r4r2/6bk/1p2p1pp/p1p2n2/N1P5/PP2BqP1/5P1P/1RQ2RK1 b - -,a8d8
r1bqkb1r/p2p1ppp/2p1p1n1/2p5/4P3/BP3N2/P1PP1PPP/RN1QK2R w KQkq -,e1g1
r1b2rk1/ppp1qppp/2nb4/3np3/8/PP2PN2/1BQP1PPP/RN2KB1R w KQ -,b1c3:d2d3
r2qr1k1/p2n1p2/1ppb1npp/3pp3/6P1/1PNPP1N1/PBP2PQP/R4R1K w - -,h2h3
r3kbnr/pp3ppp/2n1p3/3p4/1P1P1B2/2Pb1P2/1P1KN1PP/RN5R w kq -,d2d3
r3kb1r/p1pq1ppp/4n3/3np3/3PN3/2P5/PP3PPP/RNBQK2R b KQkq d3,e5d4
r4rk1/pR2np1p/2p1bp2/8/4PP2/b4N1P/P1BB2PK/5R2 w - -,f3d4
4rr1k/1p5p/5q2/1p2p3/4B3/6P1/4QP1P/1R4K1 b - -,b7b6
