8/2R5/6k1/6pp/1r2K3/6P1/7P/8 w - -,e4f3
rnbq1rk1/ppp1ppbp/3p1np1/3P4/2P5/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
r2q1rk1/1p3pp1/p1n1bn1p/P2p4/Qb5B/2N1PN2/1P2BPPP/R4RK1 w - -,f3e5
r3rbk1/pbqn1ppp/1pp2n2/3pp3/4P3/1PPPNNP1/PBQ2PBP/R3R1K1 b - -,d7c5
8/8/1nk1pp2/2p5/8/1pPQ4/4RK2/2q5 b - -,c1f4
8/p7/4p2k/1p5q/7R/6R1/6PK/8 w - -,h4h5
2r1r1k1/1bqn1pbp/pp3np1/2p1p3/P7/2P1PNBP/1P1N1PP1/2RQRBK1 b - a3,c7c6
2N5/3q2kp/Q3npp1/2p1p3/1P6/P4N1P/5PPK/2n5 w - -,b4c5
rnbq1r2/p5kp/1p2pb2/2pp1pp1/2PPn3/1Q2P1P1/PP1N1PBP/R1B1NRK1 w - -,d2e4
1r2r1k1/pp3p1p/2p2p2/2q5/2P1p3/b3P1PB/P1QP1P1P/3R1RK1 b - -,b7b5
r1bqkb1r/ppp2ppp/2np1n2/8/2BNP3/8/PPP2PPP/RNBQ1RK1 b kq -,f8e7:c6d4
r7/1q1rkpp1/2b2b1p/p2PpP2/6QP/PP1R2N1/2PB4/1K1R4 b - -,d7d5
r1b1k2r/pp1pp3/5pp1/3q3p/7P/2QBBP2/1R1K2P1/7R w - -,d2e2
1R6/3r3p/4k1p1/5p2/1P1bpB2/6P1/5P1P/5K2 b - -,e6d5
8/8/p4k1p/6p1/5p2/3K3P/PP4P1/8 b - -,f6e5
6k1/6p1/8/p1BPp3/P2r4/3P2R1/7P/6K1 b - -,d4d5
r4rk1/2q2pbp/2p3p1/2PpP3/1P3p2/7P/PB3PP1/R2QR1K1 w - -,a2a4
8/3bk1p1/2p1p2p/2Np1p2/3P1P2/4P3/1P2K1PP/8 b - -,d7e8
4n1k1/pp2qpp1/1b2p2p/3rB3/1P2N3/P5RP/4QPP1/6K1 w - -,g3g7
r3k2r/1bqnbppp/pp1ppn2/8/2PNP3/1PNB4/P2BQPPP/R4RK1 w kq -,g1h1
3b2rk/r4p1p/4pp1q/1N1p4/3P4/4P1P1/PR2Q2P/3R2K1 b - -,a7d7
8/1p3k2/2p1PP2/6Kp/3r4/7B/PP6/8 b - -,f7f8
4k3/5p2/p1p2pb1/1p3N2/1b2P1P1/2rB1K2/P7/3R4 w - -,f3e2
1R2r3/8/3n1pp1/1p1k4/6PP/3K4/8/8 w - -,b8b6
8/5pk1/PQb1r1pp/1p1pp3/1q2P3/1N1n3P/3NRPPK/8 w - -,a6a7
8/7p/8/2k5/4P2P/5K2/8/8 b - -,c5d6
8/1b6/5k2/2N2p1n/1p4p1/1PpP2P1/2P2K2/3B4 b - -,b7c8
1kb3r1/1p3p2/p1nppp2/b6q/P3PP1p/2N1QNrP/1PPR2P1/3R1B1K b - -,a5b4
8/4kB2/6p1/4p1N1/1p1bn2P/r1p3P1/P1K5/R7 w - -,f7b3
2r2rk1/1pq1ppbp/p1b2np1/P2pn3/3NP3/1P2BP2/N1PQB1PP/R2R2K1 w - -,d4c6
r1q2rk1/pp1n2bp/3p2p1/2pPpP1n/8/1QP1BPP1/PP1NN2P/R3K2R b KQ -,g6f5
3q2k1/p2b3p/1p1bp1p1/PP1p1p2/3P1PP1/3BP1KP/2QB4/8 w - -,a5b6
r4rk1/p4ppp/b1p2n2/5N2/4P3/2b2BP1/P4P1P/1RBR2K1 b - -,f8d8
r7/1b2rkbQ/p1q1p1p1/1p6/8/2P2P1P/PPB3P1/3RR2K b - -,e6e5
r2q1rk1/p2n1ppp/1p1bp3/2p3B1/3PR3/2P2N2/PP3PPP/R2Q2K1 b - -,d6e7
8/p1R4p/4pNpk/5p2/4P3/3K1P2/P5nP/6b1 b - -,g6g5
2r2r2/5ppk/p2p1b1p/1pqNpP2/4P3/P7/1PP1QRPP/R6K b - -,c5c4
8/8/p1r3pk/1p1R2p1/1Pp5/2P5/P5KP/8 b - -,c6e6
8/8/2p4P/2Pp4/3P4/2K2p2/6k1/8 w - -,h6h7
