2R5/8/8/8/7k/6p1/3r4/7K b - -,h4h3
brr3k1/2qnbppp/p2ppn2/N7/RPP1P3/2N1B3/2Q1BPPP/3R2K1 w - -,d1b1
2r1knQR/pp2pr2/3pp1p1/q3P3/5PP1/2PRB3/2P5/2K5 w - -,e5d6
4kb1R/1q3p1P/1n1p1p2/p1pPp3/P1R1P3/4N2Q/1rBK1P1P/8 w - -,h8f8
3r2k1/pp3pp1/1b3n2/7p/Q2P1q2/2N2N1P/PP3PP1/3R2K1 w - -,a4c4
r3k2r/pq1nbpp1/2n1p2p/2p1P3/QPp2B1P/P1P2N2/5PP1/1BR1K2R b Kkq -,d7b6
3R4/2r2k2/2p2p1p/3p4/3P2P1/4P1KP/5P2/8 b - -,c6c5
3r1k2/p4p2/1p4p1/3Pb3/4Nn2/4B3/PPK2P2/3R4 w - -,e4c3
1r5k/2n1p3/p2p1b1p/P1pPp1pP/2B1P3/1P4P1/3RNPK1/8 b - -,c7b5
4r2k/1R1n1p1p/p2p1Pp1/2pN3r/P1P5/8/2P3KP/5R2 b - -,h5g5
r1bqk1nr/pppp1ppp/2n5/8/1b2Pp2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,f1c4
r5k1/p2b2pp/1pn1p3/3pP1r1/1P6/P2N1B2/5PPP/2R2RK1 w - -,h2h4
4Rk2/8/6pp/5p2/3p4/6P1/2r1PP1P/3R2K1 b - -,f8e8
8/5k2/4R1pp/3P2b1/3B4/8/rr3P1P/3R2K1 b - -,b2d2
1r5r/3nk3/b1pq1b1R/2p1p1N1/4P3/PpQPB2P/1P2N3/1K1R4 w - -,e2g3
8/7p/6k1/8/4NP2/1p1KP2P/8/4b3 b - f3,g6h5
r2qr1k1/1pp2pbp/1n2p1p1/8/pnbPP3/2N2NP1/PP3PBP/RQBR2K1 w - -,e4e5
r2qkbnr/pppn1ppp/2b1p3/8/2PPN3/3B1N2/PP3PPP/R1BQK2R b KQkq c3,f8b4
rnbqk1nr/p4ppp/4p3/1p6/2pP4/1P2PN2/3N1PPP/R2QKB1R b KQkq -,a7a5
r2q1rk1/1p2npbp/3pb1p1/p1pNp3/2Pn4/P2P2P1/1P2PPBP/1RBQNRK1 w - -,e2e3
rrb3k1/6pp/2P1p3/p2pP3/1p1N4/1P2KPP1/4P3/R1R5 b - -,a5a4
rnbr2k1/pp2bppp/4pn2/2q5/2N5/1P4P1/P3PPBP/RNBQ1RK1 w - -,b1d2
5r1k/6b1/p1Q1R2p/2p2p2/5P1P/1P1p2PK/Pq6/8 b - -,h8h7
1b6/1P3p2/5k1p/3p3p/6P1/8/5BK1/8 w - -,g4h5
1rb2k2/p4ppp/2n1p3/3p4/8/PBn1PN2/1qPN1PPP/R4RK1 b - -,c8a6
r3r1k1/1pp2pp1/p1npqn1p/4p3/4P3/2PPNN1P/PP3PP1/R2QR1K1 w - -,c3c4
8/p1r2pk1/3q3p/6p1/P1B2PP1/1P2QK1P/8/8 b - -,c7e7
r2q1rk1/p1p1bppp/bp2p3/4P3/2P5/P3P3/1BQ2PPP/RN3RK1 b - -,d8d7
rn1qkb1r/pppb1ppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R w KQkq -,f3e5:b1d2
2kr3r/ppp3pp/2p1bn2/4N3/3Pp2q/2B4P/PPP1QPP1/R3K2R w KQ -,g2g3
