8/4k3/1PK5/8/8/6b1/8/3R4 w - -,d1g1
8/1Q3pkp/1b2nnp1/8/3qP3/3P2P1/5P1P/3B1RK1 b - -,d4b2
3r1r2/pp5k/1q2n1pb/3pPp1p/3PpP1P/P1N3P1/1P2B2Q/3R1R1K w - -,h2f2
3r4/1R1P1k2/4pq1p/1p1n4/1P3p2/3Q3P/5BPK/8 b - -,f6g6
r1bqr1k1/pp1n1ppp/2pb4/5p2/2pP4/4P1P1/PP1NNPBP/R2Q1RK1 w - -,d2c4
8/p7/4p3/1P1p1p1R/Pk2n1r1/4P1P1/6K1/1R6 b - -,b4c5
3rr1k1/1pq2ppp/2ppn3/p1n5/2P1PP2/2N3P1/PPQ3BP/3R1RK1 w - -,f1f2
r2q1rk1/pp2bppp/2n5/3bp3/3pN3/P2P2P1/1P1NPPBP/2RQ1RK1 w - -,d2f3
rnbq1rk1/1p3ppp/4pn2/2bp4/p1PP4/1P3NP1/P3PPBP/RN1Q1RK1 w - -,d4c5
8/3k4/p2P2p1/p1K2p1p/5P1P/1P3P2/8/8 b - -,d7d8
1r3bkq/Rr6/1Bp1p1p1/2Pb1pP1/3P1P2/4P1K1/4BQ2/R7 b - -,h8h7
3R4/p1r5/5p2/8/2P4k/1K2PP1P/P7/8 w - -,d8g8
8/p4pkp/P5p1/8/8/6P1/4K2P/1r1Q4 b - -,b1d1
8/p2k1pp1/1p1n2p1/2p1K3/7P/2P3P1/PP2BP2/8 w - -,e5d5
8/2R5/8/5p1P/3k4/5P2/1rp2P2/4K3 b - -,d4d3
r3qrk1/pp2b3/4p3/1P1pPp2/7p/4PP1P/2Q1NP2/R4RK1 b - -,e8b5
r1q2rk1/1b2b1pp/npppp3/pN3p1n/2PP4/5PP1/PP1BPNBP/2RQ1RK1 w - -,b5c3
1q4k1/p4p2/1p3bp1/4n2p/bP1RBN1P/5PP1/P3Q1K1/8 w - -,b4b5
r5k1/5pb1/p1qp2p1/1pr1p2p/2PnP3/1PN1B2Q/P4PPP/3R1RK1 w - -,c3d5
8/1R6/1p2p3/3n1k1p/5P2/5K2/5P1P/8 w - -,b7b8
8/2k3p1/5b1p/3K4/3P2P1/p7/B7/8 b - -,c7d7
r2bnrk1/1b4qp/pp2pp2/3p4/1P1P1N2/P3BB2/2Q2PPP/R4RK1 b - -,e8c7
r2qk2r/1p1nbpp1/p1p1pn1p/3p1b2/2P5/1PN1PN2/PB1PBPPP/R2QR1K1 w kq -,e2f1
3r4/3r1kpp/pp6/P1B1n3/4Pp1P/2R2P2/4B3/5K2 w - -,c5b6
6k1/5p2/7P/5KP1/4R3/8/8/6r1 b - -,g1f1
r2qr1k1/1b3pnp/p2b2pB/1p1pN3/2pPNPP1/P3P2B/1P3Q1P/3R1RK1 b - -,d5e4
q5k1/pb3pb1/1p2p1p1/n3P1Bp/3P3P/3B1P2/P2QN1P1/2r3K1 w - -,d2c1
1r3rk1/3b3p/p3p1pb/q2p4/3P1N1P/1Pp1Q1PB/P1P2P2/1K1R1R2 b - -,h6f4
1r2r1k1/1bppbp2/6p1/pP2P2p/P1Pp1P2/6PP/2BN1K2/3RR3 b - -,e7b4
3r2k1/5ppp/2n1pn2/4P3/2NP4/6PP/1R3PB1/6K1 b - -,f6d5
2r4k/p1q3p1/4Qp2/6p1/3B4/4P2P/P4PP1/6K1 w - -,e6g4
r1b2rk1/pp2q1pp/1npp4/4p3/1PP5/3RN1P1/P3PPBP/3Q1RK1 b - -,c8e6
2kr3b/5p2/3Prp1p/4pb1N/2R5/6P1/1PP1N2P/1K1R4 b - -,c8d7
2rq2k1/pb1r1pp1/3Pp3/4P2Q/1p5P/2n1N1P1/P4PB1/R3R1K1 b - -,b7g2
6k1/4p2p/p3Pb2/1p1N1ppP/3P2n1/P2R4/1P6/1K6 b - -,f5f4
rn1qkb1r/pp3ppb/2p1p2p/3n3N/2BP1N1P/2P5/PP3PP1/R1BQK2R b KQkq -,b8d7
8/5pkp/P5p1/2bB4/3p4/5KP1/7P/8 b - -,f7f5
r1b1k2r/pp2bp2/1qn1p3/3pP1pp/3Nn3/1N4BP/PPP2PP1/R2QRBK1 w kq -,g3h2
2r2rk1/p3bppp/1p1p4/3qp3/2P1P3/4B3/PP3PPP/2R1R1K1 w - -,c4d5
r4rk1/pppbpqb1/n2p2pp/3Pnp2/2PB3P/1PN1PNP1/P4PB1/R2Q1RK1 w - -,c3e2
r6k/p2p2bp/1pqnpr2/2p2p2/2Pn1P2/1PNPN1P1/P2B1RQP/1R4K1 b - -,f6g6
2r5/p1r1kpp1/1n2p3/1p1pP2p/5R1P/P1P2NP1/1PR1KP2/8 b - -,b6c4
3rk2r/pp2ppb1/2p1b2p/2n3pq/P1pPP1nP/5BP1/1PN1QPN1/R1B2RK1 b k -,c5b3
r2qr1k1/pppb1pbp/2np1np1/8/2PNP3/2N1BP2/PP2B1PP/R2Q1RK1 b - -,f6h5
r3rbk1/1q3pp1/p1p2n1p/3p4/8/1PNQ3P/P1PBRPP1/4R1K1 b - -,e8e2
r1b3nk/ppp1b1pp/3p2q1/1P2pr2/P1B2n2/2PP1NNP/5PP1/R1BQR2K b - -,c8d7
8/6p1/1B2nk1p/P6P/r7/6P1/2R2K2/8 w - -,c2c8
r3r1k1/p1nb1p2/3q2pp/B1Q1b3/3p4/3P2PP/P3PPB1/2R1R1K1 b - -,d6c5
r2Q1rk1/1p2bppp/p3pn2/2n4b/4PB2/2N2NPP/PP3PB1/2R2RK1 b - -,f8d8
5r2/p7/1p2k3/4pr1p/6pP/2P5/P1PQ2PK/8 w - -,d2d3
r2q1rk1/pp1bn1bp/3p1np1/1B1Ppp2/1P2P3/2N2PP1/P2N2KP/R1BQ1R2 b - -,a8c8
3nr1k1/pb4pp/1pr1p3/2b2pN1/B4B2/2P4P/PP3PP1/R3R1K1 b - -,h7h6
8/p1p2k2/1p1ppn1p/5p2/2PP1K2/2N1P2P/PP6/8 b - -,a7a6
r4rk1/3b1p1p/5Pp1/2p5/1NPnP3/1P4P1/6BP/3R1RK1 w - -,b4d3
5rk1/ppp2p1p/2n1b1p1/2b1p3/4P1nN/2Pr2P1/PP1N1PBP/R1B2RK1 w - -,h4f3
3r4/p3pp1p/6k1/1p2P1p1/2p1R1P1/2Pr4/PP2RPKP/8 b - -,a7a6
6k1/5pp1/1q5p/3p4/p2N1P2/2P3Pb/4R2P/2R3K1 w - -,e2a2
3n1rr1/2k1bp1p/4p3/pp1pP1PN/q1pP2PP/P1P5/2P1Q3/R3BRK1 w - -,e1g3
r1bqr1k1/1p4pp/p2n1p2/3p4/3n4/1NPBP3/PP1Q2PP/4RRK1 w - -,e3d4
r4rk1/2p1bppp/p1n2n2/1p2p2b/4P3/2P2N1P/PP3PP1/RNBBR1K1 w - -,b1d2
8/p1n3p1/1p3k2/3p3P/P7/1PK2N2/1r6/7B b - -,b2e2
rnb2rk1/p1p1qppp/1p2p3/2P5/8/2Q1PN2/PP2BPPP/R3K2R b KQ -,c8a6
6k1/pb1q4/1p1r3p/6p1/1P6/P1N1P2P/1Q1n1PP1/2RR2K1 w - -,b2c2
4q3/p2b2bk/1p2p1p1/2p1P3/P1B1P2P/1P3Q2/1B4P1/7K w - -,g2g4
r6r/ppp1kp1p/2p1bnp1/8/4PP2/2N5/PPP1B1PP/2KR3R b - f3,h8d8
4n3/1p4kp/1P1p1pp1/N2Pp3/5P2/6P1/2b4P/B5K1 b - -,c2e4
r2qr1k1/p4ppp/2p2n2/2bp4/8/1P3Q2/PBPN1PPP/R4RK1 b - -,f6e4
4r1k1/5p1p/1R1P2p1/8/5K2/1B2r2P/P7/8 b - -,e8e4
8/4kp2/6p1/1pr1P2p/p4P1P/P2R2P1/1P6/1K6 w - -,b2b3
b1r1k2r/4bpp1/p3p3/1p1pP2p/4nP2/PNBB4/1PP2RPP/4R2K w k -,d3e4
1k1rr3/1pp3p1/p2b1pB1/7p/3B2bP/4R1P1/PPP2P2/2K1R3 b - -,e8e3
3r1r2/pp4kp/3p2p1/4p3/2Pn4/1P2NP2/P3R1PP/3R2K1 w - -,e2d2
2Q5/2p2rkp/p2q4/1p4R1/5p2/P6P/1P3PP1/6K1 b - -,g7f6
4r3/pp2k3/1np1b1p1/4bpN1/2p4P/2N1P1P1/PPKR1PB1/8 w - -,g5e6
4k3/5ppp/2R2n2/ppB1p3/1b6/8/P5PP/5K2 b - -,e8d7
2b5/2k5/3p4/P2Bp2p/1KP1P2P/8/8/8 w - -,c4c5
2k5/8/1p6/2p5/2P5/1P4R1/q4PK1/8 w - -,g3e3
6rk/1p5p/p3Qp1b/P3n3/4PN1q/2P5/1P1BB3/3K1R2 b - -,g8d8
r2q1rk1/1b1nbppp/p2ppn2/1p4B1/3NP3/1BN4Q/PPP2PPP/R3R1K1 b - -,b5b4
5r1k/6p1/4Q2p/1p6/1P1q4/6P1/4RP1P/6K1 w - -,e6e4
4rr1k/1p5p/p2b1pnq/8/2Bp1pP1/5Q1P/PP3P2/R3R1NK w - -,e1e8
3b2k1/1q1n1ppp/1pp1p3/2Pp4/1P1P1P1P/5NP1/4NPK1/Q7 b - -,d7b8
r4rk1/b3n1pp/p1pq4/P2p4/2PNn3/4BN1P/2Q2PP1/1R1R2K1 b - -,f8b8
4b3/1r2N2k/4p2p/p2pP3/2p3BP/R1P3R1/2P2rP1/2K5 b - -,b7e7
rkbq2r1/7p/1nN1Q3/5p2/3P4/8/PB4PP/R4RK1 b - -,b8c7
rnb2rk1/3q1pbp/p3p1p1/1p4B1/3PN3/5N2/PPP1QPPP/2KR3R b - -,d7c7
8/8/4k3/p4r2/R3K3/2P5/5P2/8 w - -,f2f4
rr2bQ2/2q1k1p1/2p4p/p1p1P3/P1Pp2P1/1P1P2N1/7P/1R3R1K b - -,e7d8
k2qr3/pp1n1pp1/2p5/4P2Q/3P3P/2N5/PP4P1/2K4R b - -,f7f6
2r3k1/1n3p2/p5pB/1p6/8/1P5P/P1B1bKP1/2R5 b - -,g8h7
8/pb2rpk1/1r3npp/1p1p4/2pP3P/P3P1P1/1PR1NPB1/R5K1 b - -,b7c6
2kr1bnr/ppp1pppp/8/8/2PB1q2/2N2P2/PP2BP1P/R2QK2R b KQ -,d8d4
r1bq1rk1/pp3pbn/2pp2p1/4p3/2P1PPPp/3PB2P/PP1QN1B1/R3K2R b KQ -,e5f4
2r3k1/5p1p/r2pb1p1/1Q6/8/1RqB4/2P3PP/5R1K b - -,e6b3
r3rbk1/2qb1pp1/7p/1p1Pp3/8/1QP1BN1P/1P3PP1/R3R1K1 w - -,f3d2
r2q1rk1/2pb2pp/1p6/p1nPpn2/2P5/1PN3PP/P1QN2B1/R4RK1 w - -,d2e4
4nrk1/p2qb1pp/1p1p4/2pPpr2/2P1N3/5PP1/PP1BQ1KP/R4R2 b - -,e8f6
2rqkb2/1p3pp1/pn1p1n2/3P3r/4p2p/1N2B2P/PPP1QPP1/1K1R1BR1 w - -,g2g4
b1rr3b/5p1k/pp1pp1p1/2q1n2p/2PNP2P/1P3PP1/PB2Q1B1/3RR2K b - -,h8g7
3rr1k1/1pp1n1qp/p2p4/3PpB1p/8/2P1Q2P/PP3PPN/2R1R2K b - -,e7f5
1k1rr3/ppbnqpp1/2p1p2p/7P/2PP3R/2B2N2/PP2QPP1/2KR4 w - -,h4h1
