8/8/pp6/1k5p/1P2RP2/3K4/8/5r2 w - -,d3e2
4k3/5p1p/2pQ2p1/3qP3/8/5N1P/5PP1/6K1 b - -,d5d6
2rq1rk1/p2n1ppp/1p3b2/8/8/PQ3N2/1P2PPPP/3RKB1R b K -,d7c5
r3r1k1/2pq2pp/2p2p2/p2p1P2/P2bb3/3B2Q1/1PP3PP/R1B2R1K b - -,a8b8
r1bq1rk1/pp4bp/2np2p1/2pNppB1/2P3n1/P2P1NP1/1P2PPBP/1R1Q1RK1 b - -,d8d7
5rk1/p1bq1ppp/b3p1n1/2R1n3/P2pR3/3P2P1/1r1BQPBP/4NNK1 w - -,e4e5
2rr4/p4ppp/2k5/2b5/2PB4/5P2/P2R1P1P/3R2K1 b - -,c5d4
1r4k1/3bprb1/3p3q/nppP1pB1/2P3n1/1P1Q2PN/4P1BP/1R1N1R1K b - -,h6h5
4rrk1/pn4pp/2pq4/4pp1b/8/1P1P1N1P/PB1PQPP1/R3R1K1 b - -,d6d5
r5nr/pppnk2p/4p1pb/1N2p3/2B1P3/8/PP1B1PPP/2KR3R w - -,c4e6
1r1r4/3P1ppp/p1k5/8/NP6/8/KP4PP/2R5 b - -,c6d7
r1b2rk1/pp3ppp/5n2/2q1p3/2Pn4/2N1B3/PP1Q1PPP/3RKB1R b K -,f8d8
4r3/R4pk1/2Np2b1/2nPp1bp/7q/6R1/B5P1/5Q1K w - -,g3h3
3r2k1/p3ppbp/6p1/2P2b2/1PN5/1KN1P3/P4nPP/5BR1 b - -,f2d1
1rr3k1/5pp1/p1qP1b2/8/4p3/1P5P/P2QR1P1/1KNR4 b - -,c8d8
8/8/P7/7k/8/6pp/6r1/R5K1 w - -,g1h1
2b2rk1/1r1p1ppp/2pPn3/8/8/3BB3/P1PK2PP/R4R2 b - -,c6c5
3q1r2/1p1b2kp/p2Q1p2/2Pp4/1P1B3P/2P2P2/P5P1/4R1K1 b - -,d7f5
2r2rk1/pb1nqpp1/1p3n1p/3p4/3p4/P1Q1PP2/1P1NBBPP/R3R1K1 w - -,c3d4
8/p3ppk1/5bp1/2n5/2P1qP1p/7P/P1Q3PK/3R4 w - -,c2e4
r2r2k1/pp1qbppp/2n1p3/3pP3/3P4/2N2N2/PP2QPPP/R3R1K1 w - -,e2e3
1r1n2k1/1p2p3/p1pb2p1/P2p1p2/8/1R2P1P1/1P3P1P/2R2BK1 w - -,f2f4
