R7/p2k2pp/5p2/8/1NP5/1PK5/6rP/8 b - -,f6f5
r3k2r/pp3pp1/2p1p2n/4PPqB/3P4/2N5/PP2Q1P1/R3K2R b KQkq -,h6f5
8/8/1p4p1/p5R1/2nk4/6P1/2K4P/8 b - -,c4e5
2krr3/1pp3pp/p5b1/q2pB3/N1PP2P1/b3Q2P/P1P1N3/K1R4R b - -,a3c1
2r3k1/pbr2p1p/1p2p1p1/4N3/3P4/P3RP2/1P4PP/4R1K1 w - -,e3e2
3rr1k1/p1p1qppp/1p6/2Pn4/P1QBp3/4P2P/5PP1/R1R3K1 w - -,a4a5
2rr2k1/pp3p1p/2n1p1p1/1N2p3/2B1P3/4P2P/PP4P1/2R3K1 w - -,a2a3
r3kb1r/pp4pp/1qn2p2/3pPb2/2p5/2P1PNP1/PP1N1PP1/R1Q1KB1R b KQkq -,f6e5
r1b2nk1/pp3rp1/2nbpq1p/3p4/3P4/5NN1/PPB2PPP/R1BQR1K1 w - -,g3h5
8/7k/2Qp2p1/2pP2PP/8/8/1rK5/1r6 w - -,c2c3
5qk1/3b4/3p3p/3Pb1p1/4P3/2p1B2P/2B3P1/3Q2K1 w - -,d1h5
r3kb1r/p1ppq2p/b1p2pp1/4P3/1nP2P2/BP6/P3Q1PP/RN2KB1R w KQkq -,a3b2
r3r1k1/p1qn3p/1ppb2pB/8/3P4/5Q1P/PP2N1P1/R4RK1 b - -,d7f8
8/R7/3k2KP/p7/B7/8/4n3/2b5 b - -,e2f4
r4k1r/pp3ppp/3qbb2/8/2Q5/2P2N2/P4PPP/R1B1R1K1 w - -,c4a4
2r5/1p2kppp/p2Rp3/8/2n5/2P5/PP2NPPP/5RK1 b - -,c4d6
r2qrbk1/pp1n3p/2p3pB/7n/3N4/1Q5P/PPP2PP1/R4RK1 b - -,g8h8
8/1r3pkp/6p1/2R5/R7/2P3P1/2r2P1P/6K1 w - -,a4f4
2rrk3/6p1/2p1pb1p/p3P2P/PpP2BP1/1P1R4/4K3/3R4 b - -,f6e7
8/1p3pbk/p7/5P1P/PP1r4/3p1R2/3B4/7K w - -,h5h6
r2q1rk1/5pbp/pn1pp1p1/1pp5/3nPP2/2NPB1Q1/PPP3PP/1R1B1RK1 w - -,c3e2
r3r1k1/p1p3pp/1pnq1pn1/3p4/3P4/P1PPNQ2/5PPP/1RB1R1K1 b - -,c6e7
r1b2rk1/3pnppp/n1pb3q/pp6/3BP3/2PP1NP1/P2NQ1BP/1R3RK1 w - -,d4e3
r1bq1rk1/1p1pppbp/p4np1/5P2/B2pP3/3P4/PPP3PP/RNBQ1RK1 w - -,e4e5
8/5p1p/4p1p1/p4rP1/2k2PBP/P3K3/2b5/5R2 w - -,g4f5
1k2r3/pp6/2p1q3/8/4p3/PQ4P1/KP6/4R3 w - -,b3e6
8/4qk2/2p2p2/3p1bp1/p2P4/1r2PP2/1P2NKP1/2QR4 w - -,e2g3
8/5k2/3Bp2p/1p1p1p1P/pP1P1P2/2K5/8/8 w - -,d6c5
1r4k1/r3qpbp/pN2b1p1/Pp2p2P/2p1P3/2P1P1P1/1PB2Q2/1K1R3R b - -,b5b4
r2qr1k1/2p2pp1/b1P4p/p2pP3/8/4RNPP/PPQ3P1/R5K1 b - -,d5d4
1r1R2k1/p1q2p1p/4p1p1/2p5/b1P5/2Q1P1P1/P4PBP/2R3K1 b - -,b8d8
r1bq1rk1/pp1nppbp/3p2p1/2pPn3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,f3e5
2b5/5pk1/2p5/2Np4/1r1P1PPp/5K1P/8/4R3 w - -,e1e8
1b4k1/1N3pp1/p1n2q2/7p/8/1P2PNPP/P4PB1/3R3K w - h6,b7c5
r4rk1/1q3ppp/3Ppb2/pPp5/P1P2P2/2N3P1/3R3P/2RQ2K1 w - -,g1f2
2b1qr2/6pk/p3p2n/2Q1Pp1p/P2N1P2/4P1P1/B5P1/5RK1 b - -,f8h8
4rrk1/pbq2p2/1p1pn1p1/4n3/2P1P2Q/1NB2B2/P1P3P1/R3R1K1 b - -,c7c4
