8/8/1k4pp/p7/6rP/2K1R1P1/8/8 b - -,h6h5
8/8/1p6/p1b4p/2P1k1p1/1P4P1/2p1KP2/2B5 b - -,c5e7
3r1rk1/p1q2bpp/5p2/1pp5/8/2PPRQP1/PP1N1P1P/R5K1 b - -,f7d5
6k1/pp3qbp/b1p1n3/2n2pN1/8/B1N3PP/P2Q1PBK/8 b - -,f7g6
r3r1k1/1p1bbppp/pq2pn2/8/3N1B2/2P3PP/PP1Q1PB1/R3R1K1 b - -,a8d8
8/7p/6k1/1p4P1/1Kp4P/PP3RP1/1r6/8 w - -,f3c3
7k/p5q1/8/1p6/3rP1p1/5pPb/PP1R1Q1P/2rB2K1 w - -,d2d4
2rq1rk1/pb1nbppp/1p3n2/2pp4/3P4/1PN1PNP1/PB3PBP/2RQ1RK1 b - -,e7d6
r5k1/p3q1p1/1n1p3p/2pPpr2/2P5/R1P1BPP1/4Q1KP/R7 w - -,a3a6
rnbqkb1r/pp3ppp/4pn2/3p4/3P1B2/2P2N2/PP3PPP/RN1QKB1R b KQkq -,f8e7:f8d6
1B1b4/1p3k2/p2N4/P2Pp3/1P2Pp1p/5nnP/5N2/3K4 b - -,f7e7
rn2kbnr/1bq2ppp/pp1pp3/8/2P1PB2/2NB4/PPN2PPP/R2QK2R b KQkq -,g8f6
r1b1k2r/1pq1bppp/p1nppn2/8/4PB2/1BNQ1N2/PPP2PPP/R3K2R w KQkq -,a1d1
r6k/6p1/2pR1b1p/2B5/1P4P1/6P1/5P2/6K1 b - -,a8c8
rnbq1rk1/pp2ppbp/5np1/3p4/3P4/1P1B1N2/PBP2PPP/RN1QK2R w KQ -,e1g1
3rr1k1/pp3pp1/2pRbn1p/4p3/4P3/2P2P2/PPBN2PP/2R2K2 w - -,d6d8
r1bq1rk1/pp2bppp/3p1n2/2nPp3/4P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,d8c7:a7a5
r2r2k1/pp3ppp/5q2/3P4/1B1b4/PQ6/5PPP/3R1RK1 w - -,b3c4
2r2rk1/pp3ppp/2p2n2/2Ppq2b/1P3P2/3BP2P/P1QN2P1/R3R1K1 b - f3,e5e7
1k6/1p6/3P4/4Pn2/p3R2p/P6r/6N1/6K1 w - -,e4f4
2r1k2r/pp1bbp2/1qn1p1n1/3pP1p1/1P1P2P1/P4N2/1B1QBP2/RN1R2K1 w k -,f3g5
r3k2r/1p1qbppp/p1n1pn2/3p3b/3P1B2/1QPB1N2/PP1N1PPP/R3R1K1 w kq -,f3e5
