2R5/1P6/3Np1k1/3bP3/p2K2p1/Pr6/8/8 b - -,d5b7
4k3/8/6K1/3PP3/8/8/p6r/7R w - -,h1a1
6k1/3b3p/4p1p1/2qpP3/1p6/1P1BbN1P/P5P1/4Q2K w - -,e1b1
8/8/2p5/2k3p1/8/1B6/P2r4/6K1 w - -,b3e6
q4rk1/5ppp/1n1bp3/p1Np3n/1p1P4/1P1QB1P1/P3PPBP/1R4K1 b - -,d6c5
2rqr1k1/1p1nppbp/p2p2p1/3P4/3B4/1B5P/PPP2PP1/R2QR1K1 w - -,d4g7
r7/6k1/p2R1bp1/5p2/1P2p3/Pb2P1P1/5P2/5BKR w - -,d6a6
r1bqk1nr/3nppb1/p1pp2p1/1p4Pp/3PP2P/2N1BP2/PPPQ4/R3KBNR b KQkq -,d7b6
8/1p2bk2/1q3p1p/p1p1p1p1/P1P1P3/1PQ2P2/3R2PP/5K2 b - -,b6c7
2r5/2p5/R2p4/1P1P4/2P2k2/7p/7K/8 w - -,a6c6
6k1/2p1npb1/2n1p1pp/2Pp4/1r1P1PP1/3RBB1P/4NP2/6K1 w - -,g1g2
5rk1/r3qpb1/6pp/2pB2n1/4P3/2P5/2Q1NPPP/1R3RK1 b - -,a7c7
r2nk2r/pp4q1/2pbb1pp/4pp2/8/1BPP1Q2/PBPN1PPP/2KR3R b kq -,e6b3
r5rk/1pb2q1p/3p1p2/p2p1P2/P2Pp3/1RP1B3/1P2QP1P/5RK1 w - -,g1h1
r2qkb1r/1bpn1ppp/p3pn2/1p6/P2P4/3BPN2/1P2QPPP/RNB2RK1 b kq a3,b5b4
8/8/7p/p5p1/4P3/8/2K3k1/8 b - -,g5g4
1r4k1/5pb1/6pp/1ppr4/8/P2q2P1/1PQB1P1P/3RR1K1 w - -,c2d3
q4rk1/2Q2pb1/4p3/ppRbPnpp/8/P5BP/1P3PP1/3RN1K1 b - -,f5g3
2r5/p2bkp2/3p4/3Pp3/2p1P3/P4P2/3KB3/3N4 b - -,d7a4
4rrk1/p4q2/bpp1p2p/2bpP1p1/2P2n2/PPQ1B1N1/R4PPP/3BR1K1 b - -,f7e7
r1b3nr/pp2bkpp/3p4/8/3pP1q1/5N2/P1Q2PPP/RNB2RK1 w - -,h2h3
6k1/8/5K1P/p5P1/P7/5B2/8/8 b - -,g8h7
8/r5k1/2R1p2p/3pP2K/3P1P2/8/6P1/8 b - -,a7f7
r7/1p1bbp2/1k2n3/1p1pPp2/1P1P2pp/PK1NB3/2R2PPP/1N6 b - -,d7c6
1r2rbk1/p2q1pp1/3p2np/1ppPpN1n/2P1P3/4BNP1/PPQ2P1P/3RR1K1 w - b6,c4b5
r4rk1/1p3p1p/p1p3p1/2N2P2/4P3/3bR2P/PP4P1/4R1K1 b - -,d3c4
3rr3/1b4k1/1nppnpp1/1p6/4PP1P/2N2BP1/PPN2K2/3RR3 w - -,b2b3
5k2/1R6/6B1/4b1P1/6K1/4r3/8/8 b - -,e5c3
4rrk1/2q1bppp/p7/1pp5/1n3P2/3PNQB1/PPP3PP/R4RK1 b - -,e7f6
3r1r1k/1p5p/6nP/p1qP3Q/P1p2pp1/3n2P1/1PR2PB1/R4NK1 w - -,h5g4
8/7p/3k2p1/3p4/2r5/PNpK2PP/Pn3P2/4R3 w - -,d3c2
6k1/1pr1npp1/pq5p/3p4/1P1Nb3/P3P3/3QBPPP/2R3K1 w - -,d4b3
rn3rk1/2p2p1p/pq3Bp1/1p1b4/3P4/P4N2/1P1Q1PPP/R4RK1 w - -,d2f4
3r4/p1Rnkp2/B6p/1P3K2/3b4/8/7P/8 w - -,c7c4
R7/P5p1/4K1k1/r3p3/6P1/5P2/8/8 b - -,g6h7
8/5k1p/1r3p2/1p4p1/5p2/N1B2P2/1P3K2/8 w - -,b2b4
4rrk1/2q1bp1p/3p2p1/p2Pn1P1/1p1R4/4B2Q/PPPN3P/1K4R1 b - -,f7f5
rn2k3/pp2b2Q/2pq4/4pp2/P2P2bN/2N5/1PP2PPP/R4RK1 w - -,d4e5
r3kb1r/3b1ppp/pq1p1n2/1p2pP2/4P1P1/1NN5/PPPQ3P/1K1R1B1R b kq g3,d7c6
r1bqk2r/pppn1pb1/3pp2p/6pn/3PP3/2P2NB1/PP1N1PPP/R2QKB1R w KQkq -,f1d3:d2c4
r4rk1/1p1b1p1p/1q1p1bp1/p1pP1P2/6P1/3Q1N1P/PPPB4/2KR3R w - -,c2c3
r5k1/1r3ppb/2p2b1p/p3P2P/RnR1PN2/4BPP1/1P3K2/5B2 b - -,f6e5
8/B6p/p1p3b1/P1P3P1/2kp4/8/3K3P/8 w - -,h2h4
8/8/4p1p1/5k1p/5P1P/2r1PKP1/1R6/8 w - -,b2b5
rnbqkbnr/1pp2ppp/p3p3/3p4/3PP3/2P5/PP1N1PPP/R1BQKBNR b KQkq -,b8d7:c7c5:g8f6
r2r2k1/5p1p/4p1p1/p7/1n2RP2/2QB2P1/3qP1KP/2R5 b - -,d8d3
r1bqk2r/pp2npp1/2n1p3/1BbpP2p/8/2P5/PP2QPPP/RNB1K1NR w KQkq -,g1f3
r1bqk2r/ppp2ppp/2n2n2/3pP3/1bBP4/5N2/PP1B1PPP/RN1QK2R b KQkq -,f6e4
2br1rk1/pp3p1p/2n1pqp1/3R4/4P1P1/1BP2N1P/P3QP2/1R4K1 w - -,e4e5
1k6/2p5/3n2p1/p2QpP2/2P4P/2PB2PK/8/3q4 b - -,g6f5
r3k2r/ppp2ppp/2n1bn2/8/2p1P3/2N1NP2/PP4PP/R3KB1R w KQkq -,e1c1
r2r1k2/1p4p1/2p2pbp/p1Rp4/P2P1N2/4P3/1P3PPP/R5K1 b - -,g6f7
r1b2rk1/2q2ppp/2p2n2/p1Pp1P2/1p1P4/1P1B4/P1Q3PP/R1B2RK1 w - -,c1g5
1r2k2r/1q1n1n2/p2p4/P1pPp1pp/2N1P3/2PN1P2/4Q1P1/R1R3K1 b k -,e8e7
1r3r2/3b2kp/3p1pp1/2pP4/2P1P3/5B2/R5PP/3R2K1 b - -,f8d8
3rr1k1/pppq2b1/2n4p/2Pp2p1/3Pp1P1/PP2B1NP/2Q2PK1/R2R4 b - -,c6e7
rnbq1rk1/ppppbppp/5n2/4p3/2PP4/P1N1P3/1P2NPPP/R1BQKB1R b KQ d3,e5d4
2bb2r1/1p3k1p/p3p3/5pp1/5P2/2N3PP/PPP1N3/2K1R3 b - -,g5f4
4r1k1/5b2/6p1/pp5p/3Q1B2/1P3P2/PPq3P1/K6R b - -,c2g2
1r4k1/5p1p/3p2p1/2pP4/Q2bP3/n4P2/qP1N2PP/1RB4K b - -,d4b2
