1R6/4bnk1/p7/8/8/2P4P/q5Q1/5K2 b - -,a2g2
rnb2rk1/ppq1ppbp/2pp1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,d1c2
6k1/5pp1/2bB3p/8/p3P3/2r2PP1/7P/4R1K1 w - -,g1f2
5Rk1/1pr1b1pp/2p1p3/p3P3/P7/2N1n2P/1PP2PP1/4R1K1 b - -,g8f8
3r2k1/p6p/p4pp1/1b2p3/8/bP2PN2/P1K2P1P/3R2R1 b - -,d8c8
8/8/3k2pp/1np1R3/7P/1p3PK1/rB6/8 w - -,e5e2
3r2k1/p2r1pp1/3b3p/qPpp1P2/8/2P1BQ1P/P1R3P1/5RK1 b - -,d6f8
1r4k1/2q3p1/p4npp/b3p3/P1p1P1P1/2P1B2P/2Q2PB1/1R4K1 w - -,b1b8
rnbqnrk1/1p3pbp/p2p2p1/2pP4/P1P5/2N2PN1/1P4PP/R1BQKB1R w KQ -,f1d3
rnbqr1k1/5ppp/1pp2n2/3pp3/4P3/2NP1N2/PP1QBPPP/R3K2R w KQ d6,h2h3
4qbk1/5p1p/1p3Pp1/p1pQB1P1/P1P1pP2/1P4KP/8/8 b - -,e4e3
8/2r1k3/5p2/3ppP1p/7P/1RP1R1P1/2r5/5K2 w - -,e3d3
8/7p/6p1/PR1p1k2/r7/8/4NK1P/8 w - -,b5d5
6k1/5pp1/8/1r3P2/8/1P4K1/4R3/8 w - -,g3g4
2r1b3/2r2p2/4k3/1p2PN2/1Pp5/2P1R3/1K6/3R4 w - -,f5d4
3rr1k1/1p4bp/4p1p1/p7/8/BP2R1P1/P2p2KP/3R4 w - -,a3c5
8/7p/3p2p1/1kpN4/1p6/1P5P/5PPK/8 b - -,c5c4
8/1R4kp/8/8/p4p2/Pn1K1N2/5rPP/8 b - -,g7g6
r3qrk1/pp1bp1b1/n2p2pp/2pP1p2/2P2P2/PPN3PP/1BQ1P1BK/2R2R2 b - -,g6g5
3kb3/5p2/3R2p1/1p2r1Pp/1K2P2P/P2B4/8/8 b - -,d8c7
3r1rk1/pbq1b2p/1p2pp2/2p1np2/2P2N1N/P1BPP3/1PQ1B1PP/R5K1 b - -,c7d7
r1b1nr2/2p2k1p/1p1p1qn1/pN1Pp3/2P1Pp2/5P2/PP3Q1P/1KNR1BR1 b - -,a5a4
4R3/7k/4p3/r4pn1/6p1/6P1/2B1PK2/8 w - -,c2d3
3r1k2/4np2/4p2p/1p6/p1b3R1/P2N1P2/1PP2K1P/1B6 w - -,g4g1
r2qk2r/pb1p1ppp/np2p3/6Pn/1pPP4/5N2/PPQNPP1P/R3KBR1 b Qkq -,a8c8
r2qkb1r/1b1n1ppp/p3pn2/8/Pp1P4/3B1N2/1P1N1PPP/R1BQ1RK1 b kq -,f8e7
6k1/5pp1/4bn1p/2Qp4/r5P1/2RP3P/qPK5/5R2 b - -,d5d4
8/8/6p1/2k4p/5p1P/3K1P2/6P1/8 b - -,c5d5
r1bq1r1k/1p2bpnp/p2p1npB/2pPp3/2P1P1P1/2NB1N1P/PP2QPR1/2KR4 b - -,b7b5
r3rbk1/2qn1pp1/p1n1b2p/1pp1pN2/4P3/1PP1BN2/PQB2PPP/3RR1K1 b - -,a6a5
8/p4kpp/Pp6/1P1n1P2/3pK3/7P/3B2P1/8 b - -,d5c7
