8/4r1k1/8/5p2/1pR4P/1p3P2/6PK/8 w - -,c4b4
8/1r4k1/8/pB1Npp2/P1Pb3p/5P1P/4K3/8 w - -,e2d3
2r3k1/2r2p1p/1q1np1p1/p2p2P1/bp1P1PN1/3BP3/PPR1Q2P/2R3K1 w - -,b2b3
rnbqk2r/pp3ppp/2pb1p2/7Q/2BP4/8/PPP2PPP/R1B1K1NR b KQkq -,d8e7
7k/R7/8/3pb3/4p2P/1P2Pr1K/P4P2/5R2 w - -,h3g4
3rk1nr/pp1qbpp1/2n5/3p3p/3N1Bb1/1QP3P1/PP3PBP/RN2R1K1 b k -,h5h4
2rr1q1k/pb2bpp1/1p2p2p/3nP2P/4N3/1P4P1/PB2QPB1/2RR2K1 w - -,e2g4
5k2/5p2/4p1p1/1p3rP1/3Q3P/8/1PK5/8 w - -,c2b3
r2q1rk1/pp1b1pbp/n2p1np1/2pPp1B1/2P1P2P/2N5/PP1QBPP1/R3K1NR w KQ -,f2f3
3r2k1/6bp/4p1p1/q7/ppb1P3/4B3/P4PP1/2RQ2KR w - -,d1c2
5rk1/2q2p2/p1p1p1p1/4P3/2R3Pn/1P2R3/3Q4/7K b - -,c6c5
8/6p1/3p1k2/2pPbp1p/2B4P/1P4P1/r3R1K1/8 b - -,a2a1
1r3rk1/1pqnppbp/p2p2p1/2pP3n/2P2P1P/1PNQP3/P2B1PB1/3RK2R w K -,g2f3
3b2k1/8/pp2p1pp/8/2P2BP1/1P6/P4P1P/6K1 b - -,h6h5
6k1/5pp1/7p/3pK3/1pp5/3r1P1P/2R5/8 w - -,f3f4
5rk1/p1p2ppp/8/2P1b2P/3pPq2/2pQ1P2/PrB3P1/R4RK1 w - -,g1f2
3r2k1/2rq1ppp/pp1bp3/3p4/1PnP1PP1/P1NQP2P/R7/2N2RK1 b - -,d8c8
rn1q1rk1/pbp2ppp/1p1ppb2/8/2PP4/2N2NP1/PP1QPPBP/R4RK1 w - -,a1c1:a1d1
3r2k1/pb5p/1p3pp1/2nP4/2N1P3/7P/P4PP1/1B1R2K1 w - -,d1c1
