4R3/8/5p2/5k2/r7/7P/5KP1/8 b - -,f5g5
5k2/1p3pp1/1r1b3p/3p4/3Pb3/P3P2P/BP1RKBP1/r3N3 w - -,b2b3
8/8/5pk1/6p1/4K1Pp/4R2P/5P2/6n1 b - -,g6g7
8/R4pk1/6p1/8/6PP/8/2r2PK1/8 w - -,g2g3
6r1/8/8/5k1K/8/7N/8/8 w - -,h5h4
3qnrnk/2p2rbp/1p1p2p1/pN1Pp3/P3P2P/1P2BPPB/4Q2K/2R2R2 w - -,h3e6
5r1k/1br1npbp/pq2p1p1/2N1PnP1/RP1p1PN1/3P3P/3B1RB1/3Q2K1 b - -,b7g2
r2q1rk1/pp1bppbp/3p1np1/4n3/3NP3/2NQB1PP/PPP2PB1/R4RK1 w - -,d3e2
8/p5k1/7p/3Bqp2/2p2p2/4b3/P6P/3Q3K w - -,h1g2
rn1qk2r/1bpp1pp1/p3pn1p/1p1P4/1bP1P2B/2N5/PPQ2PPP/R3KBNR b KQkq -,d7d6
1q3r2/3R1pkp/6p1/1pr1p3/2p1P1Q1/2P4P/1P3PP1/3R2K1 b - -,h7h5
2rq1rk1/pb2bppp/1p2p3/n2BN1B1/3P4/2N5/PP3PPP/R2QR1K1 b - -,e7g5
r1b3k1/1pq1nrpp/2pn4/1p1pRP2/6P1/PNN3QP/1PP5/2K2R1B w - -,e5e2
2r3k1/1p3p2/p1b1p1p1/2P1P2p/1P1Q1N2/3R2qP/1P4P1/6K1 b - -,g3g5
8/1p2r1pp/p1p5/2Ppkb2/1R5P/4PP2/PP2BK2/8 w - -,f2e1
r1r3k1/3qpp1p/p4n1b/1p1p1p2/3P4/BP2P3/P3NPPP/R1RQ2K1 w - -,c1c8
4b1k1/p4q1p/1b2pPp1/1p1pQ3/7P/1P1B4/PB3PP1/6K1 w - -,h4h5
rnbq1rk1/ppp1bppp/1n6/8/2P2p2/1B3N2/PP1P2PP/RNBQ1RK1 w - -,d2d4
3r3r/ppk2n2/3pqp2/P6p/2NpP1pP/3P2Q1/1P3PP1/R4RK1 w - -,b2b4
r2b1r1k/p4p1p/2p1b3/2ppP1B1/8/6R1/PPP1NKPP/3R4 w - -,g5f6
r2qk2r/pp1n1ppp/2pbpn2/3p4/8/PP1P1BPP/1BPNPP2/R2QK2R b KQkq -,d6e5
r4rk1/p2nnp1p/1p4p1/2ppP3/2qP4/P1N2P2/1P1QN1PP/2R2RK1 b - -,c5d4
1r5r/1b2kppp/p4n2/1pR5/1P6/1BP5/P4PPP/2K3NR w - -,f2f3
r2q1rk1/ppn3bp/3Q2p1/2p2pN1/8/P5P1/1P2PPKP/R1BR4 b - -,d8d6
r3kb1r/pbppq1pp/np2p3/8/3P4/2N5/PPPQ1PPP/2KR1BNR w kq -,g1f3
3k4/6R1/R7/1n2r3/7P/1P4P1/3p1PK1/8 b - -,b5c7
r3r1k1/1ppb1pp1/p1np2qp/8/3NPn2/2P1N3/PPB2PPP/R2QR2K b - -,c6e5
3r2k1/5ppp/4p3/3n4/3P4/6rP/1pB1K3/7R b - -,g3h3
3rr1k1/pp5p/5ppb/P3p3/2P5/1nR4P/1P3PPB/Rq2N1K1 w - -,a1b1
rnbq1rk1/pp4pp/2pbpn2/3pNp2/2PP4/6P1/PPQ1PPBP/RNB2RK1 b - -,b8d7
4rk2/1b3p1R/p1p2p1N/q2pbp2/2Q1P3/8/P1P1B1PP/5K2 b - -,f8e7
r3nb2/ppp1Nq1k/7p/r2p4/8/2PQ4/P4PPP/R1B1R1K1 b - -,h7h8
6k1/7p/6p1/1p6/2r2PP1/2P5/PPK5/7R w - -,h1f1
5rk1/pp1R2p1/8/n2p3B/3qp3/7P/PP1N2P1/3Q3K w - -,d1g4
rn1q1rk1/1bpp1ppp/1p3n2/p2Pb3/8/P1N3PN/1P2PPBP/R1BQ1RK1 w - -,f2f4
3r2k1/1p3ppp/1q1p1b2/rNnP4/2P1p3/pP3P2/P1Q1B1PP/1K1R1R2 b - -,e4e3
r2qkb1r/1ppb1p1p/p1np1np1/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b kq -,f8g7
r1b1kb1r/5ppp/pBp1p3/3p4/4PPn1/2N5/PPP3PP/2KR1B1R b kq f3,c6c5
2q2rk1/4bppp/2p1p3/2n5/5Q2/6P1/PP2PP1P/2RR2K1 b - -,c8b7
r1bqkb1r/1p3ppp/p1nppn2/8/2PNP3/2N1B3/PP3PPP/R2QKB1R w KQkq -,f1e2
4nrk1/Rrq1b2p/3p2p1/3P1p2/1p2pP2/2B1Q3/1PP1B1PP/5R1K w - -,a7b7
2r1r1k1/2qn2b1/p1pp2pp/P3pp1n/Q1P5/B2P2Pb/3NPP1P/1RR1N1KB b - -,e5e4
4r2k/4n1b1/2b4p/5P2/4P3/2p5/5NB1/2B1R1K1 w - -,e1d1
r4rk1/2p3b1/1pPp3p/pP1Ppqp1/3n4/2NQ4/P4PPP/1BR2RK1 w - -,c3e4
1rb3r1/3pk3/p2Rp1pp/2p1Pp2/2P2P2/2K2BP1/PP1R3P/8 w - -,d2g2
8/8/8/PR3pp1/r3p1k1/6P1/5PK1/8 w - -,b5e5
5b2/R4pkp/2r3p1/1r6/4PP1P/8/P4PK1/3R4 b - -,f8c5
3Q4/p4pk1/6p1/4p3/8/2P3P1/3PPP2/q1R3K1 b - -,a1c1
3r1r2/pp2ppkp/1qppb1p1/N7/1PN5/6P1/P2QPPBP/5RK1 b - -,e6c4
2r3k1/pp3pp1/5b1p/3R3P/4NP2/8/P1P5/1KB3r1 b - -,f6e7
8/5pk1/4bp1p/r7/3K1P2/pB4P1/2P4P/R7 w - -,d4c3
2r5/5pkp/p1q3p1/1p1p1p2/1P1P1P2/1R1QP1P1/P3B2P/2b2K2 w - -,d3b1
r4rk1/pp1nbppp/1qp1p3/5b2/2PPN3/1Q4P1/PP3PBP/R1B2RK1 w - -,c1e3
6rk/3Q1bpn/pq5p/1p4R1/3N4/2P5/PPB3PP/6K1 w - -,g5e5
6k1/R7/6p1/5p1p/1Nn1P2P/5PP1/P5K1/2r5 b - -,f5e4
6k1/1p2qpbp/4rn2/2ppr1p1/P3P1P1/1PN2P1P/3N1QK1/2R1R3 b - -,b7b6
8/3b1k1p/pp6/3p1PP1/P2Np2P/1P2P1K1/8/8 b - -,f7e7
