8/5k1N/6p1/3R4/5p2/4bP1P/6K1/2r5 b - -,f7e6:c1c2
r1bqr1k1/pp3n1p/2n1pbp1/2p5/3P1PP1/3P1N2/PPNBB2P/R2Q1RK1 b - -,c5d4
8/5p2/2R1p1k1/6pP/4K1P1/6b1/8/8 b - -,g6g7
2rq1rk1/5pbp/3n2p1/pp1Pp3/6Q1/1BN4R/PP3PPP/5RK1 w - -,g4e2
br1q1rk1/n3bppp/pp1ppn2/8/1PP1PP2/PNN1B3/3QB1PP/2RR2K1 w - -,e4e5
8/1p6/p1pkrrp1/P2p1p1p/1P1K1P1P/3NPB2/8/6R1 w - -,d3e5
r2r2k1/ppq2pbp/2p1nnp1/4p3/1PP1P3/2N1BB1P/P1Q2PP1/3R1RK1 b - -,h7h5
1r2r3/4p1b1/pBp3kp/Pp1bPpp1/3P1n2/1PR2N1P/3N1PPK/4R3 w - f6,d2b1
r4rk1/p1q1npbp/1pp3p1/2n1pb2/2P1P3/BPN3P1/P1Q2PBP/R2RN1K1 b - e3,f5g4
5k2/p4p2/5Pp1/6P1/5P2/2KB4/1PP5/3r4 w - -,b2b4
2r2rk1/1p3pbp/p1npp1p1/3Nq3/2P1P3/2N5/PP1Q1PPP/3RR2K w - -,f2f4
rq3rk1/1p1b2bp/p1npp1p1/2p5/2P1P3/2NPBN2/PP4PP/R2Q1RK1 b - -,c6d4
8/2R1pp2/5rp1/2Pk3P/8/8/4KP1P/8 b - -,g6h5
3r1bk1/5p2/pp1n3p/3Np1pP/P3P3/2P2BP1/5P2/2R3K1 b - -,b6b5
rnb1kbnr/2qp1ppp/p3p3/1p6/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,c8b7:d7d6
5rk1/Q1R5/1p3p2/p3P1p1/3Pbq1p/7P/PP4P1/6RK w - -,c7g7
2Q5/5p2/p2p2k1/2pP4/5p1P/8/q2K4/8 w - -,d2e1
1r1r2k1/ppp1qbbp/6p1/NPPnpp2/P7/4P3/1B2BPPP/R1QR2K1 w - -,c5c6
1r6/n2kp1Rp/b1p1Nr1P/p1Pp4/3N1P2/PP4P1/8/4R1K1 b - -,b8e8
r2qk2r/bp1bnpp1/p1n1p2p/3pP3/1P1p1B1P/P2B1N2/2PN1PP1/R2QR1K1 b kq -,f7f6
r2qkb1r/pp1B1pp1/4p2p/2pn4/3P4/5N2/PPPB1PPP/R2QK2R b KQkq -,d8d7
r4rk1/4bp2/1p3n1p/pqpPpP2/7B/6P1/1P4BP/R2QR1K1 w - -,d5d6
5b2/1pn3pp/2r1kp2/R7/N2pP1P1/PP1K4/2P4P/2R5 w - -,b3b4
8/5pk1/4p3/2p4p/4PPp1/2b3P1/3R3P/5K2 w - -,d2c2
r3k2r/p3p3/1n1p4/2pP1p1p/6pP/2R1P1B1/PP3PP1/2KR4 b kq -,e8f7
r3k2r/1bnpbppp/8/nB2P3/3p4/3N1PP1/P2Q3P/1R3RK1 b kq -,e8g8
r7/rqn1bpk1/2p1pnp1/1pPpN2p/1P1P1P2/1QN1P2P/1B4P1/4RRK1 b - -,a8f8
3r2kb/1bqn1p1p/p2prnp1/1p6/2p1PB2/2P2P1P/PPBQN1PN/R4RK1 b - -,f6h5
8/8/1p6/pP6/P1K4k/1nN5/8/8 b - -,b3c5
5r2/1Q3pbk/p5pp/1q1N4/2n1P2P/5PB1/6P1/5R1K w - -,f1b1
rnbq1rk1/pp1p1ppp/5n2/2pP4/1bP5/2NB4/PP3PPP/R1BQK1NR b KQ -,d7d6
2kr3r/ppqbbpp1/4p2p/3pP2P/5B2/2PQ1N2/P4PP1/R4RK1 b - -,c8b8
5k2/8/8/1R3N1p/1p2K2P/2b1P1P1/5r2/8 b - -,f8f7
rnbqk2r/pp1pbppp/4pn2/2p5/3P1B2/3BP3/PPP2PPP/RN1QK1NR w KQkq c6,c2c3
4r1k1/p2R1p1p/3P2p1/8/8/1r2b1P1/5P1P/4R1K1 w - -,e1e3
r2qr1k1/pp1b2bp/n2n4/2pP1pp1/8/1PN2PP1/P2BN1BP/R2Q1RK1 w - -,a1c1
r5k1/pR3rbp/6p1/8/1PQ2n2/q4N1P/P4PP1/5RK1 b - -,f4h3
1R6/p3bk1p/4pBp1/1b2P3/q1P5/n2Q4/P4PPP/6K1 b - -,b5c4
8/6p1/1p2np1p/2k1pN2/4P2P/PPK2PP1/8/8 b - -,h6h5
