8/3n1K2/2kb1B1R/2p3RP/2r5/8/8/8 w - -,g5f5
r1b2rk1/1pq1bppp/p3pn2/3pP3/Pn3P2/1NN1BB2/1PP3PP/R2Q1RK1 b - -,f6d7
r1bq1rk1/pp1pnp2/4p1p1/7P/3QP1p1/2N5/PPP2P2/2KR1B1R b - -,e7c6
8/5rbk/1B1P2p1/1pQ1p1p1/2b3q1/8/6P1/3RK3 w - -,e1d2
2r2rk1/1bq2ppp/p2ppn2/1p6/4PP2/PNNPQ3/1P4PP/3R1R1K w - -,d1c1
rnb1k1nr/1pNpppbp/p5p1/3N4/q3P3/8/PPPB1PPP/R2QKB1R b KQkq -,e8f8
3r2k1/b1p2ppp/8/qp5P/2Pp2P1/P2PrBB1/1PK3P1/R6R w - b6,a1e1
2k5/8/p1r1p1p1/3b3p/P1PP4/2K3B1/1R4PP/8 w - -,c4c5
r2r2k1/1p2qppp/p1n1p3/7Q/2pP1R2/2P4P/PPB2PP1/4R1K1 b - -,g7g6
rn1qk3/pbp2p1p/1p2pnr1/8/3PpN2/P1P5/2PQ1PPP/R1B1KB1R b KQq -,g6g8
3r4/2q2pk1/5b2/2p2Pp1/1pB5/1P2RQP1/2P2PK1/8 w - -,e3d3
2b5/p1r2kp1/r3pb1p/7P/1B1PR3/1B4P1/PP3P2/4R1K1 b - -,c8b7
8/8/p1r4k/1p1pP2p/3P4/2PK4/8/6R1 w - -,g1e1
r3kb1r/1p1qpppp/p3b3/3n4/3P2P1/2N1BQ1P/PP3PB1/R3K2R b KQkq -,a8d8
2q2bk1/p5pp/1pn1pp2/5n2/4NB2/P1PQ1N1P/1P3PP1/6K1 b - -,f5e7
r2q1rk1/1b2bppp/p3pn2/1p1nN1B1/3P4/1BNR4/PP2QPPP/5RK1 b - -,d5c3
rnbqk1nr/pp3pbp/3p2p1/2pp4/2P1PP2/2N5/PP4PP/R1BQKBNR w KQkq -,c4d5
r3k2r/pp4pp/5p2/2bp4/6b1/PN4P1/1P1BPP1P/R4RK1 b kq -,c5b6
r1b4r/pp3pp1/5k1p/2B1p3/8/5P2/PPn2KPP/3R1B1R w - -,f1c4
2k4r/8/1pbbp3/p1p4p/P1PpP1p1/2PP4/3BB1PP/R5K1 b - -,d6e5
3r1rk1/1bq1bppp/ppnpp3/6N1/2P1nP2/1P2P3/PB1QB1PP/3R1RK1 w - -,g5e4
2r2r1k/pp4p1/2n4p/5p2/3p3R/3n1NP1/PPN3PR/1K6 b - -,c6b4
rn3rk1/pp2b1p1/1qp1b2p/3p1p2/2PPp3/2N1P1P1/PP1NBPP1/R1Q2RK1 w - f6,c4d5
r5k1/p2P1p2/1p2q1pp/2p5/Q7/7P/P5P1/3R2K1 b - -,a8d8
2k3rr/p1qnbppp/1pn1p3/3pP3/PPb5/2PpQNP1/3B1PBP/R3RNK1 w - -,d2c1
1rnq4/1p1nbpk1/p2p3p/P2Pp1p1/NP2P1P1/4NPP1/4QBK1/2R5 b - -,g7h7
r3r1k1/1p1b1pbp/3p1np1/q1nPp3/p1P3P1/P1N1B2P/1PBNQP2/R3K2R w KQ -,f2f3
8/R4p1p/4p3/4k1p1/4P3/4P2P/p4KP1/r7 w - -,a7a4
2kr3r/ppp1qpp1/1nb1p2p/3n4/3PNB2/P1PB1P2/1P1Q2PP/R4RK1 w - -,f4g3
8/8/4k3/p2p2pp/3P4/5K2/2B5/8 b - -,e6f6
r1bq1rk1/p3p1bp/2pp1ppn/2p5/4PP2/2NP1N1P/PPP3P1/R1BQ1RK1 w - -,d1e1
r1bqk2r/1pp2ppp/2np1n2/p5B1/1bPp4/5NP1/PP2PPBP/RN1Q1RK1 w kq -,f3d4
8/3k4/5b1p/3p3r/1P3R2/P1P3P1/2K4P/8 b - -,h5h2
8/1rp2kpp/R2p1p2/8/4P3/1nP1B1PP/5PK1/8 w - -,f2f4
r7/pp1k4/n1p1p3/3pP3/3PnPP1/2P4r/PP4RP/R1B2K2 w - -,g2e2
3r1rk1/5pb1/pq1p3p/1p2pn2/2P4P/N5P1/PP1Q1PB1/R4RK1 w - -,d2d3
2R5/1pR4k/p2b2pp/3P1p2/8/4r1qP/PP2Q1P1/6K1 b - -,d6c7
r4k2/2p2ppp/2N5/2R1P3/4bP2/p7/R1Pr1KPP/8 w - -,f2e3
8/1p1k2p1/1p4bp/r2P1p2/3pB3/Pn1P2PP/1B3P2/3R2K1 w - f6,e4f3
r2q1rk1/pb2pp1p/1pnp2pb/8/2P3n1/1PN1PNP1/PB1Q1PBP/1R3RK1 b - -,h6g7
7b/5p2/5P1P/p2k2P1/P7/5K2/8/1B6 w - -,b1a2
2k5/1p3pp1/p1p3p1/3r4/3Pr2P/4P3/PP1K1P2/6RR w - -,h4h5
2r2rk1/1bqp1ppp/p1nbp1n1/1p6/3NP3/2P1B2P/PPBN1PP1/2RQ1RK1 w - -,c2b1
1k1r3r/pq3pp1/3b1n2/2pp3p/P7/1P2P3/1B1NQPP1/R1R4K w - h6,a4a5
5rk1/p2rb1pp/2p1qp2/4p3/1nP5/BP3NP1/P3QP1P/R2R2K1 b - -,f8d8
1rbq1rk1/4b1pp/p1n1p3/1pp2p2/P2pPP2/1P1P1NQ1/2PBN1PP/R4RK1 w - -,a4b5
3rr1k1/1p4p1/2p1np2/1q5p/pNRPpBbP/P3P1P1/1PQ3PK/R7 b - -,d8d7
8/p3kp2/1p4pp/3PN3/P4P2/5KPP/8/6b1 b - -,a7a6
6k1/1r3p2/3p3p/b2Pp1pP/N1R1P1P1/5P2/1P4K1/8 w - -,g2f1
r6r/ppp1Bppp/4n3/1Pn1k3/2Pp4/4P3/3P1P1P/R3KBR1 w Q -,f2f4
1R6/3b1k2/3B1p1b/8/4KP2/7p/7P/8 w - -,f4f5
5b2/p2k1p2/1p2pP1p/1P2P2P/2P3N1/3K4/8/8 b - -,d7c7
r5k1/2R2pp1/p2P2qp/2N1Q3/1P1K4/2P3P1/1P3n2/8 b - -,a8d8
3R2k1/4qp1p/ppb1pnp1/4p3/1PP5/PN2QP2/6PP/5BK1 b - -,e7d8
r1b1kn1r/pp2b1pp/1qn1pp2/3pP3/2pP1P1P/P1P2NPB/1P6/R1BQK1NR w KQkq -,g1e2
q5k1/2Q3P1/1K6/8/1P6/8/8/8 w - -,b4b5
1qbr2k1/1r3p1p/p1p3pb/2N1n2n/3NP3/P5PP/2R2PBK/B2QR3 b - -,b7b6
5rk1/1p2qppp/2pbpn2/8/2PP4/1P1Q1N1P/r4PP1/B2R1RK1 b - -,f8a8
r2q1rk1/bb2nppp/p1npp3/8/Pp2PP2/1N1B3R/1PP1N1PP/R1BQ3K b - -,e6e5
1r2n1k1/3b1p1p/3p1bp1/3P4/p3PP2/R1NNB3/1P2K1PP/8 b - -,f6c3
6R1/8/8/4kp2/2p1p3/2r3PP/5P2/5BK1 w - -,g8c8
r2r4/p3k2p/1p2p1p1/8/4K3/2P3P1/PP5P/R2R4 w - -,c3c4
2q1bk2/pp2pp1p/8/2PQbP2/2B5/2P4P/P3N1P1/6K1 b - -,c8f5
