8/4r3/5k2/1R2N3/4K3/8/8/8 w - -,e4f4
1rbr2k1/ppNp1pbp/2n1pnp1/7q/2P1PB2/1N3P2/PP1Q2PP/2R1KB1R w K -,d2e3
8/3kbpp1/8/2p2P1P/2R1p3/1r2B2P/1P2K3/8 w - -,e3c5
2r2rk1/1b2npbp/p5p1/4p3/P1B1P3/2P1B3/3N1PPP/R3R1K1 b - -,f8d8
r3k2r/1p1n1ppb/1ppbpn1p/4N2P/2BP1B2/2P3N1/PP3PP1/R3K2R b KQkq -,d6e5
r3kb1r/1b1n2p1/p1q1pn1p/1pp3N1/4P3/2NB4/PP2QPPP/R1B2RK1 w kq -,g5f3
1qr1kr2/1b1nppb1/pp1p3p/7Q/3PP2p/NB5P/PP3PPN/R3R1K1 b - -,g7d4
2q1r1k1/1r5p/pn2p1P1/3p2P1/2bQ1BP1/n5N1/P3R1B1/2R4K w - -,g3h5
r4rk1/pp2ppb1/1np3p1/2B3P1/2b1P1P1/2N5/PP2BP2/2KR3R b - -,f8e8
r2qrnk1/pp3ppn/2p1p2p/6N1/3P2Q1/2P5/PPB2PPP/R1B1R1K1 b - -,h6g5
4r1k1/1q1bppbp/p2p2p1/1n1P4/1R2P3/4B3/4BPPP/3Q1RK1 w - -,d1b3
6r1/1p1bk3/pPp4r/P1PpNp1p/4nP2/1R4P1/4P2K/2R4B w - -,h2h3
8/3b1rn1/3p2k1/2pP1pPq/2P1p3/2Q1P1PB/1B4K1/5R2 b - -,g7e8
2r5/1p3kp1/P4p1p/1P1np3/8/BP5P/5PP1/R5K1 b - -,f7e6
r4rk1/pp3p2/2p1bB1p/6pP/8/5P2/P1PK2P1/R6R w - -,f3f4
r4rk1/2qnpp1p/pp1p1npb/2p5/P1BPb3/N1P1P2P/1P1N1PPB/2RQ1RK1 b - -,e4c6
6k1/p2r1pp1/P7/1p1pPR2/3r3P/8/6P1/5RK1 b - -,d4h4
8/2K5/r7/8/4k3/1P6/5p2/5R2 w - -,f1f2
8/1p4kp/p1p5/4Pr1p/1P1r1P2/1R3KP1/8/5R2 w - -,f3e3
5qk1/5p2/pnr1pBpp/2brP1N1/Pp1pR1Q1/8/1P3PPP/3R2K1 w - -,g4h3
8/p3k1pp/4P3/1p1r1P2/2p5/2P3K1/PP5P/5R2 b - -,d5d2
r4rk1/pp1bqNpp/1n2p3/2b5/4N3/1B6/PPP1QPPP/1K1R3R w - -,e4c5
5r2/8/p2p1nk1/Pp1PpN2/1Pp3P1/2P3K1/8/7R w - -,f5d6
2k5/p7/1p2r3/2p2B2/8/PR1Pb1K1/6P1/8 b - -,c8d7
r3k2r/1p4pp/p1npb2n/4pp2/2P1P3/2N5/PPNK1PPP/R4B1R w kq f6,f1d3
8/2k5/8/1K6/1P6/8/8/8 b - -,c7b7
1R2k3/2r2p1p/p3p2P/3n4/2r5/5K2/P3N3/3R4 b - -,e8e7
3q3k/1Q2b3/3p4/P2Pp2p/4Pp2/5P1P/5B1K/8 b - -,e7h4
2r2rk1/4ppbp/p2p1np1/qp6/4PP2/2N5/PPPQ2PP/4RRBK w - -,e4e5
4B3/8/8/6p1/2k1np2/P3p3/8/4K3 w - -,e8c6
8/3k1p2/4b3/p2p1p2/1p1P1Nr1/1P2R1P1/1PK5/8 b - -,d7d6
3rr1k1/5pbp/2pqppN1/1p1n4/p2P2Q1/P1P5/BP3PPP/2BRR1K1 b - -,h7g6
r1bq3r/5Nk1/4p1p1/2p1P1b1/p2nPB2/P5PQ/2P2PK1/3RR3 b - -,h8h3
1r6/6p1/3k3p/2Rn1p2/1p1P4/1R1KP2P/r2B1P2/8 b - -,a2a3
2r5/5rkp/3Rp1p1/p3P3/n7/P3Q2P/q3BPP1/4R1K1 w - -,d6d2
3q1rk1/p4pb1/3Qp2p/2Pp4/3P4/4P1P1/P5P1/R1R3K1 b - -,d8g5
8/4kp2/2p5/1p2n3/1P2P2P/3B4/8/6K1 w - -,d3e2
r3k2r/pp3ppp/2pbpn2/3p1b2/1P1P1P2/2P2NP1/1P2BP1P/RN3RK1 w kq -,b1d2
2r5/8/1p1p2p1/1k1p1pPp/p1rPpK1P/P1P5/1P2RP2/3R4 b - -,c4c7
b1q5/p3b1kp/1n3pp1/Np1np3/1P1pN2P/PQ1P1BP1/1B2PP2/6K1 w - -,g1h2
1k6/pp2r3/2p1B1p1/7p/6P1/3nR3/1b3P2/1K6 b - -,d3f4
5R2/8/2r1p3/3pB3/3P2k1/4K3/8/8 b - -,c6c3
7n/2q3k1/4pp1p/1PPp2p1/3P2P1/3Q1P1P/6K1/R7 b - -,h8g6
r2qkb1r/4nppp/p1p1p3/2PpP3/8/4Bb1P/PPP2PP1/RN1Q1RK1 w kq -,d1f3
rnb2r1k/1p2q3/p3ppQp/2pp4/3P3P/2NB4/PPP2PP1/R3K2R w KQ -,g6h6
4Q3/1q1r1p1k/6p1/5p2/4n3/1P1r3P/P5RR/4B2K b - -,d3e3
4r1k1/5pp1/5n1p/2bpq3/1pp5/2P2QNP/1P1B1PP1/4R1K1 b - -,f6e4
2r2r2/1p2ppkp/p1q3p1/1n1p4/3P4/PP3P1P/2PQN1P1/2R1K2R w K -,d2b4
1k3r1r/1p5p/p7/3N4/P1p1n3/2P5/1RP3PK/R7 w - -,d5b6
8/7p/3r4/6p1/1P2k3/2P2R1P/2K3P1/8 b - -,h7h5
1r2r1k1/p2n1p1p/4bp2/1p1p3N/2pP4/q1P1PB2/P1Q2PPP/R3R1K1 b - -,b5b4
6k1/p4p2/8/P1N5/5pP1/3p1K2/3r1P2/8 b - -,d2d1
r2q1rk1/pb2bppp/np6/2Pp4/4nB2/2N2NP1/PP2PPBP/2RQR1K1 b - -,a6c5
1r2k2r/2p2p1p/p2p1npb/8/3P1P2/2PBq2P/P1P1N1Q1/R3K2R w KQk -,h1f1
2rn1rk1/1p2q2p/pR2p3/P1Pp1p2/3P2p1/2N1P3/3Q1PPP/1R4K1 b - -,c8c6
1nr5/4bkpp/5n2/4p3/3pP3/1N3PB1/1PP3PP/R5K1 b - -,f6d7
8/p7/5k2/2p1p2P/P1N1P1K1/3n1P2/8/8 b - -,d3f2
3b1rk1/p2r2pp/3p2q1/P1pPpb2/2Q1N3/2P3P1/1R3PBP/5RK1 w - -,a5a6
3rqbk1/p1r2ppp/1p1p4/2BRp3/4P2P/R1P1Q1PB/P4P1K/8 b - -,d6c5
4r3/pp1q1p1k/3p1npb/2pP1r1p/2P2P2/1PNQB1PP/P3R3/5RK1 b - -,h7g8
r1b1kb1r/1p2pppp/p1np1n2/q7/2P1P3/2N2P2/PPN3PP/R1BQKB1R b KQkq -,e7e6
8/4R3/8/3k2pK/P3p3/7r/8/8 w - -,h5g5
8/6p1/8/K6p/P2N2k1/6P1/1n5P/8 b - -,g4h3
r3kb1r/ppqn1ppp/2p1pn2/7b/4p3/3P1NPP/PPPNQPB1/R1B2RK1 w kq -,d3e4
5k2/7p/3p1Pn1/p1p5/1pN2P2/1P4RP/P1b5/6K1 b - -,f8f7
8/2n1kp1p/2B2p2/1P3P2/1bN3P1/3KP2P/8/8 w - -,d3d4
2r1r1k1/1b5p/pp3pp1/4pN2/Pb6/4P1N1/1P2Q1PP/3R2K1 b - -,g6f5
5rn1/1q4bk/ppN1R1pp/2pP1p2/P4P2/2BP4/1P4QP/6K1 b - -,g7f6
2r2rk1/1p4b1/p1nqp2p/P2p1pp1/R2P2P1/1BPQ3P/1P2NP2/R5K1 b - -,c8c7
r1r2k2/1p2bp2/4p2p/PBp5/RnPp1p2/3N1P1P/1P1R1PP1/6K1 b - -,b4d3
r2q1rk1/1bpnpp1p/p2p2pb/1p1Pn3/3BP3/P1N2N2/1PP1BPPP/R2Q1RK1 w - -,f3e5
r2q1r1k/ppp1bppp/1n6/8/3P4/1QPBBP2/P4P1P/R4R1K b - -,f7f5
5rk1/3p2pp/p3p3/1p3r2/PRnP3P/2P2N2/5PP1/R5K1 b - -,c4d6
r4rk1/pb1nqp1p/1p1b2p1/2pPp2n/P1P1P3/2N2NP1/1BQ1BP1P/R4RK1 w - -,a4a5
5b2/p7/1pk1npp1/2p1p2p/1P2P2P/PKP2P2/4NB1P/8 b - -,a7a5
r1q2rk1/pp3ppp/nb3n2/8/NP1N4/P2QpP1P/1B4P1/R4RK1 b - -,b6d4
