8/8/2N1k1p1/3n2P1/P3p2P/6K1/8/8 b - -,e6d6
8/8/p5k1/Pb6/6K1/2B3P1/8/8 w - -,g4f4
rqb1r1k1/6pp/p4p2/1p1P4/P1p1P3/B1Q4P/5PP1/3RR1K1 w - -,a4a5
rnb1kb1r/pp1p1ppp/1q2pn2/2p3B1/3P4/2N2N2/PPP1PPPP/1R1QKB1R b Kkq -,c5d4
r1br3k/1p2qppB/p1n4p/2P1n3/5B2/7P/P1Q1NPP1/1R1R2K1 w - -,d1d8
3r4/p5k1/2P1R1p1/7p/7P/1PN1p1P1/PK6/5n2 w - -,c6c7
r1bq1rk1/1pp2pbp/nn1p2p1/p2Pp3/2P1P1P1/P1N1BN1P/1P3P2/R2QKB1R w KQ -,h1g1
8/5p2/4p1p1/4k3/r6p/PR5P/1K3PP1/8 b - -,g6g5
r1br2k1/pp1n2bp/5pp1/q1pP4/2P5/4BN2/P2Q1PPP/2R1KB1R b K -,a5d2
8/p4qpk/1pp1r1p1/3n3r/3Pp2P/P3P1Q1/2RB1PP1/1R4K1 w - -,b1c1
1r3rk1/1q1b1pbp/3p1np1/1pnPp2P/pN2P3/4BPN1/PP1QB1P1/2R1K2R b K -,b8c8
4r1k1/3b1ppp/8/1p6/1q1P4/1B1Q3P/2P2PP1/R5K1 w - -,d3f3
1r3bk1/5ppp/b1p1p3/p7/P1P1Nq2/1P1Q4/5PPP/2BR2K1 b - -,f4c7
6rk/5R1p/3N2p1/4p1b1/4Q3/3BP2P/q3K3/8 w - -,e2f3
8/r3bk1p/3p2p1/1r1Ppp2/1P2p3/P1R4P/1B3PP1/3R2K1 b - -,e7d8
8/8/8/1pp1p3/4Ppk1/1P1K4/1P2NbP1/8 b - -,f2d4
2r4k/5R1p/2np4/1ppBp3/4P2P/2Pn2P1/3N4/6K1 w - -,d2f3
n3kb1r/p2bpppp/5n2/8/2Nq4/6P1/PPQPPP1P/R1B2RK1 b k -,g7g6
4r3/pp4p1/2p2pNk/3p2nP/3P4/1KP1nP2/PP3R2/3r2NR b - -,e3f5
r1bqk2r/1p1n1ppp/p3pn2/2b5/2QNP3/P1N5/1P3PPP/R1B1KB1R w KQkq -,c1e3
r7/5R2/5p2/p1kppP2/8/2K5/8/8 b - -,d5d4
8/p7/5kP1/1n1K4/1P2B3/8/8/8 w - -,d5c5
r3qrk1/1n1n1pbp/p1N1p1p1/1p1pB3/1Q6/1P4P1/P3PPBP/2R2RK1 w - -,e5g7
r1b1k2r/pp3p2/2n1p1p1/2PpP2p/q3n3/P2B1N1Q/2PB1PPP/R4RK1 w kq -,h3h4
1kr5/pp3ppp/4pn2/q1Pn4/B1RQ3P/8/PP3PP1/1KR5 b - -,c8c7
rn1qk2r/pbp2ppp/1p2p3/3pP3/1b1P4/2NB1N2/PPPQ1PPP/R3K2R b KQkq -,c7c5:b4e7
3b3r/1p1k1pp1/2b3n1/r2P3p/2p5/2P2BBP/5PP1/RR4K1 w - -,d5c6
2b2rk1/2q4p/r2pp1p1/p7/2Pb4/3Q1B2/RP1B1PPP/5RK1 b - -,e6e5
5rk1/p2bq1b1/3p3p/1P2rp2/P1pN4/4P1QP/2B3P1/4RRK1 w - -,f1f3
6k1/p5p1/1p2p1p1/3pP3/3r1p2/P3nPP1/R4K1P/1R6 w - -,b1b4
1r2k2r/3b1ppp/B2p4/q3p1b1/pN2P3/2P5/1P3PPP/R2QK2R w KQk -,d1d6
8/1R1b1rk1/p2K2n1/2P5/3N2p1/6P1/8/8 b - -,d7c8
2r5/4k3/R2b2p1/5p1p/1PB1p2P/3P2P1/4PP2/6K1 w - -,b4b5
1r6/8/P1p5/8/K7/5k1p/8/6R1 w - -,a4a5
4r1k1/pp1r1pp1/4pbp1/2P5/b1PP1P2/P4BPq/1B1Q1R1P/5RK1 w - -,d2e3
8/8/8/5K2/5p2/5rk1/8/R7 b - -,f3b3
2rr2k1/p4pbp/b4qp1/8/2ppPB2/5P1P/PP1R1QP1/1BR3K1 w - -,f2g3
r1bq1rk1/1pp1npb1/3p2p1/2nPp2p/1pP1P2P/P1N1B2N/4BPP1/R2QK2R w KQ -,a3b4
1r2r1k1/1b1R1pp1/2p4p/1P6/p1B4P/P3P3/5PP1/4K1R1 b - -,e8f8
8/5p1p/1p4p1/3k4/8/2P2P2/b1NK1P1P/8 b - -,d5e5
r1rb2k1/3q1pp1/p1n1pn1p/1p6/3pPB2/P2P2PP/1P2NPB1/R1RQ2K1 b - -,d8b6
3r1b1k/1p1r2pp/2n2p2/4p3/pPP5/2RPP1N1/1B2KPPP/3R4 b - -,f8b4
r2q1rk1/ppn2nbp/3pb3/2p2p2/2P2P2/2N1BN1P/PP1QB1P1/3RR1K1 b - -,h7h6
3rk2r/1b1p1pp1/p1n1p3/1pb3q1/3NP1Pp/P1NQPB2/1PP4P/3R1R1K w k -,d4c6
5rk1/3nppbp/r2p1np1/q1pP2B1/4P2P/2N5/PP1Q1PP1/R3K1NR w KQ -,g1e2
8/5kp1/7p/r4P2/3R1KPP/8/8/8 b - -,a5a1
8/p3k3/1p3p2/1P3P2/Pr6/3K4/4R3/8 b - -,e7d6
1k1r1b2/p1pq4/1nN4r/1Pp2pp1/P7/4P1P1/3BQPB1/R5K1 b - -,h6c6
5r1k/3r1p1p/1nN3bp/1B1p4/1P6/P1R3PP/7K/3R4 b - -,d7d6
1r4k1/5ppp/p3pn2/q7/2Q5/b1pN2P1/P3PPBP/R5K1 b - -,h7h6
6k1/1p3p2/p1q2bp1/2Pp3p/PP3P2/2PQ1NP1/5K1P/8 w - -,f4f5
r1bqk2r/pp1pbppp/2n1pn2/8/2P5/1NN3P1/PP2PPBP/R1BQK2R b KQkq -,b7b6:d7d6
8/8/1R2p2b/1p2r2k/1P4p1/P7/5PK1/6N1 b - -,h6c1
rnbqkb1r/1pp2ppp/p3pn2/8/2p5/5NP1/PPQPPPBP/RNB2RK1 b kq -,b7b5
3rr3/pp4pp/8/2p1kp2/P3p3/2P1P3/1P3PPP/3R1RK1 w - -,c3c4
8/1R6/8/8/2r5/1k6/p1p5/K7 b - -,b3c3
r1r3k1/pp1bpp1p/3p2pQ/q2P4/8/1P4P1/P3PPBP/R4RK1 w - -,h6e3
2rr1bk1/p4pp1/1p1Pq2p/3R4/P3N3/1Q3P2/6PP/3R3K w - -,b3d3
r3kb1r/1p1n1ppp/1pp1pnb1/3p4/2PP3N/2N1PP2/PP2B1PP/R1B1K2R w KQkq -,c4d5
4br1n/2r3qk/2p1p1p1/1pPpPpBp/pP1P1P2/P3P2R/4B1QP/6RK w - -,g2f2
r6r/p1pknp2/bp2p1p1/3pP1Pp/2nP1N2/P1P1BBPR/2P2P2/2K4R b - -,h8g8
r1b1k2r/3pq1pp/6p1/1pp1P3/4PB2/1P4Q1/PP3PK1/R6R b kq -,c8b7
r5k1/p3ppbp/q2p1np1/1p1P4/b1nNPP2/2P1B1PP/P7/R1Q1RBK1 w - -,e3f2
8/5k2/6p1/Rp5p/7P/1P4P1/P2r4/6K1 w - -,a2a4
r2k3r/pppn1p2/4bn2/4P1p1/5p1B/2P5/P1P3PP/2KR1B1R w - -,h4g5
2rq1rk1/pp1nnppp/4p3/2ppPb2/3P4/2P2N2/PPBN1PPP/R2Q1RK1 b - -,d8b6
1R4k1/6p1/5p2/P7/r5p1/6P1/5P1P/6K1 b - -,g8h7
4rrk1/3q2np/3p1pp1/R1pP3b/2P1P3/1PQ2N2/3N1P1P/4K1R1 w - -,e1d1
r2q1rk1/pp1bppbp/n2p1np1/2pP4/2P1P1P1/2N2P2/PP2N2P/R1BQKB1R w KQ -,e2g3
4R3/8/6p1/3k1p1p/3p1P1P/6P1/1r2K3/8 w - -,e2f3
