8/1pR2pk1/1P5p/6r1/1R6/8/7K/5r2 b - -,f1f5
rn3rk1/p1pqbpp1/1p2p2p/3pP3/3P4/2P2N2/PP1NQPPP/R4RK1 w - -,f1e1
8/1p1n1k2/p1pB2p1/1PPb1p1p/P2K3P/5PP1/4B3/8 b - -,a6b5
rnbqk1nr/p1p3pp/5p2/2b1p3/3N4/4P3/PB1P1PPP/RN1QKB1R b KQkq -,c5d4
8/4k3/6p1/2P1N3/5P2/6Kp/8/7r b - -,e7f6
1r6/R2bk1pp/1P2p3/2KpPp2/2p2P2/2P3P1/2B4P/8 b - -,e7d8
3r1rk1/6pp/2n1bp2/p2pp3/Pq1P4/1N2P1P1/5PBP/R2QR1K1 b - -,e6f7
r3r1k1/pp1nbppp/1qp1p3/3n3b/1P6/P1NP2PP/2PBNPB1/1R2QRK1 w - -,e2f4
8/k3r3/pb2Pq2/1p4rp/2b1Q3/1N5B/PPPR4/1K2R3 b - -,c4b3
r3k2r/pp1nbpp1/4p2p/2qP4/8/P1N5/1PP2PPP/R2QK1NR b KQkq -,e7f6
2R5/2P2k1p/4n3/8/P4pP1/8/5K1P/8 w - -,c8h8
rnbqr1k1/p3bppp/2p2n2/1p1p4/1P1P4/P1NBP1N1/5PPP/R1BQK2R w KQ b6,d1b3
1b1r1rk1/5ppp/4p3/2P2b2/1p1P4/1B3N2/1P4PP/4RRK1 b - -,h7h6
r3r1k1/1pqnbppp/p1pp1n2/4p3/2PP2b1/PPN1PN2/1B2BPPP/2RQR1K1 b - -,e7f8
r2k3r/pp1n1pp1/3pbn1p/4p3/4P3/3B1N2/PPP2PPP/R1B2RK1 b - -,d8e7
r5k1/pp2Q1p1/b5qp/P2p4/4p3/1PR2NNP/5KP1/4R3 w - -,g3e4
r3qrk1/pb2bpp1/1p2pn1p/2n5/2B4B/P1N1PN2/1P2QPPP/R2R2K1 w - -,c4b5
1r1q1rk1/p4p2/1p3bp1/1P3p1p/P2P1Q2/3P1NP1/5P1P/R4RK1 b - -,d8d5
1r6/6p1/4pk2/P7/1K2p3/8/1P6/R7 w - -,b4c3
8/1pk5/8/4q3/pP1R4/2K5/2N5/8 w - -,c3c4
r4rk1/1ppq1ppp/p1np4/2b1pb2/2P1N3/1P2P1P1/P1QP1PBP/R1B2RK1 b - -,f5h3
7Q/2p5/1k6/5P2/8/1p6/2q5/7K b - -,b3b2
1r3rk1/p1pq2b1/Pp1pn1pp/1P1Bp3/2P2p2/2NPP1P1/5P1P/1R1Q1RK1 b - -,g8h7
1r4k1/1pp3p1/7p/1pQ4R/2P3n1/3P4/P5B1/4qRK1 b - -,e1e2
6k1/5pb1/1Q3qpp/1P1b4/4p2P/6B1/4rPP1/1N1R2K1 w - -,b6f6
8/6pp/3k4/5P1P/3K2P1/p7/8/8 w - -,d4c3
8/7p/5p1k/8/R3P2P/2N5/p7/2K3q1 w - -,c1b2
8/8/3kp3/p1r5/2pK2R1/1pP5/1P6/8 w - -,g4g8
4r1k1/pp4pn/2p2qbp/3p4/3P2P1/5PN1/PP1Q2KP/R4B2 w - -,d2f2
6k1/5p2/2n1p1p1/2P1P3/2R2Pp1/2N1K1P1/7r/8 b - -,h2c2
r2qk2r/pp1nnpb1/2p1p2p/3pPbp1/2PP4/4BN2/PP1NBPPP/R2Q1RK1 w kq -,a1c1
1r4k1/5pb1/5Qpp/1ppPp3/8/2N4P/1P3PP1/3R2K1 b - -,g7f6
r5k1/2p2rb1/1pqpn1n1/p3p2p/P1P1Ppp1/1PPN1P2/2QNKBPP/1R2R3 w - -,e2d1
r1bqkb1r/pp3ppp/2n1p3/3p3n/3P4/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,f8d6
1rr3k1/4b1np/2pqp3/ppNn1p2/3P4/PP1B1QPP/1BR2P2/4R1K1 b - -,c8f8
r1b1r1k1/4bppp/pq1p2n1/2pPp2n/4P3/N1PB1N1P/1P2QPP1/R1BR2K1 w - -,a3c4
3q2k1/4bppp/2b1p3/1Np3P1/ppP1PP1P/8/PP4B1/2KQ4 b - -,d8b8
4r1k1/1p5p/p3q1pb/3pnp2/4r3/1PP1P1P1/P1NBQR1P/5RK1 w - f6,h2h3
rq4k1/p4p1p/1np3p1/3rb3/4N3/3BBP1b/PP2QP2/2RR3K w - -,c1c6
r4rk1/bbq2ppp/p1n1pn2/1p6/1P6/P1N1PN2/BB2QPPP/R4RK1 w - -,a1c1
r2q1rk1/1p1nppbp/p2p1np1/2pP4/P3PB2/2N5/1PP1BPPP/R2Q1RK1 b - a3,a8b8
rnb1kr2/pp2ppbp/5np1/2P1N1N1/2B2P2/7P/PPP3P1/R1B1K2R b KQ -,e7e6
2r1r1k1/1pp1Bpb1/1n4p1/p7/P7/1B6/1P3PPP/3R1RK1 w - -,e7c5
8/4k2p/1B6/2p3pn/P1Bb4/5P1P/6P1/5K2 b - -,e7d6
1r4k1/4p1bp/pNp2Pp1/2B5/2PNbPPn/7P/PP3K2/3R4 b - -,g7f6
r2q1rk1/1bpn1ppp/1p1ppn2/p7/2PP4/PPB2NP1/2Q1PPBP/R4RK1 b - -,b7e4
r1bqkbnr/pp3ppp/2n1p3/1BPpP3/8/5N2/PPP2PPP/RNBQK2R b KQkq -,f8c5
r1r3k1/pq2ppbp/p5p1/5b2/3P4/Q3P1B1/P2N1PPP/R1R3K1 b - -,g7f8
5k2/8/3p1bP1/3P4/1P2B3/p1p4p/P1K5/8 w - -,c2b3
5k2/R4p2/6pp/7P/4PPK1/1r4P1/8/8 b - -,g6h5
4k3/pR2b3/P3n3/6p1/7p/3P3P/1P3PP1/6K1 w - -,b7a7
6k1/1p1bb1pp/2p1p3/4Pp2/1PB1PP2/2B3P1/5K1P/8 b - -,g7g6
1r4k1/4r2p/p2ppbp1/q1p5/B1P2PQ1/P7/1P4PP/2BRR1K1 b - -,a5a4
r4rk1/p2n1pp1/2b4p/1pb1p1P1/4PP2/2P3P1/PP2Q3/R1B1KN2 b Q -,e5f4
r2qk1nr/pp1bppbp/2np2p1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,d8c8
r5k1/1p4p1/2p2q2/3p3r/pP1Pb2p/P1R4P/3Q1PP1/3RN2K w - -,f2f3
r7/P5R1/4kpp1/7p/1b6/4B1P1/7P/7K b - -,g6g5
8/2B4p/8/5k2/3bp3/7P/6K1/8 b - -,d4e5
2kr2nr/pbq2p1p/1pnp2p1/2p1p3/2PPP3/2P1BNP1/P3QPBP/R2R2K1 b - -,f7f6
r4k1r/1b2qp2/p1pNp1pp/3nP3/2B5/P5Q1/1P3PPP/R4RK1 b - -,d5b6
2rr2k1/5pp1/p3p1B1/2b1P1qp/Pp6/6B1/1P2QPPP/3R1RK1 b - -,g5g6
r2n4/rp3kn1/2p3p1/3pPpPp/PR1P1P1P/2N1BK2/8/1R6 b - -,g7e6
8/p2r1ppp/1rp1k3/R3p3/R7/1P4P1/P3PP1P/4K3 b - -,b6b7
r1bq1rk1/1pbpnppp/p1n1p3/2p5/P1B1PP2/2NP1N2/1PP1Q1PP/R1B1K2R w KQ -,e1g1
1b6/5k2/1r5p/p1p2Np1/6P1/2P5/PP2R2P/6K1 w - a6,b2b3
rnbq1rk1/ppppp1bp/6p1/5p2/3Pn3/1P3NP1/P1P1PPBP/RNBQ1RK1 w - -,c1b2
8/5ppp/4p1k1/4P3/1R1P4/r4PK1/2r3PP/5R2 b - -,a3d3
6k1/p3r1pp/P2npp2/1q1p4/3Q1PP1/2P4P/8/1R2R1K1 b - -,b5a6
r3kb1r/1bqp1ppp/p1n1pn2/2p5/2P5/2N1PNP1/P2P1PBP/R1BQR1K1 w kq -,a1b1
3r2k1/p3p1bp/4Ppp1/2P5/5B2/1P2Rb1P/2P2P2/6K1 b - -,f3c6
1k1rrb2/3q3p/pp4pn/3pPp2/2pP1PPB/PnN2N1P/1PQ5/1K1R2R1 b - -,d8c8
8/4k3/4b3/8/8/1p1P2Kp/1B6/8 b - -,e7d6
bq3rk1/p1n1npb1/3pp1p1/2p3Pp/P3PP1N/2PPB3/3Q2BP/3N1RK1 w - -,d2a2
8/5pk1/1R4p1/P1R4p/r1b4P/5PK1/8/8 w - -,b6d6
8/5pk1/6pp/2P1p3/4P1P1/3Q1PP1/1qn5/6K1 w - -,c5c6
r3r1k1/3b1p1n/pq1p1Qpp/2pPp3/P3P1P1/2N4P/1PP2P2/3RRBK1 w - -,f6f3
rn1qr1k1/1b1nbppp/4p3/1pppP3/p1P5/3P1NP1/PP1NQPBP/R1BR2K1 w - -,c4b5
r3k2r/p1p1q1p1/4p2p/1p1bP2P/2p3R1/2P5/P2Q1PP1/R3KB2 w Qkq -,d2e3
r3k1nr/pp1npp1p/3p2p1/q1pP4/2P1P3/1QP2b2/P4PPP/R1B1KB1R w KQkq -,g2f3
2r2rk1/Np2p1bp/n3q1p1/p2R1p2/N1n1PB2/P7/1P2QPPP/3R2K1 b - -,c4b2
7r/3R2pp/1kp5/3p4/6r1/P2K4/1P4PP/2R5 w - -,g2g3
8/5pk1/2pp2p1/2b1p2p/2P1P2P/3B2P1/P1Q2PK1/q7 w - -,c2e2
r2q1rk1/1R5p/2nNb3/2P5/3pP3/5p2/3Q2BP/2R3K1 b - -,a8a2
4N3/p7/8/P1n2kp1/8/5K1P/6P1/8 w - -,e8d6
3r1rk1/1p3ppp/p1npb1q1/4p1b1/2N1P3/3BBPP1/PPP2K1P/R2QR3 b - -,e6c4
r1br2k1/pp2q2p/2nP2pb/4P3/5P1n/1P3N1P/PB3PB1/R2QNRK1 b - -,h4f3
6r1/5p2/3bpk2/1pp2p2/8/P1P2NP1/1P1K1P2/7R w - -,h1h4
5bk1/5pp1/4pn1p/2Nb4/R2P3P/4BPP1/8/1r3BK1 b - -,d5f3
5r1r/3knpp1/n1pNp2p/pp1qP3/2pP4/B7/2P1QPPP/R2R2K1 w - -,d6e4
4K3/8/4Bk2/6p1/8/5P2/7P/8 w - -,e6g4
4rrk1/pbp3pp/1p1p1n2/6q1/2PPp3/P1P1P2P/2QN1BP1/4RRK1 b - -,b7c8
8/2r5/4B2p/8/4k2p/8/5PK1/8 b - -,c7g7
r2q1rk1/pb4pp/1pnbpn2/2pp4/3P1P2/2N1BN2/PPPQB1PP/3R1R1K w - -,f3e5
q2r2k1/3n1ppp/4R3/1B6/1b1PQ3/p4NP1/5P1P/6K1 w - -,e4a8
r1bq1rk1/pp5p/4p1p1/3pPp2/7P/2PQ4/PP1N1PP1/R3K2R w KQ f6,f2f4
5R2/1Pk4p/P7/3p4/6P1/5P2/5K1P/8 b - -,c7b6
r2qk2r/pp2bp2/2p1pn1p/2n1P1pb/5P1N/P5PP/1PP3B1/RNB1QR1K b kq -,f6d5
r3kbnr/1ppb2pp/p4p2/2p5/4P3/8/PPP1NPPP/R1BNK2R w KQkq -,c1f4
r2q1rk1/3bppbp/p2p1np1/nppP4/2P1P3/1PN3P1/PBQN1PBP/R4RK1 b - -,a8b8
4r3/2pp1k1p/r4bp1/p1Pp4/5P2/2PKB1P1/P6P/1R2R3 w - -,e3d4
1q4k1/4Rp2/6p1/3PQ1Pp/2P2P1P/6K1/P7/3r4 b - -,d1d3
nr3rk1/1p2bppp/p2p4/4p3/P3P3/1P1R1NPB/2P2P1P/5RK1 w - -,d3c3
r1bqrnk1/1p2bpp1/p1p4p/3p4/1P1Pn2B/2NBPN2/P1Q2PPP/1R3RK1 w - -,h4e7
8/2r3kp/8/1p2p3/1Pr5/2bB1P2/2R3P1/2R2K2 b - -,c3d2
5k2/1p2p2p/p2r1p2/2rp1P2/P1PR4/1P4P1/5R1P/6K1 w - -,c4d5
1n3rk1/1B3ppp/4p3/1NB1b3/1p2P3/5P2/Pn1R2PP/6K1 b - -,f8e8
2bq1rk1/1pp1bpp1/3p2n1/3Pp1Np/1PP1P1nP/2N3P1/3B1PB1/Q3K2R b K -,c8d7
r6k/3R2b1/5q1p/8/3r2p1/3Q4/3N1PPP/5RK1 w - -,d7d4
8/2r1kp2/2b1p1p1/R1p1P2p/5P1P/1PK3P1/4B3/8 b - -,c6d5
1rkr4/2p3pp/4bp2/p1p1p3/P1PnP3/2K1N3/1P1R1PPP/3B3R w - -,b2b3
8/5pkp/R5p1/1p1q4/5N2/6PP/1R3P1K/3n4 b - -,d5d4
8/R6p/4bpk1/1N2p3/1P2P3/2r2P2/r5PP/4R2K b - -,a2e2
r4rk1/pp2ppbp/3qbnp1/3pN3/PP1P4/1B2P3/5PPP/R1BQ1RK1 w - -,b4b5
8/8/1p2r3/5k2/8/3K1pP1/1R6/5b2 w - -,d3d4
r1b2rk1/1p2np1p/p3p1p1/8/3q4/2NP1QP1/PPP3BP/R4R1K w - -,a1e1
1k5r/ppq2pp1/4p2r/3pPb2/Q2PN3/2P5/PP2B1P1/4RRK1 b - -,d5e4
r1q5/pp1b1k2/4p2Q/3pPr2/P7/R7/2P2PPP/4R1K1 w - -,h6h7
2k2rr1/p3np2/Pp2p3/2qpP3/b7/P1pQ2B1/2P1BPPP/2RR2K1 w - -,d3f3
3r3r/3q1kp1/R3p1n1/2p1Pp1p/2Pp1P1b/3K2NR/2PB1P2/7Q w - -,h3h4
8/3rk3/4ppp1/1R6/1P5P/5RP1/1r3PK1/8 w - -,b5b6
4kr2/pQ1bb2p/4p3/3p2q1/3N4/3B1P2/PP4PP/2r1RK1R w - -,b7b8
r1b3k1/ppq3b1/2p3r1/2P1p3/4NpB1/1P4PP/P4P2/2RQ1RK1 w - -,g1g2
5rk1/R3RN2/7p/2pP2p1/2Nb1p1r/5K2/1PP2P2/8 w - -,f7e5
8/3kp3/p1p3B1/1pB4p/5P2/1P3KPb/PbP5/8 b - -,h3g4
3b4/5pk1/1p3n1p/1B6/P2B1R2/6P1/3r1PK1/8 w - -,g2f1
4k3/p7/7p/3n3K/3N4/5P2/8/8 w - -,h5h6
r3r2b/1p1b1p1k/2pp1P1p/4p1p1/p1P1P3/P1NP1RP1/1P4BP/5R1K w - -,f3f2
rnbq1rk1/1p3pbp/p2p1np1/2pP4/P3P3/2N2N2/1P2BPPP/R1BQ1RK1 b - a3,c8g4:f8e8
1r2k2r/p1q1bpp1/1nn1p2p/3pP2P/2b2B2/2P2NP1/P2NQPB1/R3R1K1 w k -,d2c4
rn1qkbnr/1b1ppppp/p7/1p6/3NP3/P1N5/1PP2PPP/R1BQKB1R b KQkq -,d7d6
2kr3r/pppq1ppp/2npb3/6b1/5B2/2P5/PPPQ1PPP/1K1R1B1R w - -,f4g5
r3rnk1/1pq2pp1/p1pb1n1p/P2p4/1P1PP3/2N3PP/2QB1PB1/1R2R1K1 b - e3,d5e4
r3rbk1/1q1n1ppp/p1bp1n2/1P1Np3/1P2P3/3QB3/P2NBPPP/2R2RK1 b - -,c6b5
5rk1/1p6/4r3/pRPpN3/3P1P2/P3P1q1/2Q2np1/3K2R1 w - -,d1c1
6k1/p4pp1/1qp1rb1p/7P/Q7/1P3NP1/P1R2PK1/8 b - -,a7a6
r1bqk2r/pp3ppp/2n1pb2/2p5/1n6/2NP1NP1/PPP1QPBP/R1BR2K1 b kq -,c6d4
1R6/6p1/1PR2nk1/8/1r5p/7P/1r3PK1/8 b - -,b4f4
4n3/2k2p2/Kp3P2/p2P4/P7/1P6/4B3/8 b - -,e8f6
r2b3k/pp1b1p2/8/3p1q1p/1P1PpPp1/P1R1P1Pr/5QNP/2R2NK1 w - -,c1c2
r3n3/p2qnNkr/1p4p1/2p1p2p/1PPpP3/P2P2P1/4Q1NP/R4R1K w - -,f7e5
r3k2r/pppqbppp/3p4/7n/3QP3/P1N1B3/1PP2PPP/R3K2R b KQkq -,d7g4
rnbqkb1r/ppp1pppp/5n2/3p4/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq f3,c8f5
r4rk1/pRp1qppp/8/7Q/3P1P2/4P3/P4P1P/5RK1 b - -,f8b8
r1bqnrk1/1pp1b1pp/2n1p3/p1Pp1p2/3P4/PP1BPN2/2QN1PPP/R1B1K2R b KQ -,e8f6
1kr1r3/pbq3p1/1ppbpp1p/3nN3/2PP1P2/3B4/PP1BQ1PP/1K1RR3 b - c3,d5b4
r3k2r/1p2n3/p2pbp2/P1p1p1pp/2BnP2P/2NP2B1/1PPK1PP1/R6R w kq h6,f2f3
r7/6kp/bqp1pNp1/p2nP3/Pb2R2P/6P1/1BQ2P2/3R2K1 b - -,a8d8
1r2q1k1/1pp1rpp1/p1nb3p/3Q3b/3P4/P3BN1P/1P2BPP1/2RR2K1 b - -,e7e3
8/1p1k3p/2p1p3/P1PpP3/3P1pP1/8/P3K3/8 b - -,d7e7
r3r1k1/4bpp1/p7/6qn/P3P3/3BBPp1/1P3Q1P/2R2RK1 w - -,h2g3
rnbqkb1r/pp2pppp/5n2/3P4/3Q4/2P5/PP3PPP/RNB1KBNR b KQkq -,d8d5
r4rk1/4nppp/1q2p3/pN2P3/Pp6/8/1P2QPPP/2R2RK1 b - -,e7f5
8/1p3k2/6p1/p2P4/P7/1P2nB2/5Kp1/8 w - a6,d5d6
6k1/1p3r1p/1pp3b1/2n1b1pN/4p3/P1P1R1PP/1P4B1/6NK w - -,g3g4
r2qk2r/1p1bbppp/p1nppn2/2p5/4P3/2P2N1P/PP1P1PP1/RNBQRBK1 w kq -,d2d4
2k5/8/p1Pp4/P2b4/6p1/3K4/5B2/8 b - -,c8c7
2kr1b1r/ppp3pp/2p2nq1/8/3P4/2P1pPN1/PP2Q1PP/R1B1K2R w KQ -,c1e3
