8/8/8/3r2p1/7p/R6P/4k1K1/8 w - -,a3a2
3r2kb/4p2p/2p3pP/rp1bPp2/1P1P1B2/2K2P2/4B1P1/7R w - -,b4a5
kbq1n2r/pp2rppp/4p3/1pP5/3P2P1/2B2Q1P/PR3PB1/1K2R3 w - -,b2b5
1r1q1rk1/pp2bppp/2n1p3/2p5/Q2P1B2/2P2bP1/P3PPBP/1R3RK1 w - -,g2f3
8/8/8/3k2p1/3pb3/6P1/3KB3/8 b - -,d5e6
3r4/qb1B1p1p/p4P1k/1pp5/7P/1P4P1/P7/2R2RK1 w - -,d7f5
3r1bk1/1P1n3p/3qp1p1/N2n4/2BBQ3/8/5PPP/R5K1 w - -,a1e1
2qbr1k1/5p1p/2p1n1pB/2PpP3/3P4/3Q2N1/6PP/5RK1 w - -,h2h3
3r2k1/pq3pp1/4pn2/3r4/1p6/3BQ3/PP3PPP/3RR1K1 w - -,h2h3
4r1k1/p3ppb1/2P3p1/6Bp/2Br4/Pp4P1/2R5/5RK1 b - -,b3c2
3q2k1/p4pb1/bp3npp/r7/2P2Q2/5NP1/P2N1P1P/4RBK1 w - -,d2b3
2rq1rk1/pb2b1pp/npp1p3/3p1p2/2PPn3/1P3NP1/PB1NPPBP/1QR2RK1 w - -,f1d1
r2q1rk1/1p2p1b1/p1npb2p/3Nnpp1/2P5/1P4P1/P2BPPBP/2RQNRK1 w - f6,g1h1
r2q1rk1/1p1np1bp/4b1p1/1P1pNp2/p2Pn3/N5P1/PBQ1PPBP/2R2RK1 b - -,d8b8
r1bqk1nr/ppp2ppp/1bnp4/8/2BPP3/5N2/P4PPP/RNBQ1RK1 w kq -,f3g5
r1bqk2r/1pp2ppp/2np1n2/p3p3/1bPP4/5NP1/PP1BPPBP/RN1Q1RK1 w kq -,d2g5
8/pppk1p1B/8/5p2/8/P3K2b/1PP2P2/8 b - -,d7e6
4qrk1/pp1b2bp/1n1P2p1/6B1/4P1n1/2P2N2/P2Q2P1/1K1R1B1R b - -,e8e4
6k1/p1qn1ppp/bpp5/2b1pNB1/2P1PPP1/1P5P/P5B1/3Q3K w - -,f4e5
8/6pk/8/3N2n1/2P1K2p/6qP/Q5P1/8 w - -,e4d4
r1bq1rk1/ppp1bpp1/2n4p/3p4/3P4/2PB1Nn1/PP3PPP/RN1Q1RK1 w - -,h2g3
2r2bk1/1q3ppp/8/rP1p4/3P4/1QnR4/1B3PPP/1R4K1 w - -,d3c3
5rk1/1p2R1p1/r2p3p/p2p1b2/P2N1P2/6Pq/1PPQ3P/1K2R3 w - -,d2c3
6k1/6p1/5p2/1R2p2p/r6P/6P1/5PK1/8 w - -,b5b7
5k2/1p4b1/6Rp/p2B4/3p1P1P/P2Qq1P1/1P5K/2r5 w - -,d3f5
3R4/5ppk/2p4p/1bp5/p3P3/R1P1B2P/P4PPK/5q2 b - -,c5c4
8/5k2/4p2p/3pPp2/2bP3P/2P2BK1/8/8 w - -,f3h5
3rr1k1/1pqn1pp1/p1p1pnp1/P7/1PPP1bP1/1Q3N1P/1BR2PB1/4R1K1 b - -,d8c8
r1bq1rk1/ppn2pbp/3p1np1/2pp4/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,e4d5
r3n1k1/pp2r1pp/1qn2p2/2p5/1PP5/P1Q1PB2/1B4PP/R4RK1 b - -,a8c8
8/7r/p4k2/Pp2p1R1/1Ppr1pKP/8/5R2/8 w - -,g5g8
6k1/5Rpp/3Np3/2r1P3/p2p1P2/P5P1/6BP/3n2K1 w - -,f7d7
6k1/Bp3pp1/2pn4/3p4/PP4q1/4PQ2/4K3/8 b - -,g4b4
3brrk1/1p4pp/p1p5/2PpP2b/1P1P1p2/R4P2/1P1B3P/3B1RK1 b - -,h5g6
rr2q3/1p1n2k1/2pR1n1N/p1P1p3/P3Ppp1/1P3N1P/2Q2PP1/4R1K1 w - -,h6g4
3q1rk1/5p1p/2p2bp1/1p6/1P1PP1n1/r1N5/2BQ2PP/3RR1K1 b - -,f6d4
3r2k1/1p2bppp/4pn2/3r3b/p1NN4/P3B2P/1P2BPP1/R4RK1 b - -,d5d4
1r4k1/p1p2rp1/3p1n1p/3PpR2/4P2P/P1B2P2/1P1K1P2/6R1 w - -,d2d3
6R1/8/P3p3/1K2kp2/1P6/8/8/1r6 b - -,b1a1
8/5p1k/4p1p1/1Bn1B1bp/8/5KP1/7P/8 w - -,e5d4
2r5/5pk1/p1r1p3/1p1pP1PP/1P3P2/3BP3/R2K4/8 b - f3,c8d8
2r2rk1/1bB1b2p/p4np1/1p1pNp2/3P3P/P2B2P1/1P3P2/2R2RK1 b - -,f6e8
r1bqr1k1/p1p2pbp/2pp1np1/8/2P1P3/2N2P2/PP2B1PP/R1BQ1RK1 w - -,c1g5
3r1rk1/4bpp1/2n1p2p/p3P3/2QPNPP1/qB5P/P4B2/5RK1 b - -,d8c8
1r4k1/4ppb1/3p2p1/3P3p/p1b1P2P/3pBP2/PP1K2P1/1R1N4 w - -,a2a3
3r1r1k/4b1np/p3p3/5p2/Bpp2P2/6NQ/Pq5P/4R1RK w - -,h3h6
1r4k1/5rpp/p1Q5/3pp3/4PPq1/1NPP2Pb/R6P/4R1K1 w - -,f4f5
r1bqk2r/pp2bppp/2n1pn2/6B1/3P4/2NB1N2/PP3PPP/R2Q1RK1 b kq -,e8g8
r1b1k2r/1p2qppp/p2bpn2/4n3/1P6/P1NBPN2/1B3PPP/2RQ1RK1 w kq -,c3a4
3q1r1k/pb3pp1/1p1b3p/2np1B2/3B4/1P2PN2/P4PPP/1QR3K1 b - -,d8e7
r6k/pp6/2np3q/5rp1/3P1pRp/2P4P/PP1QNK2/R7 w - -,e2g1
8/7k/8/2pNb1Qp/8/6KP/5RP1/4q2r w - -,d5f4
r1b1r1k1/ppqn2b1/2p2p1p/4pPp1/2PpP1PP/PP3R2/2QBP1B1/R3N1K1 w - -,f3h3
2kb4/7r/p1p1r1p1/2B3Pp/1P3p1P/2P2P2/P1KR4/6R1 b - -,d8c7
r1bq1rk1/p2pnpbp/2p1p1p1/2p1P3/4N3/3P1N2/PPP2PPP/R1BQK2R w KQ -,c1g5
3r3k/4r1pp/p3pp2/1p1q4/3P4/P1R5/1P3PPP/3QR1K1 w - -,c3c5
rn2k2r/2pqbpp1/1p2p1np/p2pP3/P2P4/4BN2/1PPNQPPP/R4RK1 w kq -,c2c4
r2q1rk1/pb1p2pp/1pn1pn2/2p2p2/2PP4/P1QBPP1N/1P4PP/R1B2RK1 b - -,d8e7
r1b1kb2/ppp1pp1Q/1n1q3r/5p2/2pP1N2/2N1P3/PP3PPP/2KR1B1R w q -,h7g8
