2R5/k2K4/8/2P5/8/8/8/1r6 w - -,c5c6
1k5r/ppb3Q1/2p3pr/2P5/1P1PNPn1/8/P2BK1P1/8 w - -,g7d7
8/p7/1b1rkpp1/4p2p/8/5P2/P1R1K1PP/1R6 w - -,b1c1
3q2rk/3N1p1p/p1n4P/2p2Q2/2P5/4P2P/P4K2/1R6 w - -,f5f6
R4rk1/1b1n1p1p/3q2p1/1p6/2pPP3/2P3P1/1BB1Q2P/3R2K1 b - -,f8a8
1rk4r/3b1Np1/2qBn3/p6p/8/3BQ3/1PP3PP/4R2K b - -,b8b2
1n2k3/5p1p/p1r1pPp1/1p2P3/3P4/2P5/4KPP1/R1R5 b - -,e8d7
6k1/p2P2p1/1p3q1p/8/2PPQ2P/1P6/6P1/6K1 b - -,f6d8
r2q1rk1/1p2nppp/p2pb3/4p1b1/4P3/2N2B2/PPP2PPP/R1NQ1RK1 b - -,d8b6
8/2k4R/p7/Np1pP1pP/2rb4/P7/8/1K6 b - -,c7b6
r1bqrnk1/1p2ppbp/p4np1/8/3pP3/1PNP2P1/PB1N1PBP/R2Q1RK1 w - -,c3e2
1r1q2k1/1b3pp1/pp1NPn1p/3p1N2/Pn6/8/4QPPP/1B1R2K1 w - -,d6f7
r4rk1/ppq2pp1/2pbp2p/2P2b2/3P4/4QNP1/PP3PBP/R4RK1 b - -,d6e7
r3r1k1/pppqbppp/4b3/8/PP1PN1n1/5N1P/1B1Q1PP1/R3R1K1 b - -,g4f6
3r1r1k/pp1nbppp/2p1p3/q3P3/P2P2Q1/5N2/1P3PPP/R1BR2K1 w - -,c1g5
3rr1k1/pp3pp1/8/3pn2p/3P4/1P3PP1/P2R2KP/5RN1 b - -,e5c6
2r1r3/pp1bppk1/3p2p1/3P3p/3N3P/1P3P2/P1P1R1P1/1K2R3 b - -,g7f8
3r2k1/1b1N1pb1/p5p1/1p5p/5B2/1qP4Q/1P3PPP/4R1K1 w - -,f4g5
8/8/7p/4p1k1/7R/1r6/4K2P/8 w - -,h4e4
8/2p5/p2pkb2/1p1n1p2/3P2P1/1P1K3P/P2BN3/8 b - -,f5g4
3q1rk1/3nbppp/p3p3/1p1pP3/2r2PQ1/P3P3/1P2N1PP/R3BRK1 b - -,d7e5
rnbq1rk1/ppp3pp/3p4/4pp2/2PPP3/2R2N2/PPQ2PPP/4KB1R w K -,d4e5
