8/8/1B4p1/2p5/2k3P1/3n1K2/1P6/8 b - -,c4b3
1k1r3r/pp1n1p1p/2pqpp2/Q7/2PP4/5B2/PP3PPP/1K1R3R b - c3,d6c7
b1Rr2k1/3P1p1p/p2Qpp2/q7/8/5P2/4B1PP/6K1 w - -,d6a6
2b5/8/p4k2/1pN2p1p/1P2p2P/8/P1P3r1/3K3R w - h6,a2a4
4k3/7p/p1r1NPp1/8/6P1/8/1P5P/6K1 w - -,f6f7
r4rk1/1q1bbppp/ppn1p3/3n4/1P1P4/P2N1NP1/1B3P1P/R2QRBK1 b - -,a8d8
2rq1rk1/pp1bbppp/2nppn2/1Bp5/P3PP2/2NP1N2/1PP3PP/R1BQ1R1K w - -,c1d2
2kr4/2q3p1/3b1pN1/1p3P2/2bp2P1/PP1Pn2Q/3N3P/1KR5 w - -,b1a2
8/2p2p2/4p1k1/4P3/5RP1/2r5/5K2/8 b - -,c3c5
rnb2rk1/ppp1ppbp/3q2p1/8/3P4/2N1P3/PP3PPP/R1BQKB1R w KQ -,f1e2
r1b2rk1/1p1n2pp/p1p1p3/5pq1/1bPPp3/1PN1PP2/P1QN2PP/R1B2RK1 w - -,c3d1
rn1q1rk1/1bp3pp/pp1pp3/5p2/2PPn3/1P2PN2/PB2BPPP/R2Q1RK1 w - -,d4d5
r3b3/1R2b3/2pp1kpp/p3p3/P1N1P3/2P1N3/5PPP/6K1 w - -,g1f1
7r/4kpp1/1qrp1n2/4pP1P/pp2P3/5B2/PPPRQ3/1K1R4 w - -,e2g2
1n2kb1r/rp1nqbp1/2p1B3/p4PPp/P2Pp2P/1QN5/1P2N3/R1B1K2R w KQk -,e2f4
3q1rk1/1p1nbppp/p3p3/3p4/2rP1B2/PnNNP2P/1PR1QPP1/5RK1 w - -,e2g4
1rb5/1P3pp1/8/2N4p/1Rp3k1/6P1/5K2/8 b - -,g4f5
2r1r1k1/p4pp1/1q1b2p1/1p1Q4/3p4/4P3/PP1BN1RP/5R1K b - -,e8e7
8/pp1q1pk1/4b1pn/8/PQP5/1P2P1PP/5PBN/6K1 w - -,b4b7
2rqkb1r/3n1pp1/p2p4/1p1Ppb1p/8/1N1BBP2/PPPQ2PP/1K1R3R b k -,f5d3
r1bq1rk1/pp1p1ppp/2n1pn2/2b3B1/2P5/1QN1P3/PP3PPP/R3KBNR w KQ -,g1f3
r4rk1/1bqn1pbp/p2p1np1/P3pP2/Rp2P3/1N1BB1N1/1PP3PP/3Q1RK1 b - -,d6d5
rn1q1rk1/pp3pbp/3p1np1/2pP4/4PP2/2N5/PP1NQ1PP/R1B1K2R b KQ -,f8e8
r2qkb1r/1bp2ppp/p1n5/1p1np1N1/8/1BP2Q2/PP1P1PPP/RNB1K2R b KQkq -,d8g5
1r1r4/pp2n1k1/5pp1/q1pp3p/4P1nP/2PP2PN/PP1Q2B1/R4RK1 w - -,h3f4
6k1/5pp1/b1r1p3/R3P2p/1pp2P2/4b1P1/1PR1P2P/1N1rBK2 w - -,b1d2
2R5/8/1p2r1p1/3k1p1p/5P1P/1P1K2P1/8/8 b - -,e6e4
8/b4pk1/4p3/4P3/1Q3q1p/5P2/1P4P1/4BK2 b - -,a7d4
r4rk1/1b1Nqppp/p7/1p6/2pPpP2/P1N1P3/1P4PP/2RQ1RK1 b - -,e7d7
r2r2k1/5p2/bp2p1p1/7p/2NbP3/5P2/6PP/1RR2B1K b - -,a8b8
2r1q1k1/pb4pp/1p2p3/2bpP3/6Q1/1P6/PB3PPP/1B1R2K1 b - -,e8f7
4rrk1/1qp1b1pp/p3b3/3pQ3/8/1PN4P/P1P2PP1/2B1RRK1 b - -,e7c5
8/p7/1p1R3P/6k1/8/8/2b5/4K3 w - -,e1d2
2R3k1/5p2/4p3/p2r3p/3q2pN/1p4P1/7P/5Q1K b - -,g8g7
r1b1kb1r/1p3ppp/p2p1q2/4p3/4P3/4B3/PPP1NPPP/R2QR1K1 b kq -,f6d8
2k4r/pppqrppp/2n5/3p4/3P4/2PQ3P/PP1N1PP1/2KR3R w - -,h1e1
1r3rk1/1pqn1pbp/p1p1p3/N2n1p2/3P4/4PN2/PPQB1PPP/R1R3K1 b - -,d7f6
3rr2k/pp2qbpp/1np2p2/3p1P2/2nP1QP1/2NBP2P/PP1N4/4R1RK w - -,d2c4
r1bq1rk1/pp2ppbp/2np1np1/8/2P1P3/2N3P1/PP2NPBP/R1BQK2R b KQ -,a7a6
8/R6p/8/5p1n/1N2p1kP/P3K1P1/7r/8 w - -,a7h7
rnbqk2r/1p2ppbp/p1pp1np1/8/2PPP3/2N1B3/PP3PPP/2RQKBNR w Kkq -,f2f3
r4rk1/1p2bppp/n2Np3/p7/P1b5/BP2P3/5PPP/R2R2K1 w - -,b3c4
3rr1k1/ppp1npp1/1b1pbq1p/4N2n/3PP3/2P1B2P/PPB2PP1/R2QRNK1 b - -,d6e5
2r1k2r/pp3ppb/3Bp2p/q6P/n1B5/1P2Q3/PK3PP1/3R3R w k -,b2a1
3rb1k1/1pr1qpbp/1N1p2p1/p1nPp2P/2B1P1P1/P1N5/1P1Q1P2/1KR4R b - -,e7f6
r1bq1rk1/p2nbppp/4pn2/2pp4/2PP4/5NP1/P1QNPPBP/R1B2RK1 w - -,f1d1
8/p5pk/5r1p/2p2P2/2P1QP1P/4P1K1/q2p4/2R5 w - -,c1d1
3b4/8/8/4p2p/8/3k1KP1/5N2/8 b - -,d3d2
r1b1rnk1/ppq1bpp1/2pp1n1p/4p3/3PP3/1BP2NN1/PP3PPP/R1BQR1K1 w - -,f3h4
2br1bk1/p2q1p1p/1p3Pp1/n3r3/2p1P1PQ/2P1B2P/P3N3/1BR2RK1 b - -,c8b7
8/5pk1/p5p1/2r5/PR4p1/7P/4rPK1/R7 w - -,h3g4
8/p4ppp/Pr6/2kp1K2/8/6P1/R4P1P/8 w - -,h2h4
r3r1k1/p7/5p2/N1b5/1p1R1P1p/2n4P/PR3BP1/5K2 w - -,d4d7
8/R5pp/4nk2/8/P4PP1/4K3/1r6/8 w - -,f4f5
8/7p/1p2p3/p4pPk/P1P2q1P/8/8/1R1R1K2 w - -,f1g2
1r2kbr1/ppn1p1p1/2p2p1p/2P4P/2PPpB1N/6P1/4PP2/1R3RK1 b - -,e8d7
8/8/8/8/8/p2k4/P1p5/2K5 b - -,d3c3
r2qk2r/pb1nbppp/1p1ppn2/8/3P4/2PB1N2/PP1NQPPP/R1B2RK1 w kq -,d2c4
2k5/1p2bp1r/p3p2p/q1p1P1pQ/4b3/1PNR2B1/P1P2PPP/6K1 w - -,d3e3
3r3k/r6p/1p2PN2/pP3Pp1/P2p4/6P1/6BP/2R3K1 w - -,g2c6
r1b2rk1/ppn1pqb1/2pp1n1p/5pp1/1PPP4/B1N1PNP1/P4PBP/2RQR1K1 w - -,d1e2
1rq5/1p3pk1/p4np1/N1P1pb2/1PPRp2p/P3PP1P/3Q2P1/3B2K1 w - e6,d4d6
2r2rk1/1p1nqppp/n2p4/1b1Pp3/1PN1P3/1Q1N2PP/5PB1/2R2RK1 w - -,f1d1
