8/7k/3R4/2p5/1rK5/1P6/8/8 w - -,c4c3
8/pp1bN2R/1k2p2P/4P3/5K2/8/8/7r w - -,e7g8
3r4/5pk1/p2r4/1p2Q3/4PP2/1P3Kpq/P1R5/4R3 b - -,f7f6
r2r1b2/2q2pnk/b1pp2pp/2p2P2/4P3/2N2NPP/2QR1BB1/3R2K1 b - -,g7h5
3q1r1k/1Q5b/1P3n1p/2b2ppn/3N4/2B3PP/4PPB1/4R1K1 w - -,d4e6
r1b1kb1r/p1p1qppp/1np5/3pP3/4Q3/8/PPPN1PPP/R1B1KB1R w KQkq d6,e5d6
2kr1b1r/1pp1pppp/p2q1n2/3P4/6b1/2NQ2P1/PPP2PBP/R1B1K2R b KQ -,e7e6
r3kb1r/1b1q1ppp/p3pn2/1p4B1/3N4/1B6/PPP2PPP/R2QR1K1 b kq -,f6e4
7R/3k1p2/pq3B2/1pRpPb2/1P1P1p2/5K2/P7/8 w - -,h8d8
1r3rk1/4qp1n/3P2pp/1p6/2n1P1PN/1pP1PNQP/1P3R2/5RK1 b - -,c4d6
4r1k1/4rp1p/p4np1/1ppqn1N1/4RB2/P6Q/1P3PPP/4RK2 w - -,e4e2
6k1/ppqnbpp1/3r3p/2p2B2/2p3P1/5Q1P/PP3P2/3R2RK w - -,d1d6
rnbqk1nr/pp1pppbp/6p1/8/2PN4/6P1/PP2PP1P/RNBQKB1R b KQkq -,b8c6:d7d5
5rk1/3b2n1/3qpr1p/pp1pR1p1/3P4/P1N3PB/1P2RP1P/4Q1K1 w - -,c3a2
r2qk2r/pp3pb1/2npbnpp/2p1p3/2P4P/PP1PP2N/1BQ1BPP1/RN2K2R b KQkq -,a7a6
8/p7/1kp1P3/2p5/P1B1r3/2KN4/8/8 w - -,a4a5
8/8/p2k4/Pp3K2/2pB4/2P5/2N3P1/1r6 w - -,g2g4
r2r3k/p1q2p1n/1p2bPpN/2p3P1/2P1P2P/2P1Q3/P1B4R/R5K1 w - -,h4h5
r1bq1rk1/pp1nppbp/3p1np1/2pP2B1/2P1P3/2N2P2/PP4PP/R2QKBNR w KQ -,g1e2
1r3k2/5p2/2R2pp1/pp2p3/P3P3/1PP2P2/6PP/6K1 b - -,b5a4
8/1b1n4/8/B4k2/6p1/6K1/8/8 w - -,a5c7
r4rk1/1bqnbppp/pp1pp3/2n3P1/P2NPP2/2NB4/1PPBQ2P/4RRK1 b - -,f8e8
3r1k2/1p2n1p1/p3B2p/3P1P2/5qP1/BP5K/P3Q3/8 w - -,e2d3
5r2/1pk5/1n1p1q2/p1pPBpp1/P1P5/1BP1PQ1P/3K4/4R3 b - -,f6e5
7r/pRr2p2/P3p3/2B1Pk2/1P4pp/2P1R3/5PK1/8 b - -,c7b7
r2qk2r/ppp1bppp/3pbn2/n3p3/2B1P3/1PNP1Q1P/P1P1NPP1/R1B1K2R b KQkq -,e8g8
3Q4/5p1k/n1p1p1pp/1q2r3/1P1N4/P7/5PPP/5RK1 b - -,e5d5
3qb3/p4r1k/1p5p/3pPp1P/PQnP2p1/B2R1p2/4NPP1/4K3 w - -,g2f3
2r1r1k1/pbn1qpbp/1p1p2p1/2pP4/4PNn1/P5P1/1P1BNPBP/RQ1R2K1 b - -,g4e5
1r1b1rk1/Qp3pp1/4b2p/3Nq3/8/5B2/PP3PPP/2R1R1K1 b - -,e5d6
rnq1kb1r/1p3ppp/p2p1n2/4pP2/2B5/2NQ4/PPP2PPP/R1B1K2R b KQkq -,b8c6
5rk1/6pp/6b1/4Q3/3B1P2/P5R1/5K1P/1q6 b - -,b1c2
r3k2r/3qbpp1/p3p2p/1p6/3P1N2/1PP5/5PPP/R2Q1RK1 b kq -,e8g8
r1bq1rk1/4bppp/p1p2n2/4p3/N2pP3/1P1B3P/PBP1QPP1/R4RK1 b - -,c6c5
1r1q1rk1/3b1ppp/B2p4/3Np1b1/pP2P3/8/1P3PPP/R2Q1RK1 b - -,d7c6
r2q1rk1/1p1nppbp/2p2np1/p2p4/2P5/1P1P2P1/PB2PPBP/RN1Q1RK1 w - a6,c4d5
5rk1/5p2/4bP1p/4P1p1/6PP/r7/P4R1K/R7 w - -,h4g5
1r2k3/1pR2pp1/1p2p1p1/8/2pP1P2/P3P3/1P3P1P/6K1 w - -,g1f1
5r2/3kr2p/p3pb2/1pp2p1R/3p4/1B1P1N2/PPP1R2P/5K2 b - -,d7d6
8/5p1k/2p3pP/4p3/1p1qP2P/1P3P2/3N4/1K1R4 b - -,d4c3
r1bq2k1/5rbp/pp1p1nn1/1N1Pp1p1/4Pp2/3N1P2/PP2B1PP/2RQBRK1 w - -,b5c3
r4rk1/1b1qppbp/ppn3p1/8/3PP3/1Q2BN2/P3BPPP/R4RK1 b - -,b6b5
8/8/4Q3/2p1p3/K7/3kq3/8/8 w - -,e6b3
8/bp4k1/p6p/3Np3/3nP3/P3Q1Pq/1P5P/5R1K w - -,e3f2
2r3k1/1bqp2pp/p3p1r1/1pb4n/4P3/3Q1P2/PPPBN2P/1KR2B1R b - -,d7d5
2K5/5k2/2P5/8/8/2r5/8/4R3 w - -,c6c7
r2q1rk1/pppbppbp/2n3p1/1B2P3/5Bn1/5N2/PPP1QPPP/RN3RK1 b - -,g4e5
2br1r2/6kn/p2q1pp1/2pPp3/Pp2P1P1/4Q1N1/1PP1B1K1/3R1R2 w - -,c2c3
3r3k/6p1/p5np/3qp3/5P2/1PP1B3/P3QPP1/R5K1 b - -,e5f4
r3rbk1/3q1pp1/3p4/1p6/1P2P3/1Q2BP2/2R3PP/3R2K1 b - -,a8a4
8/8/2p1kp2/3p2p1/2bP4/4PP2/3qN1P1/4K3 w - -,e1d2
rn2r1k1/1p3pp1/3q1bb1/pP5p/3Pp3/PQN1B2B/5PPP/2R2RK1 b - -,e8d8
8/2p2p2/2p2k1p/pp1b4/5KPP/1BP2P2/P1P5/8 w - a6,a2a4
3rrbk1/ppqn1ppp/2n5/2p1P3/4NP2/2P2Q1P/PP4B1/R1B2RK1 b - -,c5c4
2rr2k1/pn2qpb1/1pp1b1pp/4p3/2P1P3/PP2B1PP/2Q2PB1/1N1R1R1K b - -,d8d1:b7a5
r6k/5Q1p/p7/1p4r1/3b2P1/5R1P/PPq5/4R2K b - g3,a8g8
r4rk1/p1B2pp1/5bbp/1p6/1q6/4Q3/P2N1PPP/2R1R1K1 w - -,c1c6
r2qk2r/pp1bb1pp/1nn1p3/3pPp2/3P1P2/3B1N2/PP2N1PP/R1BQ1R1K b kq -,a7a5
6k1/R4b2/6P1/8/1r2B3/5K2/8/8 b - -,f7b3
6n1/1b2p1k1/pp1p2pp/2pP4/4P3/8/PPK1N1r1/R6R b - -,g2e2
r3rnk1/pp3ppp/2pqbp2/b7/2PP4/PP5P/1B1NBPP1/R2QR1K1 w - -,b3b4
rnbq1rk1/pp2nppp/2pb4/3pp3/4P3/3P1NP1/PPP2PBP/RNBQR1K1 b - -,d5e4:d5d4
2rq1rk1/p2nb1pp/bpp1p3/3p1p1n/2PP4/1P2BNP1/PQ1NPPBP/R4RK1 w - f6,a1c1
8/pb3k1p/1p4p1/2p2pP1/2P5/P2P2KP/3R4/4r3 b - -,e1e3
r1bq1rk1/1p2bppp/p1n1p3/3n4/3P4/2NB1N2/PP2QPPP/R1B2RK1 w - -,f1d1
r2q1rk1/pp1b2pp/2n1p2n/3pb3/1P1P4/P7/1B1NBPPP/R2Q1RK1 w - -,d4e5
3n1r1k/Qp1nbr2/2ppp3/4p3/1P2P1qp/P1PPBN2/3N1PPK/R5R1 b - -,f7h7
8/3r1k1p/4p3/P3PpK1/r7/1R1p1P2/3R3P/8 b - -,a4a5
r2r2k1/1p2pp1p/3q1bp1/p1pP4/P1P5/1P1B1P2/3Q2PP/3RR1K1 w - -,d2e2
r2q1rk1/p3bppp/bpn1pn2/2pp4/2P5/1P1PPNP1/PB2QPBP/RN3RK1 b - -,a8c8:d8d7:b6b5
1r1q1rk1/5pbp/2np2p1/1b3P2/3PPN1P/1pB2NQ1/2n3BK/4R1R1 w - -,e1d1
r2q1rk1/pp3pbp/2npbnp1/2p1p3/P1N1P3/2PP1N2/1P2BPPP/R1BQ1RK1 w - -,d1c2
3r2k1/pb1rq2p/1p4p1/1n1pPp2/1p6/4P1P1/P2R1PBP/BQ1R2K1 w - -,b1b3
8/P5p1/5k1p/5p2/5PP1/2R1P2P/r7/4K3 b - -,a2a7
2rr1nk1/pb2qpp1/1p2pn1p/4N3/P1PP4/b4N2/1B2QPPP/1BRR2K1 w - -,c1c3
5r1k/4q2p/1p6/2P1b3/2P1p3/1N1pQ3/1P3r1P/R5RK w - -,g1g2
1qR3k1/5pp1/5n1p/1p2p3/4P3/P3QBPP/5PK1/8 b - -,b8c8
1qr3k1/2p2pp1/2R4p/p7/P7/2Q3PP/1P3P1K/8 w - -,c6c5
2bqr1k1/r4pbp/3p2p1/1p1Q4/N3n3/BP2P1PP/P4PB1/2R2RK1 w - -,g2e4
1qbr4/p4k2/3p1pp1/2pN4/1pPR3P/1P4P1/PQ3PB1/6K1 b - -,c5d4
r1b3k1/pp4pp/1q2p3/2bp4/3N4/1P1B4/P1Q2KPP/R3RN2 b - -,c5d4
r2r2k1/pbq1bpp1/1pn1p2p/2pn4/P3N3/2PP1N2/1PQ2PPP/R1B1RBK1 w - -,c1d2
2R5/5k2/2p2p2/6p1/3K2P1/8/8/2r5 b - -,c1g1
2r1r1k1/1b1nq1bp/2pp1Pp1/8/1PpP1P2/2N3N1/3Q1BPP/2R1R1K1 b - -,e7f6
r1b1kb1r/2qn1ppp/p1np4/4p1P1/Np2P3/1N2BP2/PPPQ3P/2KR1B1R b kq -,c7d8
1k6/p4p2/Kp1N4/P3n1p1/1P1nP3/8/8/3B4 b - -,b6a5
2r2k2/1p1R1pp1/p2N2b1/6P1/1P6/2P5/PK6/8 b - -,c8c6
6k1/5pp1/p6p/1p4n1/5q2/8/PP2QPPP/3B3K b - -,f4c1
r5rk/pp2bq1p/4ppn1/3p4/P2PpBR1/2P3NP/1P1Q1PP1/R5K1 b - a3,f6f5
3r3k/2p3p1/7p/4p3/QBb1p3/2P3P1/4qP1P/R5K1 b - -,e4e3
5rk1/2p2q1p/3p2nR/3P1pP1/Q1p1rP2/P1B1P3/1PN5/2KR4 w - -,a4c6
r3q1rk/ppp4p/3p1nnQ/3Pp3/7N/2N4P/PPP2P2/2KR2R1 b - -,e8f7
2r1r1k1/b1p1q2p/p3b2p/1p3P2/8/2NB2QP/PP4P1/3R1K1R b - -,g8h8
2r4k/1p4p1/3npp1p/p6q/Pb1P1P2/1P1QN1P1/1B4KP/5R2 b - -,h5e8
2Q2k2/4q3/p1p2rp1/2P4p/1P3P2/P1n3P1/7P/4R1K1 b - -,f8f7
4k3/4b2p/1P3p2/8/2K4P/3RB1P1/8/1r6 b - -,e7d8
3rr1k1/1b1n1pb1/1q1ppnpp/1p6/3NPP2/1P5Q/PB1N2PP/1B1R1R1K w - -,h3f3
r3r1k1/3q1ppp/p2p1n2/1p6/2pPPn2/5NN1/PPQ2PPP/3RR1K1 w - -,e4e5
rn1qkb1r/1b2ppp1/p2p1n1p/1p6/3NP1P1/2N4P/PPP2PB1/R1BQ1RK1 b kq -,e7e6
3rr1k1/pp3p1p/2b3p1/2P1p3/3nP3/3BBP1P/P5P1/1RR3K1 w - -,d3c4
K7/8/8/8/8/3q4/6p1/2Q2k2 b - -,f1f2
rn1q1rk1/1b2bppp/p3pn2/1pppP3/8/1P1P1NP1/PBP1NPBP/R2Q1RK1 b - -,f6d7
r1b1k2r/ppp1n1pp/5p2/2P5/3PqPn1/PQ3NK1/1B5P/R4B1R w kq -,a1e1
1rr1k3/4bppp/4p3/pp4PP/n2R1P2/2P1BB2/PPK5/3R4 w - -,d4d7
3k4/5p2/1PBp3p/3N3P/2P2K2/8/8/1r6 b - -,d8c8
8/1p6/p1kp2r1/2p1p1rp/2P1P3/1P3RPR/P4K2/8 b - -,c6b6
8/1p2kp2/3n2p1/p1p3Pp/P5rP/1PP1KN2/7R/8 b - -,c5c4
1r1qr1k1/pp2ppb1/3p2p1/6Pn/1pPP4/3B1P2/PPQB1P2/1K1R3R b - -,e8f8
1r4k1/2r1bp2/pp4p1/1pnBp3/4P2P/2P1B1P1/1P3PK1/2RR4 w - -,f2f3
8/p3kb2/1p4p1/7p/PP6/2PR1Pb1/3K4/8 b - -,h5h4
rn1q1rk1/pp2ppbp/1n1p2p1/5b2/2PP4/5N1P/PP1NBPP1/R1BQR1K1 b - -,b8c6
2k2b1r/1pp2ppp/p1p3n1/4P1B1/6b1/2N2N2/PPP2PPP/3rR1K1 w - -,e1d1
8/4ppk1/3p2p1/2r4p/3K4/1BR3PP/5P2/8 b - -,c5f5
r6r/3kbp2/b1p1p3/3p3q/8/6P1/2Q1NPB1/R2R2K1 w - -,d1c1
2r1k3/4b1p1/pBqpbpP1/P7/2p1P3/2N3Q1/1PP5/2KR4 w - -,g3h2
r7/1p3pk1/2b3p1/2bNp2p/4P3/1B3P2/P5PP/2R2K2 b - -,c5d4
r1b1k2r/p1q2pb1/2n3pp/1B1P4/4p3/8/PPP2PPP/R1BQ1RK1 b kq -,c8d7
8/8/1p1pp3/1P2p3/4Pk2/2PK1npQ/8/8 w - -,h3h6
8/1p4p1/2p2kp1/8/1n1nBP2/1PN2K2/P6P/8 w - -,f3g4:f3e3
rnb1k2r/ppp1qppp/3p1n2/3Pp3/2P5/P1N3P1/1P1QPPBP/R3K1NR w KQkq -,e2e4
r2r2k1/ppp2pb1/2n1bnpp/4p3/2P1P3/1PN2NP1/PB3PBP/R4RK1 b - -,f6e8
3r2k1/p1b2pp1/5qbp/2p1pN2/P1PnPnPP/4BQN1/5P2/1R3BK1 w - -,f3d1
r1R3k1/rR4np/4p1p1/3pP1B1/P1b3PP/5PK1/6B1/8 b - -,a8c8
4qr2/3nbp1k/3p1np1/p5Bp/1rB1PQ2/1PN5/2P2RPP/5R1K w - -,h2h3
