8/8/7p/6p1/4k1P1/PR5P/5K2/r7 b - -,a1a2
1k2r3/1p2rp2/p2Q3p/P5p1/4p3/2P4P/1P2nPP1/3R3K b - -,b8a8
r5r1/pppbqn1k/3p2p1/3Pp2p/4P2b/4BP2/PPPQN1R1/2KB2R1 w - -,f3f4
r4rk1/2pqb1p1/p1nppn1p/1p2p3/4P3/2NP1N1P/PPPB1PP1/R2QR1K1 w - -,a1c1
1r1q1r2/1p1P1pbk/3R1np1/8/pQB1p2p/2P4P/1P2N1P1/5R1K b - -,e4e3
7q/5k1r/r3pp2/pn1p1P2/1ppP3N/2P2P2/PP2QK2/4R2R w - -,f2g3
r1bqk1nr/p2pppbp/1pn3p1/2p5/4PP2/2N2NP1/PPPP2BP/R1BQK2R b KQkq -,c8b7
5k2/4bpp1/7p/2prpP2/6P1/6BP/1PR5/6K1 w - -,g1f2
4r1k1/5pp1/2p5/7p/3P3P/3qPpP1/2Q2P1K/2R5 b - -,d3c2
5rk1/pb3pp1/3q1n1p/2p1N3/3P1Q2/2PB4/P5PP/1R4K1 b - -,d6d5
6k1/ppp3pp/2n5/3r4/3Pqr2/8/PB1Q1PPP/R4RK1 w - -,f1e1
r4rk1/ppn2ppp/2p4q/4PR2/2BQ4/P7/1PP3PP/R5K1 b - -,c7e6
1r4k1/1pRr1pbp/p5p1/3N4/bP1pP1P1/3B3P/PR4P1/6K1 w - -,c7d7
r4rk1/pbqn1p1p/2p1p1p1/1p2P3/8/1BN2Q2/PPP2PPP/R3R1K1 w - -,f3f4
6k1/3n4/8/2B2P2/6P1/2R4P/r5b1/5K2 w - -,f1g1
6k1/4p2p/4r3/p3p3/2RbN3/1P4PP/P3K1P1/8 w - -,g3g4
6rr/1p3pk1/n1p1b2p/p1qpP3/5P2/P1N4P/1PQ3P1/1BR2RK1 w - -,g1h1
8/4p1b1/6p1/3kP3/2rP2P1/2pKB3/2R5/8 b - -,g7e5
5rk1/pbr1pp1p/1p3qp1/n2P4/2PR4/4QN2/P3BPPP/2R3K1 w - -,f3e5
r5k1/p1q3pp/2p2p2/2Pp2n1/4r3/6PP/PN1QPRK1/3R4 b - -,a8e8
r1b1r1k1/bpq2pp1/p6p/3p4/2n1NN2/6P1/PP3PBP/R2Q1RK1 w - d6,f4d5
2r1k2r/2qbbpp1/p3p3/1p2p1n1/4P2P/6QP/PPP2PB1/1N1R1R1K w k -,h4g5
2r1q1k1/1p2b2p/4b3/1p1pBppn/3P4/4P1PQ/P4P1P/4NRKB b - -,c8a8
r1br2k1/pp3p2/6pp/3p4/3P1Nn1/1B4P1/PPP4b/R1B2R1K b - -,h2g3
r5k1/ppq1rpbp/4p1p1/4P3/3B1R1P/1PP5/1P2Q1P1/5RK1 b - -,a8d8
5rrk/1b3pbn/p2p1q1p/1p1P1P1Q/2p1P3/P1N2NRP/1PB4K/6R1 b - -,f6d8
r3r1kq/1b1n1p1p/p5p1/P2Pp3/2p1P2Q/1p3RNP/1PB2PP1/R5K1 w - -,c2d1
2rqr1k1/3n1ppp/bpp1pn2/p1bp4/2PN1P2/1PNPP1P1/PB2Q1BP/R4RK1 w - -,d4f3
8/1p2kpp1/4r2p/2b5/p1P4P/P1NR1PP1/8/5K2 b - -,e6a6
4r1k1/3R3p/4p3/6Pr/1Pp1P3/P5P1/5P2/1K1R4 b - -,h5h2
r2qnrk1/1p1n1pbp/p2p2p1/2pP4/4PB2/2N5/PP2BPPP/R2QR1K1 w - -,a2a4
1r4k1/2q1bppp/p2p2b1/1n4P1/7P/1PB1R2Q/PKP5/3R4 b - -,d6d5
8/5ppk/1p5p/1P1N1P2/4r3/2Q1B1R1/1P5P/3q2K1 w - -,g1f2
2rq1rk1/1p2bppp/pn1pb3/4p1Pn/4P3/1NN1BP2/PPPQ3P/1K1R1BR1 b - -,g7g6:d8c7
r1bqk3/1p1n1p2/p2p1npr/2pPp2p/2P1P3/2N4P/PP1NBPP1/R2QK2R w KQq -,d2f1
6k1/8/7p/2N3p1/P3R3/2r1nK2/6PP/8 w - -,e4e3
rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq d6,g5f6:e2e3:b1d2
1rr3k1/p2q1pbp/2npp1p1/8/2n2N2/PP4PP/2P2P2/1RBQRBK1 b - -,c6d4
8/R7/p2r3r/1p3k2/8/4K3/3p4/3R4 w - -,a7f7
r5k1/1r2ppbp/2Np2p1/1P1Pnb2/2pB4/2R3P1/q3PPBP/3Q1RK1 w - -,d4e5
r1rqb1k1/p4pp1/Npnb3p/3p4/1P1P4/P2QBN2/5PPP/2R2RK1 w - -,f1e1
1r3rk1/p2qbppp/1n2p3/4P3/2pP1P2/4N1P1/P5KP/1RBQ1R2 b - -,f8d8
rnbq1rk1/1p3ppp/4pn2/p1pP4/1b1P4/5NP1/PPQBPPBP/RN2K2R b KQ -,c5d4
r4rk1/2b3pp/p7/1p1q4/3BNpP1/1QPP4/PP3P1P/R5K1 b - -,d5b3
6k1/1p5p/1b3np1/p2p4/P1r4P/4n2N/1P2R1B1/R6K w - a6,h4h5
5R2/6b1/2r1k2p/p4ppP/8/3N2P1/3K4/8 w - -,f8a8
r1bq1rk1/ppp2pbp/5np1/4p3/4P3/2N1B2P/PPP1BPP1/R2Q1RK1 b - -,c8e6
5rk1/p2n1pp1/4p3/3pP1NP/1Q3PN1/6PK/4q3/8 b - -,e2f1
r2rbnk1/1pqnppbp/2p3p1/p7/PP1NP3/2P1BN1P/2Q2PP1/R3RBK1 w - -,a1b1
1rb2rk1/1pq1npbp/p2pp1p1/2p3B1/P2NP3/2NP2PP/1PPQ1PB1/1R3RK1 b - -,c5d4
4k2r/pr1n1p1p/2N1pp1B/2b5/1p6/6P1/1P2PP1P/R1R3K1 b k -,h8g8
1rbq1rk1/p3ppbp/2np1np1/1pp5/4PP2/2NP1NPP/PPP3B1/R1B1QRK1 b - -,b5b4
7q/2b1nkp1/4p1p1/1p1p1nP1/1PpP1P1P/2P2N2/2NB2K1/7Q b - -,h8h5
4R1k1/3nppbp/3p2p1/3P4/1r2P3/5NP1/4NPKP/8 b - -,g7f8
r1bq1r2/pppn1pbk/3p1npp/8/2PNP3/2N1BP2/PP1QB1PP/R3K2R b KQ -,f8e8
rn1q1rk1/5ppp/bpp1pn2/p2pN3/1bPP4/6P1/PPQBPPBP/RN1R2K1 b - -,f6d7
r4rk1/p2q1pbp/bp2p1p1/3p4/2nP1NN1/2P3P1/PPQ2PBP/R3R1K1 b - -,a8c8
3r3k/5P1n/1N2p1n1/p5pq/P2p4/6Q1/3B4/5RK1 w - -,b6c4
3R4/8/p1r1k3/1pB5/1P2K3/P7/8/8 w - -,d8h8
5rk1/1q1n1pb1/2bp2p1/4p1B1/2B1N3/2P1NQ2/1P3P1P/R5K1 b - -,c6e4
8/2r2ppk/p5p1/8/2p1r3/P1P3P1/1R3P1P/5RK1 w - -,b2b6
8/3k4/3P3R/8/1p3P2/5r1p/1K6/8 b - -,b4b3
3r4/8/R2b1pk1/3b2p1/P2P1P2/1Pn3P1/8/2B1R1K1 b - f3,g5g4
5R2/pp1k2p1/2b1p1Np/4P2P/8/P3P1K1/1P6/2r5 w - -,f8f7
8/8/p1b1B3/6p1/1p3k2/1P6/P4K2/8 w - -,e6c4
rn1q1rk1/ppp1ppbp/3p1np1/8/2PPP1b1/2N5/PP2BPPP/R1BQK1NR b KQ -,g4c8
4k1nr/1bp1q3/pp2pb2/7p/6p1/2NRBN1P/PPP1QPP1/6K1 w k -,h3g4
1qbrr1k1/pp2ppbp/2n2np1/1N6/1BPp1P2/3P1NPP/P3P1BK/R3QR2 w - -,b4c5
2r3k1/3b1n1p/4pqp1/8/1Pp5/4QNPP/5PB1/5RK1 w - -,f3d4
2r3k1/p1q2ppp/Q1p2b2/2Pp4/PP1Pr3/2R1B3/5PPP/3R2K1 b - -,c8e8
r2q1rk1/1bpnbpp1/pp1p1n1p/4p3/P1BPP3/1PN2N2/1BP2PPP/R2QR1K1 w - -,d1d2
8/1Rnk4/p7/P7/KP6/2r5/8/8 b - -,d7c8:d7d6
1rq1r1k1/1pp2p2/p2p1npQ/4nb1p/P1P5/1PN2NPP/4PPBK/2R2R2 w - -,h6f4
