8/8/2R5/6p1/1P4P1/r2p1K1P/2k2P2/8 b - -,c2d1
1rb3nk/5qrp/3p2p1/p1p5/1p2PN2/1P1PQ1P1/P1P3BR/2K4R b - -,a5a4
8/7k/p2N3p/6p1/3b1rp1/1P1p4/P2R1PKP/8 b - -,h6h5
3r1b1k/1pp2rpp/4np2/p2Np3/P3P1PP/2PP1K2/1P2N3/3RR3 b - -,e6c5
r4rk1/pq1nbppp/1p1ppn2/8/2PN1P2/1PN1PQP1/PB4KP/R4R2 b - -,b7f3
2b4b/1p2kp2/r2Np3/8/4N3/8/PPP5/2KR4 b - -,a6c6
1rbq1rk1/1p1n1ppp/p7/3N4/3bN3/3B1Q2/PP3PPP/R4RK1 w - -,f3h3
r1b2r2/4kppp/2pp1n2/p7/2B1PR2/2N4P/PPP3P1/5RK1 w - -,g2g4
r2qkb1r/1bpn1ppp/p2ppn2/8/P2PP3/2pBBP2/1P2N1PP/RN1Q1RK1 w kq -,b2c3
2r3k1/5pp1/1p2n1qp/p2pP3/8/4RNPP/Q3PPK1/8 b - -,d5d4
5n2/3Pkp1p/1N6/8/8/4KP2/6PP/8 b - -,e7d8
3r4/pB4k1/4p1p1/1p3p2/2p2q1p/2P5/PP3P2/4RK1N b - -,e6e5
1q1b4/1b4kp/1N1p2p1/pP1PpPP1/P7/4B1P1/2Q4P/6K1 w - -,f5f6
5r2/1rq1nk2/R2p1pp1/3P3p/1Pp1P1bP/4BN2/1KB3P1/4Q3 w - -,e3d4
rn3rk1/1bp1qppp/pp2pn2/4N3/PbBP1P2/2N1P3/1P1B2PP/R2Q1RK1 b - f3,b8d7
4rr1k/3b4/p2p2q1/4b3/PR3np1/1Q4NP/1P2BBP1/4R1K1 w - -,e2g4
2r2nk1/3b1pNp/1p1R1Bp1/8/Pn5r/2p1PB1P/5PP1/1R4K1 w - -,f6h4
8/5P2/8/p3p1K1/P2kP3/2p5/8/8 b - -,c3c2
8/5R2/2pk2rp/8/2KPP3/8/8/8 b - -,g6g1
5b2/p1R5/5k1p/5Np1/6P1/2P4P/r7/6K1 b - -,h6h5
2r5/p7/5p2/1Kp1k1p1/1nP2p1p/5B1P/3R1PP1/8 w - -,d2d7
r1bq1rk1/1p2ppbp/2npn1p1/p1p5/2P1P3/P1NP2PP/1P2NPB1/1RBQ1RK1 w - -,c1e3
r1r3k1/p2b1pPp/1q2n3/3p2P1/1p1P4/3B3P/PP1QN3/1K1R3R b - -,e6g7
8/1r5p/1P2k3/3n4/3N1p2/7P/1R6/5K2 b - -,e6e5
2r1r1k1/p4p1p/1p2bQp1/3P4/P6R/1P2NR2/2P1q1P1/6K1 b - -,e6d5
r2qk2r/bb3pp1/p2ppn1p/1p6/4PP2/1NNQ4/PPPB2PP/2KRR3 b kq -,e8g8
4q1k1/Q2n1rp1/p1p1r2p/4P3/2pB2R1/6RP/P5P1/7K b - -,g8h8
8/p6p/4qk2/2pp4/5Q1P/2p3P1/P6K/8 b - -,f6e7
r3kb1r/1p3ppp/2n1p1n1/3p4/1ppPP1P1/2P3BP/PPRN1PB1/R5K1 b kq e3,a8a5
3r1rk1/pp1bbp1p/2nqp1p1/3n4/3PN3/P3BN2/1P2QPPP/1B1R1RK1 b - -,d6c7
8/1p3p2/p6p/6p1/1k6/2R3PP/2Q3PK/q2r4 w - -,c3b3
r3kb2/2p4p/1pN1rpp1/p2n1p2/3P1BPP/P3PK2/1PR2P2/2R5 b - -,f5g4
r2r2k1/p1q2pb1/2p1b1p1/2Bnp1Pp/2B1N2P/1P3P2/P1P4R/2KRQ3 b - -,d5f4
8/p1k1r1p1/n4pBp/1RpP3P/2P5/P7/3K1P2/8 b - -,e7d7
r2qkb1r/ppp1pp1p/1nn1b1p1/8/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f8g7
r1bq1rk1/2p1bppp/p1n5/1p1pP3/3Pn3/1B3N2/PP3PPP/RNBQR1K1 b - -,c8g4
r4r2/p5pk/1pp1p3/3p2b1/3Pb3/2P3BP/PP1N4/3R1RK1 b - -,e4c2
1r3k2/pp2rppp/8/3b4/4P3/5PP1/P4K1P/1R1R4 w - -,d1d5
5r1k/pp1B2pp/2pb4/3p4/3P4/4n3/PPP1N1P1/R6K w - -,c2c3
r7/p4pkp/1pb2Np1/2p1r3/4P1PP/2P5/PP6/2KRR3 w - -,g4g5
rnbqr1k1/pp2ppbp/3p1np1/2pP2B1/2P1P3/2N2P2/PP1Q2PP/R3KBNR b KQ -,a7a6
6R1/3k4/4P1p1/1P1K1p2/8/5P2/6P1/7r b - -,d7e7
r2q1rk1/pp1nbppp/2p1pn2/5b2/2QP4/2N1PNP1/PP3PBP/R1B2RK1 b - -,d7b6:f6e4
8/3nk2p/p1r1p3/1RP1p3/4P3/3N1P2/3K1R1P/8 b - -,a6b5
2b2r2/1pR3p1/p3k2p/3p4/8/1P1B1P2/P5PP/2K5 b - -,g7g5
2kr3r/1p6/2p1pq2/2Pp1pp1/1b1P4/pP2PPP1/P1Q3B1/2RR2K1 b - -,f5f4
1r5r/p2kb1pp/4p3/n2pP3/n1pP4/P7/RP2N1PP/1NBR2K1 b - -,a5b3
6r1/8/R2R4/5k2/6n1/3P2K1/8/5r2 w - -,a6a5
8/1R6/3pk3/4p3/4P3/2P3r1/3K4/8 b - -,g3f3
2r4r/1p1bqk2/p1p1pb2/3p1p2/PPPP2p1/1Q2P1P1/3B1R1P/2R2BK1 b - -,f7g7
r6r/5bk1/p1p2p2/PpN2PpP/1P1PP3/8/3R1K2/7R b - -,g7h6
r4rk1/p1qp2pp/1p2pb2/8/1p4R1/1P1B1P2/P1PP1P1P/R2Q2K1 w - -,a1c1
rnbqk1nr/pp4pp/2pbp3/3pNp2/2PP4/2N1P3/PP3PPP/R1BQKB1R b KQkq -,g8f6
r2r2k1/pp3ppp/4pn2/2bq4/3B4/2P2N2/PP2QPPP/R3R1K1 w - -,c3c4
r1b1r1k1/ppp1qpp1/4p2p/3p4/1nPPn3/2N1PN2/PP2BPPP/2RQK2R w K -,d1b3
3r1rk1/ppq1bppb/2nNp2p/2p1P3/2PN4/PP4P1/1B1RQPBP/5RK1 b - -,c6d4
r4rk1/1p4pp/1B3p1n/3p1b2/5P2/1P3N2/6PP/R4R1K w - -,f3d4
2r1r1k1/pb1q2pp/np1npp2/3p4/PP1P1N2/6P1/3NPPBP/RQ1R2K1 b - -,d6c4
8/6pp/r4p2/2k5/3p2PP/P2R1P2/2K5/8 b - -,c5c4
1r3r2/p3n1kp/nq1p2p1/3P1p2/P1P1pP2/6P1/3QN1BP/R4R1K w - -,e2d4
4rbk1/1p2n3/pN3n1p/B1pPp1pq/4P3/5pPP/PP1Q1P1N/4R1K1 w - -,d2d1
rn1q1rk1/pp2b1pp/2p5/3pN3/3Pb1B1/8/PPP3PP/R1BQ1RK1 b - -,d8d6
1r3rk1/1pqb1ppp/p2Npn2/P7/2P5/5B2/1P1Q1PPP/R4RK1 w - -,f1d1
1r4k1/1b2Rp1p/3p2p1/2pP1q2/6n1/1PQ2NP1/R4PBP/6K1 b - -,f5b1
8/7p/pp1k2p1/3P1p2/2P5/1P1n1B2/P2rRKPP/8 w - -,f2e3
1rk5/Rp1b1p1p/4p1p1/4P3/1PPN1P2/4K2P/6P1/8 w - -,g2g3
6k1/3bqp2/7Q/1P6/2B3p1/6P1/5P1P/6K1 w - -,c4d3
2r5/p1r3kp/1p4p1/1R3p2/P2Pp3/4P1P1/3K1P1P/3B4 w - -,b5b2
1r3rk1/1p2n1pp/p4pb1/P3p3/3N4/2P2B2/2P2PPP/1R2R1K1 b - -,e5d4
8/3k2r1/7R/2KP4/8/8/8/8 w - -,h6a6
r1b2rk1/4q2p/1n3npQ/p2p4/P2P1N2/1PN2p2/1P4P1/2KR1B1R w - -,g2f3
5R2/p4b1k/2p4B/2pn4/3p4/3P2R1/P1r4P/6K1 w - -,h6g7
r2qr1k1/1bp1bppp/p1np1n2/1p2p3/P2PP3/1BP2N1P/1P1N1PP1/R1BQ1RK1 b - a3,e7f8
4r1k1/4bppp/pq1p4/1p1PB1PP/2r5/PN2R3/1PP3Q1/1K5R b - -,b6e3
3r2k1/p1p2ppp/1pn2b2/8/1BP5/P2QPNP1/1P3P1P/1R4K1 b - -,d8d3
2rqnrk1/1p3ppp/p1npb3/3N2b1/P3PB2/1N6/1PP1B1PP/3RQR1K b - -,g5f4
B7/7p/4nk2/5p2/1p3P2/2p5/2K3PP/8 b - -,e6f4
r6r/p3pk1p/1pn2pp1/1R6/5B2/2P4P/PP2KPP1/7R w - -,h1d1
2r5/1p1b1kpp/4pr2/3pR3/1P1N1P1P/2P1R1P1/7K/8 w - -,h4h5
1r1q1rk1/pp1bppbp/6p1/4n1Q1/1R2B3/2N3P1/P3PP1P/2BR2K1 b - -,d8a5
8/1r3kpp/3p1b2/3Pp3/1pP4P/1R3KP1/3B1P2/8 b - -,f7e8
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,c7c6:f8e7
rb3nk1/5pp1/pqp5/1p2P3/3PQP1p/1B6/PP4PP/3R1RK1 b - -,a8a7
2r2rk1/ppBn1pbp/2pQp1p1/5q1n/3P4/1BPN4/PP3PPP/3RR1K1 b - -,d7f6
8/6p1/1n1pk3/2p5/p1P1BP2/2K3P1/PP6/8 w - -,b2b3
3rr3/1pq2k1p/p1pbppp1/8/2PP4/1Q1R1PP1/1P3BKP/3R4 w - -,b3c2
r3k2r/ppqb1pp1/3bpn1p/8/P1BN4/7P/1PP1QPP1/R1B2RK1 b kq -,a7a6
r3k2r/2qnbpp1/p1n1p1p1/1pp5/4PP2/2P3NP/PPB3P1/R1BQR1K1 w kq -,d1f3
3r2k1/1b4b1/p2pp2p/5p2/2r2P2/1PN1P2P/P4K2/2RRB3 b - -,c4c7
r2qk2r/pp3p2/1bn1p1p1/3pP2p/1P1p1P2/P2QnB1P/1BP1N1P1/R4RK1 w kq -,f1b1
8/4r3/5kpp/3R1p2/7P/6PK/8/8 b - -,g6g5
1rb3k1/pp3pb1/5n1p/1N1pqP2/1p6/3Q4/1PP1B1PP/R4RK1 b - -,a7a6
rnbq1rk1/pp2ppbp/6p1/2p1P3/2BP4/2P2N2/P4PPP/R1BQ1RK1 w - -,c1e3:d4c5
8/p6p/1b1r3k/7r/3p1PK1/3B2R1/1P4P1/4R3 b - -,d6f6
5rk1/p1qrbp1p/4p1p1/1p1nP3/3BQ3/2P4R/PPB3PP/R6K b - -,f8d8
2r3k1/5p1p/p2p2p1/Bp1Pp3/3bP3/PP1K3P/n1B3P1/1N6 b - -,f7f5
2R5/P4pkp/6p1/2Q1b3/4p3/4B1PP/5P1K/q2r4 w - -,c5f8
2b2k1r/2q1bpp1/p3p2p/4P3/1r1NnQ1P/8/1PPBN1P1/2KRR3 b - -,e4d2
8/R7/P2n4/4kpp1/4p3/6P1/3r1PK1/5B2 b - -,f5f4
r1bq1rk1/pp2bppp/4p3/2Pn4/8/3BBN2/PPP2PPP/R2Q1RK1 w - -,e3d4
8/4R3/5p2/5k1p/1p1r4/4K2P/6P1/8 b - -,d4c4
2q1b1k1/3r2pp/1p3p2/pP2pQ2/Pbp5/2B2PPB/7P/1N2R2K w - -,f5e6
1k6/1b5R/4r3/8/2K5/8/8/8 w - -,c4c5
1r5k/1p2q1p1/p4p1p/P1R5/3P4/1Q2P2P/5PP1/6K1 w - -,b3c4
3r4/p7/3kp1p1/2pr3p/R7/1P3PK1/P1R3PP/8 b - -,d8d7
8/1r3kp1/1P2p1p1/3p4/3P4/5PP1/5K1P/1R6 w - -,f2e3
2r1k1r1/4np2/p1p1bB2/1p6/4P2p/2PQ3P/1P4P1/qBKR3R b - -,g8g2
8/pQ2p1kp/6p1/2q3b1/8/1P6/P7/4R1K1 w - -,g1g2
q1r1r1k1/1b2Bpp1/p3p2p/P7/QpBN2n1/4PP2/1P4PP/2RR2K1 b - -,g4e3
r1b2rk1/pp1n2pp/3bp3/2pp3q/3P4/2PQ1N2/PP1B1PPP/R3RNK1 b - -,d7f6
r1b1k2r/pp1nppbp/1q1p1np1/2pP4/4PP2/2P3P1/PP2N1BP/RNBQ1RK1 w kq -,b1d2
r4r2/2q1n1kp/1pnp1pp1/2p1p3/2P1P3/PR1PNNPQ/5P1P/3R2K1 b - -,a8a6
r3r1k1/pp3ppp/2p1p1n1/2n1P3/2P1N3/1P2QPqP/PB1R2P1/3R2K1 b - -,c5e4
1k1r2n1/1ppq4/p1np1p2/4r1pR/B3P3/2N1QP2/PPPR2P1/2K5 w - -,c3d5
3brr2/1p4k1/p2p1p2/P2NpPp1/KPP1P2P/3B3P/1B6/5R2 b - -,g5h4
8/1pk5/1p6/3p4/PK1P2B1/6n1/8/8 w - -,b4b5
r3kb1r/1pq1np2/p3p2p/P1npPb2/5Pp1/2P5/1P2B1PP/RNBQNRK1 b kq -,h6h5
6r1/8/7k/8/8/8/6RK/8 b - -,g8g2
7k/p6p/4R1p1/3B1n2/2Pb4/7P/1r4P1/5K2 w - -,g2g4
r7/1p2kp1r/p2R1np1/q3p2p/4PP2/2P3PP/PP1Q2B1/5K2 b - -,a8d8
1rb2rk1/6bp/2q1ppp1/2Np4/3P4/1P1QPN1P/5PP1/2R2RK1 w - -,f1d1
7k/p5p1/1p2q2p/1Q6/P2Pp3/2r4P/6P1/3R2K1 w - -,d4d5
6B1/7R/4p2k/p1b2p2/P4p2/5P2/5PKP/4r3 b - -,h6g6
r3k2r/p1pbqppp/2pn4/2bpP3/3N4/4BP2/PPP3PP/RN1Q1RK1 w kq -,e3f2:f3f4
r3r1k1/p4ppp/np3n2/3p4/3P4/P1NQPP2/1B4PP/5K2 b - -,a6c7
1rbqk1nr/p4pbp/3p2p1/2p1p3/1p1nP3/2PPB1P1/PP1Q1PBP/R1NN1RK1 b k -,b4c3
4r2r/1p6/3kpp2/3p1p2/2pP1N1p/P1P1RPnP/1P4P1/3R2K1 b - -,g3h5
2B3r1/pbq2p1k/1p1b1Qp1/2pp3N/2P5/1P6/P4PPP/3RR1K1 b - -,b7c8
r1b2rk1/1p2qpnp/p2p2p1/4n1P1/4PB2/3B1N2/PPP3QP/4RRK1 b - -,g7h5
7k/7p/2p4b/p1p1n3/2PpP2P/1P6/P4P2/3R1K2 w - -,f1g2
r1b5/3qpp1k/3p2p1/2pPP2p/2P4P/2Q2PP1/PR1N4/6K1 b - -,a8a4
5b2/4R2p/5kp1/ppB5/2n5/8/5PPP/6K1 w - -,e7c7
2kr3r/pp1n1pp1/2p1pn1p/q6P/3P4/1Q4N1/PPPN1PP1/1K1R3R b - -,c8b8
8/R7/2p2rpk/3p4/3Pp3/2P1P3/1P3PP1/6K1 b - -,h6g5
6r1/4pk2/pBp5/Pp1bPp1p/3P1n1P/1P3P2/3N1R1K/8 b - -,f7e6
5rk1/5ppp/4pb2/Q7/pPB1q3/8/5PPP/3R2K1 w - -,c4d3
5bk1/1p3b2/8/1P1p3p/3B3N/r3P3/6PP/2R3K1 b - -,a3b3
4r1k1/pp1q1ppp/1npb1n2/3p4/3P1P2/1P1Q1BP1/P1PB1N1P/4R1K1 b - -,e8e1
r4rk1/ppq1npp1/3bb2p/3p4/1P1Q4/P1PB1N2/3NRPPP/R5K1 b - -,e7c6
r7/pppb1pk1/1nn1p1p1/3pP3/3P3R/2N2N2/PPP1BPP1/2K5 w - -,c3d1
5rk1/1R5p/p2p4/2bP1Pp1/8/8/P5PP/5R1K b - -,c5d4
5k2/8/6p1/4p3/6P1/R2P3P/2r2K2/8 w - -,f2g3
3b4/8/4p3/1p1pP3/p2P4/P2K1k2/1P1B4/8 b - -,d8h4
5rk1/p1rqb1pp/1p3p2/1P1npb2/4N3/3P2P1/3BPPBP/1R1Q1RK1 w - -,d1b3
4k3/4P3/1p1K4/8/p1p5/P7/1P4n1/8 w - -,d6c6
r1q1r1k1/pp3pbp/2Pp2p1/3Np3/2P5/3PP1P1/2QB1PKP/1R3R2 b - -,c8c6
r4kb1/p7/6Pb/3P3P/2pB4/4pr2/PPK5/6RR w - -,g6g7
8/8/8/1B1b2kp/2p2p2/2P2P2/1P3K2/8 b - -,d5e6
8/8/8/4R3/5pK1/1r3P2/5k2/8 w - -,e5a5:e5c5
3rq1k1/ppp1pp1p/1nn1b1p1/1BB1P3/4PP2/2N4P/PP4P1/2Q1K2R b K -,a7a6
rn1qr1k1/pbp2ppp/1p1ppn2/8/2PP4/P1BBPN2/1P3PPP/R2Q1RK1 b - -,f6e4
6k1/p2r1p1p/1p2pRp1/4P3/R7/5P2/P1r2PKP/8 b - -,a7a5
r1bqk1nr/pp4pp/1bn1pp2/3pP3/1P1P4/P4N2/3N1PPP/R1BQKB1R w KQkq -,c1b2
r4r2/p4pkp/1p2p1p1/2n5/7N/1P4P1/P4PKP/3RR3 w - -,b3b4
5rk1/5p1p/1qn1p1p1/8/R2P4/2Q1P2P/5PP1/5NK1 b - -,c6e7
r2qk1nr/pp2bpp1/2N1p3/3pP2p/7P/2N1B3/PPPQbPP1/2KR3R b kq -,b7c6
8/7r/8/5p2/5B2/2nk3P/3R3K/8 b - -,d3e4
6k1/1p3p1p/1p6/6p1/8/1P1P4/P1RK2PP/5r2 w - -,d2c3
2b2b1k/4n1p1/p1pp3p/3r2Nq/5P2/1Q4P1/PB2R2P/4R1K1 w - -,g5e4
r5k1/5p1p/1p2pBp1/n1b5/P3PP2/6PP/3r2BK/2R1R3 w - -,c1d1
7r/1r2pkb1/4pn2/1p1pB2p/3P4/1PN4P/1P3PP1/1K1RR3 b - -,b7b6
5q2/3b1pk1/1p1p1bpp/p1pP4/P1P3P1/1P1B2QP/4RP2/6K1 b - -,f6d4
8/3nkp2/4p3/2p4Q/1pq4P/8/1PP1K3/4R3 w - -,e2d2
2kr3r/1ppbbppp/p1p2n2/8/3NP3/4BP2/PPPN2PP/3R1RK1 b - -,h8e8
4n2k/p3q2p/1p1pPp2/2pPn1r1/P3P3/7Q/1P1B2P1/3B1R1K b - -,g5g7
1r1qrbk1/1p1n1ppp/p1np4/3N4/P1P5/1PN1B2P/R4PP1/3Q1RK1 w - -,a2d2
R7/5pkp/2p3p1/4P3/5P2/P5P1/2r4P/6K1 w - -,a8c8
q7/5k2/3npp2/1pbp1p2/5P2/1PPBP2P/4Q2P/4B1K1 b - -,e6e5
2k5/R5p1/1P6/P2p1p1P/1r6/5KP1/8/8 w - -,a7g7
8/8/2Bb4/p7/5k2/8/4Kp2/8 w - -,c6b5
8/1p1n1rkp/p1q1p1p1/4p3/4P3/PPNQ3P/2PR2PK/8 b - -,d7f6
4r1k1/3n1p1p/1nb3p1/1P1ppPb1/4P3/R5N1/7P/3R1BK1 b - -,c6a8
2r3k1/4pp1p/1R4p1/8/2r5/b5P1/P2RNP1P/5K2 w - -,b6b3
qnrr2k1/1b2bppp/4pn2/p1p5/Pp2P3/1P1PBNPP/1Q3PB1/1RNR2K1 w - -,c1e2
r2qk2r/2p2ppp/p1b1p3/1p6/1QpP4/2N3P1/PP2PP1P/2KR2R1 w kq b6,e2e4
r5k1/pp1brpbp/6p1/2qp4/3p4/1B1P2N1/PPPQ1PPP/4RRK1 w - -,e1e7
2r5/5rkp/3Rp1p1/p2qP3/n7/P3Q2P/4BPP1/4R1K1 b - -,d5a2
4r1k1/pp1r3p/1qpp1pp1/2n5/2PQP1P1/1PN4R/P4PP1/4R1K1 b - -,e8e5
1rb1r1k1/ppqn1pbp/2pp1np1/4p3/2PP4/1PN1PNP1/PBQ2PBP/2R2RK1 b - -,b7b6
8/8/6R1/p2k3P/1p1p1r2/1P6/P3K3/8 b - -,f4h4
6r1/2q4k/4p1p1/1pB2p1p/1P2Pb2/2nP1Q2/7P/5NRK w - -,f1g3
3r2k1/pp4p1/3bpp1p/3n4/3P4/P3BN1P/1PR2PP1/6K1 w - -,g1f1
1r6/4np2/3p2k1/2pPb2p/B1P3PP/1P3R1K/3B4/8 b - -,h5g4
5R2/6pp/8/3K4/8/8/4pk1P/8 b - -,f2g2
1r3k2/5p1p/p2prqp1/2p5/8/1PR1P2P/P2R1PP1/3Q2K1 w - -,c3d3
2k1r3/1bpp3r/p4pp1/1p3N2/4PR2/1P1PP1Pp/1PP4P/R5K1 w - -,f5d4
5rk1/1p3ppp/pN2b1n1/Pr2p1qn/3pP3/3P1P2/1PRN2PP/R3QBK1 w - -,g2g3
r1r3k1/2q1bppp/p2pbn2/1p2pP2/4P3/PNN1n2P/1PP1B1P1/2QR1RK1 w - -,c1e3
5k2/6p1/1q3pb1/2bprN2/P2p2P1/1P4N1/2PQ1PK1/3R4 b - -,d4d3
rn1qkb1r/pbp2ppp/1p2p3/3pP3/3P4/P1PB1N2/2P2PPP/R1BQK2R b KQkq -,c7c5
r3kn1r/1b1n1ppp/pq6/3pPP2/1p1P1N2/3BQ3/P5PP/R1B2RK1 b kq -,e8c8
3r2k1/1p3p1p/2ppb1p1/2r1q3/2P1P3/5B2/P2R2PP/1Q1R3K b - -,d8d7
r1b1r1k1/1ppnqpbp/p2p1np1/8/P1NPp3/2P1P2P/1P1NBPPB/R2Q1RK1 b - a3,d7f8
2kr4/ppqn1p1p/2p2pb1/8/3PrQ1N/1B4P1/PPP4P/R4RK1 w - -,f4c7
4r3/3RP1pk/7p/p3p3/P1r1P3/1P2B2q/1K1Q3n/R7 b - -,c4e4
r1b2rk1/pp2ppbp/5np1/q1P1B3/2p5/1P4P1/P3PPBP/RN1Q1RK1 w - -,b1d2
6k1/p6p/3p2p1/3Pn3/2pbq3/6PP/PP4RK/3Q4 w - -,g2e2
8/8/8/8/1P3KP1/7r/3k4/8 w - -,g4g5
2b2k2/4pp1p/3p4/p1pP1P2/2P5/3BQ2P/Pq3P1K/8 w - -,f5f6
r1b1k2r/pp1nqppp/2pbpn2/3p4/2PP4/1PNBPN2/P2B1PPP/R2QK2R w KQkq -,e1g1
5r1k/2q3pp/p3p3/1pb1P3/2bNp2P/P1P3Q1/1P3BP1/4R1K1 b - -,c7b7
8/2Rn1rpk/p6p/1p3p2/3Pp2P/1N2P3/1P3PP1/6K1 w - -,b3c5
2r5/5p1k/p3p2P/1p2PPP1/1P1pP3/2r4R/3K4/3B4 w - -,h3d3
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P5/4PN2/PP1PBPPP/RNBQK2R w KQkq -,e1g1
r4rk1/1p1n1pp1/1ppbp2p/8/2BPb2B/4PN2/PP3PPP/2R1R1K1 w - -,f3d2
2qrk3/1b2bp1r/p4np1/1p2p3/3nP3/P1NBB1Pp/1PPN3P/3QRRK1 w - -,c3d5
8/8/8/7p/P2p3P/1P3pk1/4K3/8 w - -,e2f1
2b1r1k1/2r2p2/p1p2bpp/PpPp3q/1P1N4/4P1P1/2Q2PBP/3RR1K1 w - -,d1d2
q4k2/2p3p1/1p1pP2p/1PP4n/4pP2/1Q2P2P/rB2K3/6R1 w - -,c5d6
8/8/5q2/8/5Q2/4P3/3k1KP1/8 b - -,f6g6
r3r1kb/pp3p1p/2p3p1/3b2B1/3P4/P1R2N2/1P3PPP/3R2K1 b - -,e8e6
4r1k1/1bq2pp1/p1rp3p/R3p3/2P1P3/1PQ4P/2B2PP1/R5K1 w - -,c2d3
4r1k1/p3rb1p/2p1qpp1/2pp4/2P1PP2/1PQ1R2P/P3B1P1/4R1K1 w - -,c4d5
3Q1r2/1b1k1P2/1B1pp3/p3p3/1q2P3/8/1PP5/1K3R2 b - -,f8d8
4Nk2/R7/2p1Qp2/2P1p3/pP4p1/P5q1/1B6/6K1 w - -,g1h1:g1f1
3r2k1/1r3qbp/1P4p1/2Bpp3/R3p3/6P1/4PP1P/1QR3K1 b - -,g7f8
8/8/1P1n1K2/4N3/8/6kp/6P1/8 w - -,g2h3
8/1R6/2p2k2/8/P7/8/1P4r1/4K3 b - -,f6e5
r3kb1r/pp1qpppp/2n2n2/3p1b2/8/1Q3NP1/PP1PPPBP/RNB2RK1 w kq -,d2d3
r3r1k1/1ppq1ppp/5b2/2P5/pPnnp3/P6P/3NNPP1/R1BQ1RK1 w - -,a1a2
r3qr2/1ppb1pbk/p1np1npp/4p3/3PP3/2PBBN1P/PPNQ1PP1/R3R1K1 w - -,a1d1
8/p1r5/3kp3/R7/1P1P4/2P5/2K5/8 b - -,c7h7
3q2k1/1p3p2/6p1/p1p3Qp/2PPr3/1P4RP/P3rPP1/3R2K1 b - -,e2e1
r1b2rk1/ppp1pq1p/n2p1bp1/3N4/3P1R2/1Q4P1/PP3PBP/R1B3K1 b - -,g8g7
4rrk1/q5bp/p1p1b1p1/P5B1/1P1pp2Q/4N3/6RP/2R3K1 w - -,h4e4
r2q1rk1/1bpnbppp/pp3n2/3p4/3P1B2/2N2NP1/PP2PPBP/2RQ1RK1 w - -,d1b3:f3h4
4r1k1/6p1/1p3p2/5R2/P5p1/2P3P1/5P1P/6K1 b - -,e8c8
r1bqkb2/1p2np2/1n3Bp1/1ppN3p/P3P3/1P4P1/2PP1P1P/R2QK2R w KQq -,c2c4
N1b2k1r/1q2ppbp/pBpp1np1/8/P3P3/8/1PP1BPPP/R2Q1RK1 w - -,b6d4
