4k3/p7/4p3/1p5P/1P2K1P1/b2p4/3B4/8 w - -,e4d3
r2qk2r/1p4pp/p2bp3/2p5/5P2/P3P3/1PQ2P1P/R1BR2K1 b kq -,e8g8
1r1r1k2/pb2bpp1/4pn1p/2p1N3/2Pq1PP1/3B4/PP1Q1B1P/2KRR3 b - -,d4d6
8/p6p/5k2/5B2/PP3p2/3P3P/4r3/7K w - -,f5h7
rnbqk2r/pp2bppp/2pp1n2/4p3/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,e2e3:e2e4
r4rk1/ppqbbppp/2nppn2/8/3NPP2/2N1BB2/PPP3PP/R2Q1R1K b - -,c6d4
2rr4/1p2qpk1/2n3pp/p1P1p3/Pb1pP2P/1N1R1NP1/1P3P2/2Q2RK1 b - -,c6b8
2r2k2/p4pp1/7p/8/3P4/1Pp5/P4PPP/2R3K1 w - -,g1f1
2rq1k1r/p3pp1p/2p3pB/2n5/3b4/8/PPP1QPPP/R2R2K1 b - -,f8e8
1n6/1bk5/1p3p1p/3p4/3PpP2/R1P3rP/1P4P1/5BK1 w - -,g1f2
r3brk1/1pp1b3/q6p/Pn1P1pp1/2p5/5PPN/PB1QP1BP/2R2RK1 w - -,c1c4
8/3r1k1p/6p1/5pb1/8/1R3KPP/5N2/8 b - -,g5f6
3r2k1/1bq2ppp/p2N4/1ppP4/2p3P1/Pn2B2P/1PQ2PB1/3R2K1 b - -,c7d6
1qnr2k1/p3rppp/1pB3b1/P1pP4/2N1P3/4R3/4QPPP/2R3K1 b - -,b6b5
4rrk1/3nqppp/1ppnp3/3p4/p1PP2N1/PP3PP1/1BQ1P2P/3R1RK1 w - -,c4c5
r1b1k2r/5pp1/p3p2p/1p1n4/2BN2P1/P1P2P2/2PB3P/2K1R2R b kq -,b5c4
r6r/pp3kpp/1bp2p2/3pB3/1P6/P7/2PP1PPP/R3RBK1 b - -,f6e5
rnb2rk1/ppq1ppbp/5np1/2P5/P1B5/5NN1/1PP2PPP/R1BQ1RK1 b - -,c7c5
2k2r2/1p6/2q1p3/p1bpP1QB/8/1P4P1/P4P1P/2R3K1 w - -,c1c2
5r1k/4q2p/5n2/p1P2Q2/4pP2/8/P3B1PP/3R2K1 w - -,f5e5
5rk1/1R3rb1/6p1/p3ppBp/7P/3PQ1P1/qR2PP1K/8 b - -,a2d5
r2q1rk1/1np3bp/1p1p1np1/p2Pp3/1PP1Pp2/PNN2P2/4QBPP/2R2RK1 w - -,c1a1
r2qnrk1/3nbp2/1p1p2p1/3P4/1PP2p1p/3B1N1P/5BP1/2RRQ1K1 w - -,e1e4
r2qk2r/pb1nbppp/1p1ppn2/8/2P5/P1N1PN2/1PQ1BPPP/R1B2RK1 w kq -,b2b4
r1b1kb1r/pp3ppp/1qn1p3/3pPn2/3P4/N4N2/PP2BPPP/R1BQK2R w KQkq -,a3c2
5R2/2k5/8/p1Np4/2nP1p2/P1K2P2/5r2/8 b - -,f2f3
r2q2k1/1p2p1bp/1np5/p2pPpn1/P2P3P/1BP5/1P1NQ1P1/R1B3K1 b - -,g5f7
3r2k1/p2r4/1pnBqnpb/2P1p2p/2P1PpP1/P1N2P1P/3R1Q2/3R1BK1 b - -,c6d4
r2qk1nr/pp1bbppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq -,e1g1
2rr2k1/p4pp1/4p2p/1p2q2P/2P3P1/1P3Q2/P7/1K1RR3 b - -,e5c5
2r1k2r/2qnbpp1/p2p4/1p1Pp2p/8/1N2BP2/PPPQ2PP/1KR4R b k -,e7d8
8/5r1k/1p6/p7/3R4/P4ppb/1P3K1P/8 w - -,h2g3
1Q6/3p1kpp/p4n2/4p3/1p6/2P1K3/PP3Pqn/4R3 b - -,g2e4
r3k2r/1b1p1pp1/p2qpb1p/8/3n1PPP/4B3/PPPQ3R/2KR1B2 w kq -,e3d4
rn1qk2r/pp3ppp/2pbpn2/8/3P4/2PN1N2/PP1B1PPP/R2Q1RK1 b kq -,b8d7
4r1k1/1B3pp1/1p5p/p1p1qn2/P1P5/1PP3PP/2Q2P2/3R2K1 b - -,g7g6
rn1qk2r/ppp1bppp/4p3/3nP2b/2P5/5N1P/PP2BPP1/RNBQ1RK1 b kq c3,d5b6
r3kq2/1bpn1p1r/ppNp3p/3P2pB/P3Pb2/2N3PP/1PP1QR2/5RK1 b q -,f4g3
r1bq1rk1/pppp1pp1/1b3n1p/8/3nP2B/1NN5/PPP1QPPP/R3KB1R w KQ -,e2d3
r2q1rk1/1ppbbppn/p1Bp3p/4p3/2P1P3/2NPBN1P/PP3PP1/R2Q1RK1 b - -,b7c6
1r2r1k1/2b2pp1/p2p1nq1/n1pPp3/2P1P3/P4PP1/2QBNN2/RR4K1 b - -,f6h5
r4rk1/p4ppp/2p1p3/q2p1b2/1b1PnB2/1QN1PP2/PP2B1PP/2R1K2R b K -,e4c3
3rr1k1/1bq1bp1p/p4pn1/1ppPp3/2P1N3/4B1P1/P5BP/1Q2RRK1 w - -,e4f6
r7/1p4rk/3p1q2/p1pPn3/P1PpP1p1/1P2bpPP/R3B2N/1R3Q1K w - -,h3h4
5r2/8/3p4/p1p1p1k1/P3P2P/2PP1p1P/3K1R2/8 b - -,g5f4
3r2k1/5pp1/2Rp4/2nP3p/pq3P2/2b2QP1/6BP/3R3K w - -,f3e2
r2q1rk1/pn2pp1p/1p4p1/2bPP3/5P2/4B3/P3B1PP/2RQ1RK1 w - -,e3c5
1rn5/p2pkp1p/2p1p3/P5p1/2bP4/4P1P1/1P1N1P1P/1R4K1 w - -,d2c4
8/kp3R2/p1p1N3/7p/2P5/1P2n3/n7/6K1 b - -,a6a5
3r2k1/5p1p/4p3/4P1p1/P1rN4/2pR2P1/5P1P/R5K1 w - -,a1d1
8/8/4B2k/6r1/4K3/8/6R1/8 w - -,g2b2
8/4p3/1R3pk1/7p/8/r4P2/4PK2/8 w - -,b6b7
2r2rk1/1p1n1ppp/p2p2b1/P2Pp1q1/R7/1NP5/1P3PPP/3QRBK1 b - -,c8c7
r1r3k1/1p3pp1/2n1q2p/p1bQp3/8/P3P3/1P2NPPP/2BR1RK1 b - -,c6d8
8/3b4/2Np1p2/p2P1P2/P2K3p/k6P/2B5/4b3 b - -,a3b2
2r2k1r/2q1pp2/8/1R5p/6n1/2P5/2P3PP/R3Q1BK b - -,h8h6
5r2/1p6/p2Pkp1R/P1p5/8/3B1P2/1P6/6K1 w - -,d3e4
