8/5p2/8/4Kpp1/6k1/6r1/8/5R2 b - -,g3e3
7K/1p6/8/p2p4/P3k1p1/1P4R1/8/8 b - -,e4f4
5k2/1p1r1r1p/2p4R/4pq1p/3b4/1p3BP1/1P1RQPK1/8 w - e6,h6h5
1rbq1rk1/1p2npbp/p2pp1p1/8/P2pPB2/2NP2P1/1PPQ1PBP/R4RK1 w - -,c3e2
2k1r3/p1p3p1/2p5/2N4p/3p4/P2PnrPP/1PPR4/6KR b - -,f3g3
r1b1nbk1/1q2n1rp/3p4/1p1Pp3/4Ppp1/N4P2/1P2BBPP/2RQNRK1 b - -,g4g3
r2q1rk1/pp2ppbp/2bp1np1/8/2PBPP2/2N2B2/PP4PP/R2Q1RK1 b - -,a7a5
1rbq1rk1/1p2ppbp/p2pn1p1/8/2PP4/1P4P1/PB1QNPBP/R3R1K1 b - -,b7b5
2rr2k1/5pbp/p4np1/4p3/1q2P3/1PN1BB1P/1PQ2RP1/7K b - -,c8b8
4r1k1/1prqppbp/p2p1Bp1/3P4/P7/2P4P/1P1N1PP1/R2QR1K1 b - -,g7f6
r7/ppr1pp2/3p1k2/3P1p2/5P2/2P5/PP3K1P/R5R1 w - -,h2h4
r2q2k1/p6r/b2P4/2p1Q1R1/1p3p2/7P/PP4P1/6KR b - -,g8f8
r4rk1/p4pb1/1pq3p1/n1p1p1Bp/4P1nP/2P2QN1/PP3PPN/R3R1K1 b - -,c6e6
1nbq1rk1/5ppp/r7/1p1N4/8/2NPB1P1/PP4BP/R2Q1K2 b - -,c8b7
Q4rk1/1b2nppp/pq6/2pp4/8/4P3/PP3PPP/2KR1BNR w - -,a8f8
8/8/2n2r1p/1pk5/p2b1P1P/P5P1/1P3P2/2KB1R2 w - b6,d1c2
8/ppr3p1/4k3/3R2P1/P3P3/2P2K2/8/8 b - -,c7c3
1RbQ4/1pr4k/6p1/2p2p1p/2B1q2P/4P1P1/5P1K/8 b - -,e4e7
8/p3k3/4p2b/1p2P2p/1P1P2pr/P2K2RP/8/3B4 w - -,h3g4
6k1/1np2pb1/3p2p1/1P1P3p/1Bn1PPN1/7P/2r5/1N2RB1K w - -,g4h2
8/1p2p2k/2pn2bp/8/1P1PP1pr/2B1KP2/6B1/R7 w - -,f3g4
2b1r1k1/3nqpb1/pr1p1npp/2pP4/2B1PP2/2N2N2/1P4PP/R1BQR1K1 b - -,b6b4
r1bq1rk1/5ppp/p1Np1b2/1pnN4/4P2P/5Q2/PPP2PP1/1K1R3R b - -,d8e8
8/kpb5/6p1/2p5/3pPq2/PP1Pn2p/2B1Q3/6RK w - -,c2b1
5r2/1pk5/p4b2/2Pp2pp/1R2p3/2P1B1PP/P3KP2/8 w - -,e2d2
8/7p/p3k1p1/1p2pp2/6P1/B1P1KP1P/rP6/8 w - -,e3d3
4rrk1/pb1nbnpp/1p5q/1Pp1p3/2P1P3/P2P1NQP/1B1NR1B1/1R4K1 b - -,f7g5
b3r1k1/5ppp/Q7/P2pqn2/8/2N3PP/4P1BK/5R2 w - -,f1f5
2b2r2/r4p1k/3qpb1p/p1NnNp2/PpBP4/5Q2/1P3PPP/3RR1K1 b - -,f6e5
r1b1nrk1/1pqn1pbp/p2p2p1/2pP4/P3PB2/1QNB1N1P/1P3PP1/R3R1K1 b - -,g8h8
r3r1k1/pbpnqpp1/1p1p1n1p/4p3/1PPP3B/P3PN2/2Q1BPPP/3R1RK1 b - -,d7f8
2b5/ppr1r1k1/2p2np1/3p1p1p/P2P1P1P/1N2PB2/2R2KP1/2R5 w - -,a4a5
r4rk1/1b2bppp/nq3n2/ppp5/4PB2/P2P1NP1/1PQN2BP/R4R1K w - -,f4e3
8/4k3/1p2p3/p1b1P3/P1P3r1/1P1R1N2/8/5K2 b - -,g4e4
rnb1k2r/1p3ppp/p2q4/3Pp3/2B5/8/PP3PPP/R1BQK2R b KQkq -,d6b4
R7/4rp1k/1p1N4/7p/8/pr6/6PP/5RK1 w - -,d6c4
1rr4k/1p3q2/p2bbnpp/5p2/4p3/Q1B1P1P1/PP2NPBP/3R2K1 w - -,d1d6
8/2bk2p1/p4p2/3p1r2/Pr3P2/1P1R2B1/2R1KP1P/8 w - -,c2c5
r3kn1r/1b2p2p/p1pqp1p1/3p2N1/5P2/1BP5/P1P1Q1PP/2KR3R w kq -,e2e3
r3r2k/3Q1p1P/2pN4/7q/p7/7R/6PK/8 b - -,h5e5
3r4/p4p2/1p2k1p1/4p3/7P/2P5/PP3RP1/1K6 w - -,b1c2
r2qkb1r/pp3ppp/2p1pn2/8/2P5/2N2QP1/PP2PP1P/R1B2RK1 b kq -,f8e7
8/4R3/1p1r4/2pn3p/P2k3P/1P3K2/4B3/8 w - -,e7f7
r1b2rk1/ppq1bpp1/2pp3p/2n1n3/P2NP3/BPN5/2PQBPPP/R3R1K1 b - -,f8d8
rq3rk1/1p2bppp/p1p1bn2/4p3/2P1P3/2N1BP2/PP2B1PP/2R1QRK1 w - -,a2a4
R7/6kp/5p2/4nKp1/6P1/5P2/8/8 b - -,e5f3
3q1rk1/1p1bppbp/p2p2p1/4n3/P2NnP2/1BP1B2P/2P1Q1P1/R3R1K1 b - f3,e4c3
r3qrk1/2p2p1p/p1npb1p1/8/2pbPP2/B1N3PP/PP2Q1B1/3RR1K1 w - -,g1h2
8/2Q5/5k2/1p3r2/8/4K3/8/8 w - -,e3e4
r7/pp3p2/1k2bP2/2p4P/5p2/2P2B2/P1P3P1/2KR4 b - -,a8h8
r2q1r1k/pp1bn1pp/3b1p2/3pn3/3N1B2/2P2N1P/PPB2PP1/R2Q1RK1 b - -,d8b6
3b2k1/3n1p2/2p2p2/2P4p/3P1N1P/3RPPP1/r7/5K2 b - -,d8c7
2rq1rk1/4bppp/1pn5/3pP3/4n3/PN3N2/2Q2PPP/1RB1R1K1 w - -,c2d3
3r1kn1/5ppp/1p3q2/p1p5/P1PpBPbP/1P1P2P1/2QB2K1/4R3 b - -,g8h6
2r5/1p2p3/3p2k1/3P4/p2Rp1K1/1P6/P4P2/8 b - -,a4b3
3r4/1q2r1bk/3pBQ1p/p1pP4/2P2p2/1P5R/P6P/5R1K w - -,f6f5
2r1r1k1/pp1qpp2/3p2pB/4P3/1n4b1/1NN4B/PPP4Q/1K5R w - -,h3g4
1k3b2/2nn2p1/bp1p1pq1/p1pPpP1P/P1P1P3/1PN1BN2/6B1/2K5 w - -,f5g6
r1bqr1k1/pp1nbppp/2pp1n2/4p3/4PP2/3P2P1/PPP3BP/RNBQNR1K b - -,d7f8
4r3/p4pkp/bp4p1/3P4/3qP1P1/1P1p3P/P2Q2BK/2R5 b - -,e8c8
3rr1k1/pq3p1p/2p3p1/3b2Q1/1P6/P1pN3P/2P2PP1/R3R1K1 b - -,g8g7
5r1k/2pq2pp/p1pb4/4p3/4P2n/1QP1BP1P/PP3P1K/R6R w - -,h2g1
4kb1r/1r3p1p/2p2n2/R2p3P/1n5p/1P2P2P/1P1B4/1N2KB1R w Kk -,d2c3
r1b2k1r/pp3p2/3Np2p/6p1/3nP3/P5B1/5PPP/2K2B1R w - -,g3e5
8/3kb3/7p/5Pp1/bpR3P1/2pB2P1/P4K2/8 b - -,e7d6
R7/4kp2/p3p1p1/1p6/3q2P1/P6Q/1PP2r2/1K6 w - -,h3h4
2r1r1k1/1p2ppbp/p1npb1p1/q1n5/2P1PN2/1PN1B1PP/P2Q1PB1/2RR2K1 b - -,c6b4
r2q1rk1/pb1p1pbp/np2pnp1/2p5/2PP4/2N1PNP1/PPQ2PBP/R1B2RK1 w - -,f1d1
1r1qr1k1/p4pp1/b2p1n1p/1Nb1p3/PP2P3/3P2PP/3B1PBK/R2Q1R2 b - b3,a6b5
1r2b3/2p5/3k2p1/2p1p1Pp/p1P1P2P/3N1P2/P4K2/2R5 w - -,f2e3
r2q1rk1/pp3ppp/8/2bpn3/8/6N1/PPP2PPP/R1BQ1RK1 w - -,d1h5
r1b4r/pp1nkppp/2n1p3/1NbpP3/8/3B1N2/PqPB1PPP/R2Q1RK1 b - -,d5d4
r1b1kb1r/3n1pp1/3pp2p/p5P1/1pqNP2P/4BPN1/PPPQ4/1K1R3R w kq -,g5g6
8/8/2b5/kp5R/4r3/1K6/8/8 w - b6,h5c5
r4rk1/4q1pp/p2p4/2nPpp2/1p2P3/5B2/PP3PPP/R2QR1K1 b - -,e7h4
2r5/5k1p/4p3/ppr2pp1/8/2p3P1/P1B1PP1P/2RNK3 b - -,c8d8
3r4/7p/R5p1/2p1k3/5p2/4PP2/2K3PP/8 w - -,e3f4
2rr4/pp2nkpp/2b1q3/8/3P1Q2/1B6/PP3PPP/3R2K1 b - -,f7e8
r4rk1/pb1nqppp/1pp1p3/8/2PPQ3/bP3NP1/PB3PBP/R4RK1 w - -,b2c3
rnb1k1nr/p4ppp/2p5/2bqp3/PppP4/4P3/1PQ2PPP/R1B1KBNR w KQkq -,d4c5
r4rk1/pbqn1ppp/2pb1n2/1p2p3/3PP3/2N2NP1/PPQ1BP1P/R1BR2K1 b - -,f8e8
1r3rk1/2q1bppp/1pbp1n2/p3p3/Pn2PP2/1NN1BB2/1PP2QPP/R4R1K w - -,a1c1
r4r1k/1p4bp/6p1/3p2qn/pP1Pp3/P3PbP1/3BNPB1/1R2QRK1 w - -,e2f4
1k6/pb3p2/1pp1p1n1/2p5/4PP1r/2NP2P1/PPP1N3/1K1R4 b - -,h4h2
8/3b4/6p1/1kp3B1/p7/K1P1P3/8/8 b - -,d7f5
r1bq1rk1/1pn1ppbp/p2p1np1/6B1/2PP4/2NB1N1P/PP1Q1PP1/R3K2R w KQ -,e1g1
R7/8/2r3p1/3k1p1p/7P/6P1/5K2/8 b - -,d5e5
2r1r1k1/1p2qpp1/p2pbn1p/4B3/3QP3/1BN5/PPP3PP/R4RK1 b - -,d6e5
6k1/2q5/2p3p1/2Pp4/P7/1P1KQ3/8/8 b - -,c7c8
8/1p5k/p1p1rn1p/8/1P2P1P1/P3BP2/3RK3/8 w - -,d2d8
3q2k1/rbpp1pp1/1pn1rP1p/8/1P1P4/1B1Q4/5PPP/2BRR1K1 w - -,b3e6
r2qk2r/pp2bppp/3p1n2/3Pp3/1nP5/1N2BP2/PP4PP/R2QKB1R b KQkq c3,a7a5
3q1rk1/1pp3pp/2n1b3/2b5/2Ppp3/1Q4PP/r2BPPBK/1N2NR2 b - -,a2a6
7k/6p1/5n1p/8/P6P/2P1QBP1/5PK1/1q6 b - -,b1a1
2r1q1k1/p2n1rb1/2p1b2p/N1PpBnp1/3Pp3/2N1P2P/P2QB1P1/1R3RK1 w - -,e5h2
r3k2r/pp2bppp/2n2n2/qB1p1P2/4pP2/2N1B2Q/PPP3PP/2KR3R b kq -,e8c8
r4rk1/pq1n1pbp/3pP1p1/8/4P3/2NPB3/PP1Q2PP/R4RK1 b - -,f7e6
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1PP2/2N5/PP4PP/R1BQKBNR w KQ -,g1f3
8/5pk1/4b2p/1p1p4/5n2/P2PN3/7P/5K1B b - -,g7f6
1r2r1k1/n2q1Nb1/1p1p2p1/1p3p1p/1P1P4/4P1P1/Q4PBP/2R1R1K1 b - -,g8h7
2k1rb2/1ppbr3/2n5/p3Pp1p/P2N1Pp1/2PBP2P/1B3KP1/R6R b - -,c6d4
r1bqkb1r/1p1nppp1/p2p1n1p/8/3NP2B/2N5/PPP1QPPP/R3KB1R b KQkq -,g7g6:b7b5:e7e5
r1qr2k1/pp2bppp/4pn2/2p1N3/Pn3B2/2NP1Q2/1PP2PPP/R3R1K1 w - -,e1e2
8/5k2/2R2p2/6p1/3K4/1p3PBp/1Pb3nP/8 b - -,c2d1
3r1k2/p1b4p/2Bn2p1/PP2R3/2Pp1P2/5KP1/3B3P/8 b - -,d6c4
8/8/1pkr2pB/2p2b2/P7/1QP1P3/5n2/2K5 w - -,b3b5
8/1p5r/8/P1n2R2/3k4/3p2N1/7P/3K4 w - -,f5h5
5r1k/p2p1qp1/1b1P1p1p/4PQ2/P7/3B1RP1/5PKP/8 b - -,g7g6
2r1rbk1/1q3pp1/p3p2p/1p2p3/4P3/P4P1P/NPP2QP1/3RR2K w - -,e1e2
2rq1r2/2nn1pkp/2ppp1p1/p7/P3PPPP/1BN5/1PPQ4/2K3RR w - -,d2d6
r4rk1/5pp1/p1p1b3/2q1p3/4P1p1/4N1Q1/PPP3PP/R4R1K w - -,e3f5
2b1r1k1/2p1rppp/1qp5/2NpP2P/1p1Q4/2P1R3/P4PP1/4R1K1 w - -,c3b4
1r1qk2r/pppnnpbp/6p1/4p3/2P3b1/1QN1PN2/PP2BPPP/R1BR2K1 b k -,e7c6
6k1/Q4p2/3qp1pp/8/4B2P/1Pn3P1/P4P2/6K1 w - -,e4f3
r3kb1r/pp3ppp/1qn1p1b1/3p3n/2pP1B2/2P1PP2/PPBNN1PP/R1Q2RK1 w kq -,e3e4
5k2/p7/1p4Q1/8/4P3/4B1K1/P1r3PP/4q3 w - -,g3f4
5r1k/6pp/2p5/p2pP3/P1pP1P2/1r5q/1P2K3/R1Q3R1 b - -,h3h2
r1b1k2r/pp1nbppp/1q2p3/3pP3/1n1P4/5N2/PP3PPP/RBBQKN1R b KQkq -,a7a5
r1b1r1k1/1pqn1pbp/p1npp1p1/6P1/4PPQ1/1NN4R/PPPB2BP/R5K1 w - -,g4h4
4k2r/rq1n1pb1/1pp1p1p1/p2pPnBp/P1PP1N1P/3Q1N2/1P3PP1/R4RK1 w k -,c4d5
r3r1k1/bp1q1ppp/p1n2n2/8/P2p1Bb1/1N3N1P/1PP1BPP1/R2Q1RK1 b - -,g4h5
6k1/p5bp/6p1/2pn1p2/2N1p3/4P1BP/PP3PP1/6K1 b - -,d5b4
r3rbk1/pbqn1ppp/1ppp1n2/4p3/2PPP3/1P1B1NN1/PB1Q1PPP/R3R1K1 w - -,a1d1
r1b2rk1/pp2ppbp/1q3np1/3p4/1P1P4/1B2PN1P/PB3PP1/R3QRK1 b - -,c8f5
r4rk1/p2qbppp/1p2b3/3pB3/6n1/2NQ2P1/PPP2PBP/R3R1K1 b - -,g4e5
3R4/5p1k/1pB3p1/4p2p/2P5/4q1P1/P2R3P/6K1 w - -,g1g2
7N/1p4p1/3k4/3pn1P1/3n3P/1p6/rP3RK1/1R6 w - -,h8f7
3k4/R1n2pp1/1p2p2p/1P6/P7/5BP1/5PKP/1r6 b - -,b1a1
r2q1rk1/pb1nppbp/1p4p1/2p1N3/3PpP2/2PBP3/PP2Q1PP/R1B2RK1 w - -,d3c4
q3r1k1/3n1p1p/pP3np1/3bpNB1/8/P4P2/3Q2PP/2rR1B1K w - -,d2c1
3qk2r/r3npb1/bpn3pp/p1p5/P2p3P/2PP1NPB/1P2QP2/R1B1RNK1 w k -,c3c4
2r3k1/6bp/p2p2p1/1p1Pnp2/1P3P2/NQq4P/P1P3P1/3R1BK1 b - f3,e5d7
r6r/pp3kpp/2p5/3pR3/1P1b4/P7/2PP1PPP/R4BK1 w - -,e5e1
r3k2r/ppqbbppp/1nnpp3/2p1P3/2PP4/P2B1N2/1P3PPP/RNBQR1K1 w kq -,e5d6
6k1/2qr1ppp/8/p4R2/1pBp2Q1/1P1Nr1P1/P6P/6K1 b - -,g7g6
r3kbnr/1p3pp1/1q2p3/p2pP2p/b1pP4/PNP3PB/1P1N1P1P/R1BQR1K1 b kq -,g7g6
5k2/1p2N2p/4P1b1/1P1p4/p3p3/P1r4P/6PK/R7 w - -,e7d5
r1br2k1/2q1bppp/p1np1n2/1p2p3/3PP3/1P3N1P/P1BN1PP1/R1BQR1K1 w - -,c1b2
r2qr2k/ppp1bpp1/2np2bp/4p1n1/1PB1P1P1/2PPBNNP/P2Q1PK1/R3R3 w - -,f3g5
5rk1/pp2qpp1/6bp/3p4/1P1Pp3/4P3/P2N1PPP/1QR3K1 w - -,c1c5
8/1Pk5/2P3b1/6p1/8/4KB1P/6P1/8 w - -,e3d4
1r3rk1/1pqb1pbp/p2p1np1/n1pPp3/P1P1P3/2N3P1/1P1NQPBP/1RB2RK1 w - e6,b2b4
4r1k1/pp2rppp/1np1b3/8/2PP1N2/2PB2P1/P6P/R3R1K1 w - -,f4e6
2kr4/2p4p/1pb1Rp2/p7/P4P2/2P2N1P/5KP1/8 b - -,d8d6
r1r3k1/5pp1/2n1p3/pp1pPp2/5P2/PP2R2P/1BP3P1/R5K1 b - f3,c8c7
rnbqk2r/pp3p2/4p2p/2ppP1p1/3Pn3/P1N3B1/1PP2PPP/R2QKB1R b KQkq -,e4c3:d8a5
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/3P2P1/PPP1NPBP/RNBQK2R w KQkq -,e1g1
r4rk1/p7/bpp4p/3p2p1/Q1q5/5Pp1/PP2P1BP/3RR2K w - -,a4a3
8/1B2k3/8/2P1p3/2K1Pp1p/6r1/P2R2P1/8 b - -,f4f3
r1bqk1nr/pppp1pbp/2n3p1/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d3:c3d5
1r4k1/6p1/3pP1pp/3P1q2/2p5/4Q3/1P3P1P/4R2K w - -,e1d1
3qnrk1/p4ppp/b3p3/2rpP3/2n1N3/3Q1NP1/P4PBP/R2R2K1 b - -,c5c6
