8/1K6/p1n5/5pPk/2P4p/1PN4P/P7/8 b - -,c6b4
3q1rk1/rpp2pp1/p3b1np/4p3/3Pp3/2P2N1P/PPB2PP1/R2Q1RK1 w - -,f3e5
r7/3nrppk/p6p/2p5/2R1P3/3PB1KP/4n1P1/2Q2R2 w - -,g3h2
4k3/5p2/4p1p1/N1p3b1/P7/1P3P2/4K3/8 b - -,e8d7
1k1r4/3r2pp/1p1n1p2/p1p1p3/4P3/2PB4/PP2KPPP/R2R4 b - -,b8c7
R7/2K1k3/8/2P5/5r2/8/8/8 b - -,f4c4
3r1rk1/pp3p2/2pR2pp/4P3/2P1P2q/4Q3/PP3PK1/R7 b - -,h4g4
6k1/pp3p1p/6p1/2b2p2/P7/1P2P2P/1B3PP1/5K2 b - -,g8f8
r1b2rk1/1pp2p1p/q7/p4Pp1/2n1P3/4N1P1/PP3Q1P/3RRBK1 b - -,b7b5
8/4kr1p/7R/6K1/6P1/4P3/8/8 b - -,f7g7
r2q1r1k/ppp1b1pp/2n5/2Nnpp1b/2B5/2PPBN1P/PP3PP1/R2Q1RK1 b - -,d5e3
r4rk1/pb1nppbp/1q3np1/2p5/N1Q5/5NP1/PP2PPBP/R1BR2K1 b - -,b6b4
6r1/1pk2p2/p2bpp1p/8/4P3/1PP2P2/PK2N1PP/3R4 w - -,g2g3
6k1/5pp1/1p2p2p/1BrrP3/P1p2b1P/1pPb1PN1/1P4PK/3RR3 b - -,d5e5
r1b1k2r/1p1n1pp1/p6p/3Pq3/1PP1P3/3Q4/P3B1P1/R4R1K b kq -,d7f6
8/1b3pk1/p1p2b2/1p1r1P2/PP6/3B4/2P2PP1/R5K1 w - -,a1a3
6r1/pp5k/2n1Q1pp/4pq2/8/5NPP/PP2PP2/5RK1 w - -,e6f5
6k1/4pp1p/1n1p2p1/1PnP4/2B1P3/r6P/5PP1/2R2NK1 b - -,a3a4
rn1qk2r/pppb2pp/3bpn2/5p2/Q1p5/3P1NP1/PP2PPBP/RNB2RK1 w kq -,a4c4
r1bqk2r/pppnbppp/5n2/4p1B1/4P3/2P2N2/PP1N1PPP/R2QKB1R b KQkq -,e8g8
8/3r2kp/p4Rp1/1p2Pp2/2pK1P2/P1P3P1/1P5P/8 w - -,f6d6
r1b2rk1/pp3pbp/3p1np1/q2Pp3/2P5/2N1nN1P/PP1QBPP1/R4RK1 w - -,d2e3
2kr1bnr/p1p2pp1/1pn5/8/2Pp1P2/P2P2PN/1P6/RNB1K2R b KQ -,c6a5
1rb2rk1/p4ppp/2p2n2/8/8/4P3/PqQB1PPP/2R1KB1R w K -,f1c4
2r5/p2rkppp/4p3/1pP5/1P6/P3R1P1/1R2KP1P/8 b - -,e7d8
1r2kb1r/5ppp/2qpb3/p1nN2P1/1p1BP3/8/PPPQ2BP/1K1R3R w k -,h1e1
8/6R1/1pr2kp1/4pp1p/7P/2PK2P1/1P3P2/8 w - -,g7b7
1k1r4/1pb5/2p1Bp2/8/PP2PpR1/5P2/4KP2/8 w - -,b4b5
rnbqk2r/pp2ppbp/2p2np1/3p4/8/1P3NP1/P1PPPPBP/RNBQ1RK1 w kq -,c1b2
5rk1/4Rpbp/q1r3p1/2BQ2N1/8/7P/P4PP1/6K1 b - -,c6f6
1r3rk1/3qnpbp/bp1pp1p1/1N2P3/Pp1P1P2/5NP1/1P2Q1BP/R4RK1 w - -,e5d6
8/8/8/2p3R1/6p1/3k2P1/8/2r2K2 w - -,f1f2
2n1k2r/r2b4/3p1pp1/1p6/1B1bPP2/1P1N1B2/P1R5/4K3 b k -,d7e6
6rk/p2Q1p1p/5P2/1p2r1p1/8/8/P3N1PP/6K1 w - -,e2g3
r1bq1rk1/pp2ppb1/3p1np1/2pPn3/2P1P2p/2N1BP2/PP2B1PP/R2QKN1R b KQ -,a7a6:e7e6
8/2pr2pk/7p/2R5/6P1/5PKP/8/8 w - -,h3h4
2r2rk1/1q2ppbp/p4np1/np2N3/3P4/1PN1BQ1P/P4PP1/2RR2K1 b - -,b7f3
5bk1/5R2/3p4/3P4/pp2PpP1/5P2/PP4K1/3N4 b - -,g8f7
