8/8/3k4/PK1n4/1P6/8/8/8 b - -,d5b4
5bk1/p6p/3p1p2/P4P2/3p2P1/6KP/1r1B1R2/8 b - -,d6d5
2r3k1/Rbrn1p1p/1p1p1qpb/4p3/3P1n1B/2P2N1P/1PQN1PP1/R4BK1 b - -,g6g5
r1b1nrk1/4qppp/pp1p4/2pP4/P1N2Q2/2Nn3P/1PP3P1/4RRK1 w - -,c2d3
6k1/pp1r1pp1/1b2np1p/3r4/R7/2B2NPP/1PP1RPK1/8 w - -,e2e4
6r1/5k1p/8/5p1P/2PP1K2/5R2/2bB4/8 b - -,g8g4
8/1pn1p3/3p4/4k1pN/1P2P3/3K4/2P3PP/8 w - -,h5g3
8/2k5/2R5/1B1p4/P2P2p1/8/3b1K2/3b4 b - -,c7b7
8/3n2kp/2pN2pN/4p3/r1P5/6P1/5PBP/6K1 w - -,h6g4
2kr4/p1p2p2/1p4p1/3NRn2/1PP2P1p/2K5/P5PP/8 b - -,c8d7
6k1/1p3ppp/p3pn2/5q2/2rP4/P4N1P/1P3PP1/1QR3K1 w - -,b1a1
8/1K1q4/8/1PQ5/8/8/1k6/8 w - -,b7a6
2k5/pb1pqp2/1p2pR1p/2p1P1r1/2P1P1r1/PP1B1R2/4Q3/4B2K w - -,e2h2
2b3k1/2bq2p1/p2p1np1/P1pP3p/2N1PB1P/2PB2P1/8/1Q4K1 b - -,d7e7
8/3R4/4P1bk/8/P2P2pp/8/4KP1r/8 w - -,e6e7
8/8/2R2k2/2pp3p/5P2/2r1P2P/4K3/8 b - -,f6g7
rnb1k2r/ppbpqppp/2p1p3/2P5/2NP4/5NP1/PP2PPBP/R2Q1RK1 b kq -,b7b6
r2q1rk1/pp2bppp/1n3n2/3p3b/3P1B2/2NB1N1P/PP3PP1/R2Q1RK1 w - -,d3e2
r2r2k1/pp2q1pp/5p2/3b4/1b2Q3/4B1P1/PP2PPBP/R4RK1 w - -,e4e7
r2qk2r/pp1nbppp/2p1pn2/3p1b2/2P5/1PN1PN2/PB1PBPPP/R2Q1RK1 b kq -,e8g8
