1k6/8/6pp/R1p5/7P/3B4/1r4r1/5K2 b - -,g2d2
2r5/3b2k1/p5p1/PprPp2p/2Pp1P1q/3P1P2/R2Q2K1/1R3B2 b - -,e5f4
2q2rk1/5pp1/pr1p1n1p/2p1p3/2P1P3/1P3P2/PR1QB1PP/5RK1 b - -,c8c6
8/2p3kp/prPp2p1/1P3p2/r7/4P1P1/2R2P1P/1R4K1 w - -,c2b2
r3rnk1/1bq2pbp/p2pp1p1/1p6/4PPQ1/P1NB2R1/1PPB2PP/5R1K w - -,g4e2
8/1k6/1pr1p3/5p1p/P3bP2/1B1rP1P1/1K6/4R1R1 w - -,e1c1
5k2/5p2/4p1p1/1P1pP3/6PP/3rRN2/1bN2PK1/2n5 b - -,d3e3
3r4/ppkn1p1p/2p2p2/7b/3Pr2N/1B4P1/PPP4P/3R1RK1 w - -,d1d2
r2q1rk1/pb3pp1/np2p2p/3nP1N1/4N3/PQ4P1/1P3PBP/R2R2K1 w - -,g5f3
2r2rk1/1p2qppp/p3p3/PbbnN3/2N2P2/1Q2P3/1P3PBP/R1R3K1 b - -,f8d8
2r2rk1/1bq1bp1p/p5p1/3np3/6PP/1N1B4/PBP5/1K1R1QR1 w - -,d1d2
2r1r1k1/1b1p1p1p/1p1n4/p1pq4/3Nn3/1P4P1/P5BP/B1RQ1RK1 w - c6,f1f5
rnbqkb1r/p1pp1ppp/4pn2/1p6/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,b5b4
2r2rk1/pbq1ppbp/1p1p1np1/8/P1P5/1PB1QNP1/4PPBP/2RR2K1 w - -,f3e1
r1b1kb1r/1pq2ppp/p1p1pn2/8/P3P3/2NB4/1PP2PPP/R1BQ1RK1 b kq a3,e6e5
6k1/5p2/4p2b/4P3/5P2/2p1QK1P/2r2P2/8 w - -,f3e4
r1r4k/1pp1bqp1/p1npNn1p/4p3/1P2P3/P1N1BPPP/Q1P4K/4RR2 w - -,f3f4
3r4/4pkbp/p7/1pBP1p2/1Pn1p3/5P2/P3N1PP/3R2K1 b - -,e4f3
1r1q1rk1/2p3pp/p1Q5/5p2/5b2/8/PPP2PPP/RN2R1K1 w - -,c6c4
8/8/6K1/p2k4/1p3P2/P7/8/8 w - -,a3b4
5rk1/4bp1p/6p1/p3q1P1/PpQ3RP/8/1P1B1P2/4K3 w - -,g4e4
2r2rk1/pp2qpbp/2n1p1p1/1N1p4/3PnBbP/1Q2PN2/PP2BPP1/2R2RK1 w - -,b3a3
8/8/8/8/8/3pQ3/3q4/2k2K2 w - -,e3d4
1q5n/6k1/3p1ppB/1rpPp3/4P1P1/5P2/QPK5/7R b - -,g7g8
r2qk2r/ppp2pp1/2np3p/6B1/2B5/2P2P2/PPPQ1P1P/2KR3R b kq -,h6g5
r1b2rk1/ppqnpp1p/3p1np1/8/4P3/2PBB2P/P1P1NPP1/R2Q1RK1 w - -,f2f4
r3r1k1/pq4bp/1p2p1p1/3p1p2/2PPnP2/1P1N1QP1/PBR4P/2R3K1 b - -,d5c4
1r5k/p2nqB1p/bb6/2p1P3/3p1P2/P6P/Q4B2/2RR2K1 b - -,b8f8
2nrr1k1/4ppbp/1q2bnp1/1p2N3/1P6/P4QNP/1BB2PP1/3RR1K1 w - -,c2b3
8/6kp/pb1p2p1/3Pp3/2P1Pp2/8/N4PPP/5K2 b - -,g7f6
8/8/B3bp1p/3p4/3P1K1P/2k1P1P1/8/8 w - -,a6e2
r2qr1k1/p1pb1pb1/2pp1npp/8/2B1P2B/2NQ4/PPP2PPP/R4RK1 b - -,d7e6
5K2/7k/8/3n4/8/3b4/1B1R4/8 b - -,d5f4
r1r3k1/3qn1b1/3p2pp/pp1Pp3/2PpBpPP/PP1P4/3B1P2/1R1QK2R w K -,b1c1
8/4p3/P4kp1/8/1PQ4p/6P1/5PK1/3r3r w - -,g3h4
r1b2rk1/4qppp/p4n2/4p3/P3P3/1N1Q4/B4PPP/R3R1K1 b - -,c8d7
6rk/4rp2/3p1q1p/p1pBb1pP/Pp1pP1Q1/1P1P1PPK/2P5/4RR2 w - -,e1e2
5rk1/1b1rqpp1/p1pp1n1p/4pP2/2B1P3/2N5/PPPRQ1PP/3R3K b - -,a6a5
4r3/1pp5/2np1nk1/p5p1/P1PP3p/2P3NP/3B1KP1/1R6 w - -,g3f1
2r3rk/pp1nbp1p/1qn1p1p1/3pP3/6Q1/1P1NR1N1/PBP2PPP/R5K1 w - -,d3f4
r3qr1k/1pp3bp/3p2p1/p2PnNB1/1PP5/8/P2QB1PP/4RRK1 b - -,g6f5
2rQ4/4nk2/1p5p/3p2pP/P2Pp1P1/4P3/5K2/8 w - -,d8b6
1rbq1rk1/ppn1ppbp/3p1np1/2pP4/P3PB2/2NB1N2/1PP1QPPP/R4RK1 b - -,b7b6
r3k2r/ppp1np2/2nbbqp1/3p4/3PN2p/2PB3P/PP1NQPP1/R1B2RK1 b kq -,d5e4
1rb2rk1/2q1pp1p/pp1n2p1/2pPp3/P1P1P3/2N2B2/1P1QRPPP/5RK1 w - -,d2d3
r1bq1rk1/pp1nbppp/2p1pn2/6B1/2QP4/2N1PN2/PP2BPPP/R3K2R b KQ -,f6d5
Q5nr/2r1kpp1/4p3/1Bp4p/5q2/3P4/PPP2P1P/R4RK1 b - -,h8h6
4n1k1/p2pr2r/1p3p2/2pR2p1/2P3P1/1P2PN2/P4PK1/3R4 w - -,f3h2
Q7/1p3r2/1qpk4/4p3/3bB3/1p3PP1/1P2R1K1/8 w - -,a8b8
8/1P2r3/P7/2N3k1/3R3p/5b2/1KP5/8 b - -,e7e8
4r3/p4k1p/2bR1p2/2r5/1Pp2PPN/4p3/P3K2P/3R4 b - -,c5b5
r2q1rk1/3nb1pp/p3p3/1p1p1p2/2pP1B2/P1P1PP1P/1PQN2P1/R4RK1 w - b6,e3e4
r3k2r/2p4p/p2b2n1/3Np1p1/4Pp2/5P1P/PPPB1P2/R4RK1 w kq -,d5f6
r1bqr1k1/3nbp1p/p1np2p1/PppNp3/3PP3/2P2N2/1PB2PPP/R1BQR1K1 b - -,e7f8
5rk1/pp1bb1pp/1q2p3/3pPp2/2rP1P2/P1N1B3/1P4PP/2RQ1RK1 w - -,d1d2
2R5/1N3pbk/6p1/p6p/5r1P/PP6/7K/8 b - -,a5a4
1n1r1qk1/4rp2/3P2pb/2p4n/p1N1Q2p/2B4P/PP3PB1/3R2K1 w - -,e4e7
r1b2rk1/pp3ppp/1q3n2/2Np4/8/5NP1/PP2PPBP/R2Q1RK1 b - -,b6c5
1kb3r1/p1q1b1rp/2p5/1pP5/1P1PNp2/4PB2/P6P/1R1RQ2K b - -,c8e6
r1bbk1nr/1p3ppp/n3p3/p3P3/1Pp5/P4N2/1B3PPP/RN2KB1R w KQkq -,f1c4
8/6pp/5p2/5P2/r4BKP/5P2/5k2/8 b - -,f2g2
r3k2r/ppq4p/4ppp1/2bPnb2/2PQ4/2B5/PP2BPPP/R3K1NR w KQkq -,d4h4
r4rk1/2q1bppp/2p1p3/2n5/2N1N3/P3P3/2Q2PPP/1R3RK1 w - -,e4c5
1r1q1rk1/p1nnppbp/2pp2p1/1p6/2PPP3/2N1B2P/PP1QBPP1/R4RK1 w - b6,c4b5
r3r1k1/p4pb1/R1p2qnp/2B1p1p1/1P2P3/2NP1N1P/2PQ1P2/R5K1 b - -,f6f3
rn3r1k/ppq1n1b1/2p4p/2B2p2/2B1p3/2P2P2/PPQN2PP/R4RK1 b - -,g7e5
3r4/pp3kq1/2p1pp2/8/3P4/5P2/PPP4Q/1K1R4 b - -,d8d5
1r1q1rk1/6p1/2p3p1/p2n1p2/PbBP1n2/5PN1/1PQ2BPP/R2R2K1 b - -,g8h8
6k1/p2n2pp/1p1P4/1Nr3b1/P1qQpr2/8/1B2RPKP/R7 b - -,c4f7
r1bq1rk1/p4ppp/1pnbpn2/3p4/2PP4/1PNB1N2/PB3PPP/R2Q1RK1 b - -,d5c4
4r3/4r3/Bpn1bk2/5p2/1P4p1/P4NP1/4R2P/4R1K1 w - -,f3h4
8/8/6p1/3B2P1/1n1kPK2/p7/8/8 w - -,d5b3
r3kb1r/6pp/p1p2p2/4p3/2PP4/8/P4PPP/1RB1R1K1 b kq d3,f8d6
r3r1k1/1p1q1pbp/4b1p1/1PP5/p2p4/P2B1P2/3Q1BPP/2R2RK1 b - -,a8c8
r4rk1/2p1nppp/pp1q4/4n3/N1B5/P7/1PQ2PPP/3RR1K1 b - -,d6f6
r7/1pp1qkbr/3n2p1/p1pPp1P1/P1P1Pp2/2N2N2/1P3P2/2K2Q1R w - -,h1h7
4B3/p7/3bN1p1/7p/P3K1k1/8/8/8 w - -,e8g6
5r1k/5R1p/4Qnp1/8/8/5P2/2q3PP/6K1 b - -,c2c5
2R5/3k4/4p3/r1p5/8/4BK2/8/8 w - -,c8h8
r1b2r1k/p3qpp1/1pn4p/2pp1B2/3P4/2P1PN2/P1Q2PPP/R3R1K1 b - -,e7f6
r4rk1/pp1bbppp/4pn2/2q1N3/8/3B4/PPPBQPPP/1K1R3R b - -,d7c6
k1br3r/pp2bp2/2n1p1pp/q2pP3/P1pP1P2/2P1N1PP/2PBB3/RQ3RK1 w - -,f1d1
8/r2K4/1p3Ppk/p5Np/2P4P/1P6/P7/8 w - -,d7d6
1r6/Rp6/2b3p1/2Pp1k1p/pR1PpP1P/P3P1PK/8/8 b - -,f5f6
2kr1bnr/pppq2pp/2n1pp2/3p4/2PP2b1/P4NP1/1P1NPPBP/R1BQ1RK1 b - -,c8b8
1r2r1k1/1pqn1pp1/4p2p/pPPp4/P2P4/2Nn3P/3Q1PP1/1R2R1K1 w - -,d2d3
r1bqkb1r/pp2pp1p/2n2np1/2ppN3/5P2/1P2P3/PBPP2PP/RN1QKB1R b KQkq -,f8g7
rnb1kn1r/ppp3pp/4p1p1/3pP3/3P4/2N4N/PPP2PP1/R3KB1R w KQkq -,e1c1
r1bq2k1/ppn2pbp/3p2p1/2pP4/P4r2/4P2P/1P1NBPP1/R2Q1RK1 w - -,e3f4
r2qkbnr/pp1n1ppp/2p1p3/3p4/6b1/1P1P1NP1/P1PNPPBP/R1BQK2R b KQkq -,g8f6:f8d6
r2qr1k1/pp1nbppp/2p1pn2/8/3P4/1Q3NN1/PPPB1PPP/R3R1K1 b - -,d8c7
r7/p3kpp1/2rpbn1p/1p2p3/4P3/1BPRBP2/PKP3PP/3R4 w - b6,d1a1
2q1r1k1/3n1p2/p5p1/PpbN3p/1Q6/8/1P3PPP/3RB1K1 w - -,b4c3
2r5/1pp1n1p1/p3pk2/4N1p1/4P3/2P1P2P/PP4P1/3R2K1 w - -,e5d7
r3kb1r/1bqp1ppp/p3pn2/2p1P3/8/2N2N2/PPP2PPP/R1BQR1K1 b kq -,f6d5
r2qkbnr/pp1b1ppp/4p3/n2pP3/2pP4/P1P2N2/1P2BPPP/RNBQK2R w KQkq -,b1d2
r3k1nr/pppq1ppp/2npb3/4p3/2P1P3/2P3PP/PP1N1PB1/R1BQK2R w KQkq -,d1e2
8/7k/p3K2P/3p1p2/2bP1B2/P7/2P5/8 b - -,h7g6
r7/pr4k1/1p4pp/2pR4/7P/1P4P1/P3PP2/5RK1 b - -,b7e7
r3r1k1/pp1bqpb1/6pp/4p3/QPNpP3/3P2P1/P4PBP/1R3RK1 w - -,a4b3
1rbq1rk1/p1p2pbp/3p2p1/2p1n3/2P1P3/1P4P1/PBQ1NPBP/R4RK1 b - -,c8b7
8/1p6/1p1k4/3p4/P2P1nB1/2K5/8/8 w - -,g4c8
8/1R3pkp/4p1p1/1P6/8/5P1P/1r6/6K1 b - -,g6g5
r4r1k/pp3pbp/nq1p1np1/2pPp1B1/2P1P1b1/2N2N2/PP1QBPPP/R3R1K1 b - -,g4f3
3r2k1/6p1/r2qp2p/5R2/1P1P4/1Q6/1N1n1PPP/4R1K1 w - -,b3d3
8/6p1/1n6/pB2pPkP/1p2K1P1/1P6/8/8 w - -,e4e5
5rk1/3q2p1/1p3nR1/3p4/p2P1Q2/P7/1P6/1K5R w - -,f4h6
r1bqkb1r/p4ppp/2p1pn2/2pp4/8/1P2PN2/PBPP1PPP/RN1QK2R w KQkq -,f3e5
2br1k2/1pN2rp1/1n1PB2p/p3p3/P7/7P/1P3PP1/3RR1K1 b - -,f7f6
r4rk1/1p2bppp/1pb1pn2/3P4/3P1B2/2N3P1/PP3PBP/R1R3K1 b - -,f6d5
3r1rk1/pp3p1p/5pb1/4bq2/2B1p3/1P2P2P/P3QPP1/1RB2RK1 w - -,e2g4
8/6pp/5k2/3B4/P2b1P2/4p1P1/2r1P2P/1R3K2 b - -,c2c5
8/1pb1kp2/p3p1p1/3b4/P5R1/1P5P/1K1NR1P1/6r1 b - -,c7d6
7r/2k4r/R5R1/2p5/pb2p3/4P3/KP3P2/8 b - -,c7b8
r1b1k2r/ppp2pp1/1bn4p/4pP1N/4N2q/2PP4/PP4PP/R1BQ1R1K b kq -,e8g8
Rb3r2/1P4k1/4p1p1/1K5p/2N5/6P1/7P/2n5 w - -,c4b6
br1r4/4qp2/pp1pp1k1/4n1p1/1PPQP3/PN3P2/4BKP1/2RR4 w - -,g2g3
8/pp6/2k1p3/3pp1p1/1K2P2p/1P3P1P/P1P3P1/8 w - -,b4c3
2k5/p1q1r3/1pn3rp/1P1R1pp1/2Q1p3/2P2N1P/P4PP1/3R2K1 w - -,f3e1
8/Rpk5/2p5/5p2/P7/1PP5/3K4/5r2 w - -,a7a8
3r2k1/pppr1ppp/1bnq4/1Q2p2b/4P3/P1PP1N1P/1B1RBPP1/3R2K1 b - -,a7a6
3rnrk1/pb2bpp1/1p2q2p/2P1P3/8/P1BB1N2/1P2QPPP/R3R1K1 b - -,e7c5
4r1k1/2br1pp1/pq3n1p/1p1ppP2/1B2P3/1PPR2P1/P3Q1BP/3R3K b - -,a6a5
r3r1k1/2qn1pp1/p1p2n1p/1pb1p3/P3P1b1/1PB2NP1/1NP1QPBP/R2R2K1 b - -,c5d4
3b1rk1/5rpp/p2pb3/2qNpp2/1pPnPP2/1P1QN1P1/P5BP/3R1R1K w - -,f4e5
r1bqkbnr/p4ppp/1pn1p3/2ppP3/5P2/3P2P1/PPP3BP/RNBQK1NR b KQkq -,c8b7
8/5pk1/p1rpq1p1/1p5n/2r1P2P/P1N5/1PPQ4/2KRR3 b - -,h5f6
R1b3k1/5r1p/1p3r2/3p1p2/2q2Pp1/4P1P1/1Q2NKP1/8 b - -,g8g7
r1b2rk1/pp4bp/2pp2p1/4n1q1/1PP1Pp2/2N2P2/PB1Q2PP/1R2RBK1 w - -,g1h1
1r4k1/p4ppp/1p2p3/PR1pP3/3n4/2r2B1P/5PP1/1R4K1 w - -,a5b6
r1b2rk1/pp2bp1p/4p2p/4P3/2p5/P1Nn1NPP/1P3PB1/3R1RK1 w - -,b2b3
2q3k1/pp4pp/4p2r/1b2Np2/1P1PpP2/P3P1P1/5P2/R2Q2K1 w - -,a3a4
2Bn4/p7/1p6/1Pp1k1pp/P1P3P1/4K2P/8/8 b - -,h5h4
r2qk2r/pp2bppp/2p2n2/n2P4/Q1B3b1/5N2/PP3PPP/RNB1R1K1 w kq -,d5d6
rn1qkb1r/pbpppppp/1p6/4P3/4N3/5N2/PPPP1PPP/R1BQKB1R b KQkq -,b7e4
