4n3/4P3/8/7k/5K1p/7P/8/8 w - -,f4f5
rn2kb1r/ppq2pp1/2p1pn1p/3p1b2/2PP4/1QN1PN2/PP1B1PPP/2R1KB1R b Kkq -,b8d7
8/2q2pk1/2pb2p1/1p1p4/p2P1PQ1/P2BP1P1/1P6/5K2 b - f3,c6c5
2r1r1k1/1b1n1ppp/3q1n2/p2p4/Np1Q4/1B2BP2/PP4PP/2R2RK1 w - -,d4d2
r3k2r/1p1bqppp/p2b1n2/2p1pP2/4P3/3BB3/PPPN2PP/R2Q1R1K w kq -,a2a4
8/p7/1pN5/8/PP2pk2/5b2/7K/8 b - -,e4e3
5k2/8/P3p3/5p2/1K6/6p1/2PR4/r7 w - f6,b4b5
6R1/ppk4r/4p3/3p3b/2p1n1PK/2P4P/PP6/5R2 w - -,g4h5
r2r2k1/5ppp/p2bp3/3n4/q2Q4/1N4P1/PP1B1P1P/R4RK1 b - -,a4b5
r2R4/6kp/5ppb/p7/1qp5/4pP1P/PPB2P2/2Q1R1K1 b - -,e3f2
2kr3r/2p3pp/ppn1qp2/2p1p3/P1P1P3/2PPRN2/2Q2PPP/1R4K1 b - -,d8d6
2rb1rk1/2q2pp1/3p3p/p2Qp3/1p2P1P1/4B3/PPP2PP1/2KR3R w - -,d1d2
3b1r2/1pr3k1/pQn2p2/4p1p1/4P1qp/P1R2N1N/1P3PP1/5RK1 w - -,f1d1
1k1r3r/pp3Q1p/Bq1P2pb/4P3/8/P1N2P2/1P5P/2KR3R w - -,c1b1
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,g2g3:d2d4:e2e3
r1b2rk1/pp1n1ppp/2p1pn2/q2p2B1/1bPP4/2N1P3/PPQNBPPP/R3K2R b KQ -,d5c4:c6c5:e6e5
2r4r/1bq1kp1p/p2p1pp1/1pn5/3QP3/1N1B4/PPP2PPP/2KR3R w - -,h1e1
5rk1/3Nbppp/1p1np3/8/3B4/6P1/4PP1P/R5K1 b - -,f8d8
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1P2/2PBPN2/PP4PP/RNBQK2R b KQkq -,d8b6:f8e7:f8d6
r2q1rk1/1bpnbppp/p1np4/1p2p3/3PP3/1BP2N2/PP2QPPP/RNBR2K1 w - -,c1e3
1r1qb1k1/r4pp1/4pb1p/8/p2pB2P/P2P2P1/1PRN1P2/2RQ2K1 b - -,a7a6
r5k1/p5pp/n1p5/5p1n/P3P3/5PP1/1PpNK2P/R1Br1R2 b - -,d1f1
4r3/pp2P1k1/7p/1nP2pp1/8/4R3/P1p3PB/4R1K1 w - f6,h2e5
3q2k1/3P1p2/2B1n1p1/8/3Q3p/7P/8/7K w - -,d4e5
2r3k1/1p3pbp/p5p1/3r4/3P1R2/1P6/PB3KPP/3R4 w - -,f2e1
r1b1kb1r/pp3ppp/2n1pn2/q7/3P4/P1N2N2/1P3PPP/R1BQKB1R w KQkq -,f1c4
1r1r4/1p1np1kp/p4pp1/P1pPp3/2N1P3/1R2KP2/1PP3PP/3R4 b - -,f6f5
6k1/8/2KP4/p3b3/8/1b4P1/7P/8 w - -,d6d7
6k1/1p2p2p/3p2p1/1q1P1p2/bBrPn2P/P4BP1/1Q3P2/2R3K1 w - -,c1c4
8/R7/4pk2/2P1p1p1/1n2P1Pp/5P1P/4BK2/1r6 b - -,b1b2
r2qk2r/pbpnbppp/3ppn2/8/1p1NP3/3P2P1/PPP2PBP/RNBQR1K1 w kq -,d4b3
2r3k1/1pr2ppp/p2qpn2/n2p4/N2P4/P2QPN2/1PR2PPP/2R3K1 w - -,c2c7
8/8/3rk1p1/PR3pP1/3prP2/3R1K2/8/8 b - -,e4e1
6k1/1p3np1/p1p4r/3p1P1Q/PP1P3P/1R2PP1q/6R1/6K1 b - -,h6h5
r1b2rk1/p4pbp/3p1np1/q1nPp3/1p2P3/P4NPP/NP3PB1/R1BQR1K1 b - -,b4b3
r2q1rk1/pb1nbppp/1p2p3/2p5/3P4/2PBPNB1/P4PPP/2RQ1RK1 b - -,d7f6
6k1/1N3p2/4p1pp/R7/1p3nP1/1P1r3P/P4P1K/8 w - -,a5a4
3rr1k1/1bqnppbp/p2p1npB/1ppP4/4P3/P1N2P1N/1PPQB1PP/3R1R1K b - -,g7h8
3r1rk1/ppq2ppp/2n2n2/2p1p2b/3P2P1/P1P1PN1P/BB2QP2/2R2RK1 b - g3,f6g4
3rr1k1/pp2qpp1/3b3p/3p1P2/8/4B3/PP3PPP/R1QR2K1 w - -,e3a7
r1bq1rk1/ppp2ppp/2nb1n2/4p3/2pPP3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,d4d5
3q2k1/r6p/p2p1np1/P1pPr3/1p6/1P2N2P/1Q3PP1/3R1RK1 w - -,d1d3
7b/4k2P/5p2/3P1B2/2NK1P2/8/4n3/8 w - -,d4e3
