8/1R4P1/6K1/7P/p7/k7/1p6/7r b - -,h1g1
2r5/6k1/2Pb2p1/1Pp1r2p/1qB1p3/6QP/6P1/2R1R2K w - -,g3e3
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,d1b3:g1f3
r1b2rk1/1p2pp1p/2p3pb/p1qnP3/P7/1QP2NB1/1P3PPP/R3RBK1 w - -,f3d4
8/5pk1/pp2p2p/6p1/1KPq2P1/P2N1Q2/1P5b/8 w - -,b4b3
r4rk1/4bpp1/1qp1pn1p/3pBb2/p2P4/P1Q1P2P/1P1NBPP1/2R2RK1 b - -,f8c8
2k3rb/1bqn4/p3p2p/Pp1pP1pN/1PpP2P1/2P4R/4Q3/1KB3R1 b - -,d7f8
r1bq1rk1/pp1nbppp/2p1pn2/3p4/3P1B2/2P1PN2/PP1NBPPP/R2Q1RK1 b - -,b7b6
2kr1r2/p1n1b3/2p1bp2/2P1p1pp/1P6/P1P1NNPP/3B1P2/3RK2R b - -,c7b5
r1bqr1k1/p4ppp/2pb4/n2np3/8/3B1N2/PPPP1PPP/RNBQR1K1 w - -,b1c3
r2r2k1/3P1pbp/5np1/4p3/3B4/Nq3P1Q/1P4PP/3RR1K1 w - -,d4e5
2r1q1k1/p4pp1/1bp1p2p/4N3/2Rr4/P5PP/1P2QP2/2R3K1 w - -,e5c6
5rk1/5p1p/1q1p2p1/1p1P4/p1n5/P2B2QP/6P1/3R3K b - -,b6e3
r3r3/5bk1/p1p2p2/PpNp1Ppp/1P1PP1P1/5P2/3R1K2/4R3 w - -,g4h5
1r6/Rb2b3/8/2p1p2p/1pPp1k2/1P1P1PNP/3N2K1/8 w - -,g2f2
rn3rk1/1p1qppb1/p1p3pp/4Pb2/P1BP3B/2N2N1P/1PP1Q1P1/5RK1 w - -,c3e4
1rqr1bk1/2pn1pp1/p1np3p/P3p3/2P1P3/1BP4P/5PP1/R1BQRNK1 w - -,f1e3
4n2k/1pp2rb1/p3N1pp/2PPp3/P7/4R1P1/1P4KP/2B5 b - -,g7f6
r1bqk2r/pppp1ppp/2n2n2/8/2BbP3/8/PPP2PPP/RNBQ1RK1 w kq -,b1d2
2k5/4R3/2P1K1p1/7p/7P/3r2P1/8/8 b - -,d3g3
r4rk1/1pqn1pp1/2pbpn1p/p2p1b2/2PP4/1P2PN1P/PB1NBPP1/2RQ1RK1 w - a6,a2a3
8/2r1p1k1/3p1qp1/p7/5PP1/1P2Q2p/P3RK1P/8 w - -,g4g5
8/1p3p2/p1p1p3/2PrP1k1/5r2/1PKBQ3/P7/8 w - -,d3c4
2r3k1/pp2brp1/2qp4/1N1Q4/2P1pPp1/6P1/PP6/R1B2R1K w - -,c1e3
8/4r1k1/8/P1R5/4p3/n3K3/4B3/8 b - -,e7a7
r2r2k1/pp3pbp/2npqnp1/4p3/2b1PP2/1NN1BB2/PPPR2PP/R2Q3K w - -,f4e5
6k1/6p1/2qp1p2/p3pQp1/Pp1bP3/1P5R/5PK1/8 b - -,d6d5
2rqk2r/pb2bppp/1pp1pn2/2n5/2P1P3/1P3NP1/PBQN1PBP/R3K2R w KQk -,f3e5
8/2k5/7r/1KP5/8/8/8/4R3 w - -,e1e7
r2q1rk1/pp2npbp/2n1b1p1/2pPp3/8/1PNPP1P1/PB2NPBP/R2Q1RK1 b - -,e7d5
r1b1nb1r/1pkn1ppp/2p5/p3p1B1/2P1P3/2N2P2/PPK1N1PP/3R1B1R b - -,a5a4
r4rk1/pb1nqpp1/Bpp1p2p/8/3P4/2R1PN2/PP2QPPP/5RK1 b - -,b7a6
r3k2r/p1p2ppp/2p1b2n/3pP3/1q2p2P/1PN1P3/PBP2PP1/R2QK2R w KQkq -,d1d2
r4r1k/p1q2p1p/2p1pb2/2Np1p2/3P4/2P5/PP3PPP/R2QR1K1 b - -,f8g8
8/5Rpp/2p5/p7/2B3q1/1P2K1k1/8/8 w - -,f7f1
r1b2rk1/ppp2ppp/2N2n2/3q4/8/2B1P3/PP3PPP/R2QKB1R b KQ -,d5c6
rn2k2r/pp2bppp/2pqpn2/4N3/3P4/2N1B3/PPP1QPPP/R3K2R b KQkq -,e8g8
rr3nk1/2p3p1/2Ppq3/1p3pp1/1B2PP2/P3Q3/1P5R/1K5R w - -,e4e5
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1Q2/PP3PPP/RNB1K1NR b KQkq -,e8g8
6r1/3p2r1/2bP1kp1/p1P1NpRp/PpK1pP1P/1P4R1/6P1/8 b - -,f6e6
r2r4/pp3kpp/1bn2p2/3npb2/8/1NP2NP1/PP1RBP1P/R3B1K1 w - -,a1d1
4rbk1/r4p2/p1bp1p1p/1p2p3/1P2P3/PBn4P/3N1PP1/R1B1R1K1 w - -,e1e3
1rbq1rk1/6bp/2np2p1/2p1p3/p3Pp1P/P1pP1NPB/1P1R1P1N/4RQK1 w - -,b2c3
5r2/p3r3/1npN2pk/3nPp2/3P1P1P/1P4P1/P3K3/2RR4 b - -,b6c8
8/p4pk1/1p1bp3/1P1p2p1/P2P2Pq/1B2PP2/4K3/6Q1 w - -,g1e1
r1bq1rk1/2pn1pbp/p4np1/1p2p3/2P1P3/1PN2NP1/P4PBP/R1BQR1K1 b - -,c7c6
r3rbk1/3q1pp1/p1np1n1p/1p2p3/PP2P3/1Q1PNN1P/R2B1PP1/4R1K1 b - -,d7e6
r4rk1/pp2qpbp/6p1/2p1nb2/Q7/1PP1B1PP/P3NPB1/R4RK1 b - -,a7a6
r5k1/4p3/3p3p/1ppP1rp1/n3P3/1RP1P3/2PN2P1/6K1 w - -,e4f5
r3kb1r/ppp2pp1/4b1np/2p1P3/2P1N3/1P3N1P/PB3PPK/R4R2 b - -,a8d8
r2r3k/pp2Npbp/4b1p1/n7/4P3/3BB3/P3KPPP/2R4R b - -,d8d7
r2qkb1r/2pb1ppp/p1n1pn2/1p6/3P4/1P2PNP1/4QPBP/RNB2RK1 b kq -,f8e7
r1bqk2r/ppp1bppp/8/3pP3/8/2PB4/P1P2PPP/R1BQ1RK1 b kq -,e8g8
r1bqnrk1/3nb1pp/2P1p3/p1pp1p2/3P1B2/2NBPN1P/P1Q2PP1/R3K2R b KQ -,d7b8
r1bq1rk1/5pbp/1pn1pnp1/p1pp4/P3P3/2PP1NP1/1P3PBP/R1BQRNK1 b - -,h7h6
r1bqk2r/pp2npbp/2np2p1/2p1p3/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 w kq -,c1b2
R7/8/5k2/P4p2/6p1/r7/6K1/8 b - -,f6g7
5rb1/1p4kp/p1nR4/2N1n2q/1P3r2/P1Q2P2/4B1PP/3R2K1 b - -,f4f6
3r2k1/2Rb1ppp/pB1b1n2/1p1p4/3N4/4P1P1/PP3PBP/2R3K1 b - -,d6c7
2q2bk1/pp5p/1r6/3p1p2/1P1PpB2/nQ2P1P1/5P1P/3R2K1 w - -,b3a3
r5nr/pp1kbppp/2n1p3/2p5/8/2NPBNP1/PPP2P1P/R2K3R w - -,c3e4
r1bq1rk1/pp3pb1/n1pp2pp/3Pp3/2P1Pn2/2N1B2P/PP2BPPN/R2QK2R w KQ -,e2f1
2b5/p4k1p/1p3pp1/3P4/3K4/1P6/P4PBP/8 w - -,g2e4
8/8/1p1p2rk/pPp4p/P1PbPp2/3P1P2/7K/4BR2 b - -,h6g7
1r2k2r/3bbppp/p2pp3/1p1nP1B1/2q3PP/PNN2P2/1PPQ4/1K1R3R w k -,g5e7
8/4k1pp/2pq4/8/P4P2/4p1PP/2Q1P2K/8 w - -,c2h7
2krr3/bp3q2/2p2p1p/P2pp3/B1P1Pn1B/3P1bP1/2Q2P1K/R4R2 w - -,c4d5
2rqr1k1/1p1npp1p/p2p2p1/3P4/3Q4/1B5P/PPP2PP1/R3R1K1 w - -,e1e3
8/4b3/4PnB1/p7/2Np1K1p/1k1P4/8/8 w - -,c4a5
r1b2rk1/ppqn1ppp/2pb1n2/3p4/3P1B2/P1NB4/1PPQNPPP/R4RK1 w - -,f4d6
r1b2rk1/p1q2pBp/1pp3p1/2p1p3/4P3/3P1N1P/PPP1QPP1/R4RK1 b - -,g8g7
r5k1/5p2/3p2p1/1P1P3p/8/q1P2P2/1RKQ3P/8 w - -,b5b6
1r4k1/3RP1B1/5P1p/p2K4/8/b5P1/P4P1P/8 b - -,g8f7
1rr2k2/4nb2/3p1q1b/1p1Pp2p/1Pp1Pp2/P1B2P2/1Q1NNKR1/7R w - -,d2b1
8/2r5/5k2/R1n2P1R/3p2P1/5K2/8/8 b - -,d4d3
7r/p7/1p1b1nk1/3p1b2/3P3B/2P1RPP1/PP1K4/5N2 b - -,f5h3
r3r1k1/pp4bp/1qp3p1/2n3B1/2p2Q2/2N4P/PP4P1/3R1RK1 w - -,g1h1
q6r/p2k1p2/1pr5/3pPp2/1B3P1p/QP5P/P5PK/6R1 b - -,d7e6
r1bq1rk1/pp3pbp/4p1p1/4N3/3npB2/6P1/PP2PPBP/2RQ1RK1 w - -,c1c4
1r4k1/pp1nbrpp/1q1p4/1PpP4/Q3BB2/6PP/1P3P2/R4RK1 b - -,b8a8
8/6k1/R6p/1p6/2b2PP1/P5K1/6P1/8 b - -,g7h7
rb2k2r/1pq2ppp/pn3n2/2Bpp3/6b1/1PN1PN2/P1QP1PPP/R3KB1R w KQkq -,d2d4
r1br2k1/ppp2pp1/7p/2b1p3/2B1P3/4N1P1/PPP1KPP1/R6R b - -,g8f8
3rr1k1/1pp2pp1/1p3n2/5qQp/2bPpP2/P1P4P/1PBB2P1/R3R1K1 b - -,f5e6
8/6k1/1p1R1p2/8/5PPK/8/8/r7 w - -,d6d7:d6b6
2kn3r/pppr2pp/3bR3/5qB1/3p4/5N2/PPP1QPPP/3R2K1 w - -,e6e4
r2q1rk1/3nbppp/b1p1pn2/p7/Np1PPB2/3B1N2/PPQ2PPP/2KR3R w - -,d3a6
rrb3k1/4ppbp/3p2p1/1PnPn3/2p5/q1N3P1/P2BPPBP/1R1QNRK1 w - -,e1c2
4r1k1/1prb1pp1/p2R1n1p/2pNpP2/4P3/6P1/PPP3BP/5RK1 b - -,f6d5
5rk1/p2n1pp1/4p3/q2pP1NP/1pbP2N1/r5P1/PQ3PB1/R5K1 b - -,a3a2
2brr1k1/5pbp/p5p1/q2pp2n/3P4/R1NBBQ1P/1PP2PP1/4R1K1 b - -,a5b4
2kr4/p1r2p2/6pp/1qPp4/3QpP2/2R4P/2P3P1/R5K1 b - -,b5b2
r2qk2r/1b1p1pbp/p1n3p1/2pB4/1pP4N/6P1/PP2PP1P/R1BQK2R w KQkq -,h4g2
2b2rk1/1pr4p/p2p1qp1/P2Pb3/1R2Pn2/1QN1BP2/1P1K1P2/3B3R b - -,f8f7
3r2k1/p3p1bp/2b1P1p1/2P2p2/1P3B2/4R2P/2P2P2/6K1 w - -,c2c4
r1b2rk1/1p2qppp/2n2n2/p1bNp3/2B5/P3PN2/1PQ2PPP/R1BR2K1 b - -,f6d5
8/1r5p/6k1/4R3/5K2/4p3/6PP/8 b - -,b7b2
rn1qkb1r/3ppp1p/b4np1/2pP4/8/5N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3:b1c3
2r2r1k/p2b1pp1/1bp4p/8/3Nn3/1B2B2P/PP3PP1/2R1R1K1 w - -,d4f3
2rq1rk1/pp3ppp/2nbpn2/3p4/1P1P4/P1NQPN2/5PPP/R1B2RK1 w - -,c1b2
r1bq1rk1/ppp1bppp/2n2n2/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,d1e2
1rr3k1/4bp1p/4p1p1/p2p4/5P2/1PP5/P3N1PP/3R1RK1 w - -,g2g4
5n1k/3n2b1/2R5/2p4p/5P1B/3b4/6PP/6K1 w - -,g1f2
3r2k1/5ppp/4b3/1pR1N3/1P6/8/5PPP/6K1 w - -,f2f3
8/5k1p/4ppp1/1P6/3P4/5N1P/1q3PP1/5QK1 b - -,f7e7
2rr2k1/pp1qnp2/4b3/3p1p2/3P2P1/1P2N2P/P2QN1B1/5RK1 w - -,g4f5
3r3k/1p1b1p2/3p1P1p/5QP1/6P1/8/1P6/6K1 w - -,f5f4
4k3/1p2r1p1/6Rp/8/P7/3Pp3/4K1P1/8 b - -,e8d7
2r3k1/p2n1pb1/3r2p1/2qp3p/p4P2/1PP3PP/1B2Q1B1/2RR3K w - -,b3b4
8/4bpkp/4pp2/p2p4/3P4/PR2P1P1/n4P1P/5K2 w - -,f1e1
r1r1nk2/qp3p1p/4p1p1/1P1p4/n2P4/pN1BPQ1P/P4PP1/2R2RK1 b - -,b7b6
6k1/p2b1qBp/1p6/3R2b1/8/1NP5/P4rQP/7K w - -,d5d7
rnbq1rk1/pp3ppp/2p2n2/4p3/3PP3/P1P5/2P1BNPP/R1BQK2R b KQ -,f8e8
r2qk2r/4npbp/1pn1b1p1/p1p1p1N1/8/P2PN1P1/1P2PPBP/R1BQ1RK1 b kq -,d8d7
7r/1p1kr3/p1pn1p2/3p2pP/1P1P2R1/3BPP1R/1P3K2/8 b - -,d6f7
7r/1p2rpk1/p5n1/8/P1n1p3/3P4/BPP4P/R4R1K w - -,a2c4
1rb2rk1/p3npp1/1p2p2p/4P3/4B3/2N5/PPP3PP/2KRR3 b - -,c8b7
1r4qr/3b1kp1/1pnp1b1p/p1pNpp2/1PP2P2/P1BPP1P1/3Q3P/1R2R1KB w - -,d5f6
Q7/1Ppn2p1/4pk1p/4p3/4P3/6PP/2p2P2/R2r2K1 w - -,g1g2
rnbqkb1r/2p2ppp/p3pn2/1p6/2pP4/5NP1/PP1NPPBP/R1BQK2R w KQkq b6,f3e5
