8/3k4/3b2R1/p3p3/2P1P1P1/4BK2/r7/8 w - -,c4c5
8/7p/6pk/4Q3/4P3/4KPP1/7q/8 b - -,h2g1
8/3nkp2/4p1p1/r1p4p/1p3P1P/1B1PPKP1/1P6/3R4 w - -,d3d4
6r1/5k2/bp1b1p1p/p1pPpP2/P1P1B3/1P6/6PP/2B1R2K w - -,c1h6
2rqk2r/4bppp/pp2pn2/3p4/3NPB2/nPNQ2P1/P4PKP/R4R2 w k d6,a1c1
1r2rnk1/p1p2Qpp/1p1b1p2/PPp1p3/2P1P3/1N2B3/2P2PPP/R4RK1 b - -,g8f7
8/5p2/1B2p3/8/6p1/3k1nP1/6K1/8 w - -,g2f2
r1bq1rk1/pp2npb1/2n1p1pp/3P4/2BN4/2P1B2P/PP3PP1/RN1QR1K1 b - -,e7d5
r2q1rk1/1pnnb1pp/2p1p3/p2p1pP1/P3P2P/1P1P1Q2/1BPN1P2/R3KB1R w KQ -,e4f5
rr4k1/4ppnp/3p2pQ/2pP1b2/8/2N2PPP/Pq3PB1/2R1R1K1 b - -,b8e8
3r1rk1/6bp/p1pq1pp1/3pp3/3P1nP1/N1P5/PP1BQP1P/R3R1K1 w - -,d2f4
B7/3kbp2/1rp5/1pNb3r/6p1/P1RPP1Pp/1P3P1P/R5K1 b - -,e7c5
3r1rk1/ppp1nppp/2n5/8/2N5/2P2NP1/PP3P1P/3R1RK1 b - -,g7g6
r1r3k1/1p2qpp1/2n4p/p1b1p3/4n3/P3P3/1PQ1NPPP/2BR1RK1 w - -,c2e4
r1bqkb1r/pp1n2pp/2n1pp2/3pP3/3P4/5N2/PP2NPPP/R1BQKB1R w KQkq -,e5f6
1R6/3k4/6p1/3p1pP1/2pP1P1p/2P1P3/r7/3K4 w - -,b8h8
3r2k1/2q2p2/6p1/4p3/4Pn2/4NQ1P/5PK1/1R6 w - -,g2h2
8/8/1k1r2p1/R4p1p/1p3P1P/2r3P1/R3K3/8 b - -,c3c2
r2q1rk1/3npp1p/b2p1bp1/3P4/1ppNP3/6P1/R1P2P1P/1N1QRBK1 b - -,d8b6
3qkr2/1p2n1p1/2p1n1pr/p2pPp2/Pb1P1P1P/1P1QBNP1/2R1BK2/1R6 b - -,e8d7
8/p6p/1p2k1p1/8/4KP2/P5PP/8/8 b - -,h7h5
8/8/4R3/5p2/2r1kPp1/6P1/K6P/8 b - -,e4f3
r2qkb1r/pp2pppp/2n1b3/2Pp4/3Pn3/2N1B3/PP3PPP/R2QKBNR b KQkq -,g7g6
r1bq1rk1/1p1nppbp/p1pp1np1/8/2PPP3/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,c1e3
3b2k1/3b3n/p2p4/q1pPp3/P1P1PpPp/Q1NN1P2/6B1/1K6 b - -,h7g5
4rrk1/pb3p2/1p1pn1p1/4n3/2q1P2Q/1NB2B2/P1P3P1/R3R1K1 w - -,e1e3
r1b2rk1/1pqpppbp/p1n2np1/8/2PN4/1PN1P1P1/P4PBP/R1BQ1RK1 b - -,b7b6
6k1/ppp2pb1/4r1p1/8/2qP3R/Q4P2/1P3P2/2K4R w - -,c1b1
R7/4p1kp/B2rPnp1/3p1p2/1p6/1P2PPP1/1P5P/6K1 w - -,a6c8
3r2k1/1pbn2p1/2P4p/pP1p4/3Np1qP/P5P1/2P1N1QK/5R2 b - -,b7c6
r2q1rk1/4b1pp/p3pn2/1p2n3/1p2P3/P2P3P/2BN1PP1/R1BQR1K1 w - -,d2f3
r3r3/1n1n2bk/p3p1pp/2pq4/1P2N3/P3BN1P/Q4PP1/2R1R1K1 w - -,a2c2
8/4k1B1/2p2p1p/3b1P1P/p1p3P1/2P5/P3RK2/1r6 b - -,e7f7
3rkbnr/1pp2ppp/p1b5/4p3/4P3/2N2N2/PPP2PPP/R1B1K2R w KQk -,f3e5
r2r2k1/pb2p1bp/4Ppp1/2P5/2p2B2/5P1P/PPP2P2/3RR1K1 w - -,b2b4
2r1r1k1/pb3p1p/5p2/2p3q1/N3pbN1/PPQ4P/6P1/2R2R1K b - -,e8e6
