8/4r3/2pR4/3b2pk/1P1B4/5PK1/8/8 b - -,e7f7
1k6/n2R4/8/P1K2p2/4b3/4P3/8/8 w - -,d7g7
7k/3b1npp/2pq4/p1Nn1p2/P2P4/1B2Q1P1/5P2/R5K1 w - -,b3d5
r2qk1nr/pp1bb1pp/4p3/nP1pPp2/3N4/2PBB3/P1Q2PPP/RN3RK1 b kq -,d8b6
3kr3/p2p1ppp/1p6/7n/5q2/2Q1R3/P1P1K1B1/6R1 b - -,h5g3
8/4N3/4n1pp/p1k1Pp2/2p2P1P/4KP2/8/8 w - a6,h4h5
8/8/8/P5pk/R6p/2r5/6K1/8 b - -,g5g4
4r1k1/p2nbppp/1rp1p1b1/2pp4/4PB2/qPPP2NP/P1QN1PP1/2R1R1K1 w - -,d2b1
1R6/1p2rpk1/2p1b2p/Pp2P1p1/4B1P1/1P4KP/2P5/8 b - -,f7f6
rnbqkbnr/1p2pppp/p1p5/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,c8g4
r2qk2r/p4ppp/2pPpn2/3p4/3QP1b1/2N5/PPP2PPP/R3K1NR b KQkq -,d8b6
2r1r1k1/1p2p1bp/p3bpp1/Bn1n4/2NP2N1/1P3B2/P4PPP/R2R2K1 b - -,b5c3
8/p4pp1/3kp2p/1P5P/3NK3/6P1/r4P2/5B2 b - -,a2a4
rn1qkb1r/pp3p2/2p1p1p1/3n3p/2BP3P/2N1PQP1/PP3P2/R1B1K2R b KQkq -,f8e7
r4rk1/3nppbp/bq1p2p1/2pP4/6n1/1PN2NP1/P1QBPPBP/1R3RK1 b - -,b6a7
8/6k1/P3R3/4nPP1/3rP3/1P6/1KP5/8 b - -,e5f7
rnb1k2r/ppppqppp/5n2/4P3/2P5/4P3/PP1N1PPP/R2QKBNR b KQkq -,e7e5
2b1rr1k/2p2qnp/pp1p1npB/2PPp3/1P2Pp1P/2R3P1/P1Q2PB1/3NR1K1 b - -,b6c5
2R5/1p5k/6p1/p4KP1/4p2P/1P1r4/8/8 w - -,f5e6
8/8/6k1/4K1p1/6P1/5P2/2N3n1/8 b - -,g2h4
R4b2/3r1bkp/1B1p2p1/3npp2/8/3P2P1/4PPBP/1R4K1 b - -,d5b6
r1bqk2r/5p1p/p1p1pPp1/4P3/Pb1B2Q1/2NP4/6PP/R4RK1 w kq -,c3a2
